pT (GeV)       dN/dpt         error          
0.00580892     0              0              
0.0174268      0              0              
0.0290446      0              0              
0.0406624      0              0              
0.0522803      4.30373e-06    4.30373e-06    
0.0638981      0              0              
0.075516       0              0              
0.0871338      0              0              
0.0987516      8.60745e-06    6.08639e-06    
0.110369       0              0              
0.121987       0              0              
0.133605       0              0              
0.145223       0              0              
0.156841       0              0              
0.168459       0              0              
0.180077       4.30373e-06    4.30373e-06    
0.191694       0              0              
0.203312       0              0              
0.21493        4.30373e-06    4.30373e-06    
0.226548       0              0              
0.238166       0              0              
0.249784       4.30373e-06    4.30373e-06    
0.261401       8.60745e-06    6.08639e-06    
0.273019       4.30373e-06    4.30373e-06    
0.284637       4.30373e-06    4.30373e-06    
0.296255       1.29112e-05    7.45427e-06    
0.307873       0              0              
0.319491       8.60745e-06    6.08639e-06    
0.331108       4.30373e-06    4.30373e-06    
0.342726       8.60745e-06    6.08639e-06    
0.354344       0              0              
0.365962       4.30373e-06    4.30373e-06    
0.37758        4.30373e-06    4.30373e-06    
0.389198       4.30373e-06    4.30373e-06    
0.400815       4.30373e-06    4.30373e-06    
0.412433       4.30373e-06    4.30373e-06    
0.424051       0              0              
0.435669       4.30373e-06    4.30373e-06    
0.447287       0              0              
0.458905       1.29112e-05    7.45427e-06    
0.470523       4.30373e-06    4.30373e-06    
0.48214        4.30373e-06    4.30373e-06    
0.493758       4.30373e-06    4.30373e-06    
0.505376       1.29112e-05    7.45427e-06    
0.516994       1.29112e-05    7.45427e-06    
0.528612       1.29112e-05    7.45427e-06    
0.54023        2.58224e-05    1.05419e-05    
0.551847       4.30373e-06    4.30373e-06    
0.563465       1.72149e-05    8.60745e-06    
0.575083       8.60745e-06    6.08639e-06    
0.586701       4.30373e-06    4.30373e-06    
0.598319       4.30373e-06    4.30373e-06    
0.609937       4.30373e-06    4.30373e-06    
0.621554       3.01261e-05    1.13866e-05    
0.633172       8.60745e-06    6.08639e-06    
0.64479        2.58224e-05    1.05419e-05    
0.656408       8.60745e-06    6.08639e-06    
0.668026       4.30373e-06    4.30373e-06    
0.679644       1.72149e-05    8.60745e-06    
0.691261       1.72149e-05    8.60745e-06    
0.702879       8.60745e-06    6.08639e-06    
0.714497       4.30373e-06    4.30373e-06    
0.726115       8.60745e-06    6.08639e-06    
0.737733       2.15186e-05    9.62342e-06    
0.749351       2.15186e-05    9.62342e-06    
0.760969       8.60745e-06    6.08639e-06    
0.772586       0              0              
0.784204       8.60745e-06    6.08639e-06    
0.795822       8.60745e-06    6.08639e-06    
0.80744        3.01261e-05    1.13866e-05    
0.819058       4.30373e-06    4.30373e-06    
0.830676       1.72149e-05    8.60745e-06    
0.842293       2.15186e-05    9.62342e-06    
0.853911       1.72149e-05    8.60745e-06    
0.865529       1.72149e-05    8.60745e-06    
0.877147       4.30373e-06    4.30373e-06    
0.888765       8.60745e-06    6.08639e-06    
0.900383       2.15186e-05    9.62342e-06    
0.912          1.29112e-05    7.45427e-06    
0.923618       1.29112e-05    7.45427e-06    
0.935236       4.30373e-06    4.30373e-06    
0.946854       1.29112e-05    7.45427e-06    
0.958472       1.72149e-05    8.60745e-06    
0.97009        8.60745e-06    6.08639e-06    
0.981707       8.60745e-06    6.08639e-06    
0.993325       1.72149e-05    8.60745e-06    
1.00494        0              0              
1.01656        1.29112e-05    7.45427e-06    
1.02818        2.58224e-05    1.05419e-05    
1.0398         8.60745e-06    6.08639e-06    
1.05141        1.72149e-05    8.60745e-06    
1.06303        1.72149e-05    8.60745e-06    
1.07465        8.60745e-06    6.08639e-06    
1.08627        2.58224e-05    1.05419e-05    
1.09789        3.01261e-05    1.13866e-05    
1.1095         3.01261e-05    1.13866e-05    
1.12112        3.01261e-05    1.13866e-05    
1.13274        8.60745e-06    6.08639e-06    
1.14436        4.30373e-06    4.30373e-06    
1.15598        1.29112e-05    7.45427e-06    
1.16759        2.58224e-05    1.05419e-05    
1.17921        1.29112e-05    7.45427e-06    
1.19083        3.87335e-05    1.29112e-05    
1.20245        3.44298e-05    1.21728e-05    
1.21406        1.29112e-05    7.45427e-06    
1.22568        2.58224e-05    1.05419e-05    
1.2373         1.29112e-05    7.45427e-06    
1.24892        8.60745e-06    6.08639e-06    
1.26054        1.29112e-05    7.45427e-06    
1.27215        1.72149e-05    8.60745e-06    
1.28377        1.72149e-05    8.60745e-06    
1.29539        3.44298e-05    1.21728e-05    
1.30701        1.72149e-05    8.60745e-06    
1.31862        8.60745e-06    6.08639e-06    
1.33024        4.30373e-06    4.30373e-06    
1.34186        0              0              
1.35348        2.58224e-05    1.05419e-05    
1.3651         2.15186e-05    9.62342e-06    
1.37671        8.60745e-06    6.08639e-06    
1.38833        1.29112e-05    7.45427e-06    
1.39995        1.72149e-05    8.60745e-06    
1.41157        8.60745e-06    6.08639e-06    
1.42319        2.15186e-05    9.62342e-06    
1.4348         1.29112e-05    7.45427e-06    
1.44642        2.58224e-05    1.05419e-05    
1.45804        1.29112e-05    7.45427e-06    
1.46966        2.15186e-05    9.62342e-06    
1.48127        1.72149e-05    8.60745e-06    
1.49289        3.01261e-05    1.13866e-05    
1.50451        8.60745e-06    6.08639e-06    
1.51613        3.44298e-05    1.21728e-05    
1.52775        3.87335e-05    1.29112e-05    
1.53936        1.29112e-05    7.45427e-06    
1.55098        8.60745e-06    6.08639e-06    
1.5626         1.29112e-05    7.45427e-06    
1.57422        2.15186e-05    9.62342e-06    
1.58584        8.60745e-06    6.08639e-06    
1.59745        8.60745e-06    6.08639e-06    
1.60907        3.01261e-05    1.13866e-05    
1.62069        8.60745e-06    6.08639e-06    
1.63231        1.29112e-05    7.45427e-06    
1.64392        1.72149e-05    8.60745e-06    
1.65554        0              0              
1.66716        2.58224e-05    1.05419e-05    
1.67878        1.29112e-05    7.45427e-06    
1.6904         3.87335e-05    1.29112e-05    
1.70201        2.58224e-05    1.05419e-05    
1.71363        8.60745e-06    6.08639e-06    
1.72525        1.72149e-05    8.60745e-06    
1.73687        1.29112e-05    7.45427e-06    
1.74848        3.44298e-05    1.21728e-05    
1.7601         8.60745e-06    6.08639e-06    
1.77172        4.30373e-06    4.30373e-06    
1.78334        8.60745e-06    6.08639e-06    
1.79496        8.60745e-06    6.08639e-06    
1.80657        1.29112e-05    7.45427e-06    
1.81819        1.72149e-05    8.60745e-06    
1.82981        2.15186e-05    9.62342e-06    
1.84143        4.30373e-06    4.30373e-06    
1.85305        1.29112e-05    7.45427e-06    
1.86466        0              0              
1.87628        8.60745e-06    6.08639e-06    
1.8879         1.72149e-05    8.60745e-06    
1.89952        1.29112e-05    7.45427e-06    
1.91113        4.30373e-06    4.30373e-06    
1.92275        2.15186e-05    9.62342e-06    
1.93437        1.29112e-05    7.45427e-06    
1.94599        8.60745e-06    6.08639e-06    
1.95761        1.72149e-05    8.60745e-06    
1.96922        8.60745e-06    6.08639e-06    
1.98084        1.29112e-05    7.45427e-06    
1.99246        2.58224e-05    1.05419e-05    
2.00408        1.72149e-05    8.60745e-06    
2.0157         4.30373e-06    4.30373e-06    
2.02731        8.60745e-06    6.08639e-06    
2.03893        4.30373e-06    4.30373e-06    
2.05055        1.29112e-05    7.45427e-06    
2.06217        8.60745e-06    6.08639e-06    
2.07378        2.15186e-05    9.62342e-06    
2.0854         1.29112e-05    7.45427e-06    
2.09702        2.58224e-05    1.05419e-05    
2.10864        8.60745e-06    6.08639e-06    
2.12026        8.60745e-06    6.08639e-06    
2.13187        1.72149e-05    8.60745e-06    
2.14349        8.60745e-06    6.08639e-06    
2.15511        4.30373e-06    4.30373e-06    
2.16673        3.01261e-05    1.13866e-05    
2.17835        2.58224e-05    1.05419e-05    
2.18996        1.72149e-05    8.60745e-06    
2.20158        2.15186e-05    9.62342e-06    
2.2132         8.60745e-06    6.08639e-06    
2.22482        1.29112e-05    7.45427e-06    
2.23643        8.60745e-06    6.08639e-06    
2.24805        4.30373e-06    4.30373e-06    
2.25967        1.72149e-05    8.60745e-06    
2.27129        8.60745e-06    6.08639e-06    
2.28291        4.30373e-06    4.30373e-06    
2.29452        4.30373e-06    4.30373e-06    
2.30614        1.72149e-05    8.60745e-06    
2.31776        1.72149e-05    8.60745e-06    
2.32938        1.29112e-05    7.45427e-06    
2.34099        8.60745e-06    6.08639e-06    
2.35261        1.29112e-05    7.45427e-06    
2.36423        4.30373e-06    4.30373e-06    
2.37585        2.58224e-05    1.05419e-05    
2.38747        2.58224e-05    1.05419e-05    
2.39908        1.29112e-05    7.45427e-06    
2.4107         2.15186e-05    9.62342e-06    
2.42232        1.29112e-05    7.45427e-06    
2.43394        3.01261e-05    1.13866e-05    
2.44556        4.30373e-06    4.30373e-06    
2.45717        8.60745e-06    6.08639e-06    
2.46879        4.30373e-06    4.30373e-06    
2.48041        4.30373e-06    4.30373e-06    
2.49203        4.30373e-06    4.30373e-06    
2.50364        0              0              
2.51526        0              0              
2.52688        8.60745e-06    6.08639e-06    
2.5385         4.30373e-06    4.30373e-06    
2.55012        8.60745e-06    6.08639e-06    
2.56173        1.29112e-05    7.45427e-06    
2.57335        0              0              
2.58497        3.01261e-05    1.13866e-05    
2.59659        4.30373e-06    4.30373e-06    
2.60821        4.30373e-06    4.30373e-06    
2.61982        4.30373e-06    4.30373e-06    
2.63144        0              0              
2.64306        4.30373e-06    4.30373e-06    
2.65468        4.30373e-06    4.30373e-06    
2.66629        4.30373e-06    4.30373e-06    
2.67791        4.30373e-06    4.30373e-06    
2.68953        4.30373e-06    4.30373e-06    
2.70115        8.60745e-06    6.08639e-06    
2.71277        2.15186e-05    9.62342e-06    
2.72438        1.29112e-05    7.45427e-06    
2.736          8.60745e-06    6.08639e-06    
2.74762        1.29112e-05    7.45427e-06    
2.75924        0              0              
2.77085        0              0              
2.78247        4.30373e-06    4.30373e-06    
2.79409        0              0              
2.80571        0              0              
2.81733        4.30373e-06    4.30373e-06    
2.82894        0              0              
2.84056        0              0              
2.85218        4.30373e-06    4.30373e-06    
2.8638         8.60745e-06    6.08639e-06    
2.87542        1.29112e-05    7.45427e-06    
2.88703        0              0              
2.89865        0              0              
2.91027        4.30373e-06    4.30373e-06    
2.92189        0              0              
2.9335         0              0              
2.94512        1.29112e-05    7.45427e-06    
2.95674        0              0              
2.96836        1.72149e-05    8.60745e-06    
2.97998        8.60745e-06    6.08639e-06    
2.99159        0              0              
3.00321        8.60745e-06    6.08639e-06    
3.01483        0              0              
3.02645        4.30373e-06    4.30373e-06    
3.03807        0              0              
3.04968        0              0              
3.0613         0              0              
3.07292        4.30373e-06    4.30373e-06    
3.08454        0              0              
3.09615        0              0              
3.10777        4.30373e-06    4.30373e-06    
3.11939        0              0              
3.13101        0              0              
3.14263        0              0              
3.15424        4.30373e-06    4.30373e-06    
3.16586        0              0              
3.17748        0              0              
3.1891         4.30373e-06    4.30373e-06    
3.20071        1.29112e-05    7.45427e-06    
3.21233        4.30373e-06    4.30373e-06    
3.22395        0              0              
3.23557        0              0              
3.24719        8.60745e-06    6.08639e-06    
3.2588         8.60745e-06    6.08639e-06    
3.27042        0              0              
3.28204        4.30373e-06    4.30373e-06    
3.29366        0              0              
3.30528        0              0              
3.31689        0              0              
3.32851        0              0              
3.34013        1.29112e-05    7.45427e-06    
3.35175        0              0              
3.36336        0              0              
3.37498        4.30373e-06    4.30373e-06    
3.3866         0              0              
3.39822        0              0              
3.40984        4.30373e-06    4.30373e-06    
3.42145        0              0              
3.43307        0              0              
3.44469        0              0              
3.45631        0              0              
3.46793        4.30373e-06    4.30373e-06    
3.47954        0              0              
3.49116        8.60745e-06    6.08639e-06    
3.50278        0              0              
3.5144         0              0              
3.52601        0              0              
3.53763        4.30373e-06    4.30373e-06    
3.54925        0              0              
3.56087        4.30373e-06    4.30373e-06    
3.57249        0              0              
3.5841         0              0              
3.59572        0              0              
3.60734        0              0              
3.61896        0              0              
3.63058        4.30373e-06    4.30373e-06    
3.64219        0              0              
3.65381        0              0              
3.66543        0              0              
3.67705        0              0              
3.68866        0              0              
3.70028        0              0              
3.7119         0              0              
3.72352        0              0              
3.73514        0              0              
3.74675        0              0              
3.75837        0              0              
3.76999        0              0              
3.78161        4.30373e-06    4.30373e-06    
3.79322        0              0              
3.80484        4.30373e-06    4.30373e-06    
3.81646        0              0              
3.82808        0              0              
3.8397         0              0              
3.85131        0              0              
3.86293        0              0              
3.87455        4.30373e-06    4.30373e-06    
3.88617        0              0              
3.89779        0              0              
3.9094         0              0              
3.92102        4.30373e-06    4.30373e-06    
3.93264        0              0              
3.94426        0              0              
3.95587        0              0              
3.96749        4.30373e-06    4.30373e-06    
3.97911        0              0              
3.99073        0              0              
4.00235        0              0              
4.01396        0              0              
4.02558        0              0              
4.0372         0              0              
4.04882        0              0              
