pT (GeV)       dN/dpt         error          
0.00487561     5.64032e-05    1.70062e-05    
0.0146268      0.000179465    3.0335e-05     
0.024378       0.000292271    3.87122e-05    
0.0341293      0.000435843    4.72737e-05    
0.0438805      0.000548649    5.30398e-05    
0.0536317      0.000681966    5.91338e-05    
0.0633829      0.000769135    6.27993e-05    
0.0731341      0.000984492    7.10493e-05    
0.0828854      0.00113832     7.63986e-05    
0.0926366      0.00103577     7.2876e-05     
0.102388       0.00133829     8.28378e-05    
0.112139       0.00133317     8.26789e-05    
0.12189        0.00143572     8.58e-05       
0.131641       0.00171261     9.37089e-05    
0.141393       0.00163569     9.15805e-05    
0.151144       0.00194335     9.98221e-05    
0.160895       0.00195873     0.000100216    
0.170646       0.002251       0.000107433    
0.180398       0.00242021     0.000111398    
0.190149       0.00240995     0.000111162    
0.1999         0.00235868     0.000109973    
0.209651       0.00260993     0.000115682    
0.219402       0.00267659     0.00011715     
0.229154       0.00273299     0.000118377    
0.238905       0.00299962     0.000124017    
0.248656       0.00295348     0.00012306     
0.258407       0.00306628     0.000125388    
0.268159       0.00325088     0.000129107    
0.27791        0.00335343     0.000131127    
0.287661       0.00329702     0.00013002     
0.297412       0.00354315     0.000134785    
0.307163       0.00386618     0.000140795    
0.316915       0.0037585      0.000138821    
0.326666       0.00399437     0.00014311     
0.336417       0.00421486     0.000147007    
0.346168       0.00419947     0.000146739    
0.35592        0.00475325     0.000156114    
0.365671       0.00412256     0.000145389    
0.375422       0.00423537     0.000147364    
0.385173       0.00457891     0.000153224    
0.394924       0.00487119     0.000158038    
0.404676       0.00483016     0.000157372    
0.414427       0.00478914     0.000156702    
0.424178       0.00480453     0.000156953    
0.433929       0.00520448     0.000163355    
0.443681       0.00520448     0.000163355    
0.453432       0.00524037     0.000163918    
0.463183       0.00523524     0.000163837    
0.472934       0.00538907     0.000166227    
0.482685       0.00540445     0.000166464    
0.492437       0.00557366     0.00016905     
0.502188       0.00579927     0.000172437    
0.511939       0.0056557      0.000170289    
0.52169        0.00609667     0.000176803    
0.531441       0.00632229     0.000180044    
0.541193       0.00606591     0.000176356    
0.550944       0.0060454      0.000176058    
0.560695       0.0061582      0.000177841    
0.570446       0.00659405     0.000183873    
0.580198       0.00642996     0.000181571    
0.589949       0.00616333     0.000177767    
0.5997         0.00654277     0.000183157    
0.609451       0.006753       0.000186076    
0.619202       0.00686581     0.000187623    
0.628954       0.00703502     0.000189921    
0.638705       0.00689145     0.000187973    
0.648456       0.00689657     0.000188043    
0.658207       0.006753       0.000186076    
0.667959       0.00726576     0.00019301     
0.67771        0.00713244     0.000191232    
0.687461       0.00727089     0.000193078    
0.697212       0.00720423     0.000192191    
0.706963       0.00693247     0.000188671    
0.716715       0.00692734     0.000188462    
0.726466       0.00688119     0.000187833    
0.736217       0.00745035     0.000195447    
0.745968       0.00752214     0.000196386    
0.75572        0.00748112     0.00019585     
0.765471       0.00734267     0.000194029    
0.775222       0.00761443     0.000197587    
0.784973       0.00772211     0.000198979    
0.794724       0.00791183     0.000201408    
0.804476       0.00773749     0.000199177    
0.814227       0.0072914      0.000193351    
0.823978       0.00792209     0.000201539    
0.833729       0.00730165     0.000193486    
0.843481       0.00784004     0.000200493    
0.853232       0.00792721     0.000201734    
0.862983       0.00791183     0.000201408    
0.872734       0.00808617     0.000203615    
0.882485       0.0079426      0.000201799    
0.892237       0.00791696     0.000201474    
0.901988       0.00778364     0.00019977     
0.911739       0.00791696     0.000201474    
0.92149        0.00811181     0.000203938    
0.931242       0.00791183     0.000201408    
0.940993       0.00808617     0.000203615    
0.950744       0.0080913      0.000203809    
0.960495       0.00793747     0.000201734    
0.970246       0.00797336     0.00020219     
0.979998       0.00767084     0.000198317    
0.989749       0.00769135     0.000198582    
0.9995         0.00753752     0.000196587    
1.00925        0.00792721     0.000201604    
1.019          0.00760418     0.000197454    
1.02875        0.00767596     0.000198384    
1.0385         0.00779902     0.000199967    
1.04826        0.00787594     0.000200951    
1.05801        0.0079067      0.000201343    
1.06776        0.00761956     0.000197653    
1.07751        0.0079426      0.000201799    
1.08726        0.00749137     0.000195984    
1.09701        0.00777851     0.000199704    
1.10676        0.00749137     0.000195984    
1.11651        0.00759392     0.000197321    
1.12627        0.00769135     0.000198582    
1.13602        0.00765032     0.000198052    
1.14577        0.00744522     0.000195379    
1.15552        0.00808617     0.000203615    
1.16527        0.00740933     0.000194908    
1.17502        0.00787594     0.000200951    
1.18477        0.00758879     0.000197254    
1.19452        0.00755803     0.000196854    
1.20428        0.00728114     0.000193215    
1.21403        0.00728114     0.000193215    
1.22378        0.00720935     0.00019226     
1.23353        0.00710168     0.000190819    
1.24328        0.00715808     0.000191575    
1.25303        0.00712731     0.000191163    
1.26278        0.00735805     0.000194232    
1.27253        0.00736831     0.000194368    
1.28229        0.00707091     0.000190405    
1.29204        0.00702476     0.000189783    
1.30179        0.00672224     0.000185651    
1.31154        0.0069581      0.00018888     
1.32129        0.00674275     0.000185934    
1.33104        0.00661456     0.000184159    
1.34079        0.00672736     0.000185722    
1.35054        0.0068453      0.000187343    
1.3603         0.00642484     0.000181498    
1.37005        0.00638894     0.000180991    
1.3798         0.00647099     0.000182149    
1.38955        0.00685042     0.000187413    
1.3993         0.00647611     0.000182365    
1.40905        0.00656841     0.000183515    
1.4188         0.00623512     0.000178799    
1.42855        0.00626076     0.000179166    
1.4383         0.00614795     0.000177545    
1.44806        0.00614795     0.000177545    
1.45781        0.00587106     0.000173501    
1.46756        0.00586081     0.000173349    
1.47731        0.00557879     0.000169283    
1.48706        0.00586081     0.000173501    
1.49681        0.00541471     0.000166622    
1.50656        0.00547111     0.000167487    
1.51631        0.00558392     0.000169205    
1.52607        0.00533779     0.000165434    
1.53582        0.00545573     0.000167252    
1.54557        0.00540445     0.000166464    
1.55532        0.00523011     0.000163757    
1.56507        0.00529165     0.000164717    
1.57482        0.00551726     0.000168192    
1.58457        0.0051532      0.000162549    
1.59432        0.00496348     0.000159528    
1.60408        0.0050968      0.000161657    
1.61383        0.00487631     0.000158122    
1.62358        0.00521473     0.000163516    
1.63333        0.00511218     0.0001619      
