pT (GeV)       dN/dpt         error          
0.00487561     7.17859e-05    1.91856e-05    
0.0146268      0.00021023     3.28324e-05    
0.024378       0.000374312    4.38098e-05    
0.0341293      0.000353802    4.25927e-05    
0.0438805      0.000564032    5.37782e-05    
0.0536317      0.000687094    5.93556e-05    
0.0633829      0.000748624    6.19564e-05    
0.0731341      0.00098962     7.1234e-05     
0.0828854      0.00108704     7.46581e-05    
0.0926366      0.00113832     7.63986e-05    
0.102388       0.00126651     8.05855e-05    
0.112139       0.00122036     7.91037e-05    
0.12189        0.00148699     8.73186e-05    
0.131641       0.00153827     8.88113e-05    
0.141393       0.00176901     9.52394e-05    
0.151144       0.0019536      0.000100085    
0.160895       0.00206641     0.000102934    
0.170646       0.00213307     0.000104581    
0.180398       0.00217921     0.000105706    
0.190149       0.00243559     0.000111751    
0.1999         0.00232791     0.000109253    
0.209651       0.0028099      0.000120032    
0.219402       0.00262531     0.000116022    
0.229154       0.00289707     0.000121879    
0.238905       0.00296373     0.000123273    
0.248656       0.00322011     0.000128494    
0.258407       0.00313294     0.000126743    
0.268159       0.00311243     0.000126328    
0.27791        0.00303039     0.000124652    
0.287661       0.00387644     0.000140982    
0.297412       0.00375338     0.000138726    
0.307163       0.00378414     0.000139294    
0.316915       0.00378414     0.000139294    
0.326666       0.00403539     0.000144026    
0.336417       0.00409692     0.000144936    
0.346168       0.00408667     0.000144754    
0.35592        0.00466096     0.000154591    
0.365671       0.00451738     0.000152191    
0.375422       0.00473274     0.000155776    
0.385173       0.0045584      0.000152881    
0.394924       0.00463019     0.00015408     
0.404676       0.00503014     0.000160596    
0.414427       0.00474812     0.000156029    
0.424178       0.00512244     0.000162063    
0.433929       0.00507116     0.00016125     
0.443681       0.00494297     0.000159199    
0.453432       0.00514295     0.000162387    
0.463183       0.00541983     0.000166701    
0.472934       0.00535318     0.000165672    
0.482685       0.00579415     0.000172361    
0.492437       0.00561981     0.000169748    
0.502188       0.00556341     0.000168894    
0.511939       0.00571211     0.000171136    
0.52169        0.00577364     0.000172055    
0.531441       0.00608129     0.00017658     
0.541193       0.00583517     0.00017297     
0.550944       0.00616846     0.000177841    
0.560695       0.00653252     0.000183013    
0.570446       0.00618897     0.000178136    
0.580198       0.00628639     0.000179532    
0.589949       0.00638894     0.000180991    
0.5997         0.00656841     0.000183515    
0.609451       0.00660943     0.000184087    
0.619202       0.00691708     0.000188323    
0.628954       0.00669147     0.000185226    
0.638705       0.00686068     0.000187553    
0.648456       0.00678889     0.00018657     
0.658207       0.00703502     0.000189921    
0.667959       0.00751188     0.000196252    
0.67771        0.0076452      0.000197986    
0.687461       0.00712219     0.000191094    
0.697212       0.00717346     0.000191781    
0.706963       0.00739907     0.000194773    
0.716715       0.00720423     0.000192328    
0.726466       0.00723499     0.000192601    
0.736217       0.00713757     0.0001913      
0.745968       0.00749137     0.000195984    
0.75572        0.00723499     0.000192601    
0.765471       0.00750163     0.000196118    
0.775222       0.00745035     0.000195447    
0.784973       0.00764007     0.000197919    
0.794724       0.00747599     0.000195783    
0.804476       0.0079067      0.000201343    
0.814227       0.00780928     0.000200099    
0.823978       0.00756828     0.000196987    
0.833729       0.00757341     0.000197054    
0.843481       0.00748112     0.00019585     
0.853232       0.00741958     0.000195043    
0.862983       0.0079426      0.000201799    
0.872734       0.00838357     0.000207325    
0.882485       0.00796823     0.000202125    
0.892237       0.00782979     0.000200361    
0.901988       0.0081477      0.000204388    
0.911739       0.00798362     0.00020245     
0.92149        0.00800925     0.000202774    
0.931242       0.00819897     0.00020503     
0.940993       0.00754265     0.000196653    
0.950744       0.00795798     0.000201995    
0.960495       0.00780415     0.000200033    
0.970246       0.00803489     0.000202968    
0.979998       0.00814257     0.000204324    
0.989749       0.00815795     0.000204517    
0.9995         0.00793747     0.000201734    
1.00925        0.00801438     0.000202709    
1.019          0.00758879     0.000197254    
1.02875        0.00792721     0.000201604    
1.0385         0.00774262     0.000199243    
1.04826        0.00771698     0.000198913    
1.05801        0.00769135     0.000198582    
1.06776        0.00765545     0.000198118    
1.07751        0.00796823     0.000202125    
1.08726        0.00781441     0.000200164    
1.09701        0.00773237     0.000199111    
1.10676        0.00759392     0.000197321    
1.11651        0.0077016      0.000198715    
1.12627        0.00782979     0.000200361    
1.13602        0.00769647     0.000198648    
1.14577        0.00761956     0.000197653    
1.15552        0.00758879     0.000197254    
1.16527        0.00741446     0.00019511     
1.17502        0.00761443     0.000197587    
1.18477        0.00750675     0.000196185    
1.19452        0.00754265     0.000196653    
1.20428        0.00733242     0.000193894    
1.21403        0.00722474     0.000192601    
1.22378        0.0077016      0.000198715    
1.23353        0.00722986     0.000192533    
1.24328        0.00716321     0.000191644    
1.25303        0.00720935     0.00019226     
1.26278        0.00727089     0.000193078    
1.27253        0.00698374     0.000189228    
1.28229        0.00692221     0.000188392    
1.29204        0.00692734     0.000188462    
1.30179        0.0069017      0.000188113    
1.31154        0.00667609     0.000185013    
1.32129        0.00712219     0.000191094    
1.33104        0.00657354     0.000183587    
1.34079        0.00661968     0.00018423     
1.35054        0.00673762     0.000185864    
1.3603         0.00642996     0.000181571    
1.37005        0.00641458     0.000181354    
1.3798         0.00640945     0.000181281    
1.38955        0.00638382     0.000180918    
1.3993         0.00655815     0.000183372    
1.40905        0.0058967      0.000173879    
1.4188         0.00617359     0.000177914    
1.42855        0.00631203     0.000179898    
1.4383         0.00585568     0.000173273    
1.44806        0.00608642     0.000176654    
1.45781        0.00577876     0.000172132    
1.46756        0.00607104     0.000176431    
1.47731        0.00583004     0.000172894    
1.48706        0.00606078     0.000176282    
1.49681        0.00567109     0.000170521    
1.50656        0.00571211     0.000171136    
1.51631        0.00514295     0.000162387    
1.52607        0.00553777     0.000168504    
1.53582        0.00581466     0.000172665    
1.54557        0.00555315     0.000168738    
1.55532        0.00521473     0.000163516    
1.56507        0.00536856     0.00016591     
1.57482        0.00527114     0.000164398    
1.58457        0.00499937     0.000160104    
1.59432        0.00490195     0.000158537    
1.60408        0.00504039     0.00016076     
1.61383        0.00491221     0.000158702    
1.62358        0.00492246     0.000158868    
1.63333        0.00471223     0.000155439    
1.64308        0.00481991     0.000157204    
1.65283        0.00474812     0.000156029    
1.66258        0.00458917     0.000153396    
