p (GeV)        dN/dp          error          
0.00387561     0              0              
0.0116268      6.4506e-06     6.4506e-06     
0.0193781      1.29012e-05    9.12252e-06    
0.0271293      0              0              
0.0348805      6.4506e-06     6.4506e-06     
0.0426317      0              0              
0.0503829      1.29012e-05    9.12252e-06    
0.0581341      0              0              
0.0658854      6.4506e-06     6.4506e-06     
0.0736366      2.58024e-05    1.29012e-05    
0.0813878      1.29012e-05    9.12252e-06    
0.089139       3.87036e-05    1.58007e-05    
0.0968902      5.80554e-05    1.93518e-05    
0.104641       1.29012e-05    9.12252e-06    
0.112393       6.4506e-05     2.03986e-05    
0.120144       4.51542e-05    1.70667e-05    
0.127895       7.74072e-05    2.23455e-05    
0.135646       0.00010321     2.58024e-05    
0.143398       8.38578e-05    2.3258e-05     
0.151149       9.6759e-05     2.4983e-05     
0.1589         9.03084e-05    2.41359e-05    
0.166651       0.00010321     2.58024e-05    
0.174402       0.00010321     2.58024e-05    
0.182154       0.000129012    2.88479e-05    
0.189905       0.000141913    3.0256e-05     
0.197656       0.000161265    3.2253e-05     
0.205407       0.000180617    3.41333e-05    
0.213159       0.000161265    3.2253e-05     
0.22091        0.000206419    3.64901e-05    
0.228661       0.000245123    3.97641e-05    
0.236412       0.000180617    3.41333e-05    
0.244163       0.000264474    4.13039e-05    
0.251915       0.000238672    3.92374e-05    
0.259666       0.000238672    3.92374e-05    
0.267417       0.000290277    4.32719e-05    
0.275168       0.000303178    4.4223e-05     
0.28292        0.00032253     4.56126e-05    
0.290671       0.000303178    4.4223e-05     
0.298422       0.000380585    4.95479e-05    
0.306173       0.000387036    4.9966e-05     
0.313924       0.000419289    5.20063e-05    
0.321676       0.000380585    4.95479e-05    
0.329427       0.000412838    5.16047e-05    
0.337178       0.000477344    5.549e-05      
0.344929       0.00043219     5.28003e-05    
0.352681       0.00043219     5.28003e-05    
0.360432       0.00054185     5.91206e-05    
0.368183       0.0005354      5.87676e-05    
0.375934       0.00054185     5.91206e-05    
0.383685       0.000599906    6.22072e-05    
0.391437       0.000580554    6.11956e-05    
0.399188       0.00065151     6.48275e-05    
0.406939       0.000657961    6.51477e-05    
0.41469        0.000657961    6.51477e-05    
0.422441       0.00075472     6.97737e-05    
0.430193       0.000845028    7.38302e-05    
