pT (GeV)       dN/dpt         error          
0.00487561     2.05103e-05    1.02551e-05    
0.0146268      0.000102551    2.29312e-05    
0.024378       0.000123062    2.51198e-05    
0.0341293      0.00018972     3.11897e-05    
0.0438805      0.000225613    3.40124e-05    
0.0536317      0.000282016    3.8027e-05     
0.0633829      0.000287144    3.83711e-05    
0.0731341      0.000476863    4.94483e-05    
0.0828854      0.000430715    4.69948e-05    
0.0926366      0.000394822    4.49941e-05    
0.102388       0.000451226    4.81007e-05    
0.112139       0.000687094    5.93556e-05    
0.12189        0.00061018     5.59349e-05    
0.131641       0.000717859    6.06699e-05    
0.141393       0.000887068    6.74423e-05    
0.151144       0.000769135    6.27993e-05    
0.160895       0.000835793    6.54641e-05    
0.170646       0.000861431    6.64605e-05    
0.180398       0.000871686    6.6855e-05     
0.190149       0.000984492    7.10493e-05    
0.1999         0.000999875    7.16022e-05    
0.209651       0.00110755     7.53591e-05    
0.219402       0.00110755     7.53591e-05    
0.229154       0.00131778     8.22006e-05    
0.238905       0.00109217     7.48339e-05    
0.248656       0.00138957     8.44098e-05    
0.258407       0.00131778     8.22006e-05    
0.268159       0.00133829     8.28378e-05    
0.27791        0.00149212     8.7469e-05     
0.287661       0.00154852     8.91069e-05    
0.297412       0.00169722     9.32871e-05    
0.307163       0.00172799     9.41288e-05    
0.316915       0.00165108     9.20101e-05    
0.326666       0.00176388     9.51013e-05    
0.336417       0.0016921      9.31461e-05    
0.346168       0.00181516     9.64737e-05    
0.35592        0.00175875     9.4963e-05     
0.365671       0.00188694     9.83628e-05    
0.375422       0.00182541     9.67458e-05    
0.385173       0.00203052     0.000102036    
0.394924       0.00205103     0.00010255     
0.404676       0.00206641     0.000102934    
0.414427       0.00211768     0.000104203    
0.424178       0.00220485     0.000106326    
0.433929       0.00211768     0.000104203    
0.443681       0.00239457     0.000110806    
0.453432       0.00223562     0.000107066    
0.463183       0.00209717     0.000103697    
0.472934       0.00251251     0.000113502    
0.482685       0.00229715     0.000108529    
0.492437       0.00229202     0.000108408    
0.502188       0.0024561      0.000112221    
0.511939       0.00255865     0.00011454     
0.52169        0.00238944     0.000110688    
0.531441       0.00254327     0.000114195    
0.541193       0.0025484      0.00011431     
0.550944       0.00264582     0.000116474    
0.560695       0.00247661     0.000112688    
0.570446       0.00251763     0.000113618    
0.580198       0.002492       0.000113038    
0.589949       0.00258429     0.000115112    
0.5997         0.00292271     0.000122417    
0.609451       0.00291758     0.00012231     
0.619202       0.00282016     0.00012025     
0.628954       0.00306116     0.000125283    
0.638705       0.0030509      0.000125073    
0.648456       0.00285093     0.000120904    
0.658207       0.00304065     0.000124862    
0.667959       0.00296886     0.00012338     
0.67771        0.00294322     0.000122846    
0.687461       0.00311243     0.000126328    
0.697212       0.00290733     0.000122095    
0.706963       0.00305603     0.000125178    
0.716715       0.00311243     0.000126328    
0.726466       0.00301501     0.000124335    
0.736217       0.00345085     0.000133018    
0.745968       0.00318934     0.000127879    
0.75572        0.00318934     0.000127879    
0.765471       0.00327651     0.000129615    
0.775222       0.0031432      0.000126951    
0.784973       0.00324575     0.000129005    
0.794724       0.00336368     0.000131328    
0.804476       0.00326113     0.00012931     
0.814227       0.00311756     0.000126432    
0.823978       0.00337906     0.000131627    
0.833729       0.00331241     0.000130323    
0.843481       0.00336368     0.000131328    
0.853232       0.00345085     0.000133018    
0.862983       0.00328164     0.000129716    
0.872734       0.00335855     0.000131227    
0.882485       0.00348674     0.000133708    
0.892237       0.00343034     0.000132622    
0.901988       0.00331753     0.000130424    
0.911739       0.00342008     0.000132424    
0.92149        0.00344572     0.000132919    
0.931242       0.00337394     0.000131528    
0.940993       0.00322011     0.000128494    
0.950744       0.00328164     0.000129716    
0.960495       0.0032919      0.000129919    
0.970246       0.00343034     0.000132622    
0.979998       0.00348162     0.00013361     
0.989749       0.00338419     0.000131727    
0.9995         0.00325088     0.000129107    
1.00925        0.00322011     0.000128494    
1.019          0.0034406      0.00013282     
1.02875        0.00346623     0.000133314    
1.0385         0.00371748     0.000138061    
1.04826        0.00336881     0.000131428    
1.05801        0.00324062     0.000128903    
1.06776        0.00326626     0.000129412    
1.07751        0.00358929     0.00013566     
1.08726        0.00333292     0.000130726    
1.09701        0.00347649     0.000133511    
1.10676        0.00346623     0.000133314    
1.11651        0.00312781     0.00012664     
1.12627        0.00332266     0.000130524    
1.13602        0.00325088     0.000129107    
1.14577        0.00328677     0.000129817    
1.15552        0.00336881     0.000131428    
1.16527        0.00315858     0.000127261    
1.17502        0.00312269     0.000126536    
1.18477        0.00334317     0.000130927    
1.19452        0.00321498     0.000128392    
1.20428        0.00324575     0.000129005    
1.21403        0.00298424     0.000123699    
1.22378        0.00320473     0.000128187    
1.23353        0.00318934     0.000127879    
1.24328        0.00307654     0.000125597    
1.25303        0.00288169     0.000121555    
1.26278        0.00291758     0.00012231     
1.27253        0.00303552     0.000124757    
1.28229        0.00297399     0.000123486    
1.29204        0.00323037     0.000128699    
1.30179        0.00291246     0.000122202    
1.31154        0.00323549     0.000128801    
1.32129        0.00298937     0.000123805    
1.33104        0.00283554     0.000120578    
1.34079        0.00285093     0.000120904    
1.35054        0.0028099      0.000120032    
1.3603         0.0028099      0.000120032    
1.37005        0.00290733     0.000122095    
1.3798         0.00259455     0.00011534     
1.38955        0.00287656     0.000121447    
1.3993         0.00272274     0.000118155    
1.40905        0.00274325     0.000118599    
1.4188         0.00268684     0.000117374    
1.42855        0.00258942     0.000115226    
1.4383         0.00247661     0.000112688    
1.44806        0.00256891     0.000114769    
1.45781        0.00273299     0.000118377    
1.46756        0.00247149     0.000112572    
1.47731        0.00253302     0.000113964    
1.48706        0.00243047     0.000111634    
1.49681        0.00252276     0.000113733    
1.50656        0.00229202     0.000108408    
1.51631        0.00244585     0.000111986    
1.52607        0.00259967     0.000115454    
1.53582        0.00238432     0.000110569    
1.54557        0.00252789     0.000113849    
1.55532        0.00213819     0.000104707    
1.56507        0.00234842     0.000109733    
1.57482        0.00224075     0.000107188    
1.58457        0.00220998     0.00010645     
1.59432        0.00214332     0.000104832    
1.60408        0.00209205     0.000103571    
1.61383        0.00226126     0.000107678    
1.62358        0.00208179     0.000103316    
1.63333        0.0020459      0.000102422    
1.64308        0.00227151     0.000107922    
1.65283        0.00191258     9.90288e-05    
1.66258        0.00200488     0.00010139     
1.67233        0.00202539     0.000101907    
1.68209        0.00202026     0.000101778    
1.69184        0.00193822     9.96903e-05    
1.70159        0.00208692     0.000103444    
1.71134        0.0019536      0.000100085    
1.72109        0.00207666     0.000103189    
1.73084        0.00184592     9.72878e-05    
1.74059        0.00193822     9.96903e-05    
1.75034        0.00181003     9.63373e-05    
1.7601         0.00165108     9.20101e-05    
1.76985        0.00175363     9.48245e-05    
1.7796         0.00183567     9.70172e-05    
1.78935        0.0016921      9.31461e-05    
1.7991         0.00152289     8.83662e-05    
1.80885        0.0014511      8.62584e-05    
1.8186         0.00159467     9.04249e-05    
1.82835        0.00165108     9.20101e-05    
1.8381         0.00144597     8.61058e-05    
1.84786        0.00161005     9.08599e-05    
1.85761        0.00166646     9.24377e-05    
1.86736        0.0013024      8.17194e-05    
1.87711        0.0015075      8.79188e-05    
1.88686        0.0013947      8.45654e-05    
1.89661        0.0014511      8.62584e-05    
1.90636        0.00146136     8.65626e-05    
1.91611        0.00133317     8.26789e-05    
1.92587        0.00141521     8.51849e-05    
1.93562        0.00129727     8.15584e-05    
1.94537        0.00134855     8.31546e-05    
1.95512        0.00143572     8.58e-05       
1.96487        0.00127676     8.09111e-05    
1.97462        0.00102551     7.25143e-05    
1.98437        0.00110755     7.53591e-05    
1.99412        0.000953727    6.99303e-05    
2.00388        0.00116396     7.72541e-05    
2.01363        0.00116396     7.72541e-05    
2.02338        0.00110243     7.51844e-05    
2.03313        0.00110243     7.51844e-05    
2.04288        0.000974237    7.06783e-05    
2.05263        0.00102551     7.25143e-05    
2.06238        0.00101013     7.19684e-05    
2.07213        0.00107166     7.41279e-05    
2.08189        0.000948599    6.97421e-05    
2.09164        0.000994747    7.14184e-05    
2.10139        0.00101526     7.21509e-05    
2.11114        0.00096911     7.0492e-05     
2.12089        0.000928089    6.8984e-05     
2.13064        0.000999875    7.16022e-05    
2.14039        0.0007999      6.4043e-05     
2.15014        0.00101013     7.19684e-05    
2.1599         0.000825538    6.50612e-05    
2.16965        0.000881941    6.72471e-05    
2.1794         0.000856303    6.62624e-05    
2.18915        0.000912706    6.84099e-05    
2.1989         0.000856303    6.62624e-05    
2.20865        0.000733242    6.13165e-05    
2.2184         0.000707604    6.0235e-05     
2.22815        0.000774262    6.30083e-05    
2.2379         0.000651201    5.77845e-05    
2.24766        0.000738369    6.15305e-05    
2.25741        0.000769135    6.27993e-05    
2.26716        0.000758879    6.23793e-05    
2.27691        0.000640945    5.73277e-05    
2.28666        0.000707604    6.0235e-05     
2.29641        0.00077939     6.32166e-05    
2.30616        0.000769135    6.27993e-05    
2.31591        0.000702476    6.00164e-05    
2.32567        0.000666583    5.8463e-05     
2.33542        0.000671711    5.86875e-05    
2.34517        0.000548649    5.30398e-05    
2.35492        0.00061018     5.59349e-05    
2.36467        0.000548649    5.30398e-05    
2.37442        0.000574287    5.42649e-05    
2.38417        0.000481991    4.97135e-05    
2.39392        0.000605052    5.56994e-05    
2.40368        0.000502501    5.07602e-05    
2.41343        0.000461481    4.86442e-05    
2.42318        0.000456353    4.83732e-05    
2.43293        0.000533267    5.2291e-05     
2.44268        0.000528139    5.2039e-05     
2.45243        0.000517884    5.15312e-05    
2.46218        0.000523011    5.17857e-05    
2.47193        0.00056916     5.40221e-05    
2.48169        0.000430715    4.69948e-05    
2.49144        0.000466608    4.89137e-05    
2.50119        0.000492246    5.02395e-05    
2.51094        0.000548649    5.30398e-05    
2.52069        0.000364057    4.32055e-05    
2.53044        0.000456353    4.83732e-05    
2.54019        0.000348674    4.22829e-05    
2.54994        0.000328164    4.10204e-05    
2.5597         0.000394822    4.49941e-05    
2.56945        0.00042046     4.6432e-05     
2.5792         0.000323037    4.06987e-05    
2.58895        0.000312781    4.00475e-05    
2.5987         0.000348674    4.22829e-05    
2.60845        0.000389695    4.4701e-05     
2.6182         0.000374312    4.38098e-05    
2.62795        0.000374312    4.38098e-05    
2.63771        0.000282016    3.8027e-05     
2.64746        0.000302526    3.93855e-05    
2.65721        0.000246123    3.55248e-05    
2.66696        0.000292271    3.87122e-05    
2.67671        0.000282016    3.8027e-05     
2.68646        0.000282016    3.8027e-05     
2.69621        0.000282016    3.8027e-05     
2.70596        0.000333292    4.13397e-05    
2.71571        0.000261506    3.66181e-05    
2.72547        0.000348674    4.22829e-05    
2.73522        0.000261506    3.66181e-05    
2.74497        0.000220485    3.36236e-05    
2.75472        0.000292271    3.87122e-05    
2.76447        0.00018972     3.11897e-05    
2.77422        0.000215358    3.32304e-05    
2.78397        0.000251251    3.58929e-05    
2.79372        0.000194847    3.16084e-05    
2.80348        0.000215358    3.32304e-05    
2.81323        0.000179465    3.0335e-05     
2.82298        0.000256378    3.62573e-05    
2.83273        0.00016921     2.94556e-05    
2.84248        0.000133317    2.61455e-05    
2.85223        0.000205103    3.24295e-05    
2.86198        0.000179465    3.0335e-05     
2.87173        0.000220485    3.36236e-05    
2.88149        0.000158954    2.8549e-05     
2.89124        0.000143572    2.71325e-05    
2.90099        0.000128189    2.56378e-05    
2.91074        0.000143572    2.71325e-05    
2.92049        0.00016921     2.94556e-05    
2.93024        0.000133317    2.61455e-05    
2.93999        0.000112806    2.40504e-05    
2.94974        0.000148699    2.76128e-05    
2.9595         0.000148699    2.76128e-05    
2.96925        0.000107679    2.34974e-05    
2.979          0.000133317    2.61455e-05    
2.98875        0.000148699    2.76128e-05    
2.9985         0.000128189    2.56378e-05    
3.00825        7.17859e-05    1.91856e-05    
3.018          0.000102551    2.29312e-05    
3.02775        0.000153827    2.80848e-05    
3.03751        9.22961e-05    2.17544e-05    
3.04726        9.74237e-05    2.23505e-05    
3.05701        0.000128189    2.56378e-05    
3.06676        0.000107679    2.34974e-05    
3.07651        0.000107679    2.34974e-05    
3.08626        0.000117934    2.45909e-05    
3.09601        9.22961e-05    2.17544e-05    
3.10576        7.69135e-05    1.9859e-05     
3.11551        0.000112806    2.40504e-05    
3.12527        8.2041e-05     2.05102e-05    
3.13502        7.69135e-05    1.9859e-05     
3.14477        0.000123062    2.51198e-05    
3.15452        6.15308e-05    1.77624e-05    
3.16427        9.74237e-05    2.23505e-05    
3.17402        5.64032e-05    1.70062e-05    
3.18377        6.66583e-05    1.84877e-05    
3.19352        9.22961e-05    2.17544e-05    
3.20328        8.2041e-05     2.05102e-05    
3.21303        8.2041e-05     2.05102e-05    
3.22278        8.2041e-05     2.05102e-05    
3.23253        5.64032e-05    1.70062e-05    
3.24228        7.17859e-05    1.91856e-05    
3.25203        6.15308e-05    1.77624e-05    
3.26178        6.15308e-05    1.77624e-05    
3.27153        9.22961e-05    2.17544e-05    
3.28129        8.71686e-05    2.11415e-05    
3.29104        7.17859e-05    1.91856e-05    
3.30079        6.15308e-05    1.77624e-05    
3.31054        5.12756e-05    1.62148e-05    
3.32029        4.10205e-05    1.45029e-05    
3.33004        6.15308e-05    1.77624e-05    
3.33979        4.61481e-05    1.53827e-05    
3.34954        4.61481e-05    1.53827e-05    
3.3593         2.56378e-05    1.14656e-05    
3.36905        4.10205e-05    1.45029e-05    
3.3788         2.05103e-05    1.02551e-05    
3.38855        4.61481e-05    1.53827e-05    
3.3983         3.07654e-05    1.25599e-05    
3.40805        4.61481e-05    1.53827e-05    
3.4178         4.61481e-05    1.53827e-05    
3.42755        3.58929e-05    1.35663e-05    
3.43731        2.56378e-05    1.14656e-05    
3.44706        4.61481e-05    1.53827e-05    
3.45681        3.07654e-05    1.25599e-05    
3.46656        2.05103e-05    1.02551e-05    
3.47631        5.12756e-05    1.62148e-05    
3.48606        6.15308e-05    1.77624e-05    
3.49581        4.61481e-05    1.53827e-05    
3.50556        5.12756e-05    1.62148e-05    
3.51531        3.07654e-05    1.25599e-05    
3.52507        6.15308e-05    1.77624e-05    
3.53482        3.07654e-05    1.25599e-05    
3.54457        5.64032e-05    1.70062e-05    
3.55432        2.05103e-05    1.02551e-05    
