pT (GeV)       dN/dpt         error          
0.00393956     0.00677105     0.000207282    
0.0118187      0.0206812      0.000362242    
0.0196978      0.0337474      0.000462709    
0.027577       0.0473403      0.000548146    
0.0354561      0.0604572      0.000619381    
0.0433352      0.075516       0.000692222    
0.0512143      0.0871733      0.00074373     
0.0590935      0.0994843      0.000794496    
0.0669726      0.112741       0.00084589     
0.0748517      0.127019       0.000897621    
0.0827309      0.140866       0.000945544    
0.09061        0.15312        0.000986042    
0.0984891      0.166294       0.00102722     
0.106368       0.180439       0.00106998     
0.114247       0.192312       0.00110457     
0.122127       0.204737       0.00114002     
0.130006       0.212809       0.00116202     
0.137885       0.227138       0.00120044     
0.145764       0.240153       0.00123457     
0.153643       0.250465       0.00126063     
0.161522       0.265454       0.00129784     
0.169401       0.278686       0.00133033     
0.17728        0.287608       0.00135081     
0.18516        0.296391       0.00137181     
0.193039       0.307737       0.00139789     
0.200918       0.318036       0.00142039     
0.208797       0.328323       0.0014431      
0.216676       0.339359       0.00146786     
0.224555       0.346682       0.00148303     
0.232434       0.361575       0.00151442     
0.240313       0.37084        0.00153412     
0.248193       0.375727       0.00154418     
0.256072       0.386743       0.00156652     
0.263951       0.393254       0.00157965     
0.27183        0.404531       0.00160188     
0.279709       0.410305       0.0016138      
0.287588       0.419101       0.00163104     
0.295467       0.427477       0.00164717     
0.303347       0.437009       0.00166509     
0.311226       0.441553       0.00167419     
0.319105       0.449986       0.00168989     
0.326984       0.457347       0.00170328     
0.334863       0.462069       0.00171243     
0.342742       0.470667       0.00172822     
0.350621       0.475935       0.00173807     
0.3585         0.477635       0.00174087     
0.36638        0.485777       0.00175623     
0.374259       0.48848        0.00176127     
0.382138       0.494173       0.00177103     
0.390017       0.499763       0.00178031     
0.397896       0.50187        0.00178509     
0.405775       0.510646       0.00180012     
0.413654       0.510716       0.00179988     
0.421533       0.512588       0.0018034      
0.429413       0.514765       0.00180775     
0.437292       0.522513       0.00182121     
0.445171       0.524918       0.00182463     
0.45305        0.527876       0.00183034     
0.460929       0.529602       0.00183342     
0.468808       0.529925       0.00183413     
0.476687       0.531747       0.00183685     
0.484566       0.534507       0.00184149     
0.492446       0.535154       0.00184308     
0.500325       0.535744       0.00184378     
0.508204       0.539698       0.0018504      
0.516083       0.537997       0.00184799     
0.523962       0.541069       0.00185295     
0.531841       0.542166       0.00185462     
0.53972        0.540364       0.00185132     
0.5476         0.537674       0.001847       
0.555479       0.538841       0.00184903     
0.563358       0.540447       0.00185176     
0.571237       0.536779       0.00184519     
0.579116       0.535249       0.00184252     
0.586995       0.535732       0.0018438      
0.594874       0.5324         0.00183861     
0.602753       0.530915       0.00183517     
0.610633       0.53181        0.00183631     
0.618512       0.53228        0.00183807     
0.626391       0.525756       0.0018263      
0.63427        0.527736       0.00183013     
0.642149       0.52351        0.00182307     
0.650028       0.518198       0.00181367     
0.657907       0.518883       0.00181437     
0.665786       0.517754       0.0018127      
0.673666       0.50847        0.0017964      
0.681545       0.510551       0.00179998     
0.689424       0.50437        0.00178902     
0.697303       0.501388       0.0017839      
0.705182       0.49845        0.00177873     
0.713061       0.497847       0.00177732     
0.72094        0.493576       0.00177029     
0.72882        0.488176       0.00175954     
0.736699       0.485174       0.00175469     
0.744578       0.486183       0.00175668     
0.752457       0.47794        0.00174136     
0.760336       0.473948       0.00173438     
0.768215       0.472774       0.00173194     
0.776094       0.466949       0.00172155     
0.783973       0.4604         0.00170936     
0.791853       0.458191       0.00170484     
0.799732       0.451382       0.00169261     
0.807611       0.450881       0.00169135     
0.81549        0.443482       0.00167811     
0.823369       0.43982        0.0016704      
0.831248       0.437643       0.00166655     
0.839127       0.431774       0.00165576     
0.847006       0.427166       0.00164613     
0.854886       0.424254       0.00164084     
0.862765       0.419964       0.00163229     
0.870644       0.412698       0.00161867     
0.878523       0.407596       0.00160782     
0.886402       0.40981        0.00161251     
0.894281       0.398331       0.00158968     
0.90216        0.395945       0.00158517     
0.91004        0.390214       0.00157378     
0.917919       0.385208       0.00156335     
0.925798       0.380638       0.00155403     
0.933677       0.376273       0.00154491     
0.941556       0.372522       0.00153749     
0.949435       0.366303       0.00152471     
0.957314       0.362254       0.00151665     
0.965193       0.360275       0.00151181     
0.973073       0.353097       0.00149719     
0.980952       0.347164       0.00148376     
0.988831       0.344568       0.00147845     
0.99671        0.342392       0.00147363     
1.00459        0.334707       0.00145794     
1.01247        0.329764       0.00144678     
1.02035        0.325785       0.00143773     
1.02823        0.324268       0.00143432     
1.03611        0.317706       0.00141969     
1.04398        0.310999       0.00140478     
1.05186        0.31084        0.00140479     
1.05974        0.30504        0.00139138     
1.06762        0.300388       0.00138078     
