pT (GeV)       dN/dpt         error          
0.00393827     0.00721763     0.000214044    
0.0118148      0.0210752      0.000365846    
0.0196914      0.0337394      0.000462818    
0.0275679      0.0477494      0.000550525    
0.0354444      0.0619307      0.000626979    
0.043321       0.0738839      0.000684881    
0.0511975      0.0874686      0.000745055    
0.0590741      0.103726       0.000811414    
0.0669506      0.114587       0.000852914    
0.0748272      0.128178       0.000902162    
0.0827037      0.140728       0.00094511     
0.0905803      0.155093       0.000992358    
0.0984568      0.167199       0.00103022     
0.106333       0.180739       0.00107124     
0.11421        0.192896       0.00110642     
0.122086       0.204569       0.00113935     
0.129963       0.21644        0.00117209     
0.13784        0.231396       0.00121194     
0.145716       0.240473       0.0012353      
0.153593       0.25289        0.00126681     
0.161469       0.267859       0.00130418     
0.169346       0.274841       0.0013209      
0.177222       0.287017       0.00134998     
0.185099       0.299636       0.00137923     
0.192975       0.31145        0.00140579     
0.200852       0.322813       0.0014314      
0.208728       0.331903       0.00145157     
0.216605       0.342161       0.00147393     
0.224482       0.352394       0.00149574     
0.232358       0.361561       0.0015149      
0.240235       0.370048       0.00153285     
0.248111       0.380313       0.00155383     
0.255988       0.39052        0.00157445     
0.263864       0.396741       0.00158709     
0.271741       0.406143       0.00160561     
0.279617       0.415347       0.00162436     
0.287494       0.424806       0.0016419      
0.29537        0.43062        0.0016532      
0.303247       0.438339       0.00166781     
0.311123       0.446389       0.00168266     
0.319          0.457028       0.00170304     
0.326877       0.4552         0.00169987     
0.334753       0.46535        0.0017187      
0.34263        0.473818       0.00173471     
0.350506       0.47717        0.00174034     
0.358383       0.486362       0.00175699     
0.366259       0.489193       0.00176268     
0.374136       0.497496       0.00177707     
0.382012       0.500981       0.00178339     
0.389889       0.505539       0.00179149     
0.397765       0.507062       0.00179425     
0.405642       0.513468       0.00180532     
0.413519       0.518159       0.00181293     
0.421395       0.519035       0.0018148      
0.429272       0.5204         0.00181761     
0.437148       0.524602       0.00182437     
0.445025       0.526709       0.00182857     
0.452901       0.534181       0.00184148     
0.460778       0.532112       0.00183787     
0.468654       0.531661       0.00183677     
0.476531       0.536669       0.00184581     
0.484407       0.538726       0.00184908     
0.492284       0.546179       0.00186159     
0.500161       0.541633       0.00185393     
0.508037       0.53792        0.00184746     
0.515914       0.542484       0.00185559     
0.52379        0.544496       0.00185972     
0.531667       0.543201       0.00185657     
0.539543       0.543678       0.00185722     
0.54742        0.542052       0.00185471     
0.555296       0.540472       0.00185213     
0.563173       0.541868       0.001855       
0.571049       0.537749       0.00184772     
0.578926       0.53559        0.00184377     
0.586803       0.539951       0.00185155     
0.594679       0.536162       0.00184534     
0.602556       0.538148       0.00184853     
0.610432       0.533076       0.00183933     
0.618309       0.531991       0.0018376      
0.626185       0.530683       0.00183584     
0.634062       0.52777        0.00183071     
0.641938       0.527351       0.00182952     
0.649815       0.523396       0.00182293     
0.657691       0.521504       0.00181966     
0.665568       0.519378       0.00181609     
0.673445       0.511912       0.00180279     
0.681321       0.511055       0.00180084     
0.689198       0.508097       0.00179607     
0.697074       0.505304       0.00179112     
0.704951       0.503889       0.00178838     
0.712827       0.501172       0.00178372     
0.720704       0.498664       0.00177916     
0.72858        0.492729       0.00176878     
0.736457       0.485892       0.00175592     
0.744333       0.486279       0.0017571      
0.75221        0.480763       0.00174674     
0.760086       0.476637       0.00173928     
0.767963       0.474098       0.00173482     
0.77584        0.471317       0.00173002     
0.783716       0.467718       0.00172341     
0.791593       0.460088       0.001709       
0.799469       0.456977       0.00170342     
0.807346       0.45228        0.00169444     
0.815222       0.449937       0.00169015     
0.823099       0.444059       0.00167913     
0.830975       0.439292       0.00167062     
0.838852       0.437635       0.00166693     
0.846728       0.429884       0.00165199     
0.854605       0.42838        0.0016489      
0.862482       0.424164       0.00164114     
0.870358       0.415601       0.00162433     
0.878235       0.412783       0.00161887     
0.886111       0.411119       0.00161498     
0.893988       0.404276       0.00160197     
0.901864       0.398544       0.00159067     
0.909741       0.395097       0.00158351     
0.917617       0.387518       0.00156857     
0.925494       0.387378       0.00156798     
0.93337        0.380186       0.001553       
