pT (GeV)       dN/dpt         error          
0.00393956     0.0146653      0.000305311    
0.0118187      0.0434756      0.00052524     
0.0196978      0.070966       0.000671067    
0.027577       0.100874       0.00080032     
0.0354561      0.128168       0.000902066    
0.0433352      0.158215       0.00100227     
0.0512143      0.185198       0.00108396     
0.0590935      0.213875       0.00116526     
0.0669726      0.241035       0.00123692     
0.0748517      0.270049       0.00130957     
0.0827309      0.297032       0.00137326     
0.09061        0.324268       0.00143479     
0.0984891      0.355566       0.00150217     
0.106368       0.381603       0.00155588     
0.114247       0.408122       0.00160953     
0.122127       0.43263        0.0016568      
0.130006       0.457925       0.00170496     
0.137885       0.483822       0.00175233     
0.145764       0.508603       0.00179652     
0.153643       0.535015       0.00184201     
0.161522       0.559205       0.00188363     
0.169401       0.584449       0.00192552     
0.17728        0.607561       0.00196395     
0.18516        0.631466       0.00200111     
0.193039       0.659083       0.00204555     
0.200918       0.675811       0.00207028     
0.208797       0.70412        0.00211362     
0.216676       0.725562       0.002146       
0.224555       0.74262        0.00217047     
0.232434       0.765414       0.00220368     
0.240313       0.779528       0.00222435     
0.248193       0.802119       0.00225682     
0.256072       0.819722       0.00228019     
0.263951       0.836203       0.00230334     
0.27183        0.857817       0.00233286     
0.279709       0.874113       0.00235543     
0.287588       0.887871       0.00237389     
0.295467       0.910418       0.00240301     
0.303347       0.923243       0.00242024     
0.311226       0.938384       0.0024402      
0.319105       0.955975       0.00246343     
0.326984       0.970589       0.00248138     
0.334863       0.981726       0.00249635     
0.342742       0.997553       0.00251661     
0.350621       1.00765        0.00252859     
0.3585         1.01867        0.00254243     
0.36638        1.02812        0.00255391     
0.374259       1.04241        0.00257241     
0.382138       1.05116        0.00258279     
0.390017       1.06551        0.00260071     
0.397896       1.07124        0.00260736     
0.405775       1.07503        0.00261174     
0.413654       1.087          0.00262675     
0.421533       1.09775        0.00264006     
0.429413       1.10343        0.00264667     
0.437292       1.11039        0.00265438     
0.445171       1.11623        0.00266053     
0.45305        1.12175        0.0026686      
0.460929       1.12677        0.00267405     
0.468808       1.1295         0.0026773      
0.476687       1.12945        0.00267662     
0.484566       1.13271        0.00268104     
0.492446       1.1399         0.00268992     
0.500325       1.14046        0.00269063     
0.508204       1.14301        0.00269414     
0.516083       1.14643        0.0026979      
0.523962       1.14456        0.00269474     
0.531841       1.14292        0.0026934      
0.53972        1.14638        0.00269687     
0.5476         1.14407        0.00269461     
0.555479       1.14105        0.00269116     
0.563358       1.14109        0.00269048     
0.571237       1.13879        0.00268859     
0.579116       1.13654        0.00268584     
0.586995       1.13802        0.00268743     
0.594874       1.13429        0.00268237     
0.602753       1.12908        0.00267751     
0.610633       1.1232         0.00266975     
0.618512       1.12067        0.00266712     
0.626391       1.11743        0.00266316     
0.63427        1.11604        0.00266147     
0.642149       1.11162        0.00265632     
0.650028       1.10836        0.00265263     
0.657907       1.10465        0.00264716     
0.665786       1.09234        0.00263198     
0.673666       1.08865        0.00262825     
0.681545       1.08318        0.00262189     
0.689424       1.0753         0.00261185     
0.697303       1.07331        0.00260987     
0.705182       1.06509        0.00259973     
0.713061       1.05606        0.00258861     
0.72094        1.04951        0.00258022     
0.72882        1.03895        0.00256751     
0.736699       1.03551        0.00256298     
0.744578       1.02566        0.00255194     
0.752457       1.01628        0.00254009     
0.760336       1.00825        0.00252956     
0.768215       0.996024       0.00251374     
0.776094       0.990884       0.00250747     
0.783973       0.986473       0.00250202     
0.791853       0.972531       0.00248413     
0.799732       0.962327       0.00247151     
0.807611       0.955664       0.00246259     
0.81549        0.950441       0.00245628     
0.823369       0.937927       0.00243986     
0.831248       0.925128       0.00242357     
0.839127       0.917303       0.00241227     
0.847006       0.911306       0.00240443     
0.854886       0.893709       0.00238084     
0.862765       0.891266       0.00237795     
0.870644       0.88393        0.00236882     
0.878523       0.868935       0.00234782     
0.886402       0.862227       0.00233932     
0.894281       0.854561       0.00232861     
0.90216        0.844465       0.0023155      
0.91004        0.826398       0.00228982     
0.917919       0.824298       0.00228728     
0.925798       0.816366       0.00227596     
0.933677       0.802887       0.00225698     
0.941556       0.791553       0.00224074     
0.949435       0.783906       0.00222997     
0.957314       0.775155       0.00221811     
0.965193       0.759627       0.0021955      
0.973073       0.753719       0.00218748     
0.980952       0.745355       0.00217469     
0.988831       0.734408       0.0021584      
0.99671        0.723811       0.00214291     
1.00459        0.718334       0.00213537     
1.01247        0.706169       0.00211698     
1.02035        0.693078       0.00209734     
1.02823        0.681059       0.00207844     
1.03611        0.674929       0.00206976     
1.04398        0.670182       0.00206179     
1.05186        0.654114       0.00203733     
1.05974        0.64721        0.0020263      
1.06762        0.637926       0.00201204     
1.0755         0.628236       0.00199692     
1.08338        0.617156       0.00197876     
1.09126        0.609833       0.00196707     
1.09914        0.601202       0.00195272     
1.10702        0.589145       0.00193355     
1.1149         0.582228       0.00192189     
1.12278        0.568362       0.00189956     
1.13066        0.559104       0.00188436     
1.13853        0.554579       0.001876       
1.14641        0.543042       0.00185645     
1.15429        0.538968       0.00184907     
1.16217        0.527799       0.00183028     
1.17005        0.51823        0.00181333     
1.17793        0.51248        0.0018033      
1.18581        0.503355       0.00178714     
1.19369        0.497967       0.00177781     
1.20157        0.486183       0.0017565      
1.20945        0.479222       0.001744       
1.21733        0.471137       0.00172961     
1.2252         0.463966       0.0017159      
1.23308        0.455329       0.00170016     
1.24096        0.446953       0.00168488     
1.24884        0.440188       0.00167191     
1.25672        0.433138       0.00165772     
1.2646         0.423486       0.00163951     
1.27248        0.417775       0.00162825     
1.28036        0.41108        0.00161491     
1.28824        0.40382        0.00160085     
1.29612        0.39538        0.00158392     
1.304          0.38727        0.00156797     
1.31188        0.382923       0.00155912     
1.31975        0.373246       0.0015389      
1.32763        0.368353       0.00152902     
1.33551        0.363302       0.00151843     
1.34339        0.353548       0.00149814     
1.35127        0.350432       0.00149107     
1.35915        0.340488       0.00147001     
1.36703        0.334187       0.00145615     
1.37491        0.331064       0.00144945     
1.38279        0.325651       0.00143738     
1.39067        0.316875       0.00141806     
1.39855        0.311843       0.00140647     
1.40642        0.307845       0.00139761     
1.4143         0.301448       0.00138282     
1.42218        0.293751       0.00136498     
1.43006        0.284727       0.00134439     
1.43794        0.283458       0.00134107     
1.44582        0.277391       0.00132692     
1.4537         0.273177       0.00131673     
1.46158        0.267365       0.0013023      
1.46946        0.261564       0.00128825     
1.47734        0.256367       0.00127528     
1.48522        0.253473       0.00126793     
1.4931         0.246207       0.00125007     
1.50097        0.241816       0.00123901     
1.50885        0.238408       0.00122993     
1.51673        0.232589       0.00121481     
1.52461        0.22625        0.00119834     
1.53249        0.224942       0.00119475     
1.54037        0.21911        0.00117935     
1.54825        0.214732       0.00116752     
1.55613        0.210525       0.00115579     
1.56401        0.206717       0.00114578     
1.57189        0.203423       0.00113612     
1.57977        0.200593       0.00112818     
1.58764        0.19539        0.00111345     
1.59552        0.189348       0.00109597     
1.6034         0.185287       0.00108415     
1.61128        0.181873       0.0010744      
1.61916        0.180731       0.001071       
1.62704        0.17422        0.00105159     
1.63492        0.172576       0.00104628     
1.6428         0.167309       0.00103035     
1.65068        0.164879       0.00102281     
1.65856        0.161522       0.00101249     
1.66644        0.158901       0.00100431     
1.67432        0.153405       0.000986713    
1.68219        0.149953       0.000975287    
1.69007        0.146558       0.000964413    
1.69795        0.144058       0.000956087    
1.70583        0.14124        0.000946669    
1.71371        0.138232       0.000936297    
1.72159        0.136208       0.00092973     
1.72947        0.133124       0.000918992    
1.73735        0.13169        0.000914125    
1.74523        0.127578       0.000899589    
1.75311        0.124094       0.000887649    
1.76099        0.122247       0.000880945    
1.76886        0.120058       0.000872947    
1.77674        0.117265       0.000862758    
1.78462        0.115159       0.000855036    
1.7925         0.110964       0.00083897     
1.80038        0.109777       0.000834623    
1.80826        0.108337       0.000829186    
1.81614        0.106243       0.000821098    
1.82402        0.103996       0.000812435    
1.8319         0.0994653      0.000794521    
1.83978        0.0979232      0.000788349    
1.84766        0.096267       0.000781819    
1.85554        0.0944838      0.000774299    
1.86341        0.0910443      0.000759989    
1.87129        0.0896355      0.000754146    
1.87917        0.0875477      0.000745323    
1.88705        0.0862278      0.000739636    
1.89493        0.0834102      0.000727465    
1.90281        0.0820268      0.000721358    
1.91069        0.0797106      0.00071128     
1.91857        0.0778005      0.000702603    
1.92645        0.0770009      0.000699045    
1.93433        0.0763917      0.000696393    
1.94221        0.0735551      0.000683068    
1.95008        0.071975       0.000675816    
1.95796        0.0701854      0.00066731     
1.96584        0.0679517      0.000656676    
1.97372        0.0667142      0.000650614    
1.9816         0.0651341      0.000642807    
1.98948        0.0647533      0.000641179    
1.99736        0.0627607      0.00063106     
2.00524        0.0618977      0.000626774    
2.01312        0.0592515      0.000613179    
2.021          0.0585661      0.000609691    
2.02888        0.0581663      0.000607477    
