p (GeV)        dN/dp          error          
0.00293827     9.35924e-05    2.82192e-05    
0.00881482     0.000391387    5.77067e-05    
0.0146914      0.00120819     0.000101389    
0.0205679      0.00223771     0.000137982    
0.0264444      0.00390536     0.000182284    
0.032321       0.00614307     0.000228617    
0.0381975      0.00845735     0.000268244    
0.0440741      0.0110779      0.000307001    
0.0499506      0.0146174      0.000352648    
0.0558272      0.0175954      0.000386902    
0.0617037      0.0211434      0.000424116    
0.0675803      0.0254316      0.000465134    
0.0734568      0.0306302      0.0005106      
0.0793333      0.0363819      0.000556445    
0.0852099      0.0408573      0.000589654    
0.0910864      0.0464899      0.000629076    
0.096963       0.0534072      0.000674101    
0.10284        0.0600353      0.00071458     
0.108716       0.0646043      0.000741458    
0.114593       0.0717258      0.00078122     
0.120469       0.0797748      0.000823761    
0.126346       0.0895765      0.000873281    
0.132222       0.0967661      0.000907433    
0.138099       0.105581       0.000947734    
0.143975       0.113068       0.000980874    
0.149852       0.122283       0.00101993     
0.155728       0.130204       0.00105234     
0.161605       0.140244       0.00109237     
0.167482       0.150122       0.00113019     
0.173358       0.158401       0.00116076     
0.179235       0.171546       0.0012083      
0.185111       0.180795       0.00123991     
0.190988       0.191771       0.00127721     
0.196864       0.203189       0.00131477     
0.202741       0.215118       0.0013531      
0.208617       0.227625       0.00139188     
0.214494       0.237784       0.0014222      
0.22037        0.250139       0.00145898     
0.226247       0.261497       0.00149169     
0.232123       0.272847       0.00152347     
0.238          0.282564       0.0015507      
0.243877       0.29645        0.00158825     
0.249753       0.310157       0.00162403     
0.25563        0.319695       0.00164921     
0.261506       0.335044       0.00168832     
0.267383       0.347772       0.00172005     
0.273259       0.361182       0.00175302     
0.279136       0.374514       0.00178551     
0.285012       0.38532        0.0018106      
0.290889       0.398712       0.00184232     
0.296765       0.411917       0.001872       
0.302642       0.42696        0.00190643     
0.308519       0.439757       0.00193389     
0.314395       0.451754       0.00196052     
0.320272       0.464201       0.00198742     
0.326148       0.479261       0.00201926     
0.332025       0.493606       0.00204958     
0.337901       0.51007        0.00208324     
0.343778       0.522578       0.00210861     
0.349654       0.534557       0.0021326      
0.355531       0.54966        0.00216286     
0.361407       0.560049       0.00218337     
0.367284       0.57493        0.00221182     
0.373161       0.587429       0.00223567     
0.379037       0.599425       0.00225825     
0.384914       0.609967       0.0022776      
0.39079        0.62324        0.00230315     
0.396667       0.636241       0.00232637     
0.402543       0.653811       0.00235828     
0.40842        0.664166       0.0023772      
0.414296       0.674903       0.00239692     
0.420173       0.686569       0.00241719     
0.426049       0.697757       0.00243646     
0.431926       0.711081       0.00245969     
0.437803       0.72432        0.0024825      
0.443679       0.735449       0.00250206     
0.449556       0.746578       0.00251977     
0.455432       0.75809        0.00253984     
0.461309       0.767773       0.00255606     
0.467185       0.783717       0.00258206     
0.473062       0.790337       0.00259278     
0.478938       0.804138       0.00261562     
0.484815       0.812782       0.00262918     
0.490691       0.822916       0.00264619     
0.496568       0.836248       0.00266727     
0.502445       0.842817       0.00267784     
0.508321       0.853206       0.00269384     
0.514198       0.861697       0.00270767     
0.520074       0.873107       0.0027262      
0.525951       0.87474        0.00272883     
0.531827       0.891978       0.0027548      
0.537704       0.894641       0.00275939     
0.54358        0.908723       0.00278071     
0.549457       0.912441       0.00278745     
0.555333       0.924702       0.00280486     
0.56121        0.925578       0.00280626     
0.567086       0.938451       0.00282554     
0.572963       0.943216       0.00283296     
0.57884        0.952788       0.00284704     
0.584716       0.963432       0.00286252     
0.590593       0.964215       0.00286425     
0.596469       0.970392       0.00287341     
0.602346       0.975829       0.00288105     
0.608222       0.979964       0.00288746     
0.614099       0.988149       0.00289975     
0.619975       0.994079       0.00290761     
0.625852       0.999839       0.00291707     
0.631728       1.00758        0.00292836     
0.637605       1.0083         0.00292961     
0.643482       1.01066        0.00293248     
0.649358       1.01622        0.0029397      
0.655235       1.02517        0.00295362     
0.661111       1.02437        0.0029515      
0.666988       1.03488        0.0029675      
0.672864       1.03265        0.00296385     
0.678741       1.03535        0.00296756     
0.684617       1.04129        0.00297642     
0.690494       1.04007        0.00297467     
0.69637        1.0463         0.00298362     
0.702247       1.05268        0.00299274     
0.708124       1.05533        0.00299613     
0.714          1.04529        0.00298267     
0.719877       1.04957        0.00298816     
0.725753       1.05324        0.00299338     
0.73163        1.06004        0.00300214     
0.737506       1.05451        0.00299423     
0.743383       1.05389        0.00299421     
0.749259       1.05821        0.00300088     
0.755136       1.0632         0.00300823     
0.761012       1.06786        0.00301406     
0.766889       1.05907        0.0030017      
0.772766       1.05447        0.00299582     
0.778642       1.06364        0.00300724     
0.784519       1.05736        0.00299956     
0.790395       1.05889        0.00300111     
0.796272       1.0512         0.00299079     
0.802148       1.05483        0.00299617     
0.808025       1.04948        0.00298723     
0.813901       1.04776        0.00298571     
0.819778       1.04152        0.00297665     
0.825654       1.05256        0.00299187     
0.831531       1.04782        0.0029863      
