pT (GeV)       dN/dpt         error          
0.00393827     0.0144162      0.000302495    
0.0118148      0.0438136      0.000527516    
0.0196914      0.0725128      0.000678326    
0.0275679      0.100945       0.00080028     
0.0354444      0.130584       0.000910481    
0.043321       0.160381       0.00100913     
0.0511975      0.188135       0.00109264     
0.0590741      0.215704       0.00117017     
0.0669506      0.244523       0.00124559     
0.0748272      0.272854       0.00131644     
0.0827037      0.301922       0.0013841      
0.0905803      0.329085       0.00144539     
0.0984568      0.356654       0.00150408     
0.106333       0.383334       0.00155949     
0.11421        0.409793       0.00161316     
0.122086       0.439108       0.00166945     
0.129963       0.461992       0.00171269     
0.13784        0.486032       0.00175652     
0.145716       0.513918       0.00180622     
0.153593       0.539456       0.00185064     
0.161469       0.565578       0.00189511     
0.169346       0.590214       0.00193586     
0.177222       0.613404       0.00197348     
0.185099       0.638681       0.00201311     
0.192975       0.659166       0.00204586     
0.200852       0.679245       0.00207709     
0.208728       0.707398       0.00211895     
0.216605       0.728676       0.00215036     
0.224482       0.747771       0.00217867     
0.232358       0.768618       0.00220889     
0.240235       0.792587       0.00224393     
0.248111       0.806978       0.00226317     
0.255988       0.823477       0.00228667     
0.263864       0.845574       0.00231699     
0.271741       0.864561       0.00234264     
0.279617       0.882551       0.002367       
0.287494       0.899747       0.00238956     
0.29537        0.918817       0.00241453     
0.303247       0.933785       0.00243502     
0.311123       0.946386       0.00245072     
0.319          0.963462       0.00247301     
0.326877       0.976901       0.00249076     
0.334753       0.992682       0.0025104      
0.34263        1.00235        0.00252215     
0.350506       1.01786        0.00254219     
0.358383       1.03079        0.00255757     
0.366259       1.04131        0.00257031     
0.374136       1.04895        0.00258059     
0.382012       1.06149        0.00259618     
0.389889       1.07163        0.00260777     
0.397765       1.08558        0.00262472     
0.405642       1.0892         0.0026299      
0.413519       1.09317        0.00263344     
0.421395       1.10449        0.00264729     
0.429272       1.11028        0.00265566     
0.437148       1.11737        0.00266331     
0.445025       1.12062        0.00266697     
0.452901       1.12495        0.00267195     
0.460778       1.13024        0.0026787      
0.468654       1.13646        0.00268542     
0.476531       1.13907        0.00268858     
0.484407       1.14359        0.00269413     
0.492284       1.14546        0.0026962      
0.500161       1.14682        0.00269835     
0.508037       1.15302        0.00270482     
0.515914       1.15559        0.00270871     
0.52379        1.15266        0.00270476     
0.531667       1.1573         0.0027101      
0.539543       1.15271        0.00270556     
0.54742        1.15022        0.00270287     
0.555296       1.15127        0.00270283     
0.563173       1.15097        0.00270312     
0.571049       1.1512         0.00270421     
0.578926       1.14857        0.00270007     
0.586803       1.14773        0.00270024     
0.594679       1.1425         0.00269354     
0.602556       1.13522        0.00268406     
0.610432       1.13603        0.00268579     
0.618309       1.1352         0.00268455     
0.626185       1.12573        0.002673       
0.634062       1.12321        0.00266968     
0.641938       1.11601        0.0026625      
0.649815       1.1175         0.00266359     
0.657691       1.11037        0.00265494     
0.665568       1.10245        0.00264522     
0.673445       1.10296        0.00264583     
0.681321       1.08788        0.00262663     
0.689198       1.08122        0.00262059     
0.697074       1.07908        0.00261698     
0.704951       1.06772        0.00260307     
0.712827       1.06008        0.00259366     
0.720704       1.05664        0.00258924     
0.72858        1.05096        0.00258261     
0.736457       1.04395        0.00257483     
0.744333       1.03581        0.00256428     
0.75221        1.02372        0.00254937     
0.760086       1.01495        0.00253777     
0.767963       1.00922        0.002531       
0.77584        0.995132       0.00251292     
0.783716       0.987032       0.00250326     
0.791593       0.982601       0.00249686     
0.799469       0.974355       0.00248601     
0.807346       0.964452       0.00247431     
0.815222       0.95373        0.0024602      
0.823099       0.943529       0.00244688     
0.830975       0.930973       0.00243132     
0.838852       0.923089       0.00242056     
0.846728       0.915275       0.00241032     
0.854605       0.903385       0.00239434     
0.862482       0.894117       0.00238198     
0.870358       0.885534       0.00237174     
0.878235       0.875168       0.00235719     
0.886111       0.867557       0.00234661     
0.893988       0.86206        0.00233911     
0.901864       0.843117       0.00231386     
0.909741       0.836839       0.00230557     
0.917617       0.825108       0.00228875     
0.925494       0.817351       0.00227766     
0.93337        0.811447       0.00226979     
0.941247       0.798389       0.00225119     
0.949124       0.786544       0.0022343      
0.957          0.778209       0.00222268     
0.964877       0.767767       0.00220754     
0.972753       0.758639       0.00219448     
0.98063        0.749148       0.0021808      
0.988506       0.74056        0.00216818     
0.996383       0.727718       0.00214917     
1.00426        0.718227       0.00213498     
1.01214        0.710902       0.0021244      
1.02001        0.695489       0.00210135     
1.02789        0.686989       0.00208865     
1.03577        0.680279       0.0020778      
1.04364        0.670313       0.00206319     
1.05152        0.657503       0.0020432      
1.0594         0.651142       0.00203312     
1.06727        0.640789       0.0020168      
1.07515        0.62928        0.00199879     
1.08302        0.622576       0.001988       
1.0909         0.611721       0.00197096     
1.09878        0.605564       0.00196093     
1.10665        0.596943       0.00194673     
1.11453        0.585758       0.00192831     
1.12241        0.577366       0.00191489     
1.13028        0.56422        0.00189264     
1.13816        0.55923        0.00188384     
1.14604        0.546839       0.00186324     
1.15391        0.540726       0.00185267     
1.16179        0.530956       0.00183572     
1.16967        0.517619       0.00181239     
1.17754        0.514553       0.00180686     
1.18542        0.505279       0.00179074     
1.1933         0.499261       0.00178028     
1.20117        0.48892        0.0017623      
1.20905        0.480433       0.00174612     
1.21693        0.472123       0.00173156     
1.2248         0.46629        0.00171981     
1.23268        0.45671        0.00170269     
1.24056        0.44908        0.00168815     
1.24843        0.443367       0.00167731     
1.25631        0.435559       0.00166286     
1.26419        0.42612        0.00164496     
1.27206        0.421498       0.00163603     
1.27994        0.414382       0.00162234     
1.28781        0.404181       0.00160186     
1.29569        0.401616       0.00159662     
1.30357        0.390228       0.00157368     
1.31144        0.383271       0.00155967     
1.31932        0.376225       0.00154559     
1.3272         0.369864       0.00153215     
1.33507        0.362862       0.00151758     
1.34295        0.357549       0.00150647     
1.35083        0.349132       0.00148913     
1.3587         0.346129       0.00148224     
1.36658        0.338575       0.00146584     
1.37446        0.333268       0.00145431     
1.38233        0.325523       0.00143737     
1.39021        0.319309       0.00142402     
1.39809        0.314814       0.00141387     
1.40596        0.309508       0.0014018      
1.41384        0.301204       0.00138319     
1.42172        0.296532       0.00137178     
1.42959        0.291543       0.00136009     
1.43747        0.284719       0.00134441     
1.44535        0.279926       0.00133301     
1.45322        0.27373        0.00131824     
1.4611         0.268931       0.00130671     
1.46898        0.26259        0.00129116     
1.47685        0.25927        0.00128319     
1.48473        0.253315       0.00126803     
1.49261        0.247209       0.00125261     
1.50048        0.243279       0.00124288     
1.50836        0.239166       0.00123211     
1.51623        0.233713       0.00121827     
1.52411        0.230844       0.00121053     
1.53199        0.226495       0.00119908     
1.53986        0.221747       0.00118622     
1.54774        0.21658        0.00117257     
