p (GeV)        dN/dp          error          
0.00293956     2.5514e-05     1.47305e-05    
0.00881869     0.000357196    5.51164e-05    
0.0146978      0.00087598     8.63126e-05    
0.020577       0.00174346     0.000121768    
0.0264561      0.00264495     0.00014998     
0.0323352      0.00411626     0.0001871      
0.0382143      0.00582569     0.000222584    
0.0440935      0.00779027     0.000257392    
0.0499726      0.0100185      0.000291888    
0.0558517      0.0123828      0.000324505    
0.0617309      0.0150192      0.000357382    
0.06761        0.0178938      0.000390083    
0.0734891      0.0211341      0.000423929    
0.0793683      0.0241787      0.000453594    
0.0852474      0.0279123      0.000487181    
0.0911265      0.0330491      0.00053011     
0.0970056      0.0360938      0.000554247    
0.102885       0.041035       0.000590804    
0.108764       0.0467586      0.000630865    
0.114643       0.0511385      0.000659382    
0.120522       0.0554589      0.000686768    
0.126401       0.061225       0.000721865    
0.13228        0.067459       0.000757481    
0.13816        0.0717793      0.000781524    
0.144039       0.0774434      0.000811465    
0.149918       0.0849445      0.000849999    
0.155797       0.0926583      0.00088763     
0.161676       0.0974039      0.000909897    
0.167555       0.106028       0.00094945     
0.173434       0.112406       0.000977861    
0.179313       0.118308       0.00100317     
0.185193       0.125018       0.00103132     
0.191072       0.134289       0.0010688      
0.196951       0.14054        0.00109308     
0.20283        0.148832       0.00112495     
0.208709       0.156639       0.0011541      
0.214588       0.16414        0.00118161     
0.220467       0.176446       0.00122507     
0.226347       0.18217        0.00124468     
0.232226       0.190589       0.00127323     
0.238105       0.197963       0.00129779     
0.243984       0.206357       0.00132467     
0.249863       0.217022       0.00135892     
0.255742       0.225331       0.00138404     
0.261621       0.232807       0.00140722     
0.2675         0.240435       0.00142982     
0.27338        0.251568       0.00146281     
0.279259       0.260991       0.00149011     
0.285138       0.270457       0.00151642     
0.291017       0.279046       0.00154057     
0.296896       0.288699       0.00156667     
0.302775       0.29728        0.00159007     
0.308654       0.303344       0.00160593     
0.314533       0.31861        0.00164619     
0.320413       0.325814       0.00166436     
0.326292       0.332209       0.00168073     
0.332171       0.342627       0.00170649     
0.33805        0.3574         0.00174351     
0.343929       0.364867       0.00176205     
0.349808       0.370659       0.00177554     
0.355687       0.384343       0.00180787     
0.361566       0.389411       0.0018203      
0.367446       0.400221       0.00184467     
0.373325       0.408904       0.00186472     
0.379204       0.416881       0.00188285     
0.385083       0.427087       0.00190569     
0.390962       0.43458        0.0019224      
0.396841       0.44294        0.00194026     
0.40272        0.451708       0.00196069     
0.4086         0.459906       0.00197793     
0.414479       0.46995        0.00199994     
0.420358       0.477213       0.00201409     
0.426237       0.485327       0.00203141     
0.432116       0.495507       0.00205326     
0.437995       0.503357       0.00206915     
0.443874       0.512414       0.00208743     
0.449753       0.520077       0.00210289     
0.455633       0.528216       0.00211952     
0.461512       0.538889       0.0021409      
0.467391       0.542529       0.0021479      
0.47327        0.550881       0.00216434     
0.479149       0.558977       0.00218008     
0.485028       0.563553       0.00218936     
0.490907       0.571887       0.00220505     
0.496786       0.580009       0.00222088     
0.502666       0.589279       0.00223921     
0.508545       0.595454       0.0022506      
0.514424       0.594637       0.00224875     
0.520303       0.606331       0.00227053     
0.526182       0.612574       0.00228252     
0.532061       0.617855       0.00229246     
0.53794        0.62437        0.00230377     
0.54382        0.633299       0.00232088     
0.549699       0.638572       0.0023302      
0.555578       0.642689       0.00233826     
0.561457       0.649433       0.00234985     
0.567336       0.654425       0.0023591      
0.573215       0.656806       0.00236348     
0.579094       0.660446       0.00236988     
0.584973       0.66452        0.00237703     
0.590853       0.668917       0.00238534     
0.596732       0.677209       0.00240023     
0.602611       0.682635       0.00240926     
0.60849        0.684702       0.0024133      
0.614369       0.68818        0.00241907     
0.620248       0.693164       0.00242828     
0.626127       0.697493       0.0024354      
0.632006       0.703922       0.00244734     
0.637886       0.703097       0.00244471     
0.643765       0.707979       0.00245379     
0.649644       0.706907       0.00245254     
0.655523       0.713583       0.00246364     
0.661402       0.714221       0.00246441     
0.667281       0.718074       0.00247175     
0.67316        0.718992       0.00247253     
0.67904        0.724895       0.00248263     
0.684919       0.725277       0.00248415     
0.690798       0.726349       0.00248574     
0.696677       0.731605       0.00249423     
0.702556       0.724614       0.00248276     
0.708435       0.734641       0.00249956     
0.714314       0.730933       0.00249309     
0.720193       0.732625       0.00249595     
0.726073       0.73556        0.00250114     
0.731952       0.729215       0.00249025     
0.737831       0.739676       0.00250844     
0.74371        0.738689       0.00250629     
0.749589       0.734922       0.0025         
0.755468       0.736835       0.00250369     
0.761347       0.739234       0.00250801     
0.767226       0.737771       0.00250431     
0.773106       0.741904       0.00251184     
0.778985       0.73715        0.00250353     
0.784864       0.736342       0.00250289     
0.790743       0.731783       0.00249456     
0.796622       0.735279       0.00250017     
0.802501       0.73385        0.00249773     
0.80838        0.735662       0.00250128     
0.81426        0.735687       0.00250176     
0.820139       0.732158       0.00249571     
0.826018       0.731749       0.00249471     
0.831897       0.729487       0.00249091     
0.837776       0.728126       0.00248808     
0.843655       0.727735       0.00248733     
0.849534       0.721357       0.00247623     
0.855413       0.721467       0.00247718     
0.861293       0.722275       0.0024778      
0.867172       0.716552       0.00246889     
0.873051       0.715131       0.00246614     
0.87893        0.715608       0.00246695     
0.884809       0.710505       0.00245851     
0.890688       0.705708       0.00244994     
0.896567       0.704594       0.00244737     
0.902446       0.703803       0.00244601     
0.908326       0.698003       0.00243667     
0.914205       0.699066       0.00243831     
0.920084       0.691641       0.00242635     
0.925963       0.696855       0.00243469     
0.931842       0.691361       0.00242467     
0.937721       0.690859       0.00242431     
0.9436         0.681419       0.00240786     
0.949479       0.679837       0.00240502     
0.955359       0.679573       0.0024033      
0.961238       0.671766       0.0023901      
0.967117       0.670737       0.00238822     
0.972996       0.666306       0.00238001     
0.978875       0.66617        0.00238081     
0.984754       0.661458       0.00237275     
0.990633       0.659213       0.0023679      
0.996513       0.656305       0.00236262     
1.00239        0.648268       0.00234846     
1.00827        0.647562       0.00234658     
1.01415        0.640894       0.00233453     
1.02003        0.637322       0.00232834     
1.02591        0.634745       0.00232298     
1.03179        0.629455       0.002314       
1.03767        0.622669       0.00230128     
1.04355        0.6205         0.00229679     
1.04942        0.61652        0.00228956     
1.0553         0.614691       0.00228612     
1.06118        0.608661       0.00227544     
1.06706        0.600625       0.0022599      
1.07294        0.601645       0.00226222     
1.07882        0.596279       0.00225189     
1.0847         0.592792       0.0022457      
1.09058        0.587077       0.00223412     
1.09646        0.589279       0.0022387      
1.10234        0.583598       0.0022275      
1.10822        0.575757       0.00221327     
1.1141         0.569191       0.00220018     
1.11997        0.562847       0.00218862     
1.12585        0.56209        0.00218706     
1.13173        0.556239       0.0021748      
1.13761        0.551178       0.00216478     
1.14349        0.548125       0.00215902     
1.14937        0.540675       0.00214456     
1.15525        0.540224       0.0021438      
1.16113        0.53604        0.00213568     
1.16701        0.530419       0.00212364     
1.17289        0.524414       0.00211142     
1.17877        0.525426       0.00211358     
1.18464        0.517441       0.00209751     
1.19052        0.513052       0.00208921     
1.1964         0.510348       0.00208335     
1.20228        0.503876       0.00206965     
1.20816        0.501894       0.00206574     
1.21404        0.496511       0.00205469     
1.21992        0.488167       0.00203802     
1.2258         0.484434       0.00203015     
1.23168        0.477392       0.0020154      
1.23756        0.476014       0.00201182     
1.24344        0.469772       0.00199916     
1.24932        0.465103       0.00198897     
1.25519        0.463419       0.00198535     
1.26107        0.455229       0.0019675      
1.26695        0.453996       0.00196517     
1.27283        0.446673       0.00194872     
1.27871        0.446486       0.00194868     
1.28459        0.443033       0.00194088     
1.29047        0.436502       0.00192685     
1.29635        0.430531       0.00191366     
1.30223        0.428303       0.00190884     
1.30811        0.422682       0.00189611     
1.31399        0.417307       0.00188377     
1.31986        0.414806       0.00187826     
1.32574        0.409865       0.00186682     
1.33162        0.404422       0.00185534     
1.3375         0.403844       0.00185347     
1.34338        0.395067       0.00183285     
1.34926        0.39158        0.00182462     
1.35514        0.386222       0.00181259     
1.36102        0.383535       0.0018055      
1.3669         0.378798       0.00179484     
1.37278        0.377428       0.00179185     
1.37866        0.370548       0.00177548     
1.38454        0.367639       0.00176796     
1.39041        0.36115        0.00175231     
1.39629        0.359373       0.00174826     
1.40217        0.354916       0.00173755     
1.40805        0.350383       0.00172634     
1.41393        0.349159       0.001723       
1.41981        0.343894       0.00171035     
1.42569        0.341428       0.00170398     
1.43157        0.337507       0.00169408     
1.43745        0.333221       0.00168354     
1.44333        0.328407       0.00167108     
1.44921        0.324121       0.00166053     
1.45508        0.317275       0.00164222     
1.46096        0.316662       0.00164166     
1.46684        0.314256       0.00163473     
1.47272        0.309544       0.00162247     
1.4786         0.306397       0.0016145      
1.48448        0.301073       0.00160024     
1.49036        0.294363       0.00158246     
1.49624        0.292586       0.00157733     
1.50212        0.291956       0.0015755      
1.508          0.285518       0.00155827     
1.51388        0.281215       0.00154662     
1.51976        0.278919       0.00153994     
1.52563        0.276325       0.00153273     
1.53151        0.272812       0.00152313     
1.53739        0.271571       0.00151953     
1.54327        0.266366       0.00150499     
1.54915        0.265396       0.00150225     
1.55503        0.262012       0.00149238     
1.56091        0.25383        0.00146925     
1.56679        0.256883       0.00147784     
1.57267        0.250853       0.00146083     
1.57855        0.246218       0.00144737     
1.58443        0.243029       0.00143759     
1.5903         0.241796       0.00143425     
1.59618        0.238454       0.00142419     
1.60206        0.234941       0.00141369     
1.60794        0.232415       0.00140558     
1.61382        0.229711       0.00139781     
1.6197         0.227729       0.00139173     
1.62558        0.224472       0.00138203     
1.63146        0.219633       0.00136668     
1.63734        0.215346       0.00135342     
1.64322        0.212438       0.00134454     
1.6491         0.211689       0.00134164     
1.65498        0.207777       0.00132915     
1.66085        0.205915       0.00132347     
1.66673        0.201288       0.00130806     
1.67261        0.201799       0.00130999     
1.67849        0.197427       0.00129626     
1.68437        0.193957       0.00128434     
1.69025        0.192962       0.00128094     
1.69613        0.190173       0.0012715      
1.70201        0.187009       0.00126118     
1.70789        0.181898       0.00124375     
1.71377        0.184517       0.001253       
1.71965        0.178913       0.00123341     
1.72552        0.17665        0.00122554     
1.7314         0.173988       0.00121641     
1.73728        0.171599       0.00120804     
1.74316        0.170238       0.00120337     
1.74904        0.167091       0.00119204     
1.75492        0.1663         0.00118934     
1.7608         0.162898       0.00117702     
1.76668        0.161546       0.00117195     
1.77256        0.156248       0.00115266     
1.77844        0.156273       0.00115294     
1.78432        0.153543       0.00114247     
1.7902         0.152182       0.00113797     
1.79607        0.150277       0.0011304      
1.80195        0.147556       0.00112052     
1.80783        0.146382       0.00111541     
1.81371        0.143797       0.00110586     
1.81959        0.143099       0.00110337     
1.82547        0.139          0.00108729     
1.83135        0.139119       0.00108762     
1.83723        0.135241       0.00107244     
1.84311        0.132979       0.00106345     
1.84899        0.131193       0.00105623     
1.85487        0.128182       0.00104392     
1.86074        0.127247       0.00104045     
1.86662        0.126133       0.00103582     
1.8725         0.123819       0.00102637     
1.87838        0.12262        0.00102111     
1.88426        0.120885       0.00101423     
1.89014        0.120349       0.0010117      
1.89602        0.115757       0.00099216     
1.9019         0.11494        0.000988586    
1.90778        0.113052       0.00098059     
1.91366        0.11062        0.000969924    
1.91954        0.11119        0.000972565    
1.92542        0.109557       0.000965183    
1.93129        0.105747       0.00094827     
1.93717        0.105866       0.000948956    
1.94305        0.10203        0.000931476    
1.94893        0.102175       0.000932368    
1.95481        0.101197       0.000928058    
1.96069        0.100312       0.000923688    
1.96657        0.0981693      0.000913542    
1.97245        0.0968596      0.000907751    
1.97833        0.0938064      0.000893188    
1.98421        0.0942571      0.00089541     
1.99009        0.0937299      0.000892824    
1.99596        0.0898857      0.000874344    
2.00184        0.0890183      0.000869953    
2.00772        0.0870792      0.000860601    
2.0136         0.0880487      0.000865206    
2.01948        0.083048       0.000840294    
2.02536        0.0833287      0.000841798    
2.03124        0.0827844      0.000839047    
2.03712        0.0817213      0.000833907    
2.043          0.0809899      0.000829737    
2.04888        0.0791103      0.000820145    
2.05476        0.0778857      0.000813777    
2.06064        0.0777921      0.000813377    
2.06651        0.0754789      0.000801113    
2.07239        0.0731656      0.000788841    
2.07827        0.0719579      0.000782217    
2.08415        0.0722131      0.000783694    
2.09003        0.0697552      0.000770254    
2.09591        0.0705802      0.000774604    
2.10179        0.069279       0.000767716    
2.10767        0.0676035      0.000758101    
2.11355        0.067459       0.000757481    
2.11943        0.065639       0.000747299    
2.12531        0.0636574      0.000736044    
2.13118        0.0628749      0.000731216    
2.13706        0.0627729      0.000730524    
2.14294        0.0613016      0.000722216    
2.14882        0.0599153      0.000713709    
2.1547         0.0586992      0.000706533    
2.16058        0.0598133      0.000713202    
2.16646        0.0592009      0.000709544    
2.17234        0.0569472      0.000695812    
2.17822        0.0562073      0.000691383    
2.1841         0.0543958      0.000680051    
2.18998        0.0533582      0.000673858    
2.19586        0.0530861      0.000671925    
2.20173        0.0514362      0.000661407    
2.20761        0.0519039      0.000664515    
2.21349        0.050118       0.000652882    
2.21937        0.050271       0.000653767    
2.22525        0.0492845      0.000647434    
2.23113        0.0485616      0.000642672    
2.23701        0.047371       0.000634635    
2.24289        0.045568       0.000622444    
2.24877        0.0462058      0.000626784    
2.25465        0.0449471      0.000618307    
2.26053        0.044675       0.000616316    
2.2664         0.0435779      0.000608822    
2.27228        0.0430251      0.000604951    
2.27816        0.0422426      0.000599429    
2.28404        0.0421236      0.000598584    
2.28992        0.0405332      0.00058706     
2.2958         0.0393681      0.000578687    
2.30168        0.0391044      0.000576622    
2.30756        0.0393         0.000578313    
2.31344        0.0389769      0.000575681    
2.31932        0.0378712      0.00056746     
2.3252         0.0363149      0.00055581     
2.33108        0.0364765      0.000556914    
2.33695        0.0354814      0.000549399    
2.34283        0.035609       0.000550254    
2.34871        0.0345544      0.000542046    
2.35459        0.0340271      0.00053803     
2.36047        0.0328535      0.000528676    
2.36635        0.0330406      0.000530178    
2.37223        0.0326664      0.000527307    
2.37811        0.0318585      0.000520614    
2.38399        0.0322497      0.000523661    
2.38987        0.0316033      0.000518666    
2.39575        0.0294006      0.000500288    
2.40162        0.0294772      0.000500649    
2.4075         0.0286777      0.000493815    
2.41338        0.0285757      0.000492936    
2.41926        0.0293411      0.000499493    
2.42514        0.0268322      0.000477967    
2.43102        0.0272915      0.000481734    
2.4369         0.0272319      0.000481358    
2.44278        0.0261603      0.0004718      
2.44866        0.0273         0.000481809    
2.45454        0.025582       0.000466405    
2.46042        0.0252333      0.000463216    
2.4663         0.0243403      0.000454947    
2.47217        0.0237365      0.000449269    
2.47805        0.0239406      0.000451196    
2.48393        0.0240767      0.000452477    
2.48981        0.0233708      0.000445795    
2.49569        0.0227585      0.000439917    
2.50157        0.0223162      0.000435623    
2.50745        0.0226054      0.0004386      
2.51333        0.0221376      0.000433876    
2.51921        0.0210745      0.000423332    
2.52509        0.0204707      0.000417224    
2.53097        0.0214743      0.000427327    
2.53684        0.0202581      0.000415051    
2.54272        0.0198924      0.000411289    
2.5486         0.0191865      0.000404105    
2.55448        0.0195352      0.000407757    
2.56036        0.0185912      0.000397611    
2.56624        0.0188293      0.00040033     
2.57212        0.0183786      0.000395331    
2.578          0.0172304      0.000382974    
2.58388        0.017256       0.000383068    
2.58976        0.0176132      0.000387012    
2.59564        0.0178768      0.000389898    
2.60152        0.0164735      0.000374477    
2.60739        0.0167032      0.000376883    
2.61327        0.0162184      0.000371374    
2.61915        0.0156911      0.000365288    
2.62503        0.0154104      0.000362007    
2.63091        0.0154955      0.000363004    
2.63679        0.0152744      0.000360605    
2.64267        0.0150532      0.000357787    
2.64855        0.0143474      0.000349298    
2.65443        0.0145515      0.000351774    
2.66031        0.0135734      0.000339747    
2.66619        0.0141347      0.0003467      
2.67206        0.0130206      0.000332758    
2.67794        0.013769       0.000342186    
2.68382        0.0133268      0.000336647    
2.6897         0.012842       0.000330468    
2.69558        0.0126804      0.000328382    
2.70146        0.0120936      0.000320694    
2.70734        0.0125444      0.000326616    
2.71322        0.0121787      0.00032182     
2.7191         0.0124168      0.000325173    
2.72498        0.0112432      0.000309213    
2.73086        0.0109795      0.000305567    
2.73674        0.011039       0.000306394    
2.74261        0.0111326      0.000307689    
2.74849        0.0111156      0.000307454    
2.75437        0.0106989      0.000301636    
2.76025        0.0110305      0.000306276    
2.76613        0.0106053      0.000300315    
2.77201        0.00940615     0.000282828    
2.77789        0.00979737     0.000288649    
