pT (GeV)       dN/dpt         error          
0.00393827     0.00987743     0.000250393    
0.0118148      0.0308321      0.00044235     
0.0196914      0.0518565      0.000573909    
0.0275679      0.0715098      0.000673622    
0.0354444      0.0915249      0.000762274    
0.043321       0.111242       0.0008403      
0.0511975      0.130679       0.000910812    
0.0590741      0.151773       0.000981544    
0.0669506      0.171579       0.00104359     
0.0748272      0.191048       0.00110131     
0.0827037      0.210752       0.00115663     
0.0905803      0.230228       0.00120899     
0.0984568      0.249926       0.00125942     
0.106333       0.269427       0.0013081      
0.11421        0.287975       0.00135192     
0.122086       0.307616       0.00139773     
0.129963       0.326127       0.00143875     
0.13784        0.342073       0.00147365     
0.145716       0.365027       0.0015224      
0.153593       0.378853       0.00155089     
0.161469       0.397598       0.00158856     
0.169346       0.412643       0.00161825     
0.177222       0.432207       0.00165608     
0.185099       0.445297       0.00168143     
0.192975       0.464385       0.001717       
0.200852       0.480649       0.00174677     
0.208728       0.492913       0.00176865     
0.216605       0.510871       0.00180056     
0.224482       0.523561       0.00182281     
0.232358       0.538529       0.00184859     
0.240235       0.557224       0.00188053     
0.248111       0.565972       0.00189564     
0.255988       0.585542       0.00192838     
0.263864       0.595458       0.00194406     
0.271741       0.610096       0.00196806     
0.279617       0.61687        0.00197897     
0.287494       0.63053        0.00200069     
0.29537        0.644223       0.00202212     
0.303247       0.654989       0.00203892     
0.311123       0.663737       0.00205337     
0.319          0.675652       0.00207083     
0.326877       0.683409       0.00208308     
0.334753       0.693293       0.00209785     
0.34263        0.707525       0.00211925     
0.350506       0.712971       0.00212762     
0.358383       0.724937       0.00214518     
0.366259       0.728632       0.00215076     
0.374136       0.738192       0.00216487     
0.382012       0.747225       0.00217825     
0.389889       0.749186       0.0021807      
0.397765       0.759724       0.00219678     
0.405642       0.764714       0.00220362     
0.413519       0.772668       0.00221412     
0.421395       0.772953       0.00221478     
0.429272       0.778178       0.00222274     
0.437148       0.787344       0.0022361      
0.445025       0.788766       0.00223801     
0.452901       0.787274       0.00223483     
0.460778       0.794758       0.00224574     
0.468654       0.803798       0.00225857     
0.476531       0.799729       0.00225316     
0.484407       0.806623       0.00226307     
0.492284       0.805702       0.0022613      
0.500161       0.80866        0.00226566     
0.508037       0.810343       0.00226845     
0.515914       0.807607       0.00226436     
0.52379        0.814196       0.00227282     
0.531667       0.811054       0.00226856     
0.539543       0.807296       0.00226379     
0.54742        0.812964       0.00227135     
0.555296       0.807708       0.00226407     
0.563173       0.809016       0.00226595     
0.571049       0.811441       0.00226986     
0.578926       0.805404       0.00226067     
0.586803       0.803944       0.00225872     
0.594679       0.798707       0.0022511      
0.602556       0.798021       0.00225088     
0.610432       0.798815       0.00225227     
0.618309       0.789521       0.00223915     
0.626185       0.791946       0.00224215     
0.634062       0.788372       0.00223735     
0.641938       0.783751       0.00223066     
0.649815       0.77819        0.00222256     
0.657691       0.775848       0.00221947     
0.665568       0.774934       0.00221784     
0.673445       0.771163       0.00221217     
0.681321       0.762117       0.00220006     
0.689198       0.75994        0.00219661     
0.697074       0.758981       0.00219486     
0.704951       0.74904        0.00218055     
0.712827       0.748825       0.00218009     
0.720704       0.735221       0.00215957     
0.72858        0.733983       0.00215878     
0.736457       0.728892       0.00215094     
0.744333       0.723198       0.00214327     
0.75221        0.718983       0.00213649     
0.760086       0.713873       0.00212931     
0.767963       0.707785       0.00211923     
0.77584        0.698542       0.00210667     
0.783716       0.695261       0.002101       
0.791593       0.689795       0.00209244     
0.799469       0.681066       0.00207909     
0.807346       0.675855       0.00207118     
0.815222       0.668136       0.00205964     
0.823099       0.662791       0.00205118     
0.830975       0.65968        0.00204568     
0.838852       0.650539       0.00203235     
0.846728       0.644369       0.00202289     
0.854605       0.638205       0.00201209     
0.862482       0.62935        0.00199918     
0.870358       0.624893       0.00199178     
0.878235       0.614451       0.00197515     
0.886111       0.608712       0.00196596     
0.893988       0.598746       0.00194925     
0.901864       0.597921       0.00194827     
0.909741       0.591224       0.00193749     
0.917617       0.580527       0.0019194      
0.925494       0.577398       0.00191408     
0.93337        0.566232       0.00189598     
0.941247       0.558557       0.00188325     
0.949124       0.555199       0.00187705     
0.957          0.540929       0.00185326     
0.964877       0.538498       0.00184912     
0.972753       0.531229       0.00183649     
0.98063        0.523726       0.00182367     
0.988506       0.516388       0.00181043     
0.996383       0.511646       0.00180194     
1.00426        0.505133       0.00179055     
1.01214        0.496696       0.00177608     
1.02001        0.489974       0.00176357     
1.02789        0.48619        0.00175696     
1.03577        0.475646       0.00173724     
1.04364        0.473374       0.00173334     
1.05152        0.466683       0.00172095     
1.0594         0.456723       0.0017029      
1.06727        0.452876       0.00169524     
1.07515        0.442847       0.00167669     
1.08302        0.435838       0.00166351     
1.0909         0.432988       0.00165798     
1.09878        0.423777       0.00164044     
1.10665        0.415969       0.00162504     
1.11453        0.408866       0.00161083     
1.12241        0.403413       0.00160032     
1.13028        0.395211       0.00158384     
1.13816        0.390685       0.00157465     
1.14604        0.385194       0.00156374     
1.15391        0.381392       0.00155625     
1.16179        0.373901       0.00154058     
1.16967        0.368417       0.00152948     
1.17754        0.358977       0.00150932     
1.18542        0.357009       0.00150558     
1.1933         0.350306       0.00149078     
1.20117        0.345082       0.00147998     
1.20905        0.33867        0.0014664      
1.21693        0.33236        0.00145225     
1.2248         0.32685        0.00144014     
1.23268        0.321588       0.0014292      
1.24056        0.315259       0.00141512     
1.24843        0.309946       0.00140249     
1.25631        0.307578       0.00139747     
1.26419        0.300608       0.00138142     
1.27206        0.29558        0.00136985     
1.27994        0.290553       0.00135829     
1.28781        0.285696       0.00134653     
1.29569        0.278923       0.00133051     
1.30357        0.274689       0.00132014     
1.31144        0.268512       0.00130567     
1.31932        0.266151       0.00129997     
1.3272         0.259575       0.00128354     
1.33507        0.254122       0.0012701      
1.34295        0.251202       0.00126265     
1.35083        0.245641       0.00124887     
1.3587         0.241483       0.0012382      
1.36658        0.235897       0.00122356     
1.37446        0.232945       0.00121611     
1.38233        0.229276       0.00120643     
1.39021        0.224642       0.00119405     
1.39809        0.220992       0.00118465     
1.40596        0.216567       0.0011725      
1.41384        0.212536       0.00116147     
1.42172        0.20888        0.00115185     
1.42959        0.205941       0.00114333     
1.43747        0.20031        0.00112757     
1.44535        0.195644       0.00111436     
1.45322        0.193334       0.00110785     
1.4611         0.188757       0.0010947      
1.46898        0.185449       0.00108495     
1.47685        0.181368       0.0010729      
1.48473        0.178809       0.00106537     
1.49261        0.174512       0.00105233     
1.50048        0.170417       0.00104002     
1.50836        0.170728       0.00104108     
1.51623        0.163314       0.00101845     
1.52411        0.161194       0.00101151     
1.53199        0.158591       0.00100313     
1.53986        0.155557       0.00099343     
1.54774        0.150923       0.000978755    
1.55562        0.147425       0.000967414    
1.56349        0.147114       0.00096627     
1.57137        0.142639       0.00095166     
1.57925        0.137859       0.000935488    
1.58712        0.135516       0.000927481    
1.595          0.134539       0.000924093    
1.60288        0.131752       0.000914359    
1.61075        0.129168       0.000905587    
1.61863        0.125905       0.000894102    
1.62651        0.123233       0.000884446    
1.63438        0.122192       0.000880618    
1.64226        0.120249       0.000873694    
1.65014        0.116574       0.000860404    
1.65801        0.113857       0.000849961    
1.66589        0.111445       0.000841305    
1.67377        0.10836        0.00082941     
1.68164        0.106531       0.000822151    
1.68952        0.104983       0.000816505    
1.6974         0.102209       0.000805567    
1.70527        0.0996757      0.000795541    
1.71315        0.097219       0.000785591    
1.72102        0.0970413      0.000784823    
1.7289         0.0949147      0.000776136    
1.73678        0.0911758      0.00076098     
1.74465        0.0905791      0.000758278    
1.75253        0.0885541      0.000749605    
1.76041        0.0876146      0.000745621    
1.76828        0.0838756      0.000729719    
1.77616        0.0819776      0.000721483    
1.78404        0.0804858      0.000714673    
1.79191        0.078975       0.000708111    
1.79979        0.0767088      0.000697776    
1.80767        0.0760486      0.000694771    
1.81554        0.0729444      0.0006804      
1.82342        0.071478       0.000673532    
1.8313         0.0706084      0.000669366    
1.83917        0.068558       0.000659766    
1.84705        0.0688436      0.000660893    
1.85493        0.0656316      0.000645424    
1.8628         0.0633209      0.000633908    
1.87068        0.0627052      0.00063082     
1.87856        0.062775       0.000631299    
1.88643        0.0606929      0.000620688    
1.89431        0.0588964      0.000611638    
1.90219        0.05743        0.000603921    
1.91006        0.0563509      0.000598026    
1.91794        0.0546115      0.00058873     
1.92582        0.0545163      0.000588286    
1.93369        0.0541799      0.0005864      
1.94157        0.0519454      0.000574119    
1.94944        0.0510503      0.000569224    
1.95732        0.0497617      0.000562142    
1.9652         0.0492602      0.000559089    
1.97307        0.0463084      0.00054216     
