pT (GeV)       dN/dpt         error          
0.00393827     0.0101758      0.000254146    
0.0118148      0.0303496      0.000438968    
0.0196914      0.0501679      0.000564215    
0.0275679      0.0714209      0.000673263    
0.0354444      0.0914297      0.000761772    
0.043321       0.111464       0.000841089    
0.0511975      0.132831       0.000918397    
0.0590741      0.150244       0.000976679    
0.0669506      0.172239       0.00104555     
0.0748272      0.191099       0.00110134     
0.0827037      0.211641       0.00115938     
0.0905803      0.231485       0.0012123      
0.0984568      0.24804        0.00125493     
0.106333       0.270061       0.00130883     
0.11421        0.287004       0.00134938     
0.122086       0.308746       0.00139985     
0.129963       0.323803       0.00143367     
0.13784        0.340778       0.00147071     
0.145716       0.362545       0.00151676     
0.153593       0.379221       0.00155151     
0.161469       0.395694       0.00158473     
0.169346       0.414528       0.00162232     
0.177222       0.431236       0.00165464     
0.185099       0.449315       0.00168871     
0.192975       0.466436       0.00172059     
0.200852       0.480077       0.00174544     
0.208728       0.492868       0.00176889     
0.216605       0.508523       0.00179715     
0.224482       0.528614       0.00183174     
0.232358       0.544738       0.00185945     
0.240235       0.557243       0.00188094     
0.248111       0.566498       0.00189557     
0.255988       0.578541       0.00191663     
0.263864       0.597724       0.00194812     
0.271741       0.608332       0.00196473     
0.279617       0.620323       0.00198455     
0.287494       0.630911       0.00200202     
0.29537        0.645105       0.00202345     
0.303247       0.649581       0.00203037     
0.311123       0.667501       0.00205857     
0.319          0.677937       0.00207472     
0.326877       0.683866       0.00208356     
0.334753       0.694137       0.00209911     
0.34263        0.703418       0.00211365     
0.350506       0.715714       0.00213151     
0.358383       0.721478       0.00214034     
0.366259       0.731768       0.00215488     
0.374136       0.736948       0.00216305     
0.382012       0.746228       0.00217641     
0.389889       0.753243       0.00218721     
0.397765       0.760092       0.00219637     
0.405642       0.76524        0.00220422     
0.413519       0.769075       0.00220917     
0.421395       0.771208       0.00221282     
0.429272       0.778952       0.00222349     
0.437148       0.785357       0.00223267     
0.445025       0.789306       0.00223858     
0.452901       0.791559       0.00224123     
0.460778       0.794917       0.00224664     
0.468654       0.799691       0.00225266     
0.476531       0.80096        0.00225507     
0.484407       0.800491       0.00225454     
0.492284       0.806769       0.0022629      
0.500161       0.807746       0.00226398     
0.508037       0.805093       0.00226054     
0.515914       0.8112         0.00226951     
0.52379        0.808203       0.00226552     
0.531667       0.811923       0.00226999     
0.539543       0.815307       0.0022748      
0.54742        0.808622       0.00226598     
0.555296       0.808597       0.00226489     
0.563173       0.808197       0.00226543     
0.571049       0.807943       0.00226452     
0.578926       0.807937       0.00226476     
0.586803       0.805074       0.00226037     
0.594679       0.80741        0.00226444     
0.602556       0.797583       0.00225039     
0.610432       0.79851        0.00225172     
0.618309       0.79194        0.00224176     
0.626185       0.790956       0.00224084     
0.634062       0.790912       0.00224045     
0.641938       0.78504        0.00223184     
0.649815       0.785027       0.0022328      
0.657691       0.775759       0.002219       
0.665568       0.777816       0.00222203     
0.673445       0.771112       0.00221283     
0.681321       0.7683         0.0022078      
0.689198       0.759718       0.00219578     
0.697074       0.757033       0.00219258     
0.704951       0.749739       0.00218126     
0.712827       0.741931       0.0021702      
0.720704       0.742388       0.00217079     
0.72858        0.733196       0.00215754     
0.736457       0.730784       0.00215401     
0.744333       0.723826       0.00214308     
0.75221        0.720316       0.00213835     
0.760086       0.714038       0.00212891     
0.767963       0.712971       0.00212749     
0.77584        0.698517       0.00210608     
0.783716       0.695419       0.00210103     
0.791593       0.68916        0.00209204     
0.799469       0.680121       0.0020781      
0.807346       0.676001       0.00207158     
0.815222       0.669405       0.00206116     
0.823099       0.66034        0.00204713     
0.830975       0.658836       0.00204476     
0.838852       0.648952       0.00202936     
0.846728       0.643055       0.00202043     
0.854605       0.633844       0.00200589     
0.862482       0.630759       0.00200093     
0.870358       0.623656       0.00199019     
0.878235       0.614451       0.00197458     
0.886111       0.6071         0.0019629      
0.893988       0.603139       0.0019564      
0.901864       0.595198       0.00194362     
0.909741       0.586787       0.00192976     
0.917617       0.57762        0.00191468     
0.925494       0.568885       0.00190038     
0.93337        0.567686       0.00189786     
0.941247       0.561699       0.00188783     
0.949124       0.551232       0.00187075     
0.957          0.547277       0.00186359     
0.964877       0.539545       0.00185077     
0.972753       0.529236       0.00183283     
0.98063        0.525745       0.00182718     
0.988506       0.518876       0.00181451     
0.996383       0.513112       0.00180463     
1.00426        0.507056       0.00179433     
1.01214        0.497045       0.00177633     
1.02001        0.490228       0.00176418     
1.02789        0.486851       0.00175824     
1.03577        0.4779         0.00174159     
1.04364        0.47585        0.00173862     
1.05152        0.465356       0.00171814     
1.0594         0.457536       0.00170398     
1.06727        0.448128       0.00168704     
1.07515        0.445938       0.00168263     
1.08302        0.437343       0.00166631     
1.0909         0.426405       0.00164541     
1.09878        0.425885       0.00164434     
1.10665        0.416172       0.00162561     
1.11453        0.414014       0.00162135     
1.12241        0.405267       0.00160376     
1.13028        0.398646       0.00159097     
1.13816        0.389835       0.00157346     
1.14604        0.38854        0.00157065     
1.15391        0.379227       0.00155165     
