p (GeV)        dN/dp          error          
0.00293956     0.000153084    3.60822e-05    
0.00881869     0.000935513    8.91974e-05    
0.0146978      0.00205813     0.000132301    
0.020577       0.0047456      0.000200894    
0.0264561      0.007297       0.00024911     
0.0323352      0.0107244      0.000301996    
0.0382143      0.0153849      0.000361707    
0.0440935      0.0196798      0.000409085    
0.0499726      0.0259307      0.00046988     
0.0558517      0.032003       0.000521793    
0.0617309      0.0396147      0.000580372    
0.06761        0.0485191      0.000642278    
0.0734891      0.0553228      0.00068582     
0.0793683      0.0643548      0.000739765    
0.0852474      0.0757255      0.00080251     
0.0911265      0.0836093      0.000843213    
0.0970056      0.0945038      0.000896499    
0.102885       0.105636       0.000947622    
0.108764       0.119184       0.00100672     
0.114643       0.131031       0.00105564     
0.120522       0.144026       0.0011068      
0.126401       0.159752       0.00116543     
0.13228        0.175664       0.0012223      
0.13816        0.186856       0.00126061     
0.144039       0.203899       0.00131688     
0.149918       0.221572       0.00137326     
0.155797       0.239287       0.00142631     
0.161676       0.255965       0.00147496     
0.167555       0.273399       0.00152467     
0.173434       0.290034       0.00156995     
0.179313       0.307996       0.00161887     
0.185193       0.329113       0.00167283     
0.191072       0.348529       0.00172175     
0.196951       0.372351       0.001779       
0.20283        0.386613       0.00181342     
0.208709       0.411141       0.00186975     
0.214588       0.429553       0.00191138     
0.220467       0.449939       0.00195572     
0.226347       0.474024       0.00200745     
0.232226       0.490991       0.00204334     
0.238105       0.516777       0.00209573     
0.243984       0.538175       0.00213939     
0.249863       0.560942       0.00218441     
0.255742       0.581897       0.00222544     
0.261621       0.61288        0.00228372     
0.2675         0.634022       0.00232254     
0.27338        0.650071       0.00235149     
0.279259       0.677192       0.00239926     
0.285138       0.698394       0.0024367      
0.291017       0.72384        0.00248069     
0.296896       0.746599       0.00251961     
0.302775       0.770471       0.00255946     
0.308654       0.798247       0.00260484     
0.314533       0.819058       0.00263901     
0.320413       0.845984       0.00268238     
0.326292       0.871524       0.00272225     
0.332171       0.896034       0.00276129     
0.33805        0.914574       0.00278945     
0.343929       0.941602       0.00283006     
0.349808       0.964471       0.00286308     
0.355687       0.98728        0.00289735     
0.361566       1.01854        0.00294357     
0.367446       1.03666        0.00296931     
0.373325       1.06346        0.00300753     
0.379204       1.07995        0.00303039     
0.385083       1.10789        0.00306953     
0.390962       1.13052        0.00310129     
0.396841       1.15396        0.00313283     
0.40272        1.1827         0.00317132     
0.4086         1.19462        0.00318743     
0.414479       1.22579        0.00322793     
0.420358       1.24627        0.00325637     
0.426237       1.26932        0.00328575     
0.432116       1.2901         0.00331316     
0.437995       1.31288        0.00334109     
0.443874       1.33733        0.00337215     
0.449753       1.35353        0.00339211     
0.455633       1.37537        0.00342052     
0.461512       1.39367        0.00344245     
0.467391       1.41286        0.00346715     
0.47327        1.43153        0.00348978     
0.479149       1.45385        0.00351494     
0.485028       1.4704         0.00353637     
0.490907       1.48438        0.00355248     
0.496786       1.51226        0.00358571     
0.502666       1.52641        0.00360261     
0.508545       1.54518        0.00362547     
0.514424       1.56081        0.00364416     
0.520303       1.57896        0.00366422     
0.526182       1.59556        0.00368386     
0.532061       1.60437        0.00369436     
0.53794        1.62823        0.00372156     
0.54382        1.63728        0.00373085     
0.549699       1.65396        0.00374981     
0.555578       1.67848        0.00377904     
0.561457       1.68031        0.00377989     
0.567336       1.69642        0.00379799     
0.573215       1.70529        0.00380863     
0.579094       1.73293        0.00383985     
0.584973       1.73675        0.00384334     
0.590853       1.74574        0.00385266     
0.596732       1.76042        0.00386962     
0.602611       1.77574        0.00388532     
0.60849        1.77848        0.00388868     
0.614369       1.79777        0.00391124     
0.620248       1.80804        0.00392118     
0.626127       1.81313        0.00392683     
0.632006       1.81791        0.0039316      
0.637886       1.83348        0.00394956     
0.643765       1.83885        0.00395387     
0.649644       1.84395        0.00396137     
0.655523       1.85347        0.00396927     
0.661402       1.86548        0.00398318     
0.667281       1.8645         0.00398223     
0.67316        1.87144        0.00398882     
0.67904        1.88334        0.00400216     
0.684919       1.88702        0.00400714     
0.690798       1.88379        0.00400285     
0.696677       1.89557        0.00401559     
0.702556       1.89765        0.00401733     
0.708435       1.90221        0.00402181     
0.714314       1.91175        0.00403254     
0.720193       1.91107        0.00403097     
0.726073       1.91899        0.00404028     
0.731952       1.91306        0.00403278     
0.737831       1.91611        0.00403554     
0.74371        1.91781        0.00403756     
0.749589       1.91308        0.00403389     
0.755468       1.90627        0.00402568     
0.761347       1.91519        0.00403651     
0.767226       1.91266        0.00403316     
0.773106       1.92257        0.00404393     
0.778985       1.91862        0.00403957     
0.784864       1.91053        0.00403038     
0.790743       1.91061        0.00402979     
0.796622       1.91152        0.00403251     
0.802501       1.9126         0.00403264     
0.80838        1.90878        0.00403003     
0.81426        1.90826        0.0040287      
0.820139       1.90339        0.00402319     
0.826018       1.90334        0.00402338     
0.831897       1.89292        0.00401271     
0.837776       1.89232        0.00401101     
0.843655       1.88847        0.00400801     
0.849534       1.88684        0.00400637     
0.855413       1.8762         0.00399525     
0.861293       1.88139        0.00399978     
0.867172       1.86784        0.00398562     
0.873051       1.86551        0.00398322     
0.87893        1.85837        0.00397528     
0.884809       1.85348        0.00396983     
0.890688       1.85146        0.00396725     
0.896567       1.84145        0.00395797     
0.902446       1.83175        0.00394655     
0.908326       1.82368        0.0039386      
0.914205       1.82906        0.00394451     
0.920084       1.81279        0.00392631     
0.925963       1.8026         0.00391586     
0.931842       1.80033        0.0039137      
0.937721       1.7834         0.00389523     
0.9436         1.78162        0.00389184     
0.949479       1.77343        0.00388375     
0.955359       1.75774        0.00386692     
0.961238       1.7546         0.00386421     
0.967117       1.73731        0.00384412     
0.972996       1.72916        0.0038342      
0.978875       1.73217        0.00383843     
0.984754       1.71748        0.00382139     
0.990633       1.70618        0.00380932     
0.996513       1.69798        0.00379975     
1.00239        1.69139        0.00379377     
1.00827        1.68421        0.00378534     
1.01415        1.66995        0.00376787     
1.02003        1.65973        0.00375701     
1.02591        1.64757        0.00374355     
1.03179        1.63825        0.0037318      
1.03767        1.62537        0.00371867     
1.04355        1.61509        0.00370643     
1.04942        1.60537        0.00369572     
1.0553         1.59263        0.00367891     
1.06118        1.578          0.00366362     
1.06706        1.57773        0.0036634      
1.07294        1.56682        0.00364958     
1.07882        1.55662        0.0036385      
1.0847         1.54029        0.00361996     
1.09058        1.52795        0.00360387     
1.09646        1.51557        0.00359001     
1.10234        1.50164        0.00357334     
1.10822        1.49833        0.00356936     
1.1141         1.48646        0.00355597     
1.11997        1.4692         0.00353438     
1.12585        1.4618         0.0035257      
1.13173        1.44546        0.00350632     
1.13761        1.43036        0.00348815     
1.14349        1.42019        0.00347508     
1.14937        1.41014        0.00346288     
1.15525        1.40022        0.00345103     
1.16113        1.3893         0.00343789     
1.16701        1.37427        0.00341829     
1.17289        1.36398        0.0034062      
1.17877        1.35569        0.00339507     
1.18464        1.33848        0.00337456     
1.19052        1.33098        0.00336573     
1.1964         1.31615        0.00334587     
1.20228        1.30497        0.00333127     
1.20816        1.29585        0.00332086     
1.21404        1.28685        0.00330833     
1.21992        1.27245        0.00328923     
1.2258         1.26102        0.00327442     
1.23168        1.25091        0.00326332     
1.23756        1.23568        0.00324139     
1.24344        1.22549        0.00322877     
1.24932        1.21281        0.00321087     
1.25519        1.20243        0.00319822     
1.26107        1.18642        0.00317623     
1.26695        1.17068        0.00315561     
1.27283        1.16453        0.00314757     
1.27871        1.15796        0.00313845     
1.28459        1.14499        0.00312074     
1.29047        1.13783        0.00311073     
1.29635        1.11644        0.00308188     
1.30223        1.1124         0.00307556     
1.30811        1.10153        0.00305986     
1.31399        1.08402        0.00303627     
1.31986        1.07267        0.00301962     
1.32574        1.06526        0.00300956     
1.33162        1.05513        0.00299573     
1.3375         1.0416         0.00297602     
1.34338        1.02602        0.00295422     
1.34926        1.01903        0.00294411     
1.35514        1.01505        0.00293803     
1.36102        0.999229       0.00291512     
1.3669         0.986319       0.0028958      
1.37278        0.975663       0.00288072     
1.37866        0.967694       0.00286892     
1.38454        0.957199       0.00285377     
1.39041        0.942427       0.00283175     
1.39629        0.937188       0.00282362     
1.40217        0.923096       0.00280173     
1.40805        0.90618        0.00277632     
1.41393        0.899113       0.00276506     
1.41981        0.891093       0.00275267     
1.42569        0.880011       0.0027361      
1.43157        0.867127       0.00271539     
1.43745        0.862543       0.00270817     
1.44333        0.853672       0.0026948      
1.44921        0.844258       0.00267919     
1.45508        0.831764       0.00265983     
1.46096        0.821729       0.00264335     
1.46684        0.81609        0.00263353     
1.47272        0.805663       0.00261755     
1.4786         0.794318       0.00259934     
1.48448        0.7839         0.00258108     
1.49036        0.774077       0.00256623     
1.49624        0.767682       0.002555       
1.50212        0.752892       0.00253012     
1.508          0.738255       0.00250591     
1.51388        0.736495       0.00250289     
1.51976        0.728041       0.00248925     
1.52563        0.716041       0.00246752     
1.53151        0.710369       0.00245869     
1.53739        0.698777       0.00243786     
1.54327        0.696311       0.00243374     
1.54915        0.687347       0.00241744     
1.55503        0.676631       0.00239831     
1.56091        0.666357       0.00238071     
1.56679        0.659528       0.00236837     
1.57267        0.653464       0.00235748     
1.57855        0.646473       0.00234444     
1.58443        0.633197       0.00232076     
1.5903         0.625543       0.00230692     
1.59618        0.621053       0.00229746     
1.60206        0.608109       0.00227377     
1.60794        0.598839       0.00225707     
1.61382        0.595802       0.00225222     
1.6197         0.589305       0.0022381      
1.62558        0.578427       0.00221777     
1.63146        0.573597       0.00220891     
1.63734        0.565789       0.0021937      
1.64322        0.553628       0.00216989     
1.6491         0.553152       0.00216916     
1.65498        0.541143       0.00214531     
1.66085        0.534212       0.00213161     
1.66673        0.526319       0.00211543     
1.67261        0.516854       0.00209709     
1.67849        0.516769       0.00209578     
1.68437        0.503552       0.00206906     
1.69025        0.49583        0.00205389     
1.69613        0.494878       0.00205122     
1.70201        0.491501       0.00204436     
1.70789        0.477316       0.00201495     
1.71377        0.472417       0.00200461     
1.71965        0.467654       0.00199457     
1.72552        0.461284       0.00198102     
1.7314         0.454242       0.00196556     
1.73728        0.448706       0.00195339     
1.74316        0.439827       0.0019344      
1.74904        0.434273       0.00192229     
1.75492        0.431909       0.00191712     
1.7608         0.421993       0.0018945      
1.76668        0.416312       0.00188134     
1.77256        0.412348       0.0018731      
1.77844        0.40722        0.00186066     
1.78432        0.400306       0.00184526     
1.7902         0.394242       0.00183098     
1.79607        0.388876       0.00181865     
1.80195        0.381868       0.00180243     
1.80783        0.380473       0.00179847     
1.81371        0.370591       0.00177542     
1.81959        0.36462        0.00176067     
1.82547        0.361686       0.00175335     
1.83135        0.354406       0.00173648     
1.83723        0.351132       0.00172793     
1.84311        0.34551        0.0017146      
1.84899        0.343843       0.00170963     
1.85487        0.335092       0.00168858     
1.86074        0.333145       0.00168296     
1.86662        0.326919       0.00166744     
1.8725         0.319656       0.00164914     
1.87838        0.317402       0.00164299     
