p (GeV)        dN/dp          error          
0.00387561     6.4506e-06     6.4506e-06     
0.0116268      0              0              
0.0193781      6.4506e-06     6.4506e-06     
0.0271293      6.4506e-06     6.4506e-06     
0.0348805      1.93518e-05    1.11728e-05    
0.0426317      1.29012e-05    9.12252e-06    
0.0503829      3.2253e-05     1.4424e-05     
0.0581341      4.51542e-05    1.70667e-05    
0.0658854      3.87036e-05    1.58007e-05    
0.0736366      3.87036e-05    1.58007e-05    
0.0813878      6.4506e-05     2.03986e-05    
0.089139       5.80554e-05    1.93518e-05    
0.0968902      9.6759e-05     2.4983e-05     
0.104641       0.000154814    3.16013e-05    
0.112393       0.000116111    2.73676e-05    
0.120144       0.000199969    3.59154e-05    
0.127895       0.000187067    3.47375e-05    
0.135646       0.00021287     3.70558e-05    
0.143398       0.000225771    3.81622e-05    
0.151149       0.000277376    4.22994e-05    
0.1589         0.000309629    4.4691e-05     
0.166651       0.000354783    4.78388e-05    
0.174402       0.000406388    5.12e-05       
0.182154       0.000354783    4.78388e-05    
0.189905       0.000361233    4.82718e-05    
0.197656       0.000393486    5.03807e-05    
0.205407       0.000509597    5.73341e-05    
0.213159       0.000561202    6.0167e-05     
0.22091        0.000587004    6.15346e-05    
0.228661       0.000612807    6.28725e-05    
0.236412       0.000625708    6.35309e-05    
0.244163       0.000767621    7.03675e-05    
0.251915       0.000825676    7.29799e-05    
0.259666       0.000799874    7.18306e-05    
0.267417       0.000735368    6.88733e-05    
0.275168       0.000819226    7.26943e-05    
0.28292        0.0010321      8.1594e-05     
0.290671       0.00113531     8.55765e-05    
0.298422       0.00119336     8.77372e-05    
0.306173       0.000961139    7.87393e-05    
0.313924       0.00107725     8.33597e-05    
0.321676       0.00123851     8.93817e-05    
0.329427       0.00122561     8.89149e-05    
0.337178       0.00129012     9.12248e-05    
0.344929       0.00134172     9.30314e-05    
0.352681       0.00129657     9.14525e-05    
0.360432       0.00149009     9.804e-05      
0.368183       0.00169651     0.00010461     
0.375934       0.00170941     0.000105007    
0.383685       0.00178036     0.000107165    
0.391437       0.00189648     0.000110604    
0.399188       0.00188357     0.000110227    
0.406939       0.00172231     0.000105403    
0.41469        0.00219965     0.000119117    
0.422441       0.00176746     0.000106776    
0.430193       0.00207709     0.000115751    
0.437944       0.00234157     0.000122899    
0.445695       0.00205129     0.00011503     
0.453446       0.00233512     0.000123068    
0.461198       0.00235447     0.000123237    
0.468949       0.00245768     0.000125909    
0.4767         0.00227061     0.000121023    
0.484451       0.0027415      0.000132981    
0.492202       0.00278666     0.000134072    
0.499954       0.0026899      0.000131724    
0.507705       0.00281246     0.000134691    
0.515456       0.00288987     0.000136532    
0.523207       0.00292212     0.000137292    
0.530959       0.00339946     0.000148081    
0.53871        0.00334786     0.000146953    
0.546461       0.00332851     0.000146528    
0.554212       0.00330271     0.000145958    
0.561963       0.00328335     0.00014553     
0.569715       0.00357363     0.000151827    
0.577466       0.00387036     0.000158004    
0.585217       0.0038252      0.00015708     
0.592968       0.00409613     0.000162547    
0.60072        0.0037865      0.000156283    
0.608471       0.00419289     0.000164456    
0.616222       0.00417354     0.000164076    
0.623973       0.00421869     0.000164961    
0.631724       0.00436705     0.000167837    
0.639476       0.00422514     0.000165087    
0.647227       0.00454767     0.000171272    
0.654978       0.00441866     0.000168825    
0.662729       0.00501211     0.000179805    
0.670481       0.00530884     0.000185051    
0.678232       0.0043219      0.000166967    
0.685983       0.00515403     0.000182333    
0.693734       0.00473474     0.000174759    
0.701485       0.0054056      0.000186729    
0.709237       0.00508952     0.000181188    
0.716988       0.00537335     0.000186172    
0.724739       0.0053927      0.000186507    
0.73249        0.00521853     0.00018347     
0.740242       0.00543785     0.000187286    
0.747993       0.00561847     0.00019037     
0.755744       0.00560557     0.000190152    
0.763495       0.00554106     0.000189055    
0.771246       0.00617967     0.000199651    
0.778998       0.00586359     0.000194479    
0.786749       0.00637319     0.000202753    
0.7945         0.00662476     0.000206716    
0.802251       0.00637319     0.000202753    
0.810002       0.00672152     0.00020822     
0.817754       0.00641834     0.00020347     
0.825505       0.0065022      0.000204795    
0.833256       0.00657961     0.00020601     
0.841007       0.00665057     0.000207118    
0.848759       0.00680538     0.000209515    
0.85651        0.00672797     0.00020832     
0.864261       0.00692149     0.000211294    
0.872012       0.00734078     0.0002176      
0.879763       0.00685699     0.000210308    
0.887515       0.00720532     0.000215583    
0.895266       0.00717306     0.0002151      
0.903017       0.00694084     0.00021159     
0.910768       0.00719887     0.000215486    
0.91852        0.00751495     0.000220166    
0.926271       0.00755365     0.000220732    
0.934022       0.00748269     0.000219693    
0.941773       0.00774072     0.000223449    
0.949524       0.0081471      0.000229239    
0.957276       0.00762461     0.000221766    
0.965027       0.00816646     0.000229511    
0.972778       0.00816001     0.00022942     
0.980529       0.00774717     0.000223542    
0.988281       0.0080697      0.000228147    
0.996032       0.00839868     0.000232751    
1.00378        0.00894053     0.000240141    
1.01153        0.00828902     0.000231226    
1.01929        0.00816646     0.000229511    
1.02704        0.00851479     0.000234354    
1.03479        0.00836642     0.000232304    
1.04254        0.00825031     0.000230686    
1.05029        0.00844383     0.000233376    
1.05804        0.00895343     0.000240314    
1.06579        0.00872121     0.000237178    
1.07354        0.00881797     0.00023849     
1.0813         0.00859865     0.000235682    
1.08905        0.00895988     0.000240401    
1.0968         0.00889537     0.000239534    
1.10455        0.00887602     0.000239273    
1.1123         0.00877926     0.000237966    
1.12005        0.00934692     0.000245538    
1.1278         0.00952108     0.000247815    
1.13555        0.00943722     0.000246721    
1.1433         0.00938562     0.000246046    
1.15106        0.00877926     0.000237966    
1.15881        0.00915985     0.000243069    
1.16656        0.00943722     0.000246721    
1.17431        0.00946948     0.000247142    
1.18206        0.00883087     0.000238664    
1.18981        0.00965009     0.000249488    
1.19756        0.00941787     0.000246468    
1.20531        0.00919855     0.000243581    
1.21307        0.00954688     0.00024815     
1.22082        0.00940497     0.000246299    
1.22857        0.00895988     0.000240401    
1.23632        0.0101274      0.000255583    
1.24407        0.00960494     0.000248904    
1.25182        0.00950173     0.000247563    
1.25957        0.00957269     0.000248653    
1.26732        0.00988232     0.000252472    
1.27508        0.00958559     0.000248653    
1.28283        0.00932111     0.000245199    
1.29058        0.00944367     0.000246805    
1.29833        0.00944367     0.000246805    
1.30608        0.00977911     0.00025115     
1.31383        0.00961784     0.000249238    
1.32158        0.0100049      0.000254032    
1.32933        0.00979846     0.000251398    
1.33709        0.00985651     0.000252142    
1.34484        0.00928241     0.000244689    
1.35259        0.00977266     0.000251067    
1.36034        0.00974685     0.000250735    
1.36809        0.00942432     0.000246552    
1.37584        0.00954688     0.00024815     
1.38359        0.00940497     0.000246299    
1.39134        0.0097662      0.000250984    
1.3991         0.00963074     0.000249405    
1.40685        0.00969525     0.000250071    
1.4146         0.00941142     0.000246384    
1.42235        0.00956624     0.000248402    
1.4301         0.00943722     0.000246721    
1.43785        0.00966945     0.000249738    
1.4456         0.00965009     0.000249488    
1.45335        0.00906309     0.000241781    
1.4611         0.00972105     0.000250403    
1.46886        0.0092179      0.000243838    
1.47661        0.00983071     0.000251812    
1.48436        0.0091921      0.000243496    
1.49211        0.00922435     0.000243923    
1.49986        0.00899213     0.000240833    
1.50761        0.00955333     0.000248234    
1.51536        0.00932111     0.000245199    
1.52311        0.00908889     0.000242125    
1.53087        0.00957914     0.000248569    
1.53862        0.00872766     0.000237265    
1.54637        0.00906954     0.000241867    
1.55412        0.00907599     0.000241953    
1.56187        0.00901148     0.000241092    
1.56962        0.00854704     0.000234798    
1.57737        0.00852769     0.000234532    
1.58512        0.00887602     0.000239447    
1.59288        0.00859865     0.000235505    
1.60063        0.00869541     0.000236826    
1.60838        0.00902439     0.000241265    
1.61613        0.00908244     0.000242211    
1.62388        0.00872766     0.000237265    
1.63163        0.00847609     0.000233821    
1.63938        0.00863735     0.000236035    
1.64713        0.00845673     0.000233554    
1.65489        0.00806325     0.000228056    
1.66264        0.00837288     0.000232393    
1.67039        0.00812775     0.000228966    
1.67814        0.00816646     0.000229511    
1.68589        0.00832772     0.000231766    
1.69364        0.00848254     0.00023391     
1.70139        0.00831482     0.000231586    
1.70914        0.00783103     0.000224748    
1.7169         0.0075988      0.000221391    
1.72465        0.00760525     0.000221485    
1.7324         0.00803099     0.000227599    
1.74015        0.00794714     0.000226408    
1.7479         0.00772782     0.000223262    
1.75565        0.00764396     0.000222048    
1.7634         0.00751495     0.000220166    
1.77115        0.00792133     0.00022604     
1.7789         0.00717951     0.000215197    
1.78666        0.00723757     0.000216065    
1.79441        0.00748914     0.000219788    
