pT (GeV)       dN/dpt         error          
0.00393956     0.0194882      0.00035164     
0.0118187      0.0602224      0.000618178    
0.0196978      0.0984626      0.00079036     
0.027577       0.136862       0.00093204     
0.0354561      0.178998       0.00106609     
0.0433352      0.217746       0.00117548     
0.0512143      0.255282       0.00127315     
0.0590935      0.293859       0.00136535     
0.0669726      0.334479       0.00145708     
0.0748517      0.370066       0.00153242     
0.0827309      0.408249       0.00160963     
0.09061        0.446978       0.00168478     
0.0984891      0.484508       0.00175411     
0.106368       0.52028        0.00181748     
0.114247       0.556768       0.00187971     
0.122127       0.597115       0.00194702     
0.130006       0.627328       0.00199563     
0.137885       0.663633       0.00205234     
0.145764       0.699189       0.00210558     
0.153643       0.735747       0.0021605      
0.161522       0.769285       0.00220971     
0.169401       0.805355       0.0022609      
0.17728        0.831285       0.00229672     
0.18516        0.869722       0.00234856     
0.193039       0.900112       0.00238929     
0.200918       0.925572       0.00242321     
0.208797       0.957891       0.00246508     
0.216676       0.989176       0.00250563     
0.224555       1.01621        0.00253921     
0.232434       1.0457         0.00257521     
0.240313       1.07688        0.00261375     
0.248193       1.10395        0.00264669     
0.256072       1.12381        0.0026699      
0.263951       1.14758        0.00269874     
0.27183        1.17254        0.00272748     
0.279709       1.20127        0.00276098     
0.287588       1.22606        0.00278967     
0.295467       1.24761        0.00281347     
0.303347       1.27259        0.00284102     
0.311226       1.28746        0.0028579      
0.319105       1.31103        0.00288411     
0.326984       1.33331        0.00290862     
0.334863       1.35046        0.00292765     
0.342742       1.36535        0.002943       
0.350621       1.38565        0.00296555     
0.3585         1.39666        0.00297745     
0.36638        1.41475        0.00299644     
0.374259       1.42824        0.0030105      
0.382138       1.44416        0.00302775     
0.390017       1.45574        0.00303978     
0.397896       1.47294        0.003058       
0.405775       1.48405        0.00306838     
0.413654       1.49055        0.00307592     
0.421533       1.49942        0.00308509     
0.429413       1.50939        0.00309459     
0.437292       1.52122        0.00310683     
0.445171       1.52691        0.00311298     
0.45305        1.5381         0.00312408     
0.460929       1.5408         0.00312719     
0.468808       1.54597        0.00313228     
0.476687       1.5519         0.00313803     
0.484566       1.55751        0.00314392     
0.492446       1.5559         0.00314279     
0.500325       1.561          0.00314769     
0.508204       1.5657         0.0031519      
0.516083       1.56671        0.00315348     
0.523962       1.57257        0.00315818     
0.531841       1.57173        0.00315796     
0.53972        1.56616        0.00315253     
0.5476         1.57078        0.00315663     
0.555479       1.57097        0.00315789     
0.563358       1.56593        0.00315284     
0.571237       1.57071        0.00315736     
0.579116       1.56111        0.00314809     
0.586995       1.55386        0.0031397      
0.594874       1.55534        0.00314098     
0.602753       1.55725        0.00314216     
0.610633       1.54898        0.00313535     
0.618512       1.54412        0.00313001     
0.626391       1.53529        0.0031214      
0.63427        1.53043        0.00311682     
0.642149       1.52079        0.00310644     
0.650028       1.52197        0.00310843     
0.657907       1.51359        0.00309943     
0.665786       1.5072         0.00309283     
0.673666       1.49409        0.00307948     
0.681545       1.48452        0.00306854     
0.689424       1.47934        0.00306347     
0.697303       1.46286        0.00304668     
0.705182       1.45631        0.00303964     
0.713061       1.44873        0.00303239     
0.72094        1.43862        0.00302192     
0.72882        1.42539        0.00300838     
0.736699       1.41839        0.00300023     
0.744578       1.40456        0.00298473     
0.752457       1.39382        0.00297421     
0.760336       1.38489        0.00296484     
0.768215       1.37435        0.00295324     
0.776094       1.36117        0.00293965     
0.783973       1.34917        0.0029268      
0.791853       1.33566        0.00291163     
0.799732       1.32308        0.00289737     
0.807611       1.31438        0.00288714     
0.81549        1.29934        0.00287113     
0.823369       1.28735        0.00285859     
0.831248       1.27565        0.00284447     
0.839127       1.25747        0.00282502     
0.847006       1.25137        0.00281838     
0.854886       1.23556        0.00280005     
0.862765       1.2242         0.00278722     
0.870644       1.20605        0.0027665      
0.878523       1.19895        0.00275826     
0.886402       1.1759         0.00273193     
0.894281       1.17188        0.00272792     
0.90216        1.15195        0.00270443     
0.91004        1.1442         0.00269475     
0.917919       1.12792        0.00267574     
0.925798       1.11318        0.0026577      
0.933677       1.10073        0.00264249     
0.941556       1.08698        0.00262626     
0.949435       1.07044        0.00260592     
0.957314       1.062          0.00259587     
0.965193       1.04687        0.00257766     
0.973073       1.03291        0.00256037     
0.980952       1.02145        0.00254548     
0.988831       1.00913        0.00253098     
0.99671        0.992508       0.00250994     
1.00459        0.978173       0.00249139     
1.01247        0.963552       0.00247299     
1.02035        0.952612       0.00245873     
1.02823        0.937565       0.00243935     
1.03611        0.924087       0.00242085     
1.04398        0.91467        0.00240917     
1.05186        0.897104       0.00238589     
1.05974        0.885872       0.00237101     
1.06762        0.873713       0.00235474     
1.0755         0.859644       0.00233585     
1.08338        0.849999       0.00232126     
1.09126        0.838037       0.00230704     
1.09914        0.824038       0.00228688     
1.10702        0.812463       0.00227037     
1.1149         0.796497       0.00224754     
1.12278        0.781666       0.00222705     
1.13066        0.767978       0.00220767     
1.13853        0.756518       0.00219106     
1.14641        0.746872       0.00217745     
1.15429        0.732206       0.00215565     
1.16217        0.727726       0.00214895     
1.17005        0.71308        0.00212749     
1.17793        0.70761        0.00211893     
1.18581        0.691574       0.00209501     
1.19369        0.67991        0.00207674     
1.20157        0.666355       0.00205642     
1.20945        0.652261       0.00203493     
1.21733        0.649177       0.00202939     
1.2252         0.63368        0.00200558     
1.23308        0.623197       0.00198849     
1.24096        0.61213        0.00197121     
1.24884        0.604274       0.00195786     
1.25672        0.59313        0.0019402      
1.2646         0.581631       0.00192136     
1.27248        0.571332       0.00190396     
1.28036        0.564364       0.0018921      
1.28824        0.552326       0.00187226     
1.29612        0.542845       0.00185572     
1.304          0.528548       0.00183128     
1.31188        0.527063       0.00182881     
1.31975        0.511801       0.0018018      
1.32763        0.50359        0.00178776     
1.33551        0.495696       0.00177351     
1.34339        0.485238       0.00175475     
1.35127        0.477477       0.00174059     
1.35915        0.469855       0.00172653     
1.36703        0.457849       0.00170477     
1.37491        0.453369       0.00169614     
1.38279        0.443989       0.00167856     
1.39067        0.437529       0.00166658     
1.39855        0.42947        0.00165059     
1.40642        0.418282       0.00162943     
1.4143         0.411962       0.00161688     
1.42218        0.402525       0.0015984      
1.43006        0.392283       0.00157771     
1.43794        0.389034       0.00157138     
1.44582        0.383424       0.00155996     
1.4537         0.373119       0.00153882     
1.46158        0.367388       0.00152671     
1.46946        0.361391       0.00151432     
1.47734        0.349347       0.00148956     
1.48522        0.34684        0.00148342     
1.4931         0.340215       0.00146913     
1.50097        0.332346       0.00145204     
1.50885        0.323538       0.00143324     
1.51673        0.318151       0.00142113     
1.52461        0.312782       0.00140892     
1.53249        0.306049       0.00139366     
1.54037        0.301099       0.00138232     
1.54825        0.296924       0.00137266     
1.55613        0.288103       0.00135221     
1.56401        0.283191       0.00134074     
1.57189        0.276388       0.00132419     
1.57977        0.270506       0.00131039     
1.58764        0.266178       0.00129945     
1.59552        0.259775       0.00128353     
1.6034         0.257084       0.00127749     
1.61128        0.25084        0.00126208     
1.61916        0.246461       0.00125042     
1.62704        0.241086       0.00123722     
1.63492        0.237171       0.00122665     
1.6428         0.230635       0.00120975     
1.65068        0.225291       0.00119577     
1.65856        0.222283       0.00118732     
1.66644        0.215817       0.00117025     
1.67432        0.212803       0.00116207     
1.68219        0.209338       0.00115229     
1.69007        0.203995       0.00113792     
1.69795        0.199172       0.00112436     
1.70583        0.194895       0.00111201     
1.71371        0.189685       0.00109716     
1.72159        0.185192       0.00108387     
1.72947        0.180629       0.00107073     
1.73735        0.178649       0.00106464     
1.74523        0.175514       0.00105544     
1.75311        0.17038        0.00103981     
1.76099        0.167937       0.00103259     
1.76886        0.163007       0.00101689     
1.77674        0.161566       0.00101239     
1.78462        0.156864       0.000997584    
1.7925         0.153659       0.000987446    
1.80038        0.149985       0.000975514    
1.80826        0.14803        0.000969275    
1.81614        0.142592       0.000951348    
1.82402        0.141976       0.000949042    
1.8319         0.138232       0.000936383    
1.83978        0.135402       0.000926981    
1.84766        0.133225       0.000919298    
1.85554        0.129373       0.000905978    
1.86341        0.125864       0.000893628    
1.87129        0.123707       0.000886176    
1.87917        0.119905       0.000872348    
1.88705        0.117519       0.000863503    
1.89493        0.115597       0.000856421    
1.90281        0.113712       0.000849659    
1.91069        0.109733       0.000834309    
1.91857        0.106839       0.000823494    
1.92645        0.103831       0.000811891    
1.93433        0.103431       0.000810131    
1.94221        0.101236       0.000801449    
1.95008        0.0979359      0.000788246    
1.95796        0.096616       0.000782975    
1.96584        0.0946297      0.000774896    
1.97372        0.0924848      0.000766129    
1.9816         0.090359       0.000757339    
1.98948        0.0882331      0.000748392    
1.99736        0.0873891      0.000744919    
2.00524        0.0833848      0.000727576    
2.01312        0.0837783      0.000729066    
2.021          0.0798438      0.000711703    
2.02888        0.0789745      0.000707879    
2.03676        0.0770643      0.000699333    
2.04463        0.0742468      0.000686563    
2.05251        0.0737581      0.000684127    
2.06039        0.0709786      0.000671187    
