p (GeV)        dN/dp          error          
0.00293827     0.000144643    3.5081e-05     
0.00881482     0.000604097    7.16929e-05    
0.0146914      0.00155704     0.000115099    
0.0205679      0.00346292     0.000171649    
0.0264444      0.00546239     0.00021558     
0.032321       0.00784475     0.000258347    
0.0381975      0.0117586      0.000316291    
0.0440741      0.0149748      0.000357135    
0.0499506      0.0199352      0.000411821    
0.0558272      0.0246999      0.000458395    
0.0617037      0.0306302      0.000510458    
0.0675803      0.03548        0.000549509    
0.0734568      0.0413934      0.000593507    
0.0793333      0.0484043      0.000641659    
0.0852099      0.056683       0.000694454    
0.0910864      0.0637705      0.000736662    
0.096963       0.0720577      0.000782931    
0.10284        0.0818934      0.000834794    
0.108716       0.0888532      0.000869588    
0.114593       0.100961       0.000926712    
0.120469       0.109682       0.000965795    
0.126346       0.120241       0.00101125     
0.132222       0.131038       0.0010557      
0.138099       0.142388       0.00110088     
0.143975       0.155576       0.00115069     
0.149852       0.169224       0.00119963     
0.155728       0.180259       0.00123848     
0.161605       0.192562       0.00128007     
0.167482       0.206278       0.00132503     
0.173358       0.219738       0.00136746     
0.179235       0.233709       0.00141035     
0.185111       0.24916        0.00145584     
0.190988       0.261906       0.0014927      
0.196864       0.277876       0.00153745     
0.202741       0.292902       0.00157848     
0.208617       0.309459       0.00162225     
0.214494       0.322979       0.00165794     
0.22037        0.344139       0.00171108     
0.226247       0.357634       0.0017443      
0.232123       0.376463       0.00178976     
0.238          0.390961       0.00182379     
0.243877       0.40985        0.00186774     
0.249753       0.421523       0.00189413     
0.25563        0.444368       0.00194421     
0.261506       0.461972       0.00198274     
0.267383       0.47659        0.00201384     
0.273259       0.495785       0.00205319     
0.279136       0.512172       0.00208719     
0.285012       0.530005       0.00212383     
0.290889       0.550698       0.00216452     
0.296765       0.568761       0.00220017     
0.302642       0.580622       0.00222273     
0.308519       0.600753       0.0022616      
0.314395       0.620058       0.00229699     
0.320272       0.638173       0.00233058     
0.326148       0.656415       0.00236337     
0.332025       0.67601        0.00239799     
0.337901       0.69432        0.00243041     
0.343778       0.711328       0.00246        
0.349654       0.730821       0.00249398     
0.355531       0.751794       0.00252908     
0.361407       0.770657       0.00256121     
0.367284       0.783062       0.00258124     
0.373161       0.80726        0.00262064     
0.379037       0.820891       0.00264299     
0.384914       0.837856       0.00266978     
0.39079        0.855809       0.00269847     
0.396667       0.874477       0.00272763     
0.402543       0.889987       0.00275199     
0.40842        0.905558       0.00277503     
0.414296       0.924276       0.00280404     
0.420173       0.944143       0.00283406     
0.426049       0.95922        0.0028566      
0.431926       0.976007       0.00288131     
0.437803       0.987698       0.002899       
0.443679       1.00602        0.00292612     
0.449556       1.02253        0.00294986     
0.455432       1.03733        0.00297123     
0.461309       1.05592        0.00299644     
0.467185       1.06879        0.0030153      
0.473062       1.08798        0.00304246     
0.478938       1.09885        0.00305876     
0.484815       1.11384        0.00307891     
0.490691       1.12472        0.00309223     
0.496568       1.13788        0.00311217     
0.502445       1.15462        0.00313492     
0.508321       1.16782        0.00315246     
0.514198       1.18365        0.0031745      
0.520074       1.19877        0.00319375     
0.525951       1.20396        0.00320044     
0.531827       1.21548        0.00321556     
0.537704       1.2319         0.0032376      
0.54358        1.24406        0.00325361     
0.549457       1.25162        0.00326313     
0.555333       1.26501        0.00328088     
0.56121        1.27133        0.00328913     
0.567086       1.28585        0.00330754     
0.572963       1.30164        0.0033285      
0.57884        1.30701        0.00333451     
0.584716       1.31297        0.00334323     
0.590593       1.32361        0.00335565     
0.596469       1.33038        0.00336409     
0.602346       1.33707        0.00337268     
0.608222       1.34841        0.00338632     
0.614099       1.35961        0.00340086     
0.619975       1.36815        0.00341181     
0.625852       1.37209        0.00341643     
0.631728       1.37778        0.00342398     
0.637605       1.38527        0.00343361     
0.643482       1.38651        0.0034343      
0.649358       1.39438        0.00344478     
0.655235       1.4012         0.00345305     
