pT (GeV)       dN/dpt         error          
0.00599114     0              0              
0.0179734      0              0              
0.0299557      0              0              
0.041938       0              0              
0.0539203      0              0              
0.0659025      0              0              
0.0778848      0              0              
0.0898671      4.17283e-06    4.17283e-06    
0.101849       0              0              
0.113832       8.34566e-06    5.90127e-06    
0.125814       0              0              
0.137796       0              0              
0.149779       4.17283e-06    4.17283e-06    
0.161761       0              0              
0.173743       0              0              
0.185725       4.17283e-06    4.17283e-06    
0.197708       4.17283e-06    4.17283e-06    
0.20969        4.17283e-06    4.17283e-06    
0.221672       0              0              
0.233654       4.17283e-06    4.17283e-06    
0.245637       0              0              
0.257619       4.17283e-06    4.17283e-06    
0.269601       0              0              
0.281584       4.17283e-06    4.17283e-06    
0.293566       4.17283e-06    4.17283e-06    
0.305548       4.17283e-06    4.17283e-06    
0.31753        8.34566e-06    5.90127e-06    
0.329513       0              0              
0.341495       0              0              
0.353477       4.17283e-06    4.17283e-06    
0.36546        4.17283e-06    4.17283e-06    
0.377442       1.25185e-05    7.22755e-06    
0.389424       4.17283e-06    4.17283e-06    
0.401406       4.17283e-06    4.17283e-06    
0.413389       0              0              
0.425371       2.08641e-05    9.33073e-06    
0.437353       4.17283e-06    4.17283e-06    
0.449335       4.17283e-06    4.17283e-06    
0.461318       1.66913e-05    8.34566e-06    
0.4733         0              0              
0.485282       4.17283e-06    4.17283e-06    
0.497265       8.34566e-06    5.90127e-06    
0.509247       4.17283e-06    4.17283e-06    
0.521229       1.66913e-05    8.34566e-06    
0.533211       8.34566e-06    5.90127e-06    
0.545194       1.66913e-05    8.34566e-06    
0.557176       2.5037e-05     1.02213e-05    
0.569158       8.34566e-06    5.90127e-06    
0.581141       1.25185e-05    7.22755e-06    
0.593123       8.34566e-06    5.90127e-06    
0.605105       1.25185e-05    7.22755e-06    
0.617087       8.34566e-06    5.90127e-06    
0.62907        0              0              
0.641052       1.66913e-05    8.34566e-06    
0.653034       1.25185e-05    7.22755e-06    
0.665017       8.34566e-06    5.90127e-06    
0.676999       8.34566e-06    5.90127e-06    
0.688981       0              0              
0.700963       1.25185e-05    7.22755e-06    
0.712946       4.17283e-06    4.17283e-06    
0.724928       2.08641e-05    9.33073e-06    
0.73691        1.25185e-05    7.22755e-06    
0.748892       1.25185e-05    7.22755e-06    
0.760875       8.34566e-06    5.90127e-06    
0.772857       1.25185e-05    7.22755e-06    
0.784839       1.25185e-05    7.22755e-06    
0.796822       1.66913e-05    8.34566e-06    
0.808804       2.5037e-05     1.02213e-05    
0.820786       1.25185e-05    7.22755e-06    
0.832768       8.34566e-06    5.90127e-06    
0.844751       2.08641e-05    9.33073e-06    
0.856733       0              0              
0.868715       8.34566e-06    5.90127e-06    
0.880698       1.25185e-05    7.22755e-06    
0.89268        1.66913e-05    8.34566e-06    
0.904662       1.25185e-05    7.22755e-06    
0.916644       2.08641e-05    9.33073e-06    
0.928627       1.66913e-05    8.34566e-06    
0.940609       2.5037e-05     1.02213e-05    
0.952591       2.92098e-05    1.10403e-05    
0.964574       2.08641e-05    9.33073e-06    
0.976556       1.25185e-05    7.22755e-06    
0.988538       8.34566e-06    5.90127e-06    
1.00052        1.25185e-05    7.22755e-06    
1.0125         1.66913e-05    8.34566e-06    
1.02448        1.66913e-05    8.34566e-06    
1.03647        0              0              
1.04845        1.25185e-05    7.22755e-06    
1.06043        1.66913e-05    8.34566e-06    
1.07241        1.66913e-05    8.34566e-06    
1.0844         4.17283e-06    4.17283e-06    
1.09638        1.25185e-05    7.22755e-06    
1.10836        1.66913e-05    8.34566e-06    
1.12034        2.5037e-05     1.02213e-05    
1.13233        2.92098e-05    1.10403e-05    
1.14431        1.66913e-05    8.34566e-06    
1.15629        1.25185e-05    7.22755e-06    
1.16827        8.34566e-06    5.90127e-06    
1.18025        4.17283e-06    4.17283e-06    
1.19224        2.5037e-05     1.02213e-05    
1.20422        2.5037e-05     1.02213e-05    
1.2162         1.66913e-05    8.34566e-06    
1.22818        8.34566e-06    5.90127e-06    
1.24017        8.34566e-06    5.90127e-06    
1.25215        2.5037e-05     1.02213e-05    
1.26413        2.08641e-05    9.33073e-06    
1.27611        4.17283e-06    4.17283e-06    
1.2881         1.66913e-05    8.34566e-06    
1.30008        1.25185e-05    7.22755e-06    
1.31206        1.25185e-05    7.22755e-06    
1.32404        8.34566e-06    5.90127e-06    
1.33602        1.25185e-05    7.22755e-06    
1.34801        2.5037e-05     1.02213e-05    
1.35999        2.5037e-05     1.02213e-05    
1.37197        1.25185e-05    7.22755e-06    
1.38395        8.34566e-06    5.90127e-06    
1.39594        1.25185e-05    7.22755e-06    
1.40792        2.08641e-05    9.33073e-06    
1.4199         8.34566e-06    5.90127e-06    
1.43188        8.34566e-06    5.90127e-06    
1.44386        1.66913e-05    8.34566e-06    
1.45585        1.25185e-05    7.22755e-06    
1.46783        8.34566e-06    5.90127e-06    
1.47981        1.66913e-05    8.34566e-06    
1.49179        1.25185e-05    7.22755e-06    
1.50378        1.25185e-05    7.22755e-06    
1.51576        1.25185e-05    7.22755e-06    
1.52774        1.66913e-05    8.34566e-06    
1.53972        2.5037e-05     1.02213e-05    
1.55171        1.25185e-05    7.22755e-06    
1.56369        1.25185e-05    7.22755e-06    
1.57567        1.66913e-05    8.34566e-06    
1.58765        3.75555e-05    1.25185e-05    
1.59963        4.17283e-06    4.17283e-06    
1.61162        2.5037e-05     1.02213e-05    
1.6236         1.66913e-05    8.34566e-06    
1.63558        4.17283e-06    4.17283e-06    
1.64756        2.08641e-05    9.33073e-06    
1.65955        2.08641e-05    9.33073e-06    
1.67153        2.92098e-05    1.10403e-05    
1.68351        1.66913e-05    8.34566e-06    
1.69549        2.5037e-05     1.02213e-05    
1.70747        1.25185e-05    7.22755e-06    
1.71946        8.34566e-06    5.90127e-06    
1.73144        1.25185e-05    7.22755e-06    
1.74342        2.08641e-05    9.33073e-06    
1.7554         1.66913e-05    8.34566e-06    
