p (GeV)        dN/dp          error          
0.00387561     0              0              
0.0116268      0              0              
0.0193781      1.29012e-05    9.12252e-06    
0.0271293      3.2253e-05     1.4424e-05     
0.0348805      5.80554e-05    1.93518e-05    
0.0426317      6.4506e-05     2.03986e-05    
0.0503829      3.87036e-05    1.58007e-05    
0.0581341      0.00010321     2.58024e-05    
0.0658854      0.000141913    3.0256e-05     
0.0736366      0.000135463    2.95603e-05    
0.0813878      0.000193518    3.53314e-05    
0.089139       0.00021932     3.76131e-05    
0.0968902      0.000316079    4.51541e-05    
0.104641       0.000270925    4.18046e-05    
0.112393       0.000251573    4.02839e-05    
0.120144       0.000361233    4.82718e-05    
0.127895       0.000380585    4.95479e-05    
0.135646       0.000470894    5.51138e-05    
0.143398       0.000412838    5.16047e-05    
0.151149       0.000516048    5.76958e-05    
0.1589         0.000690214    6.67253e-05    
0.166651       0.000657961    6.51477e-05    
0.174402       0.00076117     7.00712e-05    
0.182154       0.00075472     6.97737e-05    
0.189905       0.000870831    7.49489e-05    
0.197656       0.00101919     8.10824e-05    
0.205407       0.0010837      8.36089e-05    
0.213159       0.00125142     8.9846e-05     
0.22091        0.00133527     9.28075e-05    
0.228661       0.00114821     8.60613e-05    
0.236412       0.00152879     9.93051e-05    
0.244163       0.00170941     0.000105007    
0.251915       0.00169006     0.000104411    
0.259666       0.00174166     0.000105993    
0.267417       0.0016191      0.000102196    
0.275168       0.00186422     0.000109659    
0.28292        0.00208354     0.00011593     
0.290671       0.00207064     0.000115571    
0.298422       0.00228996     0.000121537    
0.306173       0.00239962     0.000124413    
0.313924       0.00245123     0.000125744    
0.321676       0.00292212     0.000137292    
0.329427       0.00270925     0.000132197    
0.337178       0.00282536     0.000135       
0.344929       0.00306403     0.000140586    
0.352681       0.00324465     0.00014467     
0.360432       0.00354783     0.000151278    
0.368183       0.00358653     0.000152101    
0.375934       0.00353493     0.000151003    
0.383685       0.00388326     0.000158267    
0.391437       0.00385746     0.000157741    
0.399188       0.00435415     0.000167589    
0.406939       0.00407678     0.000162163    
0.41469        0.00419934     0.000164582    
0.422441       0.00454122     0.000171151    
0.430193       0.00437996     0.000168084    
0.437944       0.0048057      0.000176064    
0.445695       0.00507017     0.000180843    
0.453446       0.00511532     0.000181647    
0.461198       0.00557332     0.000189604    
0.468949       0.00536045     0.000185948    
0.4767         0.00566362     0.000191134    
0.484451       0.00582489     0.000193836    
0.492202       0.00603776     0.000197346    
0.499954       0.00663766     0.000206917    
0.507705       0.00628933     0.000201415    
0.515456       0.00687634     0.000210604    
0.523207       0.00689569     0.0002109      
0.530959       0.00723757     0.000216065    
0.53871        0.00697955     0.000212179    
0.546461       0.0075085      0.000220071    
0.554212       0.00732788     0.000217409    
0.561963       0.00794714     0.000226408    
0.569715       0.00743754     0.000219029    
0.577466       0.00810195     0.000228603    
0.585217       0.00821161     0.000230144    
0.592968       0.00840513     0.00023284     
0.60072        0.00839868     0.000232751    
0.608471       0.00834707     0.000232035    
0.616222       0.00875346     0.000237616    
0.623973       0.00955333     0.000248234    
0.631724       0.00948883     0.000247395    
0.639476       0.00948238     0.000247311    
0.647227       0.00955333     0.000248234    
0.654978       0.0102242      0.000256963    
0.662729       0.0101468      0.000256153    
0.670481       0.0107983      0.000263912    
0.678232       0.0103984      0.000258979    
0.685983       0.0111918      0.000268677    
0.693734       0.0111918      0.000268677    
0.701485       0.0108628      0.000264699    
0.709237       0.0118562      0.000276537    
0.716988       0.0117788      0.000275633    
0.724739       0.011495       0.000272292    
0.73249        0.0120626      0.000278933    
0.740242       0.0123013      0.000281679    
0.747993       0.0121916      0.000280421    
0.755744       0.0129851      0.000289401    
0.763495       0.0131915      0.000291692    
0.771246       0.0129528      0.000289041    
0.778998       0.0130947      0.00029062     
0.786749       0.0134108      0.000294106    
0.7945         0.0133334      0.000293257    
0.802251       0.013901       0.000299433    
0.810002       0.0134624      0.000294672    
0.817754       0.0139075      0.000299503    
0.825505       0.0144106      0.000304872    
0.833256       0.0147138      0.000308062    
0.841007       0.015075       0.00031182     
0.848759       0.0145009      0.000305826    
0.85651        0.0155201      0.000316389    
0.864261       0.0145977      0.000306844    
0.872012       0.0161136      0.000322381    
0.879763       0.0158878      0.000320115    
0.887515       0.0158427      0.000319659    
0.895266       0.0161071      0.000322316    
0.903017       0.0164297      0.000325527    
0.910768       0.0162233      0.000323476    
0.91852        0.0170231      0.000331353    
0.926271       0.0166683      0.000327882    
0.934022       0.0169393      0.000330536    
0.941773       0.017036       0.000331479    
0.949524       0.017565       0.000336585    
0.957276       0.0173005      0.000334041    
0.965027       0.0176682      0.000337572    
0.972778       0.018023       0.000340944    
0.980529       0.0183519      0.000344041    
0.988281       0.0177262      0.000338126    
0.996032       0.0186551      0.000346871    
1.00378        0.0187261      0.00034753     
1.01153        0.0187003      0.00034741     
1.01929        0.0185003      0.000345429    
1.02704        0.0182036      0.000342769    
1.03479        0.0186035      0.000346391    
