pT (GeV)       dN/dpt         error          
0.00487561     0.000143572    2.71325e-05    
0.0146268      0.000517884    5.15312e-05    
0.024378       0.000851176    6.60638e-05    
0.0341293      0.00108192     7.44818e-05    
0.0438805      0.00161518     9.10045e-05    
0.0536317      0.0018972      9.86297e-05    
0.0633829      0.00231766     0.000109012    
0.0731341      0.00269197     0.000117486    
0.0828854      0.0029586      0.000123167    
0.0926366      0.00311243     0.000126328    
0.102388       0.00342521     0.000132523    
0.112139       0.00392771     0.000141911    
0.12189        0.00421486     0.000147007    
0.131641       0.00441483     0.000150454    
0.141393       0.00456353     0.000152967    
0.151144       0.00512756     0.000162144    
0.160895       0.00598899     0.000175235    
0.170646       0.00571723     0.000171213    
0.180398       0.00611206     0.000177026    
0.190149       0.00654277     0.000183157    
0.1999         0.00684017     0.000187413    
0.209651       0.00727601     0.000193147    
0.219402       0.00753239     0.00019652     
0.229154       0.00768109     0.00019845     
0.238905       0.00831691     0.000206499    
0.248656       0.00878352     0.000212213    
0.258407       0.00891171     0.000213755    
0.268159       0.00893734     0.000214063    
0.27791        0.00958854     0.000221723    
0.287661       0.00941421     0.000219699    
0.297412       0.0101987      0.000228669    
0.307163       0.0104705      0.000231695    
0.316915       0.010532       0.000232488    
0.326666       0.0110602      0.000238129    
0.336417       0.011173       0.00023934     
0.346168       0.0118498      0.000246482    
0.35592        0.0119113      0.000247121    
0.365671       0.0121472      0.000249556    
0.375422       0.0121985      0.000250082    
0.385173       0.0126497      0.000254665    
0.394924       0.0131932      0.000260078    
0.404676       0.012983       0.000257997    
0.414427       0.0135111      0.000263192    
0.424178       0.013665       0.000264686    
0.433929       0.0143367      0.000271112    
0.443681       0.0143521      0.000271258    
0.453432       0.01467        0.000274245    
0.463183       0.0146494      0.000274053    
0.472934       0.0150084      0.000277485    
0.482685       0.0154955      0.000281855    
0.492437       0.0154186      0.000281155    
0.502188       0.0160185      0.000286571    
0.511939       0.0155775      0.000282693    
0.52169        0.0161775      0.000287989    
0.531441       0.016844       0.000293862    
0.541193       0.0166492      0.000292247    
0.550944       0.0170184      0.000295467    
0.560695       0.0173671      0.000298476    
0.570446       0.0169517      0.000294799    
0.580198       0.0177362      0.000301543    
0.589949       0.0172286      0.000297197    
0.5997         0.0175311      0.000299794    
0.609451       0.0180644      0.000304405    
0.619202       0.01809        0.000304535    
0.628954       0.0187259      0.000309924    
0.638705       0.0186489      0.000309203    
0.648456       0.0185977      0.000308777    
0.658207       0.0191617      0.000313424    
0.667959       0.0191771      0.00031355     
0.67771        0.0187976      0.000310433    
0.687461       0.0202129      0.000321904    
0.697212       0.0191976      0.000313717    
0.706963       0.0203257      0.000322801    
0.716715       0.0198437      0.000319034    
0.726466       0.0201667      0.000321618    
0.736217       0.0196642      0.000317589    
0.745968       0.0204539      0.000323817    
0.75572        0.0198027      0.000318622    
0.765471       0.0204795      0.00032402     
0.775222       0.0204897      0.000324101    
0.784973       0.0204795      0.00032402     
0.794724       0.020823       0.000326726    
0.804476       0.0204744      0.000323979    
0.814227       0.0207307      0.000326001    
0.823978       0.0208999      0.000327409    
0.833729       0.0206436      0.000325396    
0.843481       0.0213922      0.00033116     
0.853232       0.0215922      0.000332704    
0.862983       0.0207769      0.000326364    
0.872734       0.0213409      0.000330842    
0.882485       0.0208538      0.000326967    
0.892237       0.021423       0.000331398    
0.901988       0.0211717      0.000329449    
0.911739       0.0218075      0.000334437    
0.92149        0.0213204      0.000330684    
0.931242       0.0214589      0.000331675    
0.940993       0.0216127      0.000332941    
0.950744       0.0214281      0.000331438    
0.960495       0.0216024      0.000332783    
0.970246       0.0216229      0.000333099    
0.979998       0.0215973      0.000332743    
0.989749       0.0212948      0.000330405    
0.9995         0.0214742      0.000331874    
1.00925        0.0212896      0.000330365    
1.019          0.021223       0.000330087    
1.02875        0.0215665      0.000332506    
1.0385         0.0214332      0.000331477    
1.04826        0.021023       0.000328291    
1.05801        0.0213922      0.000331319    
1.06776        0.0206231      0.000325315    
1.07751        0.0216383      0.000333059    
1.08726        0.0210589      0.000328651    
1.09701        0.020782       0.000326484    
