p (GeV)        dN/dp          error          
0.00293827     0.00016166     3.70872e-05    
0.00881482     0.0013188      0.000105928    
0.0146914      0.00356502     0.000174161    
0.0205679      0.00757248     0.000253824    
0.0264444      0.0120649      0.000320384    
0.032321       0.0180974      0.000392382    
0.0381975      0.0252019      0.000463186    
0.0440741      0.0335146      0.000533947    
0.0499506      0.0424229      0.000600717    
0.0558272      0.0537306      0.000676244    
0.0617037      0.0641108      0.000738525    
0.0675803      0.0780561      0.000814934    
0.0734568      0.0923672      0.000886513    
0.0793333      0.104628       0.000943299    
0.0852099      0.122861       0.00102248     
0.0910864      0.140287       0.00109267     
0.096963       0.160783       0.00116987     
0.10284        0.176745       0.00122626     
0.108716       0.196263       0.00129194     
0.114593       0.220963       0.00137063     
0.120469       0.244574       0.00144266     
0.126346       0.263743       0.00149767     
0.132222       0.287839       0.00156501     
0.138099       0.316674       0.00164179     
0.143975       0.338788       0.00169748     
0.149852       0.367971       0.00176931     
0.155728       0.39901        0.00184246     
0.161605       0.423565       0.00189816     
0.167482       0.452809       0.00196283     
0.173358       0.486502       0.00203462     
0.179235       0.517421       0.00209856     
0.185111       0.547975       0.00215876     
0.190988       0.576453       0.00221427     
0.196864       0.611107       0.00228009     
0.202741       0.645507       0.00234318     
0.208617       0.681412       0.00240712     
0.214494       0.71605        0.00246785     
0.22037        0.748288       0.0025232      
0.226247       0.781718       0.00257865     
0.232123       0.821741       0.00264421     
0.238          0.862327       0.00270851     
0.243877       0.89602        0.00276115     
0.249753       0.931713       0.00281626     
0.25563        0.975122       0.00288019     
0.261506       1.01229        0.00293409     
0.267383       1.0487         0.00298774     
0.273259       1.0874         0.00304244     
0.279136       1.12912        0.00309974     
0.285012       1.16564        0.00314892     
0.290889       1.20785        0.00320613     
0.296765       1.2437         0.0032528      
0.302642       1.28324        0.00330381     
0.308519       1.31906        0.00334992     
0.314395       1.35927        0.00340023     
0.320272       1.40758        0.00346086     
0.326148       1.44388        0.0035047      
0.332025       1.48321        0.00355235     
0.337901       1.53042        0.00360919     
0.343778       1.57148        0.00365572     
0.349654       1.60975        0.00370071     
0.355531       1.64954        0.00374608     
0.361407       1.6842         0.00378522     
0.367284       1.72231        0.00382721     
0.373161       1.76636        0.00387725     
0.379037       1.80717        0.00392156     
0.384914       1.84119        0.00395769     
0.39079        1.88307        0.00400336     
0.396667       1.92328        0.00404431     
0.402543       1.95941        0.00408358     
0.40842        1.99166        0.00411726     
0.414296       2.03233        0.00415823     
0.420173       2.06869        0.00419601     
0.426049       2.10748        0.00423428     
0.431926       2.15086        0.00427936     
0.437803       2.18434        0.00431256     
0.443679       2.21002        0.00433634     
0.449556       2.24664        0.00437112     
0.455432       2.27904        0.00440529     
0.461309       2.31346        0.00443632     
0.467185       2.34561        0.00446707     
0.473062       2.38527        0.00450561     
0.478938       2.41199        0.00452921     
0.484815       2.45329        0.00456847     
0.490691       2.47531        0.00459027     
0.496568       2.50646        0.00461775     
0.502445       2.53933        0.0046479      
0.508321       2.57235        0.00467732     
0.514198       2.5841         0.00468999     
0.520074       2.62803        0.00472841     
0.525951       2.64695        0.00474483     
0.531827       2.67396        0.0047681      
0.537704       2.70535        0.00479709     
0.54358        2.7304         0.00482065     
0.549457       2.75585        0.00484336     
0.555333       2.78257        0.00486691     
0.56121        2.80472        0.00488572     
0.567086       2.82427        0.00490286     
0.572963       2.84084        0.00491633     
0.57884        2.87236        0.00494383     
0.584716       2.8838         0.00495438     
0.590593       2.91394        0.00497983     
0.596469       2.92777        0.00499049     
0.602346       2.95122        0.00501159     
0.608222       2.96072        0.00501955     
0.614099       2.97971        0.00503387     
0.619975       2.99847        0.00505132     
0.625852       3.01182        0.00506214     
0.631728       3.02048        0.00506969     
0.637605       3.03899        0.00508626     
0.643482       3.05333        0.00509747     
0.649358       3.07187        0.00511364     
0.655235       3.08427        0.00512215     
0.661111       3.10433        0.00514049     
0.666988       3.10929        0.00514381     
0.672864       3.11169        0.00514522     
0.678741       3.12901        0.00515945     
0.684617       3.12733        0.00515746     
0.690494       3.14191        0.00517104     
0.69637        3.15269        0.00517868     
0.702247       3.15783        0.00518333     
0.708124       3.16001        0.00518672     
0.714          3.18301        0.00520614     
0.719877       3.17811        0.00519989     
0.725753       3.16473        0.00518961     
0.73163        3.17608        0.00519839     
0.737506       3.18135        0.00520185     
0.743383       3.18521        0.00520576     
0.749259       3.19044        0.00520936     
0.755136       3.18156        0.00520288     
0.761012       3.18233        0.00520356     
0.766889       3.18777        0.00520806     
0.772766       3.18681        0.00520735     
0.778642       3.18833        0.00520755     
0.784519       3.18045        0.00520197     
0.790395       3.18303        0.00520413     
0.796272       3.18116        0.00520231     
0.802148       3.17317        0.0051969      
0.808025       3.16808        0.005192       
0.813901       3.16402        0.00518818     
0.819778       3.17391        0.00519666     
0.825654       3.16027        0.00518462     
0.831531       3.15659        0.00518233     
0.837408       3.1547         0.0051817      
0.843284       3.14419        0.00517153     
0.849161       3.13052        0.00516189     
0.855037       3.11599        0.00514913     
0.860914       3.12264        0.00515448     
0.86679        3.10107        0.00513635     
0.872667       3.10398        0.00513955     
0.878543       3.08675        0.00512724     
0.88442        3.08515        0.0051225      
0.890296       3.06675        0.00510784     
0.896173       3.05503        0.00509885     
0.90205        3.04513        0.00508946     
0.907926       3.0304         0.00507744     
0.913803       3.03039        0.00507728     
0.919679       3.00387        0.0050548      
0.925556       2.99389        0.00504675     
0.931432       2.98531        0.00504123     
0.937309       2.96691        0.00502415     
0.943185       2.94375        0.00500503     
0.949062       2.94609        0.00500657     
0.954938       2.92661        0.00499029     
0.960815       2.91523        0.00498024     
0.966691       2.9049         0.00497102     
0.972568       2.88922        0.00495815     
0.978445       2.86549        0.00493886     
0.984321       2.85664        0.00493082     
0.990198       2.83284        0.00490913     
0.996074       2.82941        0.00490745     
1.00195        2.81117        0.00489017     
1.00783        2.7953         0.00487695     
1.0137         2.77003        0.00485519     
1.01958        2.75753        0.00484346     
1.02546        2.74061        0.00482936     
1.03133        2.71116        0.00480262     
1.03721        2.71367        0.00480552     
1.04309        2.68764        0.00478177     
1.04896        2.67294        0.004768       
1.05484        2.64846        0.00474782     
1.06072        2.63526        0.00473462     
1.06659        2.61601        0.00471859     
1.07247        2.60064        0.00470388     
1.07835        2.57891        0.00468423     
1.08422        2.56294        0.00466869     
1.0901         2.54275        0.00465076     
1.09598        2.5191         0.00463044     
1.10185        2.50418        0.0046161      
1.10773        2.48507        0.00459831     
1.11361        2.46406        0.00457994     
1.11948        2.44711        0.00456394     
1.12536        2.42234        0.00454009     
1.13123        2.41488        0.00453428     
1.13711        2.38782        0.00450699     
1.14299        2.37473        0.00449591     
1.14886        2.34902        0.00447128     
1.15474        2.33718        0.00445761     
1.16062        2.31177        0.00443534     
1.16649        2.29358        0.00441768     
1.17237        2.27093        0.00439517     
1.17825        2.24105        0.0043663      
1.18412        2.22981        0.00435562     
1.19           2.20908        0.00433523     
1.19588        2.19234        0.00431971     
1.20175        2.17453        0.00430217     
1.20763        2.14916        0.00427659     
1.21351        2.12239        0.00424971     
1.21938        2.11268        0.0042399      
1.22526        2.09819        0.00422321     
1.23114        2.08173        0.00420876     
1.23701        2.05605        0.00418279     
1.24289        2.03901        0.00416557     
1.24877        2.01513        0.00414041     
1.25464        1.99718        0.00412196     
1.26052        1.97409        0.00409767     
1.2664         1.96361        0.00408708     
1.27227        1.94146        0.00406441     
1.27815        1.92082        0.00404218     
1.28402        1.90354        0.00402425     
1.2899         1.88545        0.00400524     
1.29578        1.86037        0.00397772     
1.30165        1.84433        0.00396152     
1.30753        1.81905        0.00393403     
1.31341        1.80536        0.00392074     
1.31928        1.79249        0.00390507     
1.32516        1.76835        0.00387883     
1.33104        1.74989        0.00385825     
1.33691        1.73169        0.00383833     
1.34279        1.72098        0.00382667     
1.34867        1.69236        0.00379467     
1.35454        1.67583        0.00377643     
1.36042        1.66204        0.00376119     
1.3663         1.63603        0.00373081     
1.37217        1.6182         0.00371094     
1.37805        1.60299        0.00369308     
1.38393        1.58619        0.00367181     
1.3898         1.5671         0.00365121     
1.39568        1.55614        0.00363879     
1.40156        1.52463        0.00360129     
1.40743        1.52031        0.00359605     
1.41331        1.49638        0.00356774     
1.41919        1.48547        0.00355442     
1.42506        1.46713        0.00353317     
1.43094        1.45357        0.00351653     
1.43682        1.42994        0.00348803     
1.44269        1.41479        0.00346916     
1.44857        1.39424        0.00344481     
1.45444        1.38541        0.00343223     
1.46032        1.36998        0.00341288     
1.4662         1.34295        0.00338023     
1.47207        1.33864        0.00337474     
1.47795        1.32278        0.00335501     
1.48383        1.30216        0.00332787     
1.4897         1.28473        0.00330596     
1.49558        1.27           0.00328781     
1.50146        1.25929        0.00327353     
1.50733        1.24064        0.00324941     
1.51321        1.21971        0.00322126     
1.51909        1.20987        0.0032077      
1.52496        1.19542        0.0031888      
1.53084        1.17596        0.00316315     
1.53672        1.16773        0.00315317     
1.54259        1.14851        0.00312674     
1.54847        1.13186        0.0031039      
1.55435        1.1229         0.00309012     
1.56022        1.10344        0.00306427     
1.5661         1.09105        0.00304589     
1.57198        1.0789         0.00302973     
1.57785        1.06455        0.0030091      
1.58373        1.0536         0.00299349     
1.58961        1.03684        0.00297065     
1.59548        1.02587        0.00295478     
1.60136        1.00908        0.00292952     
1.60723        0.996291       0.00291106     
1.61311        0.988812       0.00290074     
1.61899        0.974867       0.00287945     
1.62486        0.961092       0.00285958     
1.63074        0.943922       0.00283421     
1.63662        0.939966       0.00282762     
1.64249        0.919954       0.00279734     
1.64837        0.912084       0.00278561     
1.65425        0.89528        0.00276125     
1.66012        0.885248       0.00274439     
1.666          0.875549       0.00272973     
1.67188        0.864232       0.00271118     
1.67775        0.849845       0.00268928     
1.68363        0.841311       0.00267563     
1.68951        0.828225       0.00265381     
1.69538        0.818619       0.00263879     
1.70126        0.81114        0.00262759     
1.70714        0.797586       0.00260518     
1.71301        0.786287       0.00258616     
1.71889        0.774792       0.00256725     
1.72477        0.765424       0.00255258     
1.73064        0.75273        0.00253133     
1.73652        0.742384       0.00251334     
1.7424         0.725026       0.00248308     
1.74827        0.726507       0.00248615     
1.75415        0.708631       0.00245545     
1.76002        0.70236        0.00244439     
1.7659         0.694592       0.00243083     
1.77178        0.685292       0.00241493     
1.77765        0.675916       0.00239827     
1.78353        0.664132       0.0023769      
1.78941        0.655785       0.00236203     
1.79528        0.647081       0.00234639     
1.80116        0.637934       0.00232993     
1.80704        0.628567       0.00231274     
1.81291        0.619701       0.00229668     
1.81879        0.611805       0.00228104     
1.82467        0.602003       0.00226278     
1.83054        0.588977       0.00223882     
1.83642        0.582877       0.00222692     
1.8423         0.578274       0.0022179      
1.84817        0.567476       0.00219776     
1.85405        0.559768       0.00218196     
1.85993        0.550919       0.00216519     
1.8658         0.541943       0.00214739     
1.87168        0.535578       0.00213439     
1.87756        0.526049       0.00211546     
1.88343        0.52074        0.00210465     
1.88931        0.511993       0.00208721     
1.89519        0.503391       0.00206936     
1.90106        0.495878       0.00205377     
1.90694        0.487931       0.00203787     
1.91282        0.481125       0.00202316     
1.91869        0.471442       0.00200281     
1.92457        0.469791       0.00199881     
1.93044        0.459803       0.00197774     
1.93632        0.454281       0.00196637     
1.9422         0.446308       0.00194869     
1.94807        0.436234       0.00192628     
1.95395        0.437111       0.00192884     
1.95983        0.427854       0.00190857     
1.9657         0.421744       0.00189394     
1.97158        0.415814       0.00188102     
1.97746        0.410156       0.00186813     
1.98333        0.402822       0.00185163     
1.98921        0.396058       0.00183578     
1.99509        0.391786       0.00182634     
2.00096        0.386018       0.00181291     
2.00684        0.378198       0.00179354     
2.01272        0.375978       0.00178825     
2.01859        0.367614       0.00176857     
2.02447        0.36051        0.00175135     
2.03035        0.354843       0.00173747     
2.03622        0.350155       0.00172579     
2.0421         0.345535       0.00171504     
2.04798        0.340932       0.00170308     
2.05385        0.335086       0.00168847     
2.05973        0.330262       0.00167572     
2.06561        0.324978       0.00166282     
2.07148        0.320265       0.00165041     
2.07736        0.315262       0.00163818     
2.08323        0.310021       0.00162421     
2.08911        0.306337       0.00161483     
2.09499        0.30084        0.0016002      
2.10086        0.295182       0.0015845      
2.10674        0.289711       0.00157007     
2.11262        0.284325       0.00155625     
2.11849        0.281577       0.00154776     
2.12437        0.278123       0.00153846     
2.13025        0.273741       0.00152629     
2.13612        0.268508       0.00151163     
2.142          0.26456        0.00150042     
2.14788        0.262595       0.00149441     
2.15375        0.259004       0.00148395     
2.15963        0.251559       0.00146325     
2.16551        0.246548       0.0014482      
2.17138        0.245229       0.00144444     
2.17726        0.241409       0.00143343     
2.18314        0.234738       0.00141355     
2.18901        0.235164       0.00141446     
2.19489        0.229829       0.00139832     
2.20077        0.226545       0.00138821     
2.20664        0.220351       0.00136899     
2.21252        0.217917       0.00136191     
2.2184         0.214395       0.00135041     
2.22427        0.211468       0.00134155     
2.23015        0.209851       0.00133649     
2.23602        0.203598       0.00131604     
2.2419         0.201445       0.00130919     
2.24778        0.19805        0.00129802     
2.25365        0.195838       0.00129049     
2.25953        0.191601       0.00127687     
2.26541        0.188146       0.00126534     
2.27128        0.186385       0.00125901     
2.27716        0.182905       0.00124757     
2.28304        0.178736       0.00123325     
2.28891        0.177034       0.00122726     
2.29479        0.174184       0.00121718     
2.30067        0.169938       0.00120252     
2.30654        0.168832       0.00119903     
2.31242        0.164119       0.00118155     
2.3183         0.163021       0.0011779      
2.32417        0.160315       0.00116805     
2.33005        0.158928       0.00116287     
2.33593        0.159405       0.00116455     
2.3418         0.152862       0.00114038     
2.34768        0.150105       0.00113032     
2.35356        0.146225       0.00111539     
2.35943        0.145698       0.00111344     
2.36531        0.144243       0.00110781     
2.37119        0.139453       0.00108943     
2.37706        0.136407       0.00107749     
2.38294        0.134543       0.00106991     
2.38882        0.133352       0.00106517     
2.39469        0.129813       0.00105083     
2.40057        0.130221       0.00105268     
2.40644        0.127541       0.00104167     
2.41232        0.124214       0.00102795     
2.4182         0.12247        0.00102078     
2.42407        0.121049       0.00101492     
2.42995        0.120181       0.00101128     
2.43583        0.118981       0.00100616     
2.4417         0.115212       0.000989971    
2.44758        0.114549       0.000987046    
2.45346        0.11192        0.000976109    
2.45933        0.108431       0.000960428    
2.46521        0.109146       0.000963584    
2.47109        0.104815       0.000944448    
2.47696        0.104177       0.000941496    
2.48284        0.100901       0.000926517    
2.48872        0.10005        0.000922528    
2.49459        0.0977956      0.000912242    
2.50047        0.0977956      0.000912083    
2.50635        0.0954558      0.000901277    
2.51222        0.0960258      0.00090396     
2.5181         0.0921885      0.000885738    
2.52398        0.0919588      0.000884553    
2.52985        0.0887937      0.000868964    
2.53573        0.0872366      0.000861651    
2.54161        0.084582       0.000848286    
2.54748        0.0843012      0.000847049    
2.55336        0.0840205      0.000845554    
2.55923        0.0807958      0.000829187    
2.56511        0.0812212      0.000831191    
2.57099        0.0795195      0.000822619    
2.57686        0.0764225      0.000806459    
2.58274        0.0762353      0.000805382    
2.58862        0.07444        0.000796032    
2.59449        0.0727724      0.000786801    
2.60037        0.0746102      0.00079685     
2.60625        0.0710026      0.000777554    
2.61212        0.0699731      0.000771718    
2.618          0.0694286      0.00076843     
2.62388        0.0681013      0.000761148    
2.62975        0.0671058      0.000755855    
2.63563        0.0667314      0.000753747    
2.64151        0.0646298      0.000741507    
2.64738        0.0636258      0.000735827    
2.65326        0.0620688      0.000726776    
