pT (GeV)       dN/dpt         error          
0.00692119     0              0              
0.0207636      0              0              
0.0346059      0              0              
0.0484483      0              0              
0.0622907      0              0              
0.0761331      0              0              
0.0899755      0              0              
0.103818       0              0              
0.11766        0              0              
0.131503       0              0              
0.145345       0              0              
0.159187       0              0              
0.17303        0              0              
0.186872       0              0              
0.200715       0              0              
0.214557       0              0              
0.228399       0              0              
0.242242       0              0              
0.256084       0              0              
0.269926       0              0              
0.283769       0              0              
0.297611       0              0              
0.311454       0              0              
0.325296       0              0              
0.339138       0              0              
0.352981       0              0              
0.366823       0              0              
0.380665       0              0              
0.394508       0              0              
0.40835        0              0              
0.422193       0              0              
0.436035       0              0              
0.449877       0              0              
0.46372        0              0              
0.477562       0              0              
0.491404       0              0              
0.505247       0              0              
0.519089       0              0              
0.532932       0              0              
0.546774       0              0              
0.560616       0              0              
0.574459       0              0              
0.588301       0              0              
0.602144       0              0              
0.615986       0              0              
0.629828       0              0              
0.643671       0              0              
0.657513       0              0              
0.671355       0              0              
0.685198       0              0              
0.69904        0              0              
0.712883       0              0              
0.726725       0              0              
0.740567       0              0              
0.75441        0              0              
0.768252       0              0              
0.782094       0              0              
0.795937       0              0              
0.809779       0              0              
0.823622       0              0              
0.837464       0              0              
0.851306       0              0              
0.865149       0              0              
0.878991       0              0              
0.892834       0              0              
0.906676       0              0              
0.920518       0              0              
0.934361       0              0              
0.948203       0              0              
0.962045       0              0              
0.975888       0              0              
0.98973        0              0              
1.00357        0              0              
1.01741        0              0              
1.03126        0              0              
1.0451         0              0              
1.05894        0              0              
1.07278        0              0              
1.08663        0              0              
1.10047        0              0              
1.11431        0              0              
1.12815        0              0              
1.142          0              0              
1.15584        0              0              
1.16968        0              0              
1.18352        0              0              
1.19737        0              0              
1.21121        0              0              
1.22505        0              0              
1.23889        0              0              
1.25274        0              0              
1.26658        0              0              
1.28042        0              0              
1.29426        0              0              
1.3081         0              0              
1.32195        0              0              
1.33579        0              0              
1.34963        0              0              
1.36347        0              0              
1.37732        0              0              
1.39116        0              0              
1.405          0              0              
1.41884        0              0              
1.43269        0              0              
1.44653        0              0              
1.46037        0              0              
1.47421        0              0              
1.48806        0              0              
1.5019         0              0              
1.51574        0              0              
1.52958        0              0              
1.54343        0              0              
1.55727        0              0              
1.57111        0              0              
1.58495        0              0              
1.59879        0              0              
1.61264        0              0              
1.62648        0              0              
1.64032        0              0              
1.65416        0              0              
1.66801        0              0              
1.68185        0              0              
1.69569        0              0              
1.70953        0              0              
1.72338        0              0              
1.73722        0              0              
1.75106        0              0              
1.7649         0              0              
1.77875        3.6121e-06     3.6121e-06     
1.79259        0              0              
1.80643        0              0              
1.82027        0              0              
1.83412        0              0              
1.84796        0              0              
1.8618         0              0              
1.87564        0              0              
1.88948        0              0              
1.90333        0              0              
1.91717        0              0              
1.93101        0              0              
1.94485        0              0              
1.9587         0              0              
1.97254        0              0              
1.98638        0              0              
2.00022        0              0              
2.01407        0              0              
2.02791        0              0              
2.04175        0              0              
2.05559        0              0              
2.06944        0              0              
2.08328        0              0              
2.09712        0              0              
2.11096        0              0              
2.12481        0              0              
2.13865        0              0              
2.15249        0              0              
2.16633        0              0              
2.18017        0              0              
2.19402        0              0              
2.20786        0              0              
2.2217         0              0              
2.23554        0              0              
2.24939        0              0              
2.26323        0              0              
2.27707        0              0              
2.29091        0              0              
2.30476        0              0              
2.3186         0              0              
2.33244        3.6121e-06     3.6121e-06     
2.34628        0              0              
2.36013        0              0              
2.37397        0              0              
2.38781        0              0              
2.40165        0              0              
2.4155         0              0              
2.42934        0              0              
2.44318        0              0              
2.45702        0              0              
2.47086        0              0              
2.48471        0              0              
2.49855        0              0              
2.51239        0              0              
2.52623        0              0              
2.54008        0              0              
2.55392        0              0              
2.56776        0              0              
2.5816         0              0              
2.59545        0              0              
2.60929        0              0              
2.62313        0              0              
2.63697        0              0              
2.65082        0              0              
2.66466        0              0              
2.6785         0              0              
2.69234        0              0              
2.70619        0              0              
2.72003        0              0              
2.73387        0              0              
2.74771        0              0              
2.76155        0              0              
2.7754         0              0              
2.78924        0              0              
2.80308        0              0              
2.81692        0              0              
2.83077        0              0              
2.84461        0              0              
2.85845        0              0              
2.87229        0              0              
2.88614        0              0              
2.89998        0              0              
2.91382        0              0              
2.92766        0              0              
2.94151        0              0              
2.95535        0              0              
2.96919        0              0              
2.98303        0              0              
2.99688        0              0              
3.01072        0              0              
3.02456        0              0              
3.0384         0              0              
3.05224        0              0              
3.06609        0              0              
3.07993        0              0              
3.09377        0              0              
3.10761        0              0              
3.12146        0              0              
3.1353         0              0              
3.14914        0              0              
3.16298        0              0              
3.17683        0              0              
3.19067        0              0              
3.20451        0              0              
3.21835        0              0              
3.2322         0              0              
3.24604        0              0              
3.25988        0              0              
3.27372        0              0              
3.28757        0              0              
3.30141        0              0              
3.31525        0              0              
3.32909        0              0              
3.34293        0              0              
3.35678        0              0              
3.37062        0              0              
3.38446        0              0              
3.3983         0              0              
3.41215        0              0              
3.42599        0              0              
3.43983        0              0              
3.45367        0              0              
3.46752        0              0              
3.48136        0              0              
3.4952         0              0              
3.50904        0              0              
3.52289        0              0              
3.53673        0              0              
3.55057        0              0              
3.56441        0              0              
3.57826        0              0              
3.5921         0              0              
3.60594        0              0              
3.61978        0              0              
3.63362        0              0              
3.64747        0              0              
3.66131        0              0              
3.67515        0              0              
3.68899        0              0              
3.70284        0              0              
3.71668        0              0              
3.73052        0              0              
3.74436        0              0              
3.75821        0              0              
3.77205        0              0              
3.78589        0              0              
3.79973        0              0              
3.81358        0              0              
3.82742        0              0              
3.84126        0              0              
3.8551         0              0              
3.86895        0              0              
3.88279        0              0              
3.89663        0              0              
3.91047        0              0              
3.92431        0              0              
3.93816        0              0              
3.952          0              0              
3.96584        0              0              
3.97968        0              0              
3.99353        0              0              
4.00737        0              0              
4.02121        0              0              
4.03505        0              0              
4.0489         0              0              
4.06274        0              0              
4.07658        0              0              
4.09042        0              0              
4.10427        0              0              
4.11811        0              0              
4.13195        0              0              
4.14579        0              0              
4.15964        0              0              
4.17348        0              0              
4.18732        0              0              
4.20116        0              0              
4.215          0              0              
4.22885        0              0              
4.24269        0              0              
4.25653        0              0              
4.27037        0              0              
4.28422        0              0              
4.29806        0              0              
4.3119         0              0              
4.32574        0              0              
4.33959        0              0              
4.35343        0              0              
4.36727        0              0              
4.38111        0              0              
4.39496        0              0              
4.4088         0              0              
4.42264        0              0              
4.43648        0              0              
4.45033        0              0              
4.46417        0              0              
4.47801        0              0              
4.49185        0              0              
4.50569        0              0              
4.51954        0              0              
4.53338        0              0              
4.54722        0              0              
4.56106        0              0              
4.57491        0              0              
4.58875        0              0              
4.60259        0              0              
4.61643        0              0              
4.63028        0              0              
4.64412        0              0              
4.65796        0              0              
4.6718         0              0              
4.68565        0              0              
4.69949        0              0              
4.71333        0              0              
4.72717        0              0              
4.74102        0              0              
4.75486        0              0              
4.7687         0              0              
4.78254        0              0              
4.79638        0              0              
4.81023        0              0              
4.82407        0              0              
4.83791        0              0              
4.85175        0              0              
4.8656         0              0              
4.87944        0              0              
4.89328        0              0              
4.90712        0              0              
4.92097        0              0              
4.93481        0              0              
4.94865        0              0              
4.96249        0              0              
4.97634        0              0              
4.99018        0              0              
5.00402        0              0              
5.01786        0              0              
5.03171        0              0              
5.04555        0              0              
5.05939        0              0              
5.07323        0              0              
5.08707        0              0              
5.10092        0              0              
5.11476        0              0              
5.1286         0              0              
5.14244        0              0              
5.15629        0              0              
5.17013        0              0              
5.18397        0              0              
5.19781        0              0              
5.21166        0              0              
5.2255         0              0              
5.23934        0              0              
5.25318        0              0              
5.26703        0              0              
5.28087        0              0              
5.29471        0              0              
5.30855        0              0              
5.3224         0              0              
5.33624        0              0              
5.35008        0              0              
5.36392        0              0              
5.37776        0              0              
5.39161        0              0              
5.40545        0              0              
5.41929        0              0              
5.43313        0              0              
5.44698        0              0              
5.46082        0              0              
5.47466        0              0              
5.4885         0              0              
5.50235        0              0              
5.51619        0              0              
5.53003        0              0              
5.54387        0              0              
5.55772        0              0              
5.57156        0              0              
5.5854         0              0              
5.59924        0              0              
5.61309        0              0              
5.62693        0              0              
5.64077        0              0              
5.65461        0              0              
5.66845        0              0              
5.6823         0              0              
5.69614        0              0              
5.70998        0              0              
5.72382        0              0              
5.73767        0              0              
5.75151        0              0              
5.76535        0              0              
5.77919        0              0              
5.79304        0              0              
5.80688        0              0              
5.82072        0              0              
5.83456        0              0              
5.84841        0              0              
5.86225        0              0              
5.87609        0              0              
5.88993        0              0              
5.90378        0              0              
5.91762        0              0              
5.93146        0              0              
5.9453         0              0              
5.95914        0              0              
5.97299        0              0              
5.98683        0              0              
6.00067        0              0              
6.01451        0              0              
6.02836        0              0              
6.0422         0              0              
6.05604        0              0              
6.06988        0              0              
6.08373        0              0              
6.09757        0              0              
6.11141        0              0              
6.12525        0              0              
6.1391         0              0              
6.15294        0              0              
6.16678        0              0              
6.18062        0              0              
6.19447        0              0              
6.20831        0              0              
6.22215        0              0              
6.23599        0              0              
6.24983        0              0              
6.26368        0              0              
6.27752        0              0              
6.29136        0              0              
6.3052         0              0              
6.31905        0              0              
6.33289        0              0              
6.34673        0              0              
6.36057        0              0              
6.37442        0              0              
6.38826        0              0              
6.4021         0              0              
6.41594        0              0              
6.42979        0              0              
6.44363        0              0              
6.45747        0              0              
6.47131        0              0              
6.48516        0              0              
6.499          0              0              
6.51284        0              0              
6.52668        0              0              
6.54052        0              0              
6.55437        0              0              
6.56821        0              0              
6.58205        0              0              
6.59589        0              0              
6.60974        0              0              
6.62358        0              0              
6.63742        0              0              
6.65126        0              0              
6.66511        0              0              
6.67895        0              0              
6.69279        0              0              
6.70663        0              0              
6.72048        0              0              
6.73432        0              0              
6.74816        0              0              
6.762          0              0              
6.77585        0              0              
6.78969        0              0              
6.80353        0              0              
6.81737        0              0              
6.83121        0              0              
6.84506        0              0              
6.8589         0              0              
6.87274        0              0              
6.88658        0              0              
6.90043        0              0              
6.91427        0              0              
