pT (GeV)       dN/dpt         error          
0.00580839     4.30412e-06    4.30412e-06    
0.0174252      0              0              
0.029042       0              0              
0.0406587      0              0              
0.0522755      0              0              
0.0638923      0              0              
0.0755091      4.30412e-06    4.30412e-06    
0.0871259      4.30412e-06    4.30412e-06    
0.0987426      4.30412e-06    4.30412e-06    
0.110359       0              0              
0.121976       0              0              
0.133593       4.30412e-06    4.30412e-06    
0.14521        4.30412e-06    4.30412e-06    
0.156827       0              0              
0.168443       4.30412e-06    4.30412e-06    
0.18006        8.60824e-06    6.08694e-06    
0.191677       4.30412e-06    4.30412e-06    
0.203294       1.29124e-05    7.45495e-06    
0.21491        4.30412e-06    4.30412e-06    
0.226527       4.30412e-06    4.30412e-06    
0.238144       8.60824e-06    6.08694e-06    
0.249761       0              0              
0.261378       4.30412e-06    4.30412e-06    
0.272994       2.15206e-05    9.6243e-06     
0.284611       4.30412e-06    4.30412e-06    
0.296228       4.30412e-06    4.30412e-06    
0.307845       1.72165e-05    8.60824e-06    
0.319461       1.29124e-05    7.45495e-06    
0.331078       1.29124e-05    7.45495e-06    
0.342695       8.60824e-06    6.08694e-06    
0.354312       4.30412e-06    4.30412e-06    
0.365929       4.30412e-06    4.30412e-06    
0.377545       2.58247e-05    1.05429e-05    
0.389162       8.60824e-06    6.08694e-06    
0.400779       2.58247e-05    1.05429e-05    
0.412396       2.15206e-05    9.6243e-06     
0.424012       1.72165e-05    8.60824e-06    
0.435629       3.44329e-05    1.21739e-05    
0.447246       1.29124e-05    7.45495e-06    
0.458863       8.60824e-06    6.08694e-06    
0.47048        1.72165e-05    8.60824e-06    
0.482096       2.15206e-05    9.6243e-06     
0.493713       0              0              
0.50533        2.58247e-05    1.05429e-05    
0.516947       3.01288e-05    1.13876e-05    
0.528563       4.30412e-06    4.30412e-06    
0.54018        1.72165e-05    8.60824e-06    
0.551797       3.87371e-05    1.29124e-05    
0.563414       3.87371e-05    1.29124e-05    
0.575031       3.44329e-05    1.21739e-05    
0.586647       1.72165e-05    8.60824e-06    
0.598264       3.01288e-05    1.13876e-05    
0.609881       2.15206e-05    9.6243e-06     
0.621498       8.60824e-06    6.08694e-06    
0.633115       8.60824e-06    6.08694e-06    
0.644731       2.58247e-05    1.05429e-05    
0.656348       2.58247e-05    1.05429e-05    
0.667965       1.29124e-05    7.45495e-06    
0.679582       8.60824e-06    6.08694e-06    
0.691198       3.44329e-05    1.21739e-05    
0.702815       4.30412e-05    1.36108e-05    
0.714432       3.01288e-05    1.13876e-05    
