p (GeV)        dN/dp          error          
0.00499114     0              0              
0.0149734      0              0              
0.0249557      0              0              
0.034938       0              0              
0.0449203      0              0              
0.0549025      0              0              
0.0648848      0              0              
0.0748671      0              0              
0.0848494      0              0              
0.0948317      0              0              
0.104814       0              0              
0.114796       0              0              
0.124779       0              0              
0.134761       0              0              
0.144743       0              0              
0.154725       0              0              
0.164708       0              0              
0.17469        0              0              
0.184672       0              0              
0.194654       0              0              
0.204637       0              0              
0.214619       0              0              
0.224601       0              0              
0.234584       0              0              
0.244566       0              0              
0.254548       0              0              
0.26453        0              0              
0.274513       0              0              
0.284495       0              0              
0.294477       0              0              
0.30446        0              0              
0.314442       0              0              
0.324424       0              0              
0.334406       0              0              
0.344389       0              0              
0.354371       0              0              
0.364353       0              0              
0.374335       0              0              
0.384318       0              0              
0.3943         0              0              
0.404282       0              0              
0.414265       0              0              
0.424247       0              0              
0.434229       0              0              
0.444211       5.00888e-06    5.00888e-06    
0.454194       0              0              
0.464176       0              0              
0.474158       5.00888e-06    5.00888e-06    
0.484141       0              0              
0.494123       0              0              
0.504105       0              0              
0.514087       0              0              
0.52407        5.00888e-06    5.00888e-06    
0.534052       0              0              
0.544034       0              0              
0.554017       5.00888e-06    5.00888e-06    
0.563999       0              0              
0.573981       0              0              
0.583963       0              0              
0.593946       5.00888e-06    5.00888e-06    
0.603928       5.00888e-06    5.00888e-06    
0.61391        0              0              
0.623892       0              0              
0.633875       0              0              
0.643857       0              0              
0.653839       1.00178e-05    7.08362e-06    
0.663822       0              0              
0.673804       0              0              
0.683786       5.00888e-06    5.00888e-06    
0.693768       0              0              
0.703751       0              0              
0.713733       5.00888e-06    5.00888e-06    
0.723715       5.00888e-06    5.00888e-06    
0.733698       0              0              
0.74368        5.00888e-06    5.00888e-06    
0.753662       0              0              
0.763644       5.00888e-06    5.00888e-06    
0.773627       5.00888e-06    5.00888e-06    
0.783609       1.00178e-05    7.08362e-06    
0.793591       0              0              
0.803574       0              0              
0.813556       0              0              
0.823538       5.00888e-06    5.00888e-06    
0.83352        5.00888e-06    5.00888e-06    
0.843503       0              0              
0.853485       5.00888e-06    5.00888e-06    
0.863467       5.00888e-06    5.00888e-06    
0.873449       1.00178e-05    7.08362e-06    
0.883432       0              0              
0.893414       0              0              
0.903396       0              0              
0.913379       0              0              
0.923361       1.00178e-05    7.08362e-06    
0.933343       5.00888e-06    5.00888e-06    
0.943325       5.00888e-06    5.00888e-06    
0.953308       0              0              
0.96329        0              0              
0.973272       1.00178e-05    7.08362e-06    
0.983255       5.00888e-06    5.00888e-06    
0.993237       0              0              
1.00322        5.00888e-06    5.00888e-06    
1.0132         1.00178e-05    7.08362e-06    
1.02318        5.00888e-06    5.00888e-06    
1.03317        1.00178e-05    7.08362e-06    
1.04315        5.00888e-06    5.00888e-06    
1.05313        1.00178e-05    7.08362e-06    
1.06311        5.00888e-06    5.00888e-06    
1.0731         5.00888e-06    5.00888e-06    
1.08308        0              0              
1.09306        0              0              
1.10304        5.00888e-06    5.00888e-06    
1.11302        1.00178e-05    7.08362e-06    
1.12301        0              0              
1.13299        0              0              
1.14297        0              0              
1.15295        0              0              
1.16294        0              0              
1.17292        0              0              
1.1829         1.00178e-05    7.08362e-06    
1.19288        1.00178e-05    7.08362e-06    
1.20286        5.00888e-06    5.00888e-06    
1.21285        1.50266e-05    8.67563e-06    
1.22283        1.00178e-05    7.08362e-06    
1.23281        5.00888e-06    5.00888e-06    
1.24279        0              0              
1.25278        5.00888e-06    5.00888e-06    
1.26276        1.00178e-05    7.08362e-06    
1.27274        2.00355e-05    1.00178e-05    
1.28272        0              0              
1.29271        5.00888e-06    5.00888e-06    
1.30269        1.50266e-05    8.67563e-06    
1.31267        1.00178e-05    7.08362e-06    
1.32265        1.50266e-05    8.67563e-06    
1.33263        0              0              
1.34262        5.00888e-06    5.00888e-06    
1.3526         5.00888e-06    5.00888e-06    
1.36258        1.50266e-05    8.67563e-06    
1.37256        1.50266e-05    8.67563e-06    
1.38255        2.00355e-05    1.00178e-05    
1.39253        5.00888e-06    5.00888e-06    
1.40251        5.00888e-06    5.00888e-06    
1.41249        0              0              
1.42247        1.00178e-05    7.08362e-06    
1.43246        1.50266e-05    8.67563e-06    
1.44244        5.00888e-06    5.00888e-06    
1.45242        1.50266e-05    8.67563e-06    
1.4624         0              0              
1.47239        5.00888e-06    5.00888e-06    
1.48237        1.50266e-05    8.67563e-06    
1.49235        0              0              
1.50233        5.00888e-06    5.00888e-06    
1.51232        1.00178e-05    7.08362e-06    
1.5223         1.00178e-05    7.08362e-06    
1.53228        5.00888e-06    5.00888e-06    
1.54226        1.50266e-05    8.67563e-06    
1.55224        5.00888e-06    5.00888e-06    
1.56223        5.00888e-06    5.00888e-06    
1.57221        5.00888e-06    5.00888e-06    
1.58219        1.00178e-05    7.08362e-06    
1.59217        5.00888e-06    5.00888e-06    
1.60216        5.00888e-06    5.00888e-06    
1.61214        5.00888e-06    5.00888e-06    
1.62212        0              0              
1.6321         2.00355e-05    1.00178e-05    
1.64209        1.00178e-05    7.08362e-06    
1.65207        2.50444e-05    1.12002e-05    
1.66205        2.00355e-05    1.00178e-05    
1.67203        5.00888e-06    5.00888e-06    
1.68201        1.50266e-05    8.67563e-06    
1.692          1.50266e-05    8.67563e-06    
1.70198        2.50444e-05    1.12002e-05    
1.71196        2.00355e-05    1.00178e-05    
1.72194        3.00533e-05    1.22692e-05    
1.73193        1.00178e-05    7.08362e-06    
1.74191        1.00178e-05    7.08362e-06    
1.75189        1.50266e-05    8.67563e-06    
1.76187        1.00178e-05    7.08362e-06    
1.77185        1.50266e-05    8.67563e-06    
1.78184        1.00178e-05    7.08362e-06    
1.79182        1.00178e-05    7.08362e-06    
1.8018         0              0              
1.81178        5.00888e-06    5.00888e-06    
1.82177        2.00355e-05    1.00178e-05    
1.83175        1.50266e-05    8.67563e-06    
1.84173        1.00178e-05    7.08362e-06    
1.85171        1.50266e-05    8.67563e-06    
1.8617         1.00178e-05    7.08362e-06    
1.87168        1.00178e-05    7.08362e-06    
1.88166        1.00178e-05    7.08362e-06    
1.89164        1.50266e-05    8.67563e-06    
1.90162        5.00888e-06    5.00888e-06    
1.91161        5.00888e-06    5.00888e-06    
1.92159        1.00178e-05    7.08362e-06    
1.93157        2.50444e-05    1.12002e-05    
1.94155        2.50444e-05    1.12002e-05    
1.95154        5.00888e-06    5.00888e-06    
1.96152        1.50266e-05    8.67563e-06    
1.9715         2.50444e-05    1.12002e-05    
1.98148        1.00178e-05    7.08362e-06    
1.99146        1.50266e-05    8.67563e-06    
2.00145        1.00178e-05    7.08362e-06    
2.01143        1.00178e-05    7.08362e-06    
2.02141        3.00533e-05    1.22692e-05    
2.03139        1.00178e-05    7.08362e-06    
2.04138        1.00178e-05    7.08362e-06    
2.05136        2.00355e-05    1.00178e-05    
2.06134        2.50444e-05    1.12002e-05    
2.07132        1.50266e-05    8.67563e-06    
2.08131        0              0              
2.09129        2.50444e-05    1.12002e-05    
2.10127        1.00178e-05    7.08362e-06    
2.11125        1.00178e-05    7.08362e-06    
2.12123        2.00355e-05    1.00178e-05    
2.13122        1.50266e-05    8.67563e-06    
2.1412         2.00355e-05    1.00178e-05    
2.15118        1.00178e-05    7.08362e-06    
2.16116        2.00355e-05    1.00178e-05    
2.17115        0              0              
2.18113        1.00178e-05    7.08362e-06    
2.19111        5.00888e-06    5.00888e-06    
2.20109        3.00533e-05    1.22692e-05    
2.21108        1.00178e-05    7.08362e-06    
2.22106        0              0              
2.23104        1.00178e-05    7.08362e-06    
2.24102        2.00355e-05    1.00178e-05    
2.251          2.00355e-05    1.00178e-05    
2.26099        5.00888e-06    5.00888e-06    
2.27097        1.50266e-05    8.67563e-06    
2.28095        5.00888e-06    5.00888e-06    
2.29093        1.00178e-05    7.08362e-06    
2.30092        0              0              
2.3109         0              0              
2.32088        2.00355e-05    1.00178e-05    
2.33086        0              0              
2.34084        1.50266e-05    8.67563e-06    
2.35083        1.50266e-05    8.67563e-06    
2.36081        1.50266e-05    8.67563e-06    
2.37079        5.00888e-06    5.00888e-06    
2.38077        1.00178e-05    7.08362e-06    
2.39076        3.00533e-05    1.22692e-05    
2.40074        1.00178e-05    7.08362e-06    
2.41072        1.50266e-05    8.67563e-06    
2.4207         1.00178e-05    7.08362e-06    
2.43069        1.50266e-05    8.67563e-06    
2.44067        1.00178e-05    7.08362e-06    
2.45065        1.00178e-05    7.08362e-06    
2.46063        2.50444e-05    1.12002e-05    
2.47061        1.00178e-05    7.08362e-06    
2.4806         2.00355e-05    1.00178e-05    
2.49058        1.50266e-05    8.67563e-06    
2.50056        5.00888e-06    5.00888e-06    
2.51054        1.00178e-05    7.08362e-06    
2.52053        2.50444e-05    1.12002e-05    
2.53051        1.00178e-05    7.08362e-06    
2.54049        1.00178e-05    7.08362e-06    
2.55047        2.00355e-05    1.00178e-05    
2.56045        1.00178e-05    7.08362e-06    
2.57044        1.00178e-05    7.08362e-06    
2.58042        5.00888e-06    5.00888e-06    
2.5904         2.50444e-05    1.12002e-05    
2.60038        5.00888e-06    5.00888e-06    
2.61037        0              0              
2.62035        1.50266e-05    8.67563e-06    
2.63033        5.00888e-06    5.00888e-06    
2.64031        2.50444e-05    1.12002e-05    
2.6503         1.50266e-05    8.67563e-06    
2.66028        0              0              
2.67026        0              0              
2.68024        2.00355e-05    1.00178e-05    
2.69022        1.00178e-05    7.08362e-06    
2.70021        1.50266e-05    8.67563e-06    
2.71019        2.00355e-05    1.00178e-05    
2.72017        1.00178e-05    7.08362e-06    
2.73015        1.00178e-05    7.08362e-06    
2.74014        2.00355e-05    1.00178e-05    
2.75012        2.50444e-05    1.12002e-05    
2.7601         5.00888e-06    5.00888e-06    
2.77008        0              0              
2.78006        5.00888e-06    5.00888e-06    
2.79005        0              0              
2.80003        0              0              
2.81001        5.00888e-06    5.00888e-06    
2.81999        2.00355e-05    1.00178e-05    
2.82998        5.00888e-06    5.00888e-06    
2.83996        1.50266e-05    8.67563e-06    
2.84994        5.00888e-06    5.00888e-06    
2.85992        5.00888e-06    5.00888e-06    
2.86991        0              0              
2.87989        5.00888e-06    5.00888e-06    
2.88987        0              0              
2.89985        1.00178e-05    7.08362e-06    
2.90983        1.50266e-05    8.67563e-06    
2.91982        0              0              
2.9298         1.50266e-05    8.67563e-06    
2.93978        0              0              
2.94976        5.00888e-06    5.00888e-06    
2.95975        1.50266e-05    8.67563e-06    
2.96973        5.00888e-06    5.00888e-06    
2.97971        1.00178e-05    7.08362e-06    
2.98969        5.00888e-06    5.00888e-06    
2.99968        5.00888e-06    5.00888e-06    
3.00966        1.50266e-05    8.67563e-06    
3.01964        0              0              
3.02962        5.00888e-06    5.00888e-06    
3.0396         5.00888e-06    5.00888e-06    
3.04959        1.00178e-05    7.08362e-06    
3.05957        1.00178e-05    7.08362e-06    
3.06955        0              0              
3.07953        5.00888e-06    5.00888e-06    
3.08952        5.00888e-06    5.00888e-06    
3.0995         1.00178e-05    7.08362e-06    
3.10948        5.00888e-06    5.00888e-06    
3.11946        5.00888e-06    5.00888e-06    
3.12944        0              0              
3.13943        1.00178e-05    7.08362e-06    
3.14941        1.00178e-05    7.08362e-06    
3.15939        5.00888e-06    5.00888e-06    
3.16937        5.00888e-06    5.00888e-06    
3.17936        5.00888e-06    5.00888e-06    
3.18934        5.00888e-06    5.00888e-06    
3.19932        0              0              
3.2093         0              0              
3.21929        2.50444e-05    1.12002e-05    
3.22927        5.00888e-06    5.00888e-06    
3.23925        1.00178e-05    7.08362e-06    
