pT (GeV)       dN/dpt         error          
0.00393956     0.0353275      0.000473415    
0.0118187      0.102213       0.000805252    
0.0196978      0.170844       0.00104099     
0.027577       0.237475       0.00122753     
0.0354561      0.305903       0.00139374     
0.0433352      0.374749       0.00154229     
0.0512143      0.439535       0.00167037     
0.0590935      0.508578       0.00179661     
0.0669726      0.574816       0.00191021     
0.0748517      0.638002       0.0020121      
0.0827309      0.70768        0.00211945     
0.09061        0.773639       0.00221526     
0.0984891      0.840169       0.00230894     
0.106368       0.894966       0.00238298     
0.114247       0.959237       0.00246693     
0.122127       1.02945        0.00255567     
0.130006       1.08892        0.00262915     
0.137885       1.14646        0.00269693     
0.145764       1.20833        0.00276965     
0.153643       1.26935        0.0028386      
0.161522       1.33322        0.00290882     
0.169401       1.38352        0.00296276     
0.17728        1.44414        0.00302778     
0.18516        1.49933        0.00308449     
0.193039       1.55563        0.00314255     
0.200918       1.60182        0.00318866     
0.208797       1.65107        0.00323672     
0.216676       1.70608        0.00329032     
0.224555       1.75808        0.00333954     
0.232434       1.81036        0.00338951     
0.240313       1.853          0.00342819     
0.248193       1.9033         0.0034751      
0.256072       1.9487         0.00351643     
0.263951       1.99254        0.00355515     
0.27183        2.03568        0.00359425     
0.279709       2.07502        0.00362945     
0.287588       2.11798        0.00366507     
0.295467       2.16138        0.00370357     
0.303347       2.18865        0.0037273      
0.311226       2.2266         0.00375876     
0.319105       2.26248        0.0037878      
0.326984       2.29727        0.00381781     
0.334863       2.33085        0.00384601     
0.342742       2.36131        0.00387213     
0.350621       2.39035        0.00389358     
0.3585         2.41928        0.00391776     
0.36638        2.44507        0.00393907     
0.374259       2.46763        0.00395745     
0.382138       2.49396        0.00397832     
0.390017       2.51967        0.00399829     
0.397896       2.53994        0.00401415     
0.405775       2.55473        0.00402532     
0.413654       2.57822        0.00404357     
0.421533       2.6046         0.00406705     
0.429413       2.6124         0.00407223     
0.437292       2.63273        0.00408743     
0.445171       2.63783        0.00409108     
0.45305        2.65704        0.0041067      
0.460929       2.66848        0.00411531     
0.468808       2.67875        0.00412262     
0.476687       2.68752        0.00413002     
0.484566       2.69682        0.00413739     
0.492446       2.70104        0.00414044     
0.500325       2.70576        0.00414466     
0.508204       2.70686        0.00414406     
0.516083       2.71226        0.00414946     
0.523962       2.70748        0.00414591     
0.531841       2.7196         0.0041529      
0.53972        2.71885        0.00415288     
0.5476         2.71826        0.00415366     
0.555479       2.71453        0.00415087     
0.563358       2.70812        0.00414498     
0.571237       2.70739        0.00414524     
0.579116       2.70515        0.00414298     
0.586995       2.69555        0.00413541     
0.594874       2.69692        0.00413774     
0.602753       2.68025        0.00412497     
0.610633       2.66815        0.00411493     
0.618512       2.66442        0.00411156     
0.626391       2.65543        0.004105       
0.63427        2.64404        0.00409599     
0.642149       2.62536        0.00408171     
0.650028       2.62383        0.00408009     
0.657907       2.60974        0.00407027     
0.665786       2.58872        0.00405355     
0.673666       2.57401        0.0040417      
0.681545       2.55881        0.00403009     
0.689424       2.54677        0.00401992     
