p (GeV)        dN/dp          error          
0.00387561     0              0              
0.0116268      0              0              
0.0193781      0              0              
0.0271293      1.93518e-05    1.11728e-05    
0.0348805      4.51542e-05    1.70667e-05    
0.0426317      3.87036e-05    1.58007e-05    
0.0503829      3.87036e-05    1.58007e-05    
0.0581341      8.38578e-05    2.3258e-05     
0.0658854      9.6759e-05     2.4983e-05     
0.0736366      8.38578e-05    2.3258e-05     
0.0813878      0.000129012    2.88479e-05    
0.089139       0.000161265    3.2253e-05     
0.0968902      0.000167716    3.28917e-05    
0.104641       0.000206419    3.64901e-05    
0.112393       0.000225771    3.81622e-05    
0.120144       0.000316079    4.51541e-05    
0.127895       0.000374135    4.91262e-05    
0.135646       0.00032253     4.56126e-05    
0.143398       0.000496696    5.66037e-05    
0.151149       0.00043219     5.28003e-05    
0.1589         0.000445091    5.35826e-05    
0.166651       0.000503147    5.697e-05      
0.174402       0.000709566    6.76543e-05    
0.182154       0.000625708    6.35309e-05    
0.189905       0.000683763    6.64128e-05    
0.197656       0.000838578    7.35479e-05    
0.205407       0.000838578    7.35479e-05    
0.213159       0.0010321      8.1594e-05     
0.22091        0.0010837      8.36089e-05    
0.228661       0.000961139    7.87393e-05    
0.236412       0.00116756     8.67835e-05    
0.244163       0.00118691     8.74998e-05    
0.251915       0.00125787     9.00773e-05    
0.259666       0.00136108     9.36998e-05    
0.267417       0.00154814     9.99316e-05    
0.275168       0.00152879     9.93051e-05    
0.28292        0.00147719     9.76147e-05    
0.290671       0.00192873     0.00011154     
0.298422       0.00181907     0.000108323    
0.306173       0.00189003     0.000110416    
0.313924       0.00205774     0.00011521     
0.321676       0.00196098     0.000112469    
0.329427       0.00232222     0.00012239     
0.337178       0.00230931     0.00012205     
0.344929       0.00256734     0.000128688    
0.352681       0.00248993     0.000126733    
0.360432       0.0026641      0.00013109     
0.368183       0.00250928     0.000127224    
0.375934       0.00282536     0.000135       
0.383685       0.0027415      0.000132981    
0.391437       0.00307048     0.000140734    
0.399188       0.00311564     0.000141765    
0.406939       0.00327045     0.000145244    
0.41469        0.00337366     0.000147518    
0.422441       0.00376715     0.000155883    
0.430193       0.00349622     0.000150174    
0.437944       0.00348977     0.000150035    
0.445695       0.00365104     0.000153462    
0.453446       0.00421224     0.000164835    
0.461198       0.00395422     0.000159707    
0.468949       0.0043348      0.000167216    
0.4767         0.00461218     0.000172483    
0.484451       0.00460573     0.000172362    
0.492202       0.00494761     0.000178644    
0.499954       0.00476699     0.000175353    
0.507705       0.00513468     0.00018199     
0.515456       0.0053798      0.000186283    
0.523207       0.00532819     0.000185388    
0.530959       0.00532174     0.000185275    
0.53871        0.00541205     0.000186841    
0.546461       0.00581844     0.000193728    
0.554212       0.00568943     0.000191569    
0.561963       0.00584424     0.000194158    
0.569715       0.00605711     0.000197662    
0.577466       0.00646995     0.000204286    
0.585217       0.00665057     0.000207118    
0.592968       0.00661186     0.000206515    
0.60072        0.0070118      0.000212668    
0.608471       0.00681183     0.000209614    
0.616222       0.00708921     0.000213839    
0.623973       0.00726982     0.000216546    
0.631724       0.00722467     0.000215872    
0.639476       0.00748914     0.000219788    
0.647227       0.00816646     0.000229511    
0.654978       0.00744399     0.000219124    
0.662729       0.00801164     0.000227325    
0.670481       0.00826967     0.000230956    
0.678232       0.00836642     0.000232304    
0.685983       0.00857284     0.000235152    
0.693734       0.00876636     0.000237791    
0.701485       0.0086309      0.000235946    
0.709237       0.00859865     0.000235505    
0.716988       0.0092308      0.000244008    
0.724739       0.00966299     0.000249655    
0.73249        0.00965654     0.000249571    
0.740242       0.00945658     0.000246974    
0.747993       0.00975975     0.000250901    
0.755744       0.00929531     0.000244859    
0.763495       0.0105274      0.000260581    
0.771246       0.0100823      0.000255013    
0.778998       0.0104048      0.00025906     
0.786749       0.0103984      0.000258979    
0.7945         0.0106628      0.000262252    
0.802251       0.0109918      0.000266266    
0.810002       0.0114434      0.000271833    
0.817754       0.0112498      0.000269373    
0.825505       0.0108822      0.000264935    
0.833256       0.0115659      0.000273131    
0.841007       0.011624       0.000273815    
0.848759       0.0119207      0.000277288    
0.85651        0.0115014      0.000272368    
0.864261       0.0119272      0.000277363    
0.872012       0.0118046      0.000275934    
0.879763       0.0121916      0.000280421    
0.887515       0.0126883      0.000286076    
0.895266       0.0125658      0.000284691    
0.903017       0.0129141      0.000288609    
0.910768       0.0131141      0.000290835    
0.91852        0.0131528      0.000291264    
0.926271       0.0132302      0.000292119    
0.934022       0.013127       0.000290978    
0.941773       0.0133398      0.000293327    
0.949524       0.0140107      0.00030075     
0.957276       0.0133914      0.000293894    
0.965027       0.0139462      0.000299919    
0.972778       0.0141913      0.000302543    
0.980529       0.0141397      0.000301993    
0.988281       0.0140752      0.000301303    
0.996032       0.0142107      0.000302749    
1.00378        0.0140881      0.000301441    
1.01153        0.0147977      0.000308938    
1.01929        0.0148622      0.000309611    
1.02704        0.01423        0.000302955    
