p (GeV)        dN/dp          error          
0.00499114     0              0              
0.0149734      0              0              
0.0249557      0              0              
0.034938       0              0              
0.0449203      0              0              
0.0549025      0              0              
0.0648848      0              0              
0.0748671      0              0              
0.0848494      0              0              
0.0948317      0              0              
0.104814       0              0              
0.114796       0              0              
0.124779       0              0              
0.134761       0              0              
0.144743       0              0              
0.154725       0              0              
0.164708       0              0              
0.17469        0              0              
0.184672       0              0              
0.194654       0              0              
0.204637       0              0              
0.214619       0              0              
0.224601       0              0              
0.234584       5.00888e-06    5.00888e-06    
0.244566       0              0              
0.254548       0              0              
0.26453        0              0              
0.274513       0              0              
0.284495       0              0              
0.294477       5.00888e-06    5.00888e-06    
0.30446        0              0              
0.314442       0              0              
0.324424       0              0              
0.334406       5.00888e-06    5.00888e-06    
0.344389       0              0              
0.354371       5.00888e-06    5.00888e-06    
0.364353       5.00888e-06    5.00888e-06    
0.374335       0              0              
0.384318       0              0              
0.3943         0              0              
0.404282       0              0              
0.414265       0              0              
0.424247       0              0              
0.434229       0              0              
0.444211       0              0              
0.454194       0              0              
0.464176       0              0              
0.474158       0              0              
0.484141       0              0              
0.494123       0              0              
0.504105       0              0              
0.514087       0              0              
0.52407        0              0              
0.534052       1.00178e-05    7.08362e-06    
0.544034       0              0              
0.554017       5.00888e-06    5.00888e-06    
0.563999       5.00888e-06    5.00888e-06    
0.573981       1.00178e-05    7.08362e-06    
0.583963       5.00888e-06    5.00888e-06    
0.593946       0              0              
0.603928       5.00888e-06    5.00888e-06    
0.61391        0              0              
0.623892       5.00888e-06    5.00888e-06    
0.633875       1.00178e-05    7.08362e-06    
0.643857       5.00888e-06    5.00888e-06    
0.653839       5.00888e-06    5.00888e-06    
0.663822       0              0              
0.673804       1.00178e-05    7.08362e-06    
0.683786       0              0              
0.693768       1.00178e-05    7.08362e-06    
0.703751       0              0              
0.713733       1.00178e-05    7.08362e-06    
0.723715       5.00888e-06    5.00888e-06    
0.733698       0              0              
0.74368        1.00178e-05    7.08362e-06    
0.753662       0              0              
0.763644       5.00888e-06    5.00888e-06    
0.773627       0              0              
0.783609       0              0              
0.793591       5.00888e-06    5.00888e-06    
0.803574       5.00888e-06    5.00888e-06    
0.813556       1.50266e-05    8.67563e-06    
0.823538       5.00888e-06    5.00888e-06    
0.83352        1.00178e-05    7.08362e-06    
0.843503       5.00888e-06    5.00888e-06    
0.853485       1.00178e-05    7.08362e-06    
0.863467       1.00178e-05    7.08362e-06    
0.873449       5.00888e-06    5.00888e-06    
0.883432       2.50444e-05    1.12002e-05    
0.893414       0              0              
0.903396       1.00178e-05    7.08362e-06    
0.913379       1.00178e-05    7.08362e-06    
0.923361       1.50266e-05    8.67563e-06    
0.933343       1.50266e-05    8.67563e-06    
0.943325       5.00888e-06    5.00888e-06    
0.953308       0              0              
0.96329        5.00888e-06    5.00888e-06    
0.973272       1.50266e-05    8.67563e-06    
0.983255       2.50444e-05    1.12002e-05    
0.993237       1.50266e-05    8.67563e-06    
1.00322        1.50266e-05    8.67563e-06    
1.0132         2.50444e-05    1.12002e-05    
1.02318        0              0              
1.03317        2.50444e-05    1.12002e-05    
1.04315        1.50266e-05    8.67563e-06    
1.05313        2.00355e-05    1.00178e-05    
1.06311        5.00888e-06    5.00888e-06    
1.0731         2.00355e-05    1.00178e-05    
1.08308        1.00178e-05    7.08362e-06    
1.09306        1.00178e-05    7.08362e-06    
1.10304        1.50266e-05    8.67563e-06    
1.11302        1.50266e-05    8.67563e-06    
1.12301        0              0              
1.13299        3.00533e-05    1.22692e-05    
1.14297        1.00178e-05    7.08362e-06    
1.15295        3.50621e-05    1.32522e-05    
1.16294        2.50444e-05    1.12002e-05    
1.17292        1.50266e-05    8.67563e-06    
1.1829         1.00178e-05    7.08362e-06    
1.19288        1.50266e-05    8.67563e-06    
1.20286        2.00355e-05    1.00178e-05    
1.21285        1.50266e-05    8.67563e-06    
1.22283        3.00533e-05    1.22692e-05    
1.23281        5.00888e-06    5.00888e-06    
1.24279        5.00888e-06    5.00888e-06    
1.25278        5.00888e-06    5.00888e-06    
1.26276        4.50799e-05    1.50266e-05    
1.27274        2.50444e-05    1.12002e-05    
1.28272        2.50444e-05    1.12002e-05    
1.29271        1.00178e-05    7.08362e-06    
1.30269        3.00533e-05    1.22692e-05    
1.31267        1.00178e-05    7.08362e-06    
1.32265        2.00355e-05    1.00178e-05    
1.33263        2.00355e-05    1.00178e-05    
1.34262        1.50266e-05    8.67563e-06    
1.3526         1.50266e-05    8.67563e-06    
1.36258        1.00178e-05    7.08362e-06    
1.37256        2.00355e-05    1.00178e-05    
1.38255        1.00178e-05    7.08362e-06    
1.39253        2.00355e-05    1.00178e-05    
1.40251        3.00533e-05    1.22692e-05    
1.41249        2.00355e-05    1.00178e-05    
1.42247        4.0071e-05     1.41672e-05    
1.43246        2.00355e-05    1.00178e-05    
1.44244        1.00178e-05    7.08362e-06    
1.45242        1.50266e-05    8.67563e-06    
1.4624         2.50444e-05    1.12002e-05    
1.47239        2.50444e-05    1.12002e-05    
1.48237        1.50266e-05    8.67563e-06    
1.49235        1.50266e-05    8.67563e-06    
1.50233        2.50444e-05    1.12002e-05    
1.51232        2.00355e-05    1.00178e-05    
1.5223         3.50621e-05    1.32522e-05    
1.53228        3.00533e-05    1.22692e-05    
1.54226        1.50266e-05    8.67563e-06    
1.55224        2.50444e-05    1.12002e-05    
1.56223        2.50444e-05    1.12002e-05    
1.57221        1.00178e-05    7.08362e-06    
1.58219        2.00355e-05    1.00178e-05    
1.59217        2.50444e-05    1.12002e-05    
1.60216        2.50444e-05    1.12002e-05    
1.61214        1.50266e-05    8.67563e-06    
1.62212        2.00355e-05    1.00178e-05    
1.6321         2.00355e-05    1.00178e-05    
1.64209        3.50621e-05    1.32522e-05    
1.65207        3.50621e-05    1.32522e-05    
1.66205        4.0071e-05     1.41672e-05    
1.67203        4.0071e-05     1.41672e-05    
1.68201        2.00355e-05    1.00178e-05    
1.692          2.00355e-05    1.00178e-05    
1.70198        1.50266e-05    8.67563e-06    
1.71196        2.00355e-05    1.00178e-05    
1.72194        2.50444e-05    1.12002e-05    
1.73193        3.00533e-05    1.22692e-05    
1.74191        2.00355e-05    1.00178e-05    
1.75189        5.00888e-05    1.58395e-05    
1.76187        3.00533e-05    1.22692e-05    
1.77185        1.50266e-05    8.67563e-06    
1.78184        3.50621e-05    1.32522e-05    
1.79182        4.0071e-05     1.41672e-05    
1.8018         3.50621e-05    1.32522e-05    
1.81178        3.50621e-05    1.32522e-05    
1.82177        3.50621e-05    1.32522e-05    
1.83175        3.00533e-05    1.22692e-05    
1.84173        3.00533e-05    1.22692e-05    
1.85171        3.00533e-05    1.22692e-05    
1.8617         5.00888e-05    1.58395e-05    
1.87168        3.00533e-05    1.22692e-05    
1.88166        4.0071e-05     1.41672e-05    
1.89164        5.00888e-05    1.58395e-05    
1.90162        5.50976e-05    1.66126e-05    
1.91161        4.0071e-05     1.41672e-05    
1.92159        0              0              
1.93157        5.50976e-05    1.66126e-05    
1.94155        2.00355e-05    1.00178e-05    
1.95154        2.50444e-05    1.12002e-05    
1.96152        4.50799e-05    1.50266e-05    
1.9715         3.00533e-05    1.22692e-05    
1.98148        3.50621e-05    1.32522e-05    
1.99146        2.50444e-05    1.12002e-05    
2.00145        3.50621e-05    1.32522e-05    
2.01143        2.50444e-05    1.12002e-05    
2.02141        2.50444e-05    1.12002e-05    
2.03139        3.00533e-05    1.22692e-05    
2.04138        3.00533e-05    1.22692e-05    
2.05136        3.00533e-05    1.22692e-05    
2.06134        2.50444e-05    1.12002e-05    
2.07132        3.50621e-05    1.32522e-05    
2.08131        5.00888e-05    1.58395e-05    
2.09129        3.00533e-05    1.22692e-05    
2.10127        4.50799e-05    1.50266e-05    
2.11125        1.50266e-05    8.67563e-06    
2.12123        3.00533e-05    1.22692e-05    
2.13122        4.50799e-05    1.50266e-05    
2.1412         1.50266e-05    8.67563e-06    
2.15118        4.50799e-05    1.50266e-05    
2.16116        1.00178e-05    7.08362e-06    
2.17115        4.0071e-05     1.41672e-05    
2.18113        6.01065e-05    1.73512e-05    
2.19111        5.50976e-05    1.66126e-05    
2.20109        2.50444e-05    1.12002e-05    
2.21108        3.00533e-05    1.22692e-05    
2.22106        1.00178e-05    7.08362e-06    
2.23104        3.00533e-05    1.22692e-05    
2.24102        1.50266e-05    8.67563e-06    
2.251          2.50444e-05    1.12002e-05    
2.26099        5.00888e-05    1.58395e-05    
2.27097        3.00533e-05    1.22692e-05    
2.28095        1.50266e-05    8.67563e-06    
2.29093        5.00888e-06    5.00888e-06    
2.30092        3.00533e-05    1.22692e-05    
2.3109         1.50266e-05    8.67563e-06    
2.32088        3.00533e-05    1.22692e-05    
2.33086        3.00533e-05    1.22692e-05    
2.34084        2.00355e-05    1.00178e-05    
2.35083        1.50266e-05    8.67563e-06    
2.36081        4.0071e-05     1.41672e-05    
2.37079        2.50444e-05    1.12002e-05    
2.38077        3.00533e-05    1.22692e-05    
2.39076        3.00533e-05    1.22692e-05    
2.40074        3.00533e-05    1.22692e-05    
2.41072        2.00355e-05    1.00178e-05    
2.4207         4.0071e-05     1.41672e-05    
2.43069        2.00355e-05    1.00178e-05    
2.44067        2.50444e-05    1.12002e-05    
2.45065        2.50444e-05    1.12002e-05    
2.46063        1.50266e-05    8.67563e-06    
2.47061        1.50266e-05    8.67563e-06    
2.4806         0              0              
2.49058        1.00178e-05    7.08362e-06    
2.50056        2.00355e-05    1.00178e-05    
2.51054        3.00533e-05    1.22692e-05    
2.52053        3.50621e-05    1.32522e-05    
2.53051        5.50976e-05    1.66126e-05    
2.54049        3.00533e-05    1.22692e-05    
2.55047        1.50266e-05    8.67563e-06    
2.56045        2.50444e-05    1.12002e-05    
2.57044        3.00533e-05    1.22692e-05    
2.58042        2.00355e-05    1.00178e-05    
2.5904         4.0071e-05     1.41672e-05    
2.60038        1.00178e-05    7.08362e-06    
2.61037        4.0071e-05     1.41672e-05    
2.62035        1.50266e-05    8.67563e-06    
2.63033        2.00355e-05    1.00178e-05    
2.64031        2.00355e-05    1.00178e-05    
2.6503         1.50266e-05    8.67563e-06    
2.66028        3.00533e-05    1.22692e-05    
2.67026        3.00533e-05    1.22692e-05    
2.68024        2.50444e-05    1.12002e-05    
2.69022        3.00533e-05    1.22692e-05    
2.70021        2.00355e-05    1.00178e-05    
2.71019        2.00355e-05    1.00178e-05    
2.72017        1.50266e-05    8.67563e-06    
2.73015        1.50266e-05    8.67563e-06    
2.74014        3.00533e-05    1.22692e-05    
2.75012        1.50266e-05    8.67563e-06    
2.7601         2.00355e-05    1.00178e-05    
2.77008        1.00178e-05    7.08362e-06    
2.78006        3.50621e-05    1.32522e-05    
2.79005        3.00533e-05    1.22692e-05    
2.80003        2.00355e-05    1.00178e-05    
2.81001        2.00355e-05    1.00178e-05    
2.81999        1.00178e-05    7.08362e-06    
2.82998        2.00355e-05    1.00178e-05    
2.83996        3.00533e-05    1.22692e-05    
2.84994        2.00355e-05    1.00178e-05    
2.85992        2.00355e-05    1.00178e-05    
2.86991        1.50266e-05    8.67563e-06    
2.87989        2.00355e-05    1.00178e-05    
2.88987        1.50266e-05    8.67563e-06    
2.89985        2.50444e-05    1.12002e-05    
2.90983        1.50266e-05    8.67563e-06    
2.91982        1.50266e-05    8.67563e-06    
2.9298         1.50266e-05    8.67563e-06    
2.93978        2.50444e-05    1.12002e-05    
2.94976        1.50266e-05    8.67563e-06    
2.95975        1.50266e-05    8.67563e-06    
2.96973        5.00888e-06    5.00888e-06    
2.97971        1.00178e-05    7.08362e-06    
