pT (GeV)       dN/dpt         error          
0.00599114     0              0              
0.0179734      0              0              
0.0299557      4.17283e-06    4.17283e-06    
0.041938       0              0              
0.0539203      0              0              
0.0659025      0              0              
0.0778848      0              0              
0.0898671      0              0              
0.101849       0              0              
0.113832       8.34566e-06    5.90127e-06    
0.125814       0              0              
0.137796       0              0              
0.149779       0              0              
0.161761       1.25185e-05    7.22755e-06    
0.173743       1.66913e-05    8.34566e-06    
0.185725       4.17283e-06    4.17283e-06    
0.197708       8.34566e-06    5.90127e-06    
0.20969        4.17283e-06    4.17283e-06    
0.221672       0              0              
0.233654       8.34566e-06    5.90127e-06    
0.245637       4.17283e-06    4.17283e-06    
0.257619       0              0              
0.269601       1.25185e-05    7.22755e-06    
0.281584       4.17283e-06    4.17283e-06    
0.293566       1.25185e-05    7.22755e-06    
0.305548       8.34566e-06    5.90127e-06    
0.31753        4.17283e-06    4.17283e-06    
0.329513       4.17283e-06    4.17283e-06    
0.341495       1.25185e-05    7.22755e-06    
0.353477       8.34566e-06    5.90127e-06    
0.36546        8.34566e-06    5.90127e-06    
0.377442       1.25185e-05    7.22755e-06    
0.389424       8.34566e-06    5.90127e-06    
0.401406       8.34566e-06    5.90127e-06    
0.413389       1.66913e-05    8.34566e-06    
0.425371       2.08641e-05    9.33073e-06    
0.437353       4.17283e-06    4.17283e-06    
0.449335       8.34566e-06    5.90127e-06    
0.461318       4.17283e-06    4.17283e-06    
0.4733         1.25185e-05    7.22755e-06    
0.485282       0              0              
0.497265       8.34566e-06    5.90127e-06    
0.509247       8.34566e-06    5.90127e-06    
0.521229       1.25185e-05    7.22755e-06    
0.533211       1.25185e-05    7.22755e-06    
0.545194       2.08641e-05    9.33073e-06    
0.557176       1.25185e-05    7.22755e-06    
0.569158       1.66913e-05    8.34566e-06    
0.581141       2.5037e-05     1.02213e-05    
0.593123       4.17283e-06    4.17283e-06    
0.605105       8.34566e-06    5.90127e-06    
0.617087       1.25185e-05    7.22755e-06    
0.62907        1.25185e-05    7.22755e-06    
0.641052       1.25185e-05    7.22755e-06    
0.653034       3.33826e-05    1.18025e-05    
0.665017       4.17283e-06    4.17283e-06    
0.676999       2.08641e-05    9.33073e-06    
0.688981       1.25185e-05    7.22755e-06    
0.700963       3.33826e-05    1.18025e-05    
0.712946       2.08641e-05    9.33073e-06    
0.724928       4.17283e-06    4.17283e-06    
0.73691        3.33826e-05    1.18025e-05    
0.748892       1.25185e-05    7.22755e-06    
0.760875       8.34566e-06    5.90127e-06    
0.772857       1.25185e-05    7.22755e-06    
0.784839       8.34566e-06    5.90127e-06    
0.796822       8.34566e-06    5.90127e-06    
0.808804       2.5037e-05     1.02213e-05    
0.820786       1.66913e-05    8.34566e-06    
0.832768       2.92098e-05    1.10403e-05    
0.844751       1.66913e-05    8.34566e-06    
0.856733       2.92098e-05    1.10403e-05    
0.868715       8.34566e-06    5.90127e-06    
0.880698       1.25185e-05    7.22755e-06    
0.89268        1.66913e-05    8.34566e-06    
0.904662       8.34566e-06    5.90127e-06    
0.916644       2.92098e-05    1.10403e-05    
0.928627       4.17283e-05    1.31956e-05    
0.940609       1.66913e-05    8.34566e-06    
0.952591       2.08641e-05    9.33073e-06    
0.964574       2.92098e-05    1.10403e-05    
0.976556       2.92098e-05    1.10403e-05    
0.988538       3.33826e-05    1.18025e-05    
1.00052        4.17283e-05    1.31956e-05    
1.0125         2.08641e-05    9.33073e-06    
1.02448        2.08641e-05    9.33073e-06    
1.03647        4.17283e-05    1.31956e-05    
1.04845        2.5037e-05     1.02213e-05    
1.06043        2.5037e-05     1.02213e-05    
1.07241        2.5037e-05     1.02213e-05    
1.0844         1.66913e-05    8.34566e-06    
1.09638        4.59011e-05    1.38397e-05    
1.10836        2.92098e-05    1.10403e-05    
1.12034        2.92098e-05    1.10403e-05    
1.13233        2.08641e-05    9.33073e-06    
1.14431        3.33826e-05    1.18025e-05    
1.15629        8.34566e-06    5.90127e-06    
1.16827        3.33826e-05    1.18025e-05    
1.18025        3.75555e-05    1.25185e-05    
1.19224        4.59011e-05    1.38397e-05    
1.20422        3.33826e-05    1.18025e-05    
1.2162         2.08641e-05    9.33073e-06    
1.22818        2.92098e-05    1.10403e-05    
1.24017        4.17283e-05    1.31956e-05    
1.25215        3.33826e-05    1.18025e-05    
1.26413        1.66913e-05    8.34566e-06    
1.27611        2.08641e-05    9.33073e-06    
1.2881         2.08641e-05    9.33073e-06    
1.30008        5.00739e-05    1.44551e-05    
1.31206        4.17283e-05    1.31956e-05    
1.32404        2.5037e-05     1.02213e-05    
1.33602        2.92098e-05    1.10403e-05    
1.34801        2.08641e-05    9.33073e-06    
1.35999        1.66913e-05    8.34566e-06    
1.37197        1.66913e-05    8.34566e-06    
1.38395        2.5037e-05     1.02213e-05    
1.39594        3.33826e-05    1.18025e-05    
1.40792        3.33826e-05    1.18025e-05    
1.4199         5.42468e-05    1.50453e-05    
1.43188        2.5037e-05     1.02213e-05    
1.44386        2.5037e-05     1.02213e-05    
1.45585        2.08641e-05    9.33073e-06    
1.46783        4.17283e-05    1.31956e-05    
1.47981        3.33826e-05    1.18025e-05    
1.49179        3.75555e-05    1.25185e-05    
1.50378        1.25185e-05    7.22755e-06    
1.51576        4.17283e-05    1.31956e-05    
1.52774        3.75555e-05    1.25185e-05    
1.53972        1.25185e-05    7.22755e-06    
1.55171        2.5037e-05     1.02213e-05    
1.56369        2.5037e-05     1.02213e-05    
1.57567        3.33826e-05    1.18025e-05    
1.58765        2.5037e-05     1.02213e-05    
1.59963        1.66913e-05    8.34566e-06    
1.61162        8.34566e-06    5.90127e-06    
1.6236         2.92098e-05    1.10403e-05    
1.63558        5.00739e-05    1.44551e-05    
1.64756        1.66913e-05    8.34566e-06    
1.65955        1.25185e-05    7.22755e-06    
1.67153        2.92098e-05    1.10403e-05    
1.68351        2.5037e-05     1.02213e-05    
1.69549        2.92098e-05    1.10403e-05    
