pT (GeV)       dN/dpt         error          
0.0069225      0              0              
0.0207675      0              0              
0.0346125      0              0              
0.0484575      0              0              
0.0623025      0              0              
0.0761475      0              0              
0.0899925      0              0              
0.103837       0              0              
0.117682       0              0              
0.131527       0              0              
0.145372       0              0              
0.159217       0              0              
0.173063       0              0              
0.186908       0              0              
0.200753       0              0              
0.214597       0              0              
0.228442       0              0              
0.242287       0              0              
0.256132       0              0              
0.269977       0              0              
0.283822       0              0              
0.297667       0              0              
0.311512       0              0              
0.325357       0              0              
0.339203       0              0              
0.353048       0              0              
0.366893       0              0              
0.380738       0              0              
0.394583       0              0              
0.408427       0              0              
0.422272       0              0              
0.436117       0              0              
0.449962       0              0              
0.463807       0              0              
0.477652       0              0              
0.491497       0              0              
0.505343       0              0              
0.519188       0              0              
0.533033       0              0              
0.546878       0              0              
0.560723       0              0              
0.574568       0              0              
0.588413       0              0              
0.602258       0              0              
0.616102       0              0              
0.629947       0              0              
0.643792       0              0              
0.657637       0              0              
0.671483       0              0              
0.685328       0              0              
0.699173       0              0              
0.713018       0              0              
0.726863       0              0              
0.740708       0              0              
0.754553       0              0              
0.768398       0              0              
0.782243       0              0              
0.796088       0              0              
0.809933       0              0              
0.823778       0              0              
0.837623       0              0              
0.851468       0              0              
0.865313       0              0              
0.879158       0              0              
0.893003       0              0              
0.906848       3.61141e-06    3.61141e-06    
0.920693       0              0              
0.934538       0              0              
0.948383       0              0              
0.962228       0              0              
0.976073       0              0              
0.989918       0              0              
1.00376        0              0              
1.01761        0              0              
1.03145        0              0              
1.0453         0              0              
1.05914        0              0              
1.07299        0              0              
1.08683        0              0              
1.10068        0              0              
1.11452        0              0              
1.12837        0              0              
1.14221        0              0              
1.15606        0              0              
1.1699         0              0              
1.18375        0              0              
1.19759        0              0              
1.21144        0              0              
1.22528        0              0              
1.23913        0              0              
1.25297        0              0              
1.26682        0              0              
1.28066        0              0              
1.29451        0              0              
1.30835        0              0              
1.3222         0              0              
1.33604        0              0              
1.34989        0              0              
1.36373        0              0              
1.37758        0              0              
1.39142        0              0              
1.40527        0              0              
1.41911        0              0              
1.43296        0              0              
1.4468         0              0              
1.46065        0              0              
1.47449        0              0              
1.48834        0              0              
1.50218        0              0              
1.51603        0              0              
1.52987        0              0              
1.54372        0              0              
1.55756        0              0              
1.57141        0              0              
1.58525        0              0              
1.5991         0              0              
1.61294        0              0              
1.62679        0              0              
1.64063        0              0              
1.65448        0              0              
1.66832        0              0              
1.68217        0              0              
1.69601        0              0              
1.70986        0              0              
1.7237         0              0              
1.73755        0              0              
1.75139        0              0              
1.76524        0              0              
1.77908        0              0              
1.79293        0              0              
1.80677        0              0              
1.82062        0              0              
1.83446        0              0              
1.84831        0              0              
1.86215        0              0              
1.876          0              0              
1.88984        0              0              
