mt-m0 (GeV)    dN/mtdmt       error          
0.002          1.16207e-05    0              
0.006          0              0              
0.01           3.86399e-06    4.01606e-06    
0.014          1.15776e-05    0              
0.018          7.70891e-06    0              
0.022          7.69941e-06    0              
0.026          7.68994e-06    0              
0.03           1.15207e-05    4.01606e-06    
0.034          0              4.01606e-06    
0.038          3.83083e-06    0              
0.042          3.82614e-06    0              
0.046          0              0              
0.05           0              0              
0.054          0              0              
0.058          7.61499e-06    0              
0.062          0              0              
0.066          3.79824e-06    0              
0.07           7.58725e-06    0              
0.074          0              0              
0.078          0              0              
0.082          3.77986e-06    4.01606e-06    
0.086          3.77529e-06    0              
0.09           1.13122e-05    4.01606e-06    
0.094          7.53239e-06    0              
0.098          0              4.01606e-06    
0.102          7.51428e-06    5.67957e-06    
0.106          0              0              
0.11           0              0              
0.114          0              4.01606e-06    
0.118          3.73916e-06    5.67957e-06    
0.122          7.46938e-06    0              
0.126          7.46046e-06    0              
0.13           0              5.67957e-06    
0.134          7.44269e-06    0              
0.138          1.85846e-05    4.01606e-06    
0.142          3.7125e-06     5.67957e-06    
0.146          3.7081e-06     0              
0.15           7.40741e-06    0              
0.154          7.39864e-06    0              
0.158          1.84747e-05    4.01606e-06    
0.162          3.69058e-06    0              
0.166          7.37246e-06    4.01606e-06    
0.17           3.68189e-06    0              
0.174          0              0              
0.178          3.67323e-06    0              
0.182          0              0              
0.186          7.32923e-06    0              
0.19           3.66032e-06    0              
0.194          7.31208e-06    0              
0.198          3.65177e-06    5.67957e-06    
0.202          0              0              
0.206          3.64325e-06    0              
0.21           3.63901e-06    0              
0.214          3.63478e-06    4.01606e-06    
0.218          7.26111e-06    5.67957e-06    
0.222          7.25268e-06    0              
0.226          1.08664e-05    0              
0.23           0              0              
0.234          3.61376e-06    0              
0.238          0              5.67957e-06    
0.242          3.60542e-06    0              
0.246          0              4.01606e-06    
0.25           1.07914e-05    5.67957e-06    
0.254          3.59299e-06    5.67957e-06    
0.258          7.17772e-06    0              
0.262          1.07542e-05    4.01606e-06    
0.266          0              4.01606e-06    
0.27           7.15308e-06    0              
0.274          0              0              
0.278          3.56837e-06    0              
0.282          3.5643e-06     0              
0.286          3.56024e-06    5.67957e-06    
0.29           3.55619e-06    5.67957e-06    
0.294          0              4.01606e-06    
0.298          3.54811e-06    4.01606e-06    
0.302          0              4.01606e-06    
0.306          0              8.98019e-06    
0.31           7.07214e-06    0              
0.314          3.53207e-06    5.67957e-06    
0.318          3.52808e-06    5.67957e-06    
0.322          3.5241e-06     5.67957e-06    
0.326          3.52014e-06    5.67957e-06    
0.33           0              8.03213e-06    
0.334          0              0              
0.338          3.50828e-06    5.67957e-06    
0.342          3.50435e-06    4.01606e-06    
0.346          7.00084e-06    0              
0.35           3.4965e-06     4.01606e-06    
0.354          1.04778e-05    4.01606e-06    
0.358          1.04661e-05    5.67957e-06    
0.362          6.96961e-06    0              
0.366          3.48092e-06    6.95603e-06    
0.37           0              0              
0.374          0              4.01606e-06    
0.378          0              0              
0.382          6.93097e-06    5.67957e-06    
0.386          0              4.01606e-06    
0.39           0              6.95603e-06    
0.394          0              6.95603e-06    
0.398          6.90036e-06    0              
0.402          0              4.01606e-06    
0.406          6.88516e-06    0              
0.41           0              4.01606e-06    
0.414          1.0305e-05     5.67957e-06    
0.418          1.02937e-05    4.01606e-06    
0.422          0              6.95603e-06    
0.426          1.02712e-05    6.95603e-06    
0.43           3.41997e-06    0              
0.434          3.41623e-06    5.67957e-06    
0.438          0              0              
0.442          3.40878e-06    5.67957e-06    
0.446          0              4.01606e-06    
0.45           3.40136e-06    4.01606e-06    
0.454          6.79532e-06    4.01606e-06    
0.458          0              0              
0.462          3.39029e-06    4.01606e-06    
0.466          6.77323e-06    4.01606e-06    
0.47           3.38295e-06    5.67957e-06    
0.474          3.37929e-06    4.01606e-06    
0.478          3.37564e-06    4.01606e-06    
0.482          6.744e-06      0              
0.486          3.36836e-06    4.01606e-06    
0.49           0              4.01606e-06    
0.494          6.72224e-06    6.95603e-06    
