p (GeV)        dN/dp          error          
0.00293956     0.000331682    5.31115e-05    
0.00881869     0.00264495     0.00014998     
0.0146978      0.0067612      0.00023979     
0.020577       0.0134204      0.000337826    
0.0264561      0.0225969      0.000438353    
0.0323352      0.0320711      0.000522209    
0.0382143      0.0465375      0.000629029    
0.0440935      0.0608083      0.000719207    
0.0499726      0.0782344      0.000815772    
0.0558517      0.0989347      0.000917173    
0.0617309      0.119541       0.00100844     
0.06761        0.144197       0.00110746     
0.0734891      0.170331       0.00120334     
0.0793683      0.196517       0.00129249     
0.0852474      0.227746       0.00139199     
0.0911265      0.260727       0.00148951     
0.0970056      0.293028       0.0015787      
0.102885       0.329037       0.00167328     
0.108764       0.367631       0.00176769     
0.114643       0.407501       0.00186181     
0.120522       0.44914        0.0019544      
0.126401       0.491654       0.00204453     
0.13228        0.535062       0.00213316     
0.13816        0.585418       0.00223101     
0.144039       0.628324       0.00231125     
0.149918       0.677974       0.00240082     
0.155797       0.732149       0.00249512     
0.161676       0.781          0.00257749     
0.167555       0.839716       0.00267196     
0.173434       0.890387       0.00275181     
0.179313       0.951654       0.00284519     
0.185193       1.00667        0.00292553     
0.191072       1.07645        0.00302545     
0.196951       1.12902        0.00309815     
0.20283        1.19412        0.00318702     
0.208709       1.25707        0.00326947     
0.214588       1.32566        0.00335682     
0.220467       1.38627        0.00343368     
0.226347       1.45121        0.00351467     
0.232226       1.52079        0.00359654     
0.238105       1.58688        0.00367369     
0.243984       1.66293        0.00376083     
0.249863       1.73364        0.00383959     
0.255742       1.79637        0.00390816     
0.261621       1.86867        0.00398549     
0.2675         1.93589        0.00405786     
0.27338        2.01374        0.00413819     
0.279259       2.0825         0.00420794     
0.285138       2.16659        0.0042923      
0.291017       2.2245         0.00434937     
0.296896       2.29929        0.00442112     
0.302775       2.38028        0.0044993      
0.308654       2.45775        0.00457166     
0.314533       2.52364        0.00463247     
0.320413       2.60158        0.0047031      
0.326292       2.67442        0.00476997     
0.332171       2.74619        0.00483327     
0.33805        2.83173        0.00490848     
0.343929       2.89723        0.00496226     
0.349808       2.96903        0.00502501     
0.355687       3.05291        0.00509546     
0.361566       3.11931        0.00514948     
0.367446       3.19725        0.00521552     
0.373325       3.26245        0.00526816     
0.379204       3.33298        0.0053234      
0.385083       3.4013         0.00537991     
0.390962       3.476          0.00543828     
0.396841       3.55731        0.00550075     
0.40272        3.61627        0.00554564     
0.4086         3.68829        0.00560103     
0.414479       3.75994        0.00565478     
0.420358       3.82941        0.00570745     
0.426237       3.90874        0.00576528     
0.432116       3.97392        0.00581178     
0.437995       4.02667        0.00585206     
0.443874       4.08577        0.00589468     
0.449753       4.15641        0.00594684     
0.455633       4.22555        0.00599439     
0.461512       4.28228        0.00603461     
0.467391       4.35081        0.00608363     
0.47327        4.40083        0.00611922     
0.479149       4.46749        0.00616533     
0.485028       4.53375        0.00620962     
0.490907       4.58102        0.00624204     
0.496786       4.63423        0.006279       
0.502666       4.6912         0.00631659     
0.508545       4.74405        0.00635078     
0.514424       4.80465        0.00639321     
0.520303       4.84641        0.00641956     
0.526182       4.90493        0.00646045     
0.532061       4.9464         0.00648694     
0.53794        4.99457        0.00651736     
0.54382        5.05128        0.00655476     
0.549699       5.09615        0.00658179     
0.555578       5.1335         0.00660659     
0.561457       5.18686        0.00664122     
0.567336       5.22246        0.00666437     
0.573215       5.27084        0.0066954      
0.579094       5.29568        0.00671326     
0.584973       5.33184        0.00673469     
0.590853       5.37856        0.00676211     
0.596732       5.42607        0.00679166     
0.602611       5.44871        0.00680759     
0.60849        5.49564        0.00683563     
0.614369       5.52851        0.00685667     
0.620248       5.55129        0.00687072     
0.626127       5.57948        0.00688814     
0.632006       5.62051        0.00691326     
0.637886       5.63186        0.00692084     
0.643765       5.65613        0.00693495     
0.649644       5.67245        0.00694489     
0.655523       5.70799        0.00696621     
0.661402       5.71579        0.0069719      
0.667281       5.75366        0.00699598     
0.67316        5.76725        0.007003       
0.67904        5.78299        0.00701208     
0.684919       5.80571        0.00702804     
0.690798       5.79922        0.00702192     
0.696677       5.82803        0.00703978     
0.702556       5.835          0.00704374     
0.708435       5.85577        0.00705879     
0.714314       5.85979        0.00705778     
0.720193       5.87029        0.00706857     
0.726073       5.87628        0.00707077     
0.731952       5.87485        0.00706808     
0.737831       5.88719        0.00707676     
0.74371        5.89066        0.00707866     
0.749589       5.90795        0.00708793     
0.755468       5.91082        0.00708892     
0.761347       5.92223        0.00709418     
0.767226       5.89496        0.00708086     
0.773106       5.89297        0.00707863     
0.778985       5.89965        0.00708431     
0.784864       5.90134        0.00708211     
0.790743       5.89354        0.00707823     
0.796622       5.89342        0.00707915     
0.802501       5.89133        0.00707749     
0.80838        5.88561        0.00707575     
0.81426        5.86716        0.00706537     
0.820139       5.86624        0.00706266     
0.826018       5.859          0.00706032     
0.831897       5.83179        0.00704374     
0.837776       5.82264        0.00703624     
0.843655       5.80912        0.00702927     
0.849534       5.80104        0.00702356     
0.855413       5.78282        0.00701242     
0.861293       5.77411        0.00700687     
0.867172       5.75872        0.00699708     
0.873051       5.73474        0.00698332     
0.87893        5.72288        0.00697814     
0.884809       5.70979        0.00696955     
0.890688       5.68895        0.00695561     
0.896567       5.65549        0.00693615     
0.902446       5.63156        0.00692174     
0.908326       5.6178         0.00691336     
0.914205       5.6            0.00690161     
0.920084       5.58428        0.00689057     
0.925963       5.55087        0.00687134     
0.931842       5.51161        0.0068471      
0.937721       5.49653        0.00683647     
0.9436         5.46882        0.00682053     
0.949479       5.45497        0.00681242     
0.955359       5.42045        0.00678822     
0.961238       5.40606        0.00677977     
0.967117       5.36548        0.00675362     
0.972996       5.33071        0.00673157     
0.978875       5.31792        0.00672667     
0.984754       5.27498        0.00669713     
0.990633       5.25066        0.00668267     
0.996513       5.2296         0.00666807     
1.00239        5.18634        0.00664107     
1.00827        5.1584         0.00662293     
1.01415        5.12909        0.00660411     
1.02003        5.09762        0.00658418     
1.02591        5.06442        0.00656268     
1.03179        5.04723        0.00655007     
1.03767        5.00041        0.00652213     
1.04355        4.97268        0.00650279     
1.04942        4.95402        0.00649125     
1.0553         4.90445        0.00645773     
1.06118        4.86694        0.00643378     
1.06706        4.84248        0.00641775     
1.07294        4.80241        0.00639192     
1.07882        4.75972        0.00636331     
1.0847         4.7355         0.00634656     
1.09058        4.7143         0.00633196     
1.09646        4.6672         0.00630017     
1.10234        4.6313         0.00627576     
1.10822        4.6055         0.00625638     
1.1141         4.56744        0.00623252     
1.11997        4.54361        0.00621656     
1.12585        4.49303        0.00617967     
1.13173        4.4513         0.00615111     
1.13761        4.4207         0.00613239     
1.14349        4.38107        0.00610491     
1.14937        4.34791        0.00608121     
1.15525        4.31469        0.0060569      
1.16113        4.27937        0.00603307     
1.16701        4.23473        0.00600241     
1.17289        4.20846        0.00598273     
1.17877        4.17288        0.00595877     
1.18464        4.13108        0.00592696     
1.19052        4.09657        0.00590194     
1.1964         4.05432        0.00587317     
1.20228        4.03681        0.00585858     
1.20816        3.99261        0.00582825     
1.21404        3.94953        0.00579541     
1.21992        3.91858        0.00577308     
1.2258         3.87591        0.00574079     
1.23168        3.84618        0.00571966     
1.23756        3.81015        0.00569201     
1.24344        3.75947        0.00565288     
1.24932        3.73133        0.00563314     
1.25519        3.70557        0.00561325     
1.26107        3.66751        0.00558336     
1.26695        3.634          0.00555954     
1.27283        3.59911        0.00553348     
1.27871        3.54999        0.0054917      
1.28459        3.51499        0.00546875     
1.29047        3.49018        0.00544666     
1.29635        3.46661        0.00542914     
1.30223        3.4225         0.00539447     
1.30811        3.37343        0.0053573      
1.31399        3.3523         0.00534018     
1.31986        3.31894        0.00531351     
1.32574        3.27369        0.0052778      
1.33162        3.22822        0.00524048     
1.3375         3.20557        0.00522201     
1.34338        3.17847        0.00519841     
1.34926        3.1428         0.00517105     
1.35514        3.11192        0.00514545     
1.36102        3.07736        0.00511606     
1.3669         3.03693        0.00508287     
1.37278        3.00623        0.00505604     
1.37866        2.97027        0.00502558     
1.38454        2.94016        0.00500005     
1.39041        2.91647        0.00498123     
1.39629        2.87219        0.0049444      
1.40217        2.84209        0.00491718     
1.40805        2.80733        0.00488695     
1.41393        2.78505        0.00486696     
1.41981        2.74653        0.00483347     
1.42569        2.71572        0.00480558     
1.43157        2.69028        0.00478297     
1.43745        2.65265        0.00475021     
1.44333        2.62595        0.00472606     
1.44921        2.57997        0.00468538     
1.45508        2.55803        0.00466366     
1.46096        2.52993        0.00463813     
1.46684        2.49607        0.00460768     
1.47272        2.47362        0.00458569     
1.4786         2.43152        0.00454809     
1.48448        2.41338        0.00453028     
1.49036        2.38585        0.00450387     
1.49624        2.34687        0.00446665     
1.50212        2.33119        0.00445206     
1.508          2.3031         0.00442587     
1.51388        2.27441        0.00439737     
1.51976        2.24333        0.00436916     
1.52563        2.21028        0.00433517     
1.53151        2.1897         0.0043162      
1.53739        2.15568        0.0042837      
1.54327        2.13737        0.00426386     
1.54915        2.10509        0.00423095     
1.55503        2.07919        0.00420581     
1.56091        2.04398        0.00417043     
1.56679        2.02841        0.00415384     
1.57267        2.0011         0.00412549     
1.57855        1.97554        0.00409906     
1.58443        1.95384        0.00407679     
1.5903         1.92927        0.0040501      
1.59618        1.90097        0.00402082     
1.60206        1.87705        0.00399479     
1.60794        1.84094        0.0039569      
1.61382        1.83321        0.00394727     
1.6197         1.81208        0.00392655     
1.62558        1.78558        0.00389808     
1.63146        1.76177        0.00387064     
