pT (GeV)       dN/dpt         error          
0.00580892     0              0              
0.0174268      0              0              
0.0290446      0              0              
0.0406624      0              0              
0.0522803      0              0              
0.0638981      0              0              
0.075516       0              0              
0.0871338      4.30373e-06    4.30373e-06    
0.0987516      0              0              
0.110369       0              0              
0.121987       8.60745e-06    6.08639e-06    
0.133605       0              0              
0.145223       4.30373e-06    4.30373e-06    
0.156841       0              0              
0.168459       0              0              
0.180077       0              0              
0.191694       0              0              
0.203312       8.60745e-06    6.08639e-06    
0.21493        0              0              
0.226548       0              0              
0.238166       4.30373e-06    4.30373e-06    
0.249784       2.15186e-05    9.62342e-06    
0.261401       2.15186e-05    9.62342e-06    
0.273019       8.60745e-06    6.08639e-06    
0.284637       8.60745e-06    6.08639e-06    
0.296255       4.30373e-06    4.30373e-06    
0.307873       4.30373e-06    4.30373e-06    
0.319491       4.30373e-06    4.30373e-06    
0.331108       4.30373e-06    4.30373e-06    
0.342726       8.60745e-06    6.08639e-06    
0.354344       4.30373e-06    4.30373e-06    
0.365962       0              0              
0.37758        1.29112e-05    7.45427e-06    
0.389198       1.72149e-05    8.60745e-06    
0.400815       8.60745e-06    6.08639e-06    
0.412433       8.60745e-06    6.08639e-06    
0.424051       1.29112e-05    7.45427e-06    
0.435669       8.60745e-06    6.08639e-06    
0.447287       4.30373e-06    4.30373e-06    
0.458905       8.60745e-06    6.08639e-06    
0.470523       1.29112e-05    7.45427e-06    
0.48214        4.30373e-06    4.30373e-06    
0.493758       2.15186e-05    9.62342e-06    
0.505376       2.15186e-05    9.62342e-06    
0.516994       4.30373e-06    4.30373e-06    
0.528612       2.58224e-05    1.05419e-05    
0.54023        1.72149e-05    8.60745e-06    
0.551847       2.15186e-05    9.62342e-06    
0.563465       3.01261e-05    1.13866e-05    
0.575083       1.29112e-05    7.45427e-06    
0.586701       4.30373e-06    4.30373e-06    
0.598319       1.29112e-05    7.45427e-06    
0.609937       1.72149e-05    8.60745e-06    
0.621554       2.15186e-05    9.62342e-06    
0.633172       1.72149e-05    8.60745e-06    
0.64479        1.72149e-05    8.60745e-06    
0.656408       1.72149e-05    8.60745e-06    
0.668026       1.29112e-05    7.45427e-06    
0.679644       8.60745e-06    6.08639e-06    
0.691261       1.29112e-05    7.45427e-06    
0.702879       8.60745e-06    6.08639e-06    
0.714497       1.72149e-05    8.60745e-06    
0.726115       2.15186e-05    9.62342e-06    
0.737733       0              0              
0.749351       3.01261e-05    1.13866e-05    
0.760969       4.30373e-06    4.30373e-06    
0.772586       1.72149e-05    8.60745e-06    
0.784204       1.72149e-05    8.60745e-06    
0.795822       1.72149e-05    8.60745e-06    
0.80744        3.44298e-05    1.21728e-05    
0.819058       3.01261e-05    1.13866e-05    
0.830676       3.44298e-05    1.21728e-05    
0.842293       1.72149e-05    8.60745e-06    
0.853911       1.29112e-05    7.45427e-06    
0.865529       1.72149e-05    8.60745e-06    
0.877147       2.58224e-05    1.05419e-05    
0.888765       3.01261e-05    1.13866e-05    
0.900383       3.44298e-05    1.21728e-05    
0.912          1.72149e-05    8.60745e-06    
0.923618       3.01261e-05    1.13866e-05    
0.935236       3.01261e-05    1.13866e-05    
0.946854       3.44298e-05    1.21728e-05    
0.958472       2.15186e-05    9.62342e-06    
0.97009        3.01261e-05    1.13866e-05    
0.981707       2.58224e-05    1.05419e-05    
0.993325       3.87335e-05    1.29112e-05    
1.00494        8.60745e-06    6.08639e-06    
1.01656        2.58224e-05    1.05419e-05    
1.02818        2.58224e-05    1.05419e-05    
1.0398         2.58224e-05    1.05419e-05    
1.05141        1.29112e-05    7.45427e-06    
1.06303        2.58224e-05    1.05419e-05    
1.07465        1.29112e-05    7.45427e-06    
1.08627        1.72149e-05    8.60745e-06    
1.09789        3.44298e-05    1.21728e-05    
1.1095         2.58224e-05    1.05419e-05    
1.12112        4.30373e-05    1.36096e-05    
1.13274        2.15186e-05    9.62342e-06    
1.14436        1.29112e-05    7.45427e-06    
1.15598        8.60745e-06    6.08639e-06    
1.16759        1.72149e-05    8.60745e-06    
1.17921        2.58224e-05    1.05419e-05    
1.19083        3.44298e-05    1.21728e-05    
1.20245        1.72149e-05    8.60745e-06    
1.21406        2.15186e-05    9.62342e-06    
1.22568        1.72149e-05    8.60745e-06    
1.2373         1.72149e-05    8.60745e-06    
1.24892        3.44298e-05    1.21728e-05    
1.26054        3.44298e-05    1.21728e-05    
1.27215        3.44298e-05    1.21728e-05    
1.28377        2.58224e-05    1.05419e-05    
1.29539        3.01261e-05    1.13866e-05    
1.30701        2.15186e-05    9.62342e-06    
1.31862        1.72149e-05    8.60745e-06    
1.33024        1.72149e-05    8.60745e-06    
1.34186        3.44298e-05    1.21728e-05    
1.35348        1.72149e-05    8.60745e-06    
1.3651         3.01261e-05    1.13866e-05    
1.37671        3.01261e-05    1.13866e-05    
1.38833        4.30373e-05    1.36096e-05    
1.39995        3.01261e-05    1.13866e-05    
1.41157        1.72149e-05    8.60745e-06    
1.42319        2.15186e-05    9.62342e-06    
1.4348         2.58224e-05    1.05419e-05    
1.44642        3.01261e-05    1.13866e-05    
1.45804        8.60745e-06    6.08639e-06    
1.46966        3.87335e-05    1.29112e-05    
1.48127        8.60745e-06    6.08639e-06    
1.49289        2.15186e-05    9.62342e-06    
1.50451        1.29112e-05    7.45427e-06    
1.51613        3.01261e-05    1.13866e-05    
1.52775        1.72149e-05    8.60745e-06    
1.53936        2.58224e-05    1.05419e-05    
1.55098        3.01261e-05    1.13866e-05    
1.5626         3.87335e-05    1.29112e-05    
1.57422        2.58224e-05    1.05419e-05    
1.58584        3.01261e-05    1.13866e-05    
1.59745        3.01261e-05    1.13866e-05    
1.60907        8.60745e-06    6.08639e-06    
1.62069        1.29112e-05    7.45427e-06    
1.63231        3.44298e-05    1.21728e-05    
1.64392        1.72149e-05    8.60745e-06    
1.65554        1.72149e-05    8.60745e-06    
1.66716        2.15186e-05    9.62342e-06    
1.67878        2.58224e-05    1.05419e-05    
1.6904         8.60745e-06    6.08639e-06    
1.70201        2.58224e-05    1.05419e-05    
1.71363        8.60745e-06    6.08639e-06    
1.72525        1.72149e-05    8.60745e-06    
1.73687        3.01261e-05    1.13866e-05    
1.74848        1.72149e-05    8.60745e-06    
1.7601         2.58224e-05    1.05419e-05    
1.77172        1.72149e-05    8.60745e-06    
1.78334        1.29112e-05    7.45427e-06    
1.79496        4.7341e-05     1.42738e-05    
1.80657        1.29112e-05    7.45427e-06    
1.81819        1.72149e-05    8.60745e-06    
1.82981        1.29112e-05    7.45427e-06    
1.84143        2.15186e-05    9.62342e-06    
1.85305        1.72149e-05    8.60745e-06    
1.86466        1.29112e-05    7.45427e-06    
1.87628        6.02522e-05    1.61031e-05    
1.8879         2.58224e-05    1.05419e-05    
1.89952        1.29112e-05    7.45427e-06    
1.91113        3.01261e-05    1.13866e-05    
1.92275        1.72149e-05    8.60745e-06    
1.93437        4.30373e-05    1.36096e-05    
1.94599        1.72149e-05    8.60745e-06    
1.95761        1.29112e-05    7.45427e-06    
1.96922        3.44298e-05    1.21728e-05    
1.98084        1.29112e-05    7.45427e-06    
1.99246        1.72149e-05    8.60745e-06    
2.00408        2.15186e-05    9.62342e-06    
2.0157         3.01261e-05    1.13866e-05    
2.02731        1.29112e-05    7.45427e-06    
2.03893        2.15186e-05    9.62342e-06    
2.05055        4.30373e-06    4.30373e-06    
2.06217        8.60745e-06    6.08639e-06    
2.07378        1.29112e-05    7.45427e-06    
2.0854         3.44298e-05    1.21728e-05    
2.09702        2.58224e-05    1.05419e-05    
2.10864        3.87335e-05    1.29112e-05    
2.12026        3.01261e-05    1.13866e-05    
2.13187        2.58224e-05    1.05419e-05    
2.14349        3.01261e-05    1.13866e-05    
2.15511        1.29112e-05    7.45427e-06    
2.16673        2.58224e-05    1.05419e-05    
2.17835        4.30373e-06    4.30373e-06    
2.18996        1.29112e-05    7.45427e-06    
2.20158        1.72149e-05    8.60745e-06    
2.2132         1.72149e-05    8.60745e-06    
2.22482        1.72149e-05    8.60745e-06    
2.23643        1.72149e-05    8.60745e-06    
2.24805        2.58224e-05    1.05419e-05    
2.25967        1.29112e-05    7.45427e-06    
2.27129        3.44298e-05    1.21728e-05    
2.28291        1.29112e-05    7.45427e-06    
2.29452        2.15186e-05    9.62342e-06    
2.30614        2.15186e-05    9.62342e-06    
2.31776        1.72149e-05    8.60745e-06    
2.32938        2.15186e-05    9.62342e-06    
2.34099        8.60745e-06    6.08639e-06    
2.35261        1.29112e-05    7.45427e-06    
2.36423        1.29112e-05    7.45427e-06    
2.37585        8.60745e-06    6.08639e-06    
2.38747        1.29112e-05    7.45427e-06    
2.39908        4.30373e-06    4.30373e-06    
2.4107         1.72149e-05    8.60745e-06    
2.42232        1.72149e-05    8.60745e-06    
2.43394        4.30373e-06    4.30373e-06    
2.44556        8.60745e-06    6.08639e-06    
2.45717        8.60745e-06    6.08639e-06    
2.46879        8.60745e-06    6.08639e-06    
2.48041        1.29112e-05    7.45427e-06    
2.49203        1.72149e-05    8.60745e-06    
2.50364        8.60745e-06    6.08639e-06    
2.51526        1.29112e-05    7.45427e-06    
2.52688        0              0              
2.5385         2.58224e-05    1.05419e-05    
2.55012        1.72149e-05    8.60745e-06    
2.56173        1.72149e-05    8.60745e-06    
2.57335        1.72149e-05    8.60745e-06    
2.58497        4.30373e-06    4.30373e-06    
2.59659        1.72149e-05    8.60745e-06    
2.60821        1.29112e-05    7.45427e-06    
2.61982        2.58224e-05    1.05419e-05    
2.63144        1.29112e-05    7.45427e-06    
2.64306        4.30373e-06    4.30373e-06    
2.65468        8.60745e-06    6.08639e-06    
2.66629        8.60745e-06    6.08639e-06    
2.67791        4.30373e-06    4.30373e-06    
2.68953        8.60745e-06    6.08639e-06    
2.70115        8.60745e-06    6.08639e-06    
2.71277        4.30373e-06    4.30373e-06    
2.72438        2.15186e-05    9.62342e-06    
2.736          1.72149e-05    8.60745e-06    
2.74762        8.60745e-06    6.08639e-06    
2.75924        1.72149e-05    8.60745e-06    
2.77085        8.60745e-06    6.08639e-06    
2.78247        1.29112e-05    7.45427e-06    
2.79409        4.30373e-06    4.30373e-06    
2.80571        4.30373e-06    4.30373e-06    
2.81733        8.60745e-06    6.08639e-06    
2.82894        8.60745e-06    6.08639e-06    
2.84056        8.60745e-06    6.08639e-06    
2.85218        1.29112e-05    7.45427e-06    
2.8638         4.30373e-06    4.30373e-06    
2.87542        4.30373e-06    4.30373e-06    
2.88703        8.60745e-06    6.08639e-06    
2.89865        4.30373e-06    4.30373e-06    
2.91027        1.72149e-05    8.60745e-06    
2.92189        1.29112e-05    7.45427e-06    
2.9335         8.60745e-06    6.08639e-06    
2.94512        0              0              
2.95674        1.29112e-05    7.45427e-06    
2.96836        8.60745e-06    6.08639e-06    
2.97998        4.30373e-06    4.30373e-06    
2.99159        4.30373e-06    4.30373e-06    
3.00321        8.60745e-06    6.08639e-06    
3.01483        0              0              
3.02645        0              0              
3.03807        4.30373e-06    4.30373e-06    
3.04968        0              0              
3.0613         1.29112e-05    7.45427e-06    
3.07292        1.29112e-05    7.45427e-06    
3.08454        8.60745e-06    6.08639e-06    
3.09615        0              0              
3.10777        4.30373e-06    4.30373e-06    
3.11939        0              0              
3.13101        4.30373e-06    4.30373e-06    
3.14263        0              0              
3.15424        8.60745e-06    6.08639e-06    
3.16586        1.29112e-05    7.45427e-06    
3.17748        0              0              
3.1891         4.30373e-06    4.30373e-06    
3.20071        0              0              
3.21233        8.60745e-06    6.08639e-06    
3.22395        0              0              
3.23557        0              0              
3.24719        0              0              
3.2588         0              0              
3.27042        0              0              
3.28204        4.30373e-06    4.30373e-06    
3.29366        0              0              
3.30528        4.30373e-06    4.30373e-06    
3.31689        4.30373e-06    4.30373e-06    
3.32851        4.30373e-06    4.30373e-06    
3.34013        0              0              
3.35175        0              0              
3.36336        0              0              
3.37498        8.60745e-06    6.08639e-06    
3.3866         0              0              
3.39822        8.60745e-06    6.08639e-06    
3.40984        0              0              
3.42145        0              0              
3.43307        0              0              
3.44469        0              0              
3.45631        4.30373e-06    4.30373e-06    
3.46793        4.30373e-06    4.30373e-06    
3.47954        4.30373e-06    4.30373e-06    
3.49116        0              0              
3.50278        8.60745e-06    6.08639e-06    
3.5144         0              0              
3.52601        0              0              
3.53763        0              0              
3.54925        8.60745e-06    6.08639e-06    
3.56087        4.30373e-06    4.30373e-06    
3.57249        0              0              
3.5841         0              0              
3.59572        8.60745e-06    6.08639e-06    
3.60734        0              0              
3.61896        0              0              
3.63058        4.30373e-06    4.30373e-06    
3.64219        0              0              
3.65381        0              0              
3.66543        0              0              
3.67705        4.30373e-06    4.30373e-06    
3.68866        0              0              
3.70028        0              0              
