p (GeV)        dN/dp          error          
0.00293827     0.000136134    3.40336e-05    
0.00881482     0.000663655    7.5144e-05     
0.0146914      0.00216113     0.000135601    
0.0205679      0.00398193     0.000184063    
0.0264444      0.00647489     0.00023471     
0.032321       0.00909548     0.00027818     
0.0381975      0.013707       0.00034149     
0.0440741      0.0178251      0.000389419    
0.0499506      0.0218496      0.000431139    
0.0558272      0.0282564      0.000490283    
0.0617037      0.0350206      0.000545809    
0.0675803      0.0409509      0.000590206    
0.0734568      0.0488808      0.000644808    
0.0793333      0.0564362      0.000692941    
0.0852099      0.0632174      0.000733365    
0.0910864      0.0748824      0.00079821     
0.096963       0.0837142      0.000843927    
0.10284        0.0946304      0.000897377    
0.108716       0.104832       0.000944602    
0.114593       0.11682        0.000996994    
0.120469       0.128792       0.00104676     
0.126346       0.138721       0.0010863      
0.132222       0.152939       0.00114098     
0.138099       0.166297       0.00118947     
0.143975       0.180421       0.00123915     
0.149852       0.193345       0.00128238     
0.155728       0.209392       0.00133513     
0.161605       0.224664       0.00138256     
0.167482       0.242949       0.00143783     
0.173358       0.257226       0.00147978     
0.179235       0.272516       0.00152259     
0.185111       0.290775       0.00157336     
0.190988       0.308549       0.00162        
0.196864       0.325676       0.0016646      
0.202741       0.342148       0.00170619     
0.208617       0.360663       0.00175172     
0.214494       0.377212       0.00179157     
0.22037        0.396721       0.00183735     
0.226247       0.415202       0.00187945     
0.232123       0.436728       0.00192725     
0.238          0.454017       0.00196529     
0.243877       0.47465        0.0020099      
0.249753       0.493343       0.00204858     
0.25563        0.512989       0.00208971     
0.261506       0.535953       0.0021355      
0.267383       0.557921       0.00217902     
0.273259       0.574053       0.00220946     
0.279136       0.60077        0.00226061     
0.285012       0.620833       0.00229804     
0.290889       0.636701       0.00232736     
0.296765       0.662847       0.00237525     
0.302642       0.679243       0.00240346     
0.308519       0.7027         0.00244468     
0.314395       0.719343       0.00247449     
0.320272       0.747769       0.00252245     
0.326148       0.769423       0.00255926     
0.332025       0.78439        0.00258405     
0.337901       0.809081       0.00262329     
0.343778       0.829569       0.0026564      
0.349654       0.853537       0.00269489     
0.355531       0.873013       0.00272542     
0.361407       0.888822       0.00274986     
0.367284       0.912228       0.00278614     
0.373161       0.937473       0.00282383     
0.379037       0.95688        0.00285267     
0.384914       0.980483       0.00288816     
0.39079        0.997517       0.00291355     
0.396667       1.02575        0.0029542      
0.402543       1.03852        0.00297292     
0.40842        1.06349        0.00300832     
0.414296       1.07944        0.00303056     
0.420173       1.09713        0.00305502     
0.426049       1.12094        0.0030882      
0.431926       1.13346        0.00310573     
0.437803       1.15376        0.00313347     
0.443679       1.17295        0.00316022     
0.449556       1.19546        0.00318896     
0.455432       1.20681        0.00320416     
0.461309       1.22662        0.00323089     
0.467185       1.24446        0.0032539      
0.473062       1.26281        0.00327852     
0.478938       1.28168        0.00330289     
0.484815       1.29882        0.00332339     
0.490691       1.31909        0.00335046     
0.496568       1.33594        0.00337132     
0.502445       1.34531        0.00338217     
0.508321       1.36003        0.00340115     
0.514198       1.38097        0.00342689     
0.520074       1.39195        0.00344052     
0.525951       1.40799        0.0034607      
0.531827       1.42208        0.00347836     
0.537704       1.43818        0.00349759     
0.54358        1.45533        0.00351895     
0.549457       1.46869        0.00353585     
0.555333       1.47364        0.0035398      
0.56121        1.49276        0.00356424     
0.567086       1.49584        0.00356773     
0.572963       1.50936        0.00358314     
0.57884        1.5319         0.00361161     
0.584716       1.53313        0.00361116     
0.590593       1.54701        0.00362923     
0.596469       1.56085        0.00364417     
0.602346       1.57012        0.00365502     
0.608222       1.57183        0.00365709     
0.614099       1.58253        0.0036708      
0.619975       1.59802        0.00368679     
0.625852       1.60475        0.00369548     
0.631728       1.61629        0.00370923     
0.637605       1.61766        0.0037104      
0.643482       1.62081        0.0037141      
0.649358       1.63098        0.00372475     
0.655235       1.63945        0.00373506     
0.661111       1.64629        0.00374261     
0.666988       1.64907        0.00374475     
0.672864       1.65422        0.00375266     
0.678741       1.66394        0.00376271     
0.684617       1.66811        0.00376699     
0.690494       1.67004        0.00376939     
0.69637        1.66982        0.00377025     
0.702247       1.68265        0.00378322     
0.708124       1.68625        0.00378787     
0.714          1.68237        0.00378326     
0.719877       1.69402        0.00379692     
0.725753       1.69456        0.00379776     
0.73163        1.69817        0.00380021     
0.737506       1.69652        0.00380035     
0.743383       1.70042        0.00380339     
0.749259       1.69677        0.003799       
0.755136       1.69755        0.00380113     
0.761012       1.6988         0.00380229     
0.766889       1.70695        0.00381025     
0.772766       1.70028        0.00380298     
0.778642       1.70503        0.00380916     
0.784519       1.70029        0.00380373     
0.790395       1.69851        0.00380245     
0.796272       1.70785        0.00381173     
0.802148       1.70115        0.00380455     
0.808025       1.69418        0.00379613     
0.813901       1.6911         0.00379349     
0.819778       1.69537        0.00379819     
0.825654       1.68029        0.00378191     
0.831531       1.68573        0.0037861      
0.837408       1.68147        0.00378275     
0.843284       1.67617        0.00377591     
0.849161       1.67592        0.00377639     
0.855037       1.67479        0.00377533     
0.860914       1.66264        0.00376058     
0.86679        1.65973        0.00375796     
0.872667       1.65416        0.0037508      
0.878543       1.64805        0.00374508     
0.88442        1.65323        0.00375051     
0.890296       1.63452        0.00372939     
0.896173       1.63771        0.00373164     
0.90205        1.63395        0.00372898     
0.907926       1.62764        0.00372101     
0.913803       1.6194         0.00371144     
0.919679       1.61111        0.00370162     
0.925556       1.60423        0.0036952      
0.931432       1.59652        0.00368585     
0.937309       1.58891        0.00367703     
0.943185       1.58187        0.00366948     
0.949062       1.57553        0.00366013     
0.954938       1.57234        0.00365828     
0.960815       1.55922        0.00364214     
0.966691       1.56133        0.0036439      
0.972568       1.54524        0.00362645     
0.978445       1.53876        0.00361891     
0.984321       1.5326         0.00361051     
0.990198       1.51547        0.00359117     
0.996074       1.51088        0.00358504     
1.00195        1.51356        0.00358812     
1.00783        1.49355        0.00356443     
1.0137         1.49439        0.00356601     
1.01958        1.48803        0.00355904     
1.02546        1.47445        0.00354264     
1.03133        1.46037        0.00352524     
1.03721        1.45951        0.00352431     
1.04309        1.44922        0.00351257     
1.04896        1.43518        0.00349395     
1.05484        1.43171        0.00348928     
1.06072        1.41571        0.00347038     
1.06659        1.40222        0.0034541      
1.07247        1.40055        0.00345073     
1.07835        1.38547        0.00343374     
1.08422        1.38165        0.00342872     
1.0901         1.36501        0.00340874     
1.09598        1.35566        0.00339664     
1.10185        1.34739        0.00338605     
1.10773        1.34337        0.00338076     
1.11361        1.32965        0.00336313     
1.11948        1.31721        0.00334691     
1.12536        1.31594        0.00334536     
1.13123        1.30088        0.00332705     
1.13711        1.28587        0.00330764     
1.14299        1.28473        0.00330576     
1.14886        1.27147        0.00328925     
1.15474        1.25355        0.0032662      
1.16062        1.2526         0.00326434     
1.16649        1.23511        0.00324186     
1.17237        1.23448        0.00324056     
1.17825        1.21743        0.00321805     
1.18412        1.20782        0.00320527     
1.19           1.20048        0.00319542     
1.19588        1.18282        0.00317189     
1.20175        1.17306        0.0031601      
1.20763        1.16401        0.00314757     
1.21351        1.15595        0.00313663     
1.21938        1.14431        0.00312011     
1.22526        1.13491        0.00310744     
1.23114        1.12087        0.00308778     
1.23701        1.11021        0.00307407     
1.24289        1.10619        0.00306759     
1.24877        1.09603        0.00305303     
1.25464        1.08915        0.00304396     
1.26052        1.07569        0.00302576     
1.2664         1.06701        0.00301314     
1.27227        1.05153        0.00299081     
1.27815        1.0448         0.00298188     
1.28402        1.03248        0.00296363     
1.2899         1.02255        0.00294942     
