pT (GeV)       dN/dpt         error          
0.00580892     0              0              
0.0174268      0              0              
0.0290446      0              0              
0.0406624      0              0              
0.0522803      0              0              
0.0638981      3.44298e-06    2.43456e-06    
0.075516       5.16447e-06    2.98171e-06    
0.0871338      0              0              
0.0987516      1.72149e-06    1.72149e-06    
0.110369       1.72149e-06    1.72149e-06    
0.121987       5.16447e-06    2.98171e-06    
0.133605       0              0              
0.145223       3.44298e-06    2.43456e-06    
0.156841       1.72149e-06    1.72149e-06    
0.168459       5.16447e-06    2.98171e-06    
0.180077       3.44298e-06    2.43456e-06    
0.191694       3.44298e-06    2.43456e-06    
0.203312       3.44298e-06    2.43456e-06    
0.21493        1.72149e-06    1.72149e-06    
0.226548       3.44298e-06    2.43456e-06    
0.238166       1.72149e-06    1.72149e-06    
0.249784       1.03289e-05    4.21677e-06    
0.261401       6.88596e-06    3.44298e-06    
0.273019       6.88596e-06    3.44298e-06    
0.284637       6.88596e-06    3.44298e-06    
0.296255       1.37719e-05    4.86911e-06    
0.307873       1.72149e-06    1.72149e-06    
0.319491       3.44298e-06    2.43456e-06    
0.331108       1.37719e-05    4.86911e-06    
0.342726       3.44298e-06    2.43456e-06    
0.354344       8.60745e-06    3.84937e-06    
0.365962       1.03289e-05    4.21677e-06    
0.37758        8.60745e-06    3.84937e-06    
0.389198       5.16447e-06    2.98171e-06    
0.400815       5.16447e-06    2.98171e-06    
0.412433       6.88596e-06    3.44298e-06    
0.424051       8.60745e-06    3.84937e-06    
0.435669       1.03289e-05    4.21677e-06    
0.447287       1.03289e-05    4.21677e-06    
0.458905       6.88596e-06    3.44298e-06    
0.470523       6.88596e-06    3.44298e-06    
0.48214        1.20504e-05    4.55464e-06    
0.493758       1.72149e-06    1.72149e-06    
0.505376       5.16447e-06    2.98171e-06    
0.516994       1.54934e-05    5.16447e-06    
0.528612       1.20504e-05    4.55464e-06    
0.54023        5.16447e-06    2.98171e-06    
0.551847       1.72149e-05    5.44383e-06    
0.563465       1.20504e-05    4.55464e-06    
0.575083       1.03289e-05    4.21677e-06    
0.586701       1.20504e-05    4.55464e-06    
0.598319       1.03289e-05    4.21677e-06    
0.609937       1.89364e-05    5.70954e-06    
0.621554       1.37719e-05    4.86911e-06    
0.633172       1.72149e-05    5.44383e-06    
0.64479        1.72149e-06    1.72149e-06    
0.656408       1.89364e-05    5.70954e-06    
0.668026       6.88596e-06    3.44298e-06    
0.679644       1.72149e-05    5.44383e-06    
0.691261       1.37719e-05    4.86911e-06    
0.702879       8.60745e-06    3.84937e-06    
0.714497       1.20504e-05    4.55464e-06    
0.726115       1.89364e-05    5.70954e-06    
0.737733       1.89364e-05    5.70954e-06    
0.749351       6.88596e-06    3.44298e-06    
0.760969       1.37719e-05    4.86911e-06    
0.772586       1.54934e-05    5.16447e-06    
0.784204       2.58224e-05    6.6673e-06     
0.795822       1.89364e-05    5.70954e-06    
0.80744        1.72149e-05    5.44383e-06    
0.819058       1.03289e-05    4.21677e-06    
0.830676       2.06579e-05    5.96342e-06    
0.842293       1.72149e-05    5.44383e-06    
0.853911       2.41009e-05    6.44123e-06    
0.865529       1.54934e-05    5.16447e-06    
0.877147       2.06579e-05    5.96342e-06    
0.888765       1.37719e-05    4.86911e-06    
0.900383       1.20504e-05    4.55464e-06    
0.912          1.37719e-05    4.86911e-06    
0.923618       2.06579e-05    5.96342e-06    
0.935236       2.41009e-05    6.44123e-06    
0.946854       8.60745e-06    3.84937e-06    
0.958472       2.06579e-05    5.96342e-06    
0.97009        1.37719e-05    4.86911e-06    
0.981707       1.54934e-05    5.16447e-06    
0.993325       1.37719e-05    4.86911e-06    
1.00494        1.72149e-05    5.44383e-06    
1.01656        2.58224e-05    6.6673e-06     
1.02818        2.23794e-05    6.20692e-06    
1.0398         2.23794e-05    6.20692e-06    
1.05141        2.23794e-05    6.20692e-06    
1.06303        3.09868e-05    7.30366e-06    
1.07465        1.72149e-05    5.44383e-06    
1.08627        3.27083e-05    7.5038e-06     
1.09789        2.92653e-05    7.09789e-06    
1.1095         2.41009e-05    6.44123e-06    
1.12112        1.89364e-05    5.70954e-06    
1.13274        2.06579e-05    5.96342e-06    
1.14436        1.89364e-05    5.70954e-06    
1.15598        2.23794e-05    6.20692e-06    
1.16759        2.92653e-05    7.09789e-06    
1.17921        8.60745e-06    3.84937e-06    
1.19083        1.89364e-05    5.70954e-06    
1.20245        1.89364e-05    5.70954e-06    
1.21406        2.41009e-05    6.44123e-06    
1.22568        8.60745e-06    3.84937e-06    
1.2373         2.92653e-05    7.09789e-06    
1.24892        2.41009e-05    6.44123e-06    
1.26054        1.72149e-05    5.44383e-06    
1.27215        2.58224e-05    6.6673e-06     
1.28377        1.89364e-05    5.70954e-06    
1.29539        2.23794e-05    6.20692e-06    
1.30701        2.75438e-05    6.88596e-06    
1.31862        1.54934e-05    5.16447e-06    
1.33024        1.89364e-05    5.70954e-06    
1.34186        1.37719e-05    4.86911e-06    
1.35348        2.23794e-05    6.20692e-06    
1.3651         2.41009e-05    6.44123e-06    
1.37671        2.23794e-05    6.20692e-06    
1.38833        2.75438e-05    6.88596e-06    
1.39995        1.72149e-05    5.44383e-06    
1.41157        2.06579e-05    5.96342e-06    
1.42319        3.09868e-05    7.30366e-06    
1.4348         2.75438e-05    6.88596e-06    
1.44642        1.72149e-05    5.44383e-06    
1.45804        2.23794e-05    6.20692e-06    
1.46966        1.54934e-05    5.16447e-06    
1.48127        1.89364e-05    5.70954e-06    
1.49289        3.09868e-05    7.30366e-06    
1.50451        1.89364e-05    5.70954e-06    
1.51613        2.58224e-05    6.6673e-06     
1.52775        2.23794e-05    6.20692e-06    
1.53936        3.09868e-05    7.30366e-06    
1.55098        1.72149e-05    5.44383e-06    
1.5626         2.41009e-05    6.44123e-06    
1.57422        2.58224e-05    6.6673e-06     
1.58584        1.72149e-05    5.44383e-06    
1.59745        1.89364e-05    5.70954e-06    
1.60907        1.37719e-05    4.86911e-06    
1.62069        1.72149e-05    5.44383e-06    
1.63231        2.41009e-05    6.44123e-06    
1.64392        2.06579e-05    5.96342e-06    
1.65554        1.89364e-05    5.70954e-06    
1.66716        1.54934e-05    5.16447e-06    
1.67878        2.23794e-05    6.20692e-06    
1.6904         2.23794e-05    6.20692e-06    
1.70201        2.58224e-05    6.6673e-06     
1.71363        2.75438e-05    6.88596e-06    
1.72525        1.72149e-05    5.44383e-06    
1.73687        2.41009e-05    6.44123e-06    
1.74848        1.89364e-05    5.70954e-06    
1.7601         1.89364e-05    5.70954e-06    
1.77172        6.88596e-06    3.44298e-06    
1.78334        1.89364e-05    5.70954e-06    
1.79496        1.89364e-05    5.70954e-06    
1.80657        1.20504e-05    4.55464e-06    
1.81819        1.89364e-05    5.70954e-06    
1.82981        2.75438e-05    6.88596e-06    
1.84143        1.72149e-05    5.44383e-06    
1.85305        2.23794e-05    6.20692e-06    
1.86466        8.60745e-06    3.84937e-06    
1.87628        6.88596e-06    3.44298e-06    
1.8879         2.06579e-05    5.96342e-06    
1.89952        2.41009e-05    6.44123e-06    
1.91113        1.89364e-05    5.70954e-06    
1.92275        1.03289e-05    4.21677e-06    
1.93437        2.41009e-05    6.44123e-06    
1.94599        1.20504e-05    4.55464e-06    
1.95761        2.41009e-05    6.44123e-06    
1.96922        2.06579e-05    5.96342e-06    
1.98084        1.89364e-05    5.70954e-06    
1.99246        1.20504e-05    4.55464e-06    
2.00408        1.37719e-05    4.86911e-06    
2.0157         1.72149e-05    5.44383e-06    
2.02731        1.54934e-05    5.16447e-06    
2.03893        1.37719e-05    4.86911e-06    
2.05055        6.88596e-06    3.44298e-06    
2.06217        2.06579e-05    5.96342e-06    
2.07378        2.06579e-05    5.96342e-06    
2.0854         1.89364e-05    5.70954e-06    
2.09702        1.03289e-05    4.21677e-06    
2.10864        1.72149e-05    5.44383e-06    
2.12026        1.54934e-05    5.16447e-06    
2.13187        1.20504e-05    4.55464e-06    
2.14349        2.23794e-05    6.20692e-06    
2.15511        1.89364e-05    5.70954e-06    
2.16673        1.54934e-05    5.16447e-06    
2.17835        1.03289e-05    4.21677e-06    
2.18996        1.54934e-05    5.16447e-06    
2.20158        5.16447e-06    2.98171e-06    
2.2132         1.37719e-05    4.86911e-06    
2.22482        2.23794e-05    6.20692e-06    
2.23643        5.16447e-06    2.98171e-06    
2.24805        1.54934e-05    5.16447e-06    
2.25967        1.54934e-05    5.16447e-06    
2.27129        1.37719e-05    4.86911e-06    
2.28291        2.06579e-05    5.96342e-06    
2.29452        1.89364e-05    5.70954e-06    
2.30614        1.03289e-05    4.21677e-06    
2.31776        1.20504e-05    4.55464e-06    
2.32938        1.03289e-05    4.21677e-06    
2.34099        1.37719e-05    4.86911e-06    
2.35261        8.60745e-06    3.84937e-06    
2.36423        3.44298e-06    2.43456e-06    
2.37585        8.60745e-06    3.84937e-06    
2.38747        1.89364e-05    5.70954e-06    
2.39908        1.72149e-05    5.44383e-06    
2.4107         3.44298e-06    2.43456e-06    
2.42232        8.60745e-06    3.84937e-06    
2.43394        3.44298e-06    2.43456e-06    
2.44556        6.88596e-06    3.44298e-06    
2.45717        1.54934e-05    5.16447e-06    
2.46879        1.20504e-05    4.55464e-06    
2.48041        1.03289e-05    4.21677e-06    
2.49203        8.60745e-06    3.84937e-06    
2.50364        8.60745e-06    3.84937e-06    
2.51526        1.37719e-05    4.86911e-06    
2.52688        1.20504e-05    4.55464e-06    
2.5385         1.54934e-05    5.16447e-06    
2.55012        8.60745e-06    3.84937e-06    
2.56173        8.60745e-06    3.84937e-06    
2.57335        1.03289e-05    4.21677e-06    
2.58497        1.03289e-05    4.21677e-06    
2.59659        6.88596e-06    3.44298e-06    
2.60821        3.44298e-06    2.43456e-06    
2.61982        8.60745e-06    3.84937e-06    
2.63144        3.44298e-06    2.43456e-06    
2.64306        8.60745e-06    3.84937e-06    
2.65468        1.03289e-05    4.21677e-06    
2.66629        6.88596e-06    3.44298e-06    
2.67791        1.37719e-05    4.86911e-06    
2.68953        8.60745e-06    3.84937e-06    
2.70115        8.60745e-06    3.84937e-06    
2.71277        8.60745e-06    3.84937e-06    
2.72438        3.44298e-06    2.43456e-06    
2.736          5.16447e-06    2.98171e-06    
2.74762        1.03289e-05    4.21677e-06    
2.75924        6.88596e-06    3.44298e-06    
2.77085        1.20504e-05    4.55464e-06    
2.78247        1.37719e-05    4.86911e-06    
2.79409        8.60745e-06    3.84937e-06    
2.80571        1.72149e-06    1.72149e-06    
2.81733        8.60745e-06    3.84937e-06    
2.82894        0              0              
2.84056        5.16447e-06    2.98171e-06    
2.85218        5.16447e-06    2.98171e-06    
2.8638         5.16447e-06    2.98171e-06    
2.87542        6.88596e-06    3.44298e-06    
2.88703        6.88596e-06    3.44298e-06    
2.89865        5.16447e-06    2.98171e-06    
2.91027        1.72149e-06    1.72149e-06    
2.92189        5.16447e-06    2.98171e-06    
2.9335         6.88596e-06    3.44298e-06    
2.94512        5.16447e-06    2.98171e-06    
2.95674        6.88596e-06    3.44298e-06    
2.96836        3.44298e-06    2.43456e-06    
2.97998        1.20504e-05    4.55464e-06    
2.99159        0              0              
3.00321        5.16447e-06    2.98171e-06    
3.01483        5.16447e-06    2.98171e-06    
3.02645        5.16447e-06    2.98171e-06    
3.03807        6.88596e-06    3.44298e-06    
3.04968        1.72149e-06    1.72149e-06    
3.0613         3.44298e-06    2.43456e-06    
3.07292        5.16447e-06    2.98171e-06    
3.08454        3.44298e-06    2.43456e-06    
3.09615        0              0              
3.10777        3.44298e-06    2.43456e-06    
3.11939        8.60745e-06    3.84937e-06    
3.13101        5.16447e-06    2.98171e-06    
3.14263        3.44298e-06    2.43456e-06    
3.15424        5.16447e-06    2.98171e-06    
3.16586        0              0              
3.17748        3.44298e-06    2.43456e-06    
3.1891         3.44298e-06    2.43456e-06    
3.20071        3.44298e-06    2.43456e-06    
3.21233        3.44298e-06    2.43456e-06    
3.22395        3.44298e-06    2.43456e-06    
3.23557        0              0              
3.24719        1.72149e-06    1.72149e-06    
3.2588         3.44298e-06    2.43456e-06    
3.27042        3.44298e-06    2.43456e-06    
3.28204        0              0              
3.29366        0              0              
3.30528        1.72149e-06    1.72149e-06    
3.31689        3.44298e-06    2.43456e-06    
3.32851        1.72149e-06    1.72149e-06    
3.34013        3.44298e-06    2.43456e-06    
3.35175        1.72149e-06    1.72149e-06    
3.36336        5.16447e-06    2.98171e-06    
3.37498        1.72149e-06    1.72149e-06    
3.3866         0              0              
3.39822        5.16447e-06    2.98171e-06    
3.40984        1.72149e-06    1.72149e-06    
3.42145        1.72149e-06    1.72149e-06    
3.43307        0              0              
3.44469        1.72149e-06    1.72149e-06    
3.45631        1.72149e-06    1.72149e-06    
