p (GeV)        dN/dp          error          
0.00480839     0              0              
0.0144252      0              0              
0.0240419      0              0              
0.0336587      0              0              
0.0432755      0              0              
0.0528923      0              0              
0.0625091      0              0              
0.0721258      0              0              
0.0817426      0              0              
0.0913594      0              0              
0.100976       0              0              
0.110593       0              0              
0.12021        0              0              
0.129827       0              0              
0.139443       0              0              
0.14906        0              0              
0.158677       0              0              
0.168294       0              0              
0.17791        0              0              
0.187527       0              0              
0.197144       0              0              
0.206761       0              0              
0.216378       2.0797e-06     2.0797e-06     
0.225994       0              0              
0.235611       0              0              
0.245228       0              0              
0.254845       0              0              
0.264461       2.0797e-06     2.0797e-06     
0.274078       0              0              
0.283695       2.0797e-06     2.0797e-06     
0.293312       0              0              
0.302929       4.1594e-06     2.94114e-06    
0.312545       0              0              
0.322162       2.0797e-06     2.0797e-06     
0.331779       0              0              
0.341396       2.0797e-06     2.0797e-06     
0.351012       0              0              
0.360629       0              0              
0.370246       4.1594e-06     2.94114e-06    
0.379863       0              0              
0.38948        0              0              
0.399096       2.0797e-06     2.0797e-06     
0.408713       0              0              
0.41833        2.0797e-06     2.0797e-06     
0.427947       0              0              
0.437563       0              0              
0.44718        0              0              
0.456797       2.0797e-06     2.0797e-06     
0.466414       0              0              
0.476031       0              0              
0.485647       2.0797e-06     2.0797e-06     
0.495264       8.31879e-06    4.1594e-06     
0.504881       0              0              
0.514498       4.1594e-06     2.94114e-06    
0.524115       0              0              
0.533731       2.0797e-06     2.0797e-06     
0.543348       4.1594e-06     2.94114e-06    
0.552965       2.0797e-06     2.0797e-06     
0.562582       2.0797e-06     2.0797e-06     
0.572198       0              0              
0.581815       4.1594e-06     2.94114e-06    
0.591432       2.0797e-06     2.0797e-06     
0.601049       2.0797e-06     2.0797e-06     
0.610666       0              0              
0.620282       6.23909e-06    3.60214e-06    
0.629899       4.1594e-06     2.94114e-06    
0.639516       6.23909e-06    3.60214e-06    
0.649133       4.1594e-06     2.94114e-06    
0.658749       2.0797e-06     2.0797e-06     
0.668366       2.0797e-06     2.0797e-06     
0.677983       4.1594e-06     2.94114e-06    
0.6876         4.1594e-06     2.94114e-06    
0.697217       2.0797e-06     2.0797e-06     
0.706833       2.0797e-06     2.0797e-06     
0.71645        2.0797e-06     2.0797e-06     
0.726067       6.23909e-06    3.60214e-06    
0.735684       4.1594e-06     2.94114e-06    
0.7453         6.23909e-06    3.60214e-06    
0.754917       6.23909e-06    3.60214e-06    
0.764534       4.1594e-06     2.94114e-06    
0.774151       8.31879e-06    4.1594e-06     
0.783768       4.1594e-06     2.94114e-06    
0.793384       1.03985e-05    4.65035e-06    
