p (GeV)        dN/dp          error          
0.00311568     2.56766e-05    9.07804e-06    
0.00934704     0.000176526    2.38028e-05    
0.0155784      0.000503903    4.02158e-05    
0.0218098      0.000950033    5.52194e-05    
0.0280411      0.00174601     7.4859e-05     
0.0342725      0.00265432     9.22989e-05    
0.0405038      0.00346634     0.000105476    
0.0467352      0.00467314     0.000122468    
0.0529666      0.00597943     0.000138531    
0.0591979      0.00750719     0.000155222    
0.0654293      0.00929171     0.000172746    
0.0716606      0.010598       0.000184426    
0.077892       0.0127484      0.000202271    
0.0841234      0.0147095      0.000217271    
0.0903547      0.0172258      0.000235164    
0.0965861      0.0196554      0.000251153    
0.102817       0.0220305      0.000265892    
0.109049       0.0250764      0.000283712    
0.11528        0.0281319      0.000300459    
0.121512       0.0305969      0.000313343    
0.127743       0.0340407      0.000330598    
0.133974       0.0373337      0.000346118    
0.140206       0.0404181      0.000360214    
0.146437       0.0435122      0.00037371     
0.152668       0.0477584      0.000391536    
0.1589         0.0523578      0.000409943    
0.165131       0.0558241      0.000423237    
0.171362       0.059345       0.000436445    
0.177594       0.0638801      0.000452824    
0.183825       0.0674139      0.000465169    
0.190056       0.0721929      0.000481317    
0.196288       0.0763429      0.000495031    
0.202519       0.0821971      0.000513581    
0.208751       0.085044       0.00052247     
0.214982       0.0924935      0.000544828    
0.221213       0.0971698      0.000558472    
0.227445       0.100822       0.000568858    
0.233676       0.10703        0.000586226    
0.239907       0.112159       0.000599946    
0.246139       0.117217       0.000613325    
0.25237        0.1218         0.000625251    
0.258601       0.127985       0.000640936    
0.264833       0.133306       0.000654135    
0.271064       0.139947       0.000670155    
0.277296       0.144903       0.000681989    
0.283527       0.150141       0.000694212    
0.289758       0.155722       0.000706987    
0.29599        0.161807       0.000720656    
0.302221       0.167719       0.000733634    
0.308452       0.173895       0.000747129    
0.314684       0.179017       0.000758015    
0.320915       0.185549       0.000771795    
0.327146       0.191862       0.000784769    
0.333378       0.198968       0.000799094    
0.339609       0.205547       0.000812282    
0.34584        0.210619       0.000822126    
0.352072       0.216393       0.000833464    
0.358303       0.222536       0.000845068    
0.364535       0.229712       0.00085867     
0.370766       0.235531       0.000869494    
0.376997       0.241973       0.000881244    
0.383229       0.247378       0.000891107    
0.38946        0.253142       0.000901419    
0.395691       0.262055       0.000916976    
0.401923       0.266074       0.000924014    
0.408154       0.272525       0.000935114    
0.414385       0.277259       0.000943373    
0.420617       0.284541       0.000955746    
0.426848       0.292084       0.000968251    
0.43308        0.296054       0.000974785    
0.439311       0.30222        0.000984898    
0.445542       0.310908       0.000999107    
0.451774       0.316143       0.00100726     
