pT (GeV)       dN/dpt         error          
0.00411568     0.00657486     0.000126389    
0.012347       0.0198776      0.000219749    
0.0205784      0.0325098      0.000281035    
0.0288098      0.0454287      0.000332261    
0.0370411      0.05913        0.000379055    
0.0452725      0.0716066      0.000417119    
0.0535038      0.0847248      0.000453805    
0.0617352      0.0973083      0.00048628     
0.0699666      0.109598       0.000516021    
0.0781979      0.123537       0.000547905    
0.0864293      0.136556       0.00057603     
0.0946606      0.148369       0.00060048     
0.102892       0.160853       0.000625071    
0.111123       0.173876       0.000649841    
0.119355       0.185369       0.000671062    
0.127586       0.197141       0.00069204     
0.135817       0.210284       0.00071473     
0.144049       0.221718       0.000733865    
0.15228        0.234525       0.000754942    
0.160512       0.244754       0.000771194    
0.168743       0.257382       0.00079086     
0.176974       0.267968       0.00080686     
0.185206       0.280002       0.000824844    
0.193437       0.291777       0.000841914    
0.201668       0.301348       0.000855595    
0.2099         0.313333       0.0008726      
0.218131       0.32176        0.000884113    
0.226362       0.334387       0.000901277    
0.234594       0.345377       0.000916154    
0.242825       0.353152       0.000926252    
0.251056       0.363279       0.000939552    
0.259288       0.373746       0.000952885    
0.267519       0.381917       0.000963201    
0.275751       0.39229        0.000976295    
0.283982       0.402021       0.000988287    
0.292213       0.40905        0.00099694     
0.300445       0.418312       0.0010083      
0.308676       0.427317       0.00101908     
0.316907       0.435039       0.00102808     
0.325139       0.443006       0.00103748     
0.33337        0.454185       0.0010505      
0.341601       0.460036       0.0010572      
0.349833       0.465687       0.00106374     
0.358064       0.475158       0.00107441     
0.366296       0.48072        0.00108075     
0.374527       0.488607       0.00108963     
0.382758       0.493753       0.00109528     
0.39099        0.497879       0.0010998      
0.399221       0.50199        0.00110437     
0.407452       0.509525       0.00111271     
0.415684       0.516194       0.00111971     
0.423915       0.519676       0.00112368     
0.432146       0.523454       0.00112775     
0.440378       0.531237       0.001136       
0.448609       0.536254       0.00114146     
0.45684        0.538893       0.00114409     
0.465072       0.542047       0.00114756     
0.473303       0.549032       0.00115479     
0.481535       0.548716       0.0011547      
0.489766       0.554562       0.00116104     
0.497997       0.555723       0.0011621      
0.506229       0.558547       0.00116481     
0.51446        0.563708       0.00117007     
0.522691       0.562986       0.00116967     
0.530923       0.565224       0.00117161     
0.539154       0.568783       0.00117558     
0.547385       0.569777       0.00117666     
0.555617       0.570234       0.0011772      
0.563848       0.57296        0.00117985     
0.57208        0.574525       0.00118128     
0.580311       0.575268       0.00118229     
0.588542       0.576345       0.00118341     
0.596774       0.576789       0.00118377     
0.605005       0.577562       0.00118466     
0.613236       0.576527       0.00118364     
0.621468       0.57357        0.0011807      
0.629699       0.575458       0.0011823      
0.63793        0.575276       0.00118234     
0.646162       0.574814       0.00118178     
0.654393       0.575067       0.00118208     
0.662624       0.571974       0.00117886     
0.670856       0.57009        0.00117717     
0.679087       0.571116       0.00117783     
0.687319       0.568893       0.00117562     
0.69555        0.566618       0.00117349     
0.703781       0.564522       0.00117118     
0.712013       0.562607       0.00116919     
0.720244       0.560639       0.00116704     
0.728475       0.556982       0.00116317     
0.736707       0.556931       0.00116349     
0.744938       0.554783       0.00116104     
0.753169       0.551372       0.00115742     
0.761401       0.548857       0.0011546      
0.769632       0.544209       0.00114986     
0.777864       0.541998       0.00114753     
0.786095       0.538798       0.00114425     
0.794326       0.536055       0.00114126     
0.802558       0.533545       0.00113848     
0.810789       0.529135       0.001134       
0.81902        0.527624       0.00113221     
0.827252       0.522618       0.00112682     
0.835483       0.517861       0.00112168     
0.843714       0.514044       0.00111773     
0.851946       0.509755       0.00111284     
0.860177       0.505345       0.00110798     
0.868408       0.502082       0.00110421     
0.87664        0.499745       0.00110195     
0.884871       0.495367       0.00109703     
0.893103       0.488925       0.00108992     
0.901334       0.485193       0.00108583     
0.909565       0.48062        0.00108061     
0.917797       0.478028       0.00107754     
0.926028       0.474602       0.00107374     
0.934259       0.467031       0.00106535     
0.942491       0.462896       0.00106058     
0.950722       0.460755       0.001058       
0.958953       0.453772       0.0010498      
0.967185       0.449858       0.00104554     
0.975416       0.444502       0.00103919     
0.983648       0.440756       0.00103477     
0.991879       0.436137       0.00102945     
1.00011        0.430483       0.00102263     
1.00834        0.426032       0.00101742     
1.01657        0.419918       0.00100995     
1.0248         0.417557       0.00100724     
1.03304        0.412629       0.00100136     
1.04127        0.406424       0.000993892    
1.0495         0.401523       0.000987727    
1.05773        0.39694        0.000981955    
1.06596        0.393741       0.000977972    
1.07419        0.387759       0.000970597    
1.08242        0.38416        0.000966062    
1.09066        0.378509       0.000959109    
1.09889        0.373003       0.000951949    
1.10712        0.369237       0.00094706     
1.11535        0.362421       0.000938462    
1.12358        0.357861       0.000932499    
1.13181        0.353499       0.000926845    
1.14004        0.349444       0.000921494    
1.14827        0.345549       0.000916233    
1.15651        0.338469       0.000906843    
1.16474        0.333675       0.000900493    
1.17297        0.329464       0.000894667    
1.1812         0.326537       0.00089085     
1.18943        0.320625       0.000882668    
1.19766        0.316264       0.000876669    
1.20589        0.310542       0.000868718    
1.21413        0.306588       0.000863152    
1.22236        0.304579       0.00086034     
1.23059        0.298573       0.000851582    
1.23882        0.291738       0.000841949    
1.24705        0.289262       0.000838407    
1.25528        0.285676       0.000833007    
1.26351        0.279225       0.000823804    
1.27175        0.274931       0.000817203    
1.27998        0.270745       0.000811122    
1.28821        0.268084       0.000807101    
1.29644        0.263419       0.000800057    
1.30467        0.259107       0.00079345     
1.3129         0.254976       0.000787195    
1.32113        0.251523       0.000781825    
1.32936        0.246176       0.000773314    
1.3376         0.244346       0.000770531    
1.34583        0.23895        0.000761993    
1.35406        0.236549       0.000758133    
1.36229        0.230186       0.000747764    
1.37052        0.22702        0.000742654    
1.37875        0.222867       0.000735751    
1.38698        0.22071        0.000732249    
1.39522        0.216441       0.000725239    
1.40345        0.212393       0.000718392    
1.41168        0.209023       0.000712666    
1.41991        0.205565       0.000706659    
1.42814        0.201277       0.000699509    
1.43637        0.198733       0.000694836    
1.4446         0.194332       0.000687237    
1.45284        0.190992       0.00068122     
1.46107        0.187296       0.000674478    
1.4693         0.183056       0.000666971    
1.47753        0.180852       0.000662815    
1.48576        0.177604       0.000656797    
1.49399        0.175798       0.000653658    
1.50222        0.171529       0.000645561    
1.51045        0.167877       0.000638615    
1.51869        0.164673       0.000632515    
1.52692        0.162389       0.000628088    
1.53515        0.158917       0.00062142     
1.54338        0.156144       0.000615943    
1.55161        0.153938       0.000611481    
1.55984        0.150539       0.000604795    
1.56807        0.147001       0.000597604    
1.57631        0.144839       0.000593292    
1.58454        0.14142        0.000586207    
1.59277        0.138439       0.000579938    
1.601          0.136177       0.000575232    
1.60923        0.133715       0.000569887    
1.61746        0.131487       0.000565117    
1.62569        0.129167       0.000560276    
1.63392        0.126193       0.000553686    
1.64216        0.124252       0.000549505    
1.65039        0.121091       0.000542431    
1.65862        0.119868       0.000539725    
1.66685        0.115349       0.000529408    
1.67508        0.114802       0.000528188    
1.68331        0.111999       0.000521598    
1.69154        0.109066       0.000514712    
1.69978        0.107523       0.000511075    
1.70801        0.105387       0.00050604     
1.71624        0.103818       0.000502288    
1.72447        0.101019       0.000495388    
1.7327         0.0996919      0.000492201    
1.74093        0.0970945      0.000485661    
1.74916        0.0951483      0.00048085     
1.7574         0.0935252      0.000476614    
1.76563        0.091115       0.000470552    
1.77386        0.0889355      0.000464875    
1.78209        0.0877911      0.00046184     
1.79032        0.0856019      0.000456015    
1.79855        0.0847223      0.000453708    
1.80678        0.0829729      0.000448966    
1.81501        0.0807157      0.000442824    
1.82325        0.0796758      0.00044002     
1.83148        0.077766       0.00043464     
1.83971        0.0761721      0.000430195    
1.84794        0.073531       0.000422652    
1.85617        0.0731252      0.000421556    
1.8644         0.0703893      0.000413634    
1.87263        0.069607       0.000411261    
1.88087        0.0681807      0.000407045    
1.8891         0.0660231      0.000400517    
1.89733        0.0646673      0.000396418    
1.90556        0.0634257      0.000392598    
1.91379        0.062274       0.000388976    
1.92202        0.0604979      0.000383394    
1.93025        0.0598443      0.00038132     
1.93849        0.0585007      0.000377003    
1.94672        0.0571327      0.000372589    
1.95495        0.0552667      0.000366428    
1.96318        0.0550845      0.000365824    
1.97141        0.0539838      0.000362186    
1.97964        0.0526207      0.000357605    
1.98787        0.0513986      0.000353382    
1.9961         0.0504412      0.000350146    
2.00434        0.049241       0.000345909    
2.01257        0.0486967      0.000343994    
2.0208         0.047251       0.000338871    
2.02903        0.046041       0.000334491    
2.03726        0.0449841      0.000330615    
2.04549        0.0441215      0.000327396    
2.05372        0.043655       0.000325698    
2.06196        0.0421388      0.00031996     
2.07019        0.0410698      0.000315933    
2.07842        0.0397553      0.000310784    
2.08665        0.0386497      0.000306435    
2.09488        0.0381298      0.000304387    
2.10311        0.0369805      0.000299807    
2.11134        0.0368615      0.000299246    
2.11958        0.0356928      0.000294486    
2.12781        0.0350319      0.000291748    
2.13604        0.0340721      0.000287685    
2.14427        0.0330201      0.000283252    
2.1525         0.0333359      0.000284624    
2.16073        0.0319218      0.000278462    
2.16896        0.0311346      0.000275094    
2.17719        0.0304858      0.00027215     
2.18543        0.0294192      0.000267371    
2.19366        0.0290159      0.00026551     
2.20189        0.0281849      0.000261705    
2.21012        0.027733       0.000259668    
2.21835        0.0266882      0.000254665    
2.22658        0.0266129      0.00025426     
2.23481        0.0256069      0.000249433    
2.24305        0.025036       0.000246637    
2.25128        0.0250578      0.000246745    
2.25951        0.0241977      0.000242523    
2.26774        0.0233813      0.000238376    
2.27597        0.0229512      0.000236125    
2.2842         0.0220911      0.000231684    
2.29243        0.0217631      0.000229933    
2.30067        0.0212942      0.000227442    
2.3089         0.0207353      0.000224465    
2.31713        0.0202348      0.000221714    
2.32536        0.0200429      0.00022066     
2.33359        0.0192143      0.000216079    
2.34182        0.0190005      0.000214929    
2.35005        0.0187284      0.00021333     
2.35828        0.0181331      0.000209886    
2.36652        0.0180991      0.000209689    
2.37475        0.0174528      0.00020594     
2.38298        0.0169182      0.000202734    
2.39121        0.0163108      0.000199062    
2.39944        0.0160387      0.000197394    
2.40767        0.0157471      0.000195652    
2.4159         0.0151615      0.000191921    
2.42414        0.014955       0.00019061     
2.43237        0.0146075      0.000188383    
2.4406         0.0141653      0.00018551     
2.44883        0.0140341      0.000184713    
2.45706        0.0135117      0.00018118     
