p (GeV)        dN/dp          error          
0.00480892     0              0              
0.0144268      0              0              
0.0240446      0              0              
0.0336624      0              0              
0.0432803      0              0              
0.0528981      0              0              
0.062516       0              0              
0.0721338      0              0              
0.0817516      0              0              
0.0913695      0              0              
0.100987       0              0              
0.110605       2.07947e-06    2.07947e-06    
0.120223       0              0              
0.129841       0              0              
0.139459       0              0              
0.149077       0              0              
0.158694       0              0              
0.168312       0              0              
0.17793        0              0              
0.187548       0              0              
0.197166       2.07947e-06    2.07947e-06    
0.206784       0              0              
0.216401       0              0              
0.226019       2.07947e-06    2.07947e-06    
0.235637       0              0              
0.245255       2.07947e-06    2.07947e-06    
0.254873       0              0              
0.264491       0              0              
0.274108       2.07947e-06    2.07947e-06    
0.283726       2.07947e-06    2.07947e-06    
0.293344       0              0              
0.302962       2.07947e-06    2.07947e-06    
0.31258        0              0              
0.322198       2.07947e-06    2.07947e-06    
0.331815       2.07947e-06    2.07947e-06    
0.341433       0              0              
0.351051       2.07947e-06    2.07947e-06    
0.360669       4.15894e-06    2.94081e-06    
0.370287       0              0              
0.379905       2.07947e-06    2.07947e-06    
0.389523       0              0              
0.39914        0              0              
0.408758       4.15894e-06    2.94081e-06    
0.418376       2.07947e-06    2.07947e-06    
0.427994       2.07947e-06    2.07947e-06    
0.437612       2.07947e-06    2.07947e-06    
0.44723        0              0              
0.456847       2.07947e-06    2.07947e-06    
0.466465       0              0              
0.476083       2.07947e-06    2.07947e-06    
0.485701       0              0              
0.495319       2.07947e-06    2.07947e-06    
0.504937       0              0              
0.514554       2.07947e-06    2.07947e-06    
0.524172       0              0              
0.53379        0              0              
0.543408       4.15894e-06    2.94081e-06    
0.553026       0              0              
0.562644       4.15894e-06    2.94081e-06    
0.572261       8.31788e-06    4.15894e-06    
0.581879       2.07947e-06    2.07947e-06    
0.591497       2.07947e-06    2.07947e-06    
0.601115       8.31788e-06    4.15894e-06    
0.610733       2.07947e-06    2.07947e-06    
0.620351       4.15894e-06    2.94081e-06    
0.629969       2.07947e-06    2.07947e-06    
0.639586       4.15894e-06    2.94081e-06    
0.649204       0              0              
0.658822       0              0              
0.66844        2.07947e-06    2.07947e-06    
0.678058       6.23841e-06    3.60175e-06    
0.687676       2.07947e-06    2.07947e-06    
0.697293       6.23841e-06    3.60175e-06    
0.706911       0              0              
0.716529       6.23841e-06    3.60175e-06    
0.726147       6.23841e-06    3.60175e-06    
0.735765       4.15894e-06    2.94081e-06    
0.745383       6.23841e-06    3.60175e-06    
0.755          4.15894e-06    2.94081e-06    
0.764618       2.07947e-06    2.07947e-06    
0.774236       2.07947e-06    2.07947e-06    
