pT (GeV)       dN/dpt         error          
0.00528646     9.83645e-05    1.36407e-05    
0.0158594      0.000312118    2.42983e-05    
0.0264323      0.000518305    3.13119e-05    
0.0370052      0.000747192    3.75952e-05    
0.0475781      0.00096662     4.27606e-05    
0.0581511      0.00117659     4.71767e-05    
0.068724       0.00148493     5.29989e-05    
0.0792969      0.00178191     5.80572e-05    
0.0898698      0.00175921     5.76863e-05    
0.100443       0.0020562      6.23656e-05    
0.111016       0.00227752     6.56361e-05    
0.121589       0.00243263     6.78344e-05    
0.132161       0.0027788      7.25003e-05    
0.142734       0.00305497     7.60176e-05    
0.153307       0.00316091     7.73243e-05    
0.16388        0.00355815     8.20392e-05    
0.174453       0.00360733     8.26042e-05    
0.185026       0.00385702     8.54151e-05    
0.195599       0.0038854      8.57287e-05    
0.206172       0.00413888     8.84808e-05    
0.216745       0.00456827     9.29572e-05    
0.227318       0.00452666     9.25329e-05    
0.237891       0.00480094     9.52949e-05    
0.248464       0.00509982     9.82162e-05    
0.259037       0.00538356     0.000100911    
0.269609       0.00555003     0.00010246     
0.280182       0.00562758     0.000103208    
0.290755       0.00604563     0.000106936    
0.301328       0.00596619     0.000106231    
0.311901       0.0063237      0.000109368    
0.322474       0.00655826     0.000111377    
0.333047       0.00671527     0.000112703    
0.34362        0.00703495     0.000115354    
0.354193       0.00722033     0.000116864    
0.364766       0.00747759     0.000118927    
0.375339       0.00758731     0.000119796    
0.385912       0.00782565     0.000121663    
0.396484       0.00804886     0.000123386    
0.407057       0.00823614     0.000124813    
0.41763        0.00832315     0.000125471    
0.428203       0.00847259     0.000126592    
0.438776       0.00876957     0.000128791    
0.449349       0.0088547      0.000129415    
0.459922       0.00936354     0.000133081    
0.470495       0.0093503      0.000132987    
0.481068       0.00972106     0.000135598    
0.491641       0.00976835     0.000135927    
0.502214       0.00983456     0.000136387    
0.512787       0.0100578      0.000137926    
0.52336        0.0102015      0.000138908    
0.533932       0.0103131      0.000139691    
0.544505       0.0107161      0.000142367    
0.555078       0.0109336      0.000143805    
0.565651       0.0109695      0.000144041    
0.576224       0.0114859      0.000147392    
0.586797       0.0113006      0.000146198    
0.59737        0.0115181      0.000147598    
0.607943       0.0116108      0.000148191    
0.618516       0.0117035      0.000148781    
0.629089       0.0118681      0.000149847    
0.639662       0.0121915      0.000151875    
0.650235       0.0123126      0.000152603    
0.660807       0.0127117      0.00015508     
0.67138        0.0128025      0.000155632    
0.681953       0.0125831      0.000154293    
0.692526       0.0130579      0.000157153    
0.703099       0.0129765      0.000156663    
0.713672       0.0131676      0.000157812    
0.724245       0.0134381      0.000159425    
0.734818       0.0134135      0.000159279    
0.745391       0.0137313      0.000161154    
0.755964       0.0137048      0.000160999    
0.766537       0.014138       0.000163545    
0.77711        0.0140623      0.000163107    
0.787683       0.0144331      0.000165221    
0.798255       0.0146052      0.000166224    
0.808828       0.0145825      0.000166074    
0.819401       0.0146941      0.000166708    
0.829974       0.0147963      0.000167286    
0.840547       0.0147528      0.000167061    
0.85112        0.0148284      0.000167468    
0.861693       0.0152087      0.000169601    
0.872266       0.0151822      0.000169453    
0.882839       0.0151822      0.000169453    
0.893412       0.0154678      0.000171081    
0.903985       0.015394       0.000170631    
0.914558       0.0154886      0.000171155    
0.92513        0.0157743      0.000172725    
0.935703       0.0159577      0.000173747    
0.946276       0.0156589      0.000172092    
0.956849       0.0157194      0.000172445    
0.967422       0.0159521      0.000173716    
0.977995       0.0160883      0.000174436    
0.988568       0.0159823      0.000173861    
0.999141       0.0163758      0.000176008    
1.00971        0.016128       0.000174671    
1.02029        0.0164817      0.000176576    
1.03086        0.0161696      0.000174876    
1.04143        0.0161526      0.000174804    
1.05201        0.0162793      0.000175468    
1.06258        0.0162907      0.000175529    
1.07315        0.0164817      0.000176555    
1.08372        0.0160391      0.000174169    
1.0943         0.0165763      0.000177061    
1.10487        0.0161507      0.000174794    
1.11544        0.0163871      0.000176048    
