pT (GeV)       dN/dpt         error          
0.00411568     0.00674008     0.000127967    
0.012347       0.0196104      0.000218266    
0.0205784      0.0329763      0.000283044    
0.0288098      0.0451541      0.000331167    
0.0370411      0.0587606      0.000377871    
0.0452725      0.0722068      0.000418862    
0.0535038      0.0853735      0.000455459    
0.0617352      0.0967835      0.000484884    
0.0699666      0.109564       0.000515907    
0.0781979      0.122663       0.000545869    
0.0864293      0.135249       0.000573262    
0.0946606      0.148474       0.000600652    
0.102892       0.160389       0.000624162    
0.111123       0.174124       0.000650412    
0.119355       0.184519       0.000669552    
0.127586       0.19763        0.000692996    
0.135817       0.209997       0.000714236    
0.144049       0.222143       0.000734711    
0.15228        0.23192        0.000750668    
0.160512       0.243819       0.000769626    
0.168743       0.257656       0.00079128     
0.176974       0.269083       0.000808582    
0.185206       0.279072       0.000823336    
0.193437       0.291456       0.000841622    
0.201668       0.301411       0.000855601    
0.2099         0.313773       0.000873175    
0.218131       0.324092       0.000887322    
0.226362       0.333515       0.000900245    
0.234594       0.344227       0.000914637    
0.242825       0.353268       0.000926302    
0.251056       0.364222       0.000940701    
0.259288       0.373314       0.000952399    
0.267519       0.384121       0.000965995    
0.275751       0.394409       0.000978905    
0.283982       0.40275        0.000989117    
0.292213       0.410168       0.000998203    
0.300445       0.418167       0.00100787     
0.308676       0.428906       0.00102104     
0.316907       0.433168       0.00102594     
0.325139       0.44278        0.00103732     
0.33337        0.451089       0.00104679     
0.341601       0.459093       0.00105622     
0.349833       0.466667       0.0010646      
0.358064       0.472493       0.0010714      
0.366296       0.480472       0.00108032     
0.374527       0.487516       0.00108842     
0.382758       0.492366       0.00109368     
0.39099        0.499179       0.00110131     
0.399221       0.503739       0.0011064      
0.407452       0.511757       0.00111524     
0.415684       0.514496       0.00111812     
0.423915       0.52032        0.00112422     
0.432146       0.526008       0.00113071     
0.440378       0.529242       0.00113392     
0.448609       0.532588       0.00113758     
0.45684        0.539916       0.00114538     
0.465072       0.544474       0.00115027     
0.473303       0.548582       0.00115454     
