p (GeV)        dN/dp          error          
0.00293956     7.14391e-05    1.55893e-05    
0.00881869     0.000632747    4.63952e-05    
0.0146978      0.00157166     7.312e-05      
0.020577       0.00332022     0.000106277    
0.0264561      0.00541917     0.000135774    
0.0323352      0.00855229     0.000170565    
0.0382143      0.0114337      0.000197213    
0.0440935      0.0148389      0.000224668    
0.0499726      0.0193464      0.000256527    
0.0558517      0.0246771      0.000289717    
0.0617309      0.0292492      0.000315449    
0.06761        0.0353147      0.000346604    
0.0734891      0.0405298      0.000371274    
0.0793683      0.0477996      0.00040319     
0.0852474      0.0556443      0.000435115    
0.0911265      0.0647409      0.000469282    
0.0970056      0.0720175      0.000495004    
0.102885       0.0800254      0.000521684    
0.108764       0.08952        0.000551911    
0.114643       0.0990078      0.000580245    
0.120522       0.108451       0.000607418    
0.126401       0.120287       0.000639695    
0.13228        0.130751       0.000667056    
0.13816        0.142494       0.000696377    
0.144039       0.154339       0.000724731    
0.149918       0.166497       0.000752551    
0.155797       0.179431       0.000781299    
0.161676       0.191249       0.000806506    
0.167555       0.203901       0.000832784    
0.173434       0.21823        0.000861469    
0.179313       0.23282        0.00088992     
0.185193       0.247037       0.000916653    
0.191072       0.260297       0.000941075    
0.196951       0.276378       0.000969651    
0.20283        0.29206        0.000996796    
0.208709       0.306079       0.00102037     
0.214588       0.321983       0.00104645     
0.220467       0.339227       0.00107409     
0.226347       0.355243       0.00109928     
0.232226       0.36984        0.00112166     
0.238105       0.387748       0.00114848     
0.243984       0.404771       0.00117359     
0.249863       0.422304       0.00119844     
0.255742       0.440586       0.00122439     
0.261621       0.45571        0.00124503     
0.2675         0.471355       0.00126631     
0.27338        0.490841       0.00129213     
0.279259       0.509279       0.00131616     
0.285138       0.524659       0.00133604     
0.291017       0.542965       0.00135931     
0.296896       0.562927       0.001384       
0.302775       0.578865       0.00140319     
0.308654       0.597782       0.00142601     
0.314533       0.616693       0.00144843     
0.320413       0.635812       0.0014708      
0.326292       0.653995       0.00149156     
0.332171       0.670933       0.00151079     
0.33805        0.691643       0.00153378     
0.343929       0.70738        0.00155106     
0.349808       0.727512       0.00157318     
0.355687       0.74096        0.00158755     
0.361566       0.762742       0.00161091     
0.367446       0.778346       0.00162738     
0.373325       0.797921       0.00164746     
0.379204       0.813284       0.00166341     
0.385083       0.830739       0.00168109     
0.390962       0.848561       0.00169938     
0.396841       0.868316       0.00171872     
0.40272        0.883763       0.0017336      
0.4086         0.90079        0.00175041     
0.414479       0.916306       0.0017656      
0.420358       0.936516       0.00178508     
0.426237       0.951079       0.0017985      
0.432116       0.969235       0.00181571     
0.437995       0.985085       0.00183033     
0.443874       0.997008       0.00184155     
0.449753       1.01571        0.00185884     
0.455633       1.02855        0.00187084     
0.461512       1.04399        0.00188484     
0.467391       1.05762        0.00189679     
