pT (GeV)       dN/dpt         error          
0.00393956     0.0197179      0.000223703    
0.0118187      0.0595776      0.000388906    
0.0196978      0.0981403      0.00049905     
0.027577       0.137421       0.000590675    
0.0354561      0.176933       0.000670109    
0.0433352      0.214874       0.000738506    
0.0512143      0.254886       0.000804182    
0.0590935      0.29339        0.000862815    
0.0669726      0.332905       0.000919241    
0.0748517      0.37215        0.00097201     
0.0827309      0.408525       0.00101831     
0.09061        0.446669       0.00106493     
0.0984891      0.484198       0.00110853     
0.106368       0.522197       0.00115164     
0.114247       0.556737       0.0011888      
0.122127       0.595977       0.00123002     
0.130006       0.628732       0.00126345     
0.137885       0.667074       0.0013012      
0.145764       0.698859       0.00133197     
0.153643       0.734056       0.00136477     
0.161522       0.769428       0.00139755     
0.169401       0.800342       0.00142536     
0.17728        0.833318       0.0014547      
0.18516        0.867291       0.00148386     
0.193039       0.89914        0.0015105      
0.200918       0.928163       0.0015348      
0.208797       0.96002        0.00156081     
0.216676       0.988254       0.00158384     
0.224555       1.02083        0.00160999     
0.232434       1.04346        0.00162764     
0.240313       1.07541        0.00165229     
0.248193       1.1019         0.00167255     
0.256072       1.12687        0.00169131     
0.263951       1.15156        0.00170944     
0.27183        1.17474        0.00172686     
0.279709       1.20264        0.00174722     
0.287588       1.22557        0.00176366     
0.295467       1.24505        0.00177775     
0.303347       1.26733        0.00179331     
0.311226       1.28999        0.00180959     
0.319105       1.31116        0.00182432     
0.326984       1.33144        0.00183822     
0.334863       1.34595        0.0018489      
0.342742       1.3651         0.00186167     
0.350621       1.38222        0.00187329     
0.3585         1.39947        0.0018848      
0.36638        1.41433        0.00189474     
0.374259       1.42754        0.00190343     
0.382138       1.44109        0.00191219     
0.390017       1.45671        0.00192314     
0.397896       1.47361        0.00193417     
0.405775       1.48048        0.00193841     
0.413654       1.49192        0.00194587     
0.421533       1.5045         0.0019541      
0.429413       1.51099        0.00195847     
0.437292       1.52088        0.00196475     
0.445171       1.5239         0.00196689     
0.45305        1.53214        0.00197232     
0.460929       1.54262        0.0019788      
0.468808       1.54787        0.00198207     
0.476687       1.55719        0.0019884      
0.484566       1.55693        0.00198826     
0.492446       1.56045        0.00199025     
0.500325       1.56406        0.00199282     
0.508204       1.56441        0.00199257     
0.516083       1.56801        0.00199505     
0.523962       1.57115        0.00199669     
0.531841       1.57003        0.00199632     
0.53972        1.57254        0.00199818     
0.5476         1.56882        0.00199564     
0.555479       1.56899        0.00199555     
0.563358       1.56588        0.00199382     
0.571237       1.56141        0.00199112     
0.579116       1.56266        0.0019916      
0.586995       1.55846        0.00198916     
0.594874       1.55658        0.00198754     
0.602753       1.55088        0.00198434     
0.610633       1.55081        0.00198404     
0.618512       1.54258        0.00197869     
0.626391       1.53634        0.00197457     
0.63427        1.5264         0.00196839     
0.642149       1.52767        0.00196956     
0.650028       1.51178        0.00195872     
0.657907       1.51228        0.00195909     
0.665786       1.50048        0.00195149     
0.673666       1.49405        0.00194726     
0.681545       1.4848         0.00194116     
0.689424       1.47394        0.00193442     
0.697303       1.46826        0.00193055     
0.705182       1.45977        0.00192487     
0.713061       1.44424        0.00191512     
0.72094        1.43649        0.00190968     
0.72882        1.43037        0.00190544     
0.736699       1.41672        0.00189623     
0.744578       1.40889        0.00189081     
0.752457       1.39677        0.00188283     
0.760336       1.38432        0.00187453     
0.768215       1.37191        0.00186586     
0.776094       1.35931        0.00185768     
0.783973       1.34815        0.00184968     
0.791853       1.33638        0.00184185     
0.799732       1.32645        0.00183478     
0.807611       1.31261        0.00182532     
0.81549        1.29984        0.0018167      
0.823369       1.28865        0.00180873     
0.831248       1.2733         0.00179766     
0.839127       1.26152        0.00178968     
0.847006       1.24841        0.00178026     
0.854886       1.23439        0.00177039     
0.862765       1.22009        0.00175963     
0.870644       1.20861        0.00175191     
0.878523       1.19684        0.00174315     
0.886402       1.18335        0.001733       
0.894281       1.16948        0.00172287     
0.90216        1.15616        0.00171301     
0.91004        1.14098        0.00170196     
0.917919       1.12857        0.00169253     
0.925798       1.11182        0.00167996     
0.933677       1.10107        0.00167194     
0.941556       1.08641        0.00166061     
0.949435       1.0734         0.0016504      
0.957314       1.06158        0.00164156     
0.965193       1.04832        0.00163147     
0.973073       1.03264        0.00161902     
0.980952       1.01986        0.00160891     
0.988831       1.00633        0.00159819     
0.99671        0.991665       0.00158641     
1.00459        0.97839        0.00157579     
1.01247        0.965901       0.00156627     
1.02035        0.952747       0.00155503     
1.02823        0.939038       0.00154402     
1.03611        0.927666       0.00153423     
1.04398        0.914296       0.00152291     
1.05186        0.898929       0.00151057     
1.05974        0.889179       0.00150239     
1.06762        0.870167       0.00148622     
1.0755         0.857775       0.00147563     
1.08338        0.846558       0.00146575     
1.09126        0.834567       0.00145512     
1.09914        0.819783       0.00144278     
1.10702        0.811133       0.00143477     
1.1149         0.797492       0.00142278     
1.12278        0.784381       0.00141108     
1.13066        0.773121       0.00140106     
1.13853        0.759599       0.00138847     
1.14641        0.747753       0.00137775     
1.15429        0.736995       0.0013678      
1.16217        0.724326       0.00135593     
1.17005        0.714201       0.00134618     
1.17793        0.69962        0.0013325      
1.18581        0.691345       0.00132447     
1.19369        0.676115       0.00130994     
1.20157        0.668647       0.00130295     
1.20945        0.656588       0.0012908      
1.21733        0.646508       0.00128105     
1.2252         0.634083       0.00126873     
1.23308        0.625115       0.00125962     
1.24096        0.612293       0.00124658     
1.24884        0.603798       0.0012379      
1.25672        0.591098       0.00122458     
1.2646         0.583232       0.00121695     
1.27248        0.572441       0.00120562     
1.28036        0.562989       0.00119533     
1.28824        0.552597       0.00118423     
1.29612        0.544893       0.00117602     
1.304          0.531094       0.00116109     
1.31188        0.52516        0.00115453     
1.31975        0.515608       0.00114406     
1.32763        0.504665       0.00113197     
1.33551        0.494319       0.00111994     
1.34339        0.486358       0.00111124     
1.35127        0.477314       0.00110066     
1.35915        0.46992        0.00109224     
1.36703        0.461229       0.00108206     
1.37491        0.451448       0.0010704      
1.38279        0.443909       0.00106152     
1.39067        0.436799       0.00105288     
1.39855        0.426933       0.00104101     
1.40642        0.419577       0.00103207     
1.4143         0.411561       0.00102216     
1.42218        0.403044       0.00101161     
1.43006        0.395427       0.00100187     
1.43794        0.390107       0.000995282    
1.44582        0.379227       0.000981048    
1.4537         0.372341       0.000972158    
1.46158        0.365888       0.000963827    
1.46946        0.361705       0.000958173    
1.47734        0.353397       0.000947099    
1.48522        0.347175       0.00093873     
1.4931         0.339281       0.000928019    
1.50097        0.333011       0.000919464    
1.50885        0.32451        0.000907609    
1.51673        0.318436       0.000899154    
1.52461        0.314159       0.00089312     
1.53249        0.307356       0.000883229    
1.54037        0.299822       0.000872484    
1.54825        0.294238       0.000864107    
1.55613        0.288578       0.000855889    
1.56401        0.284864       0.000850397    
1.57189        0.279229       0.000841906    
1.57977        0.271626       0.000830363    
1.58764        0.266887       0.000823032    
1.59552        0.260722       0.000813525    
1.6034         0.256945       0.000807587    
1.61128        0.250337       0.000797016    
1.61916        0.245141       0.000788772    
1.62704        0.239745       0.00078014     
1.63492        0.235663       0.000773529    
1.6428         0.229094       0.000762605    
1.65068        0.22387        0.000753781    
1.65856        0.220672       0.000748396    
1.66644        0.215295       0.000739132    
1.67432        0.211714       0.000733188    
1.68219        0.206492       0.000723954    
1.69007        0.20254        0.000717059    
1.69795        0.198194       0.000709259    
1.70583        0.194826       0.000703326    
1.71371        0.190341       0.000695173    
1.72159        0.186622       0.000688323    
1.72947        0.18334        0.000682197    
1.73735        0.17884        0.000673739    
1.74523        0.174578       0.000665646    
1.75311        0.172258       0.000661356    
1.76099        0.168633       0.000654263    
1.76886        0.165135       0.000647242    
1.77674        0.15899        0.000635362    
1.78462        0.156647       0.000630513    
1.7925         0.154479       0.000626134    
1.80038        0.150187       0.000617508    
1.80826        0.146719       0.000610251    
1.81614        0.143046       0.000602582    
1.82402        0.140201       0.000596399    
1.8319         0.136837       0.000589367    
1.83978        0.134756       0.000584965    
1.84766        0.132096       0.000579099    
1.85554        0.129235       0.000572853    
1.86341        0.126435       0.000566436    
1.87129        0.123663       0.00056018     
1.87917        0.121031       0.000554207    
1.88705        0.117516       0.000546207    
1.89493        0.115701       0.00054185     
1.90281        0.112535       0.000534494    
1.91069        0.110083       0.000528675    
1.91857        0.108388       0.000524522    
1.92645        0.105263       0.000516931    
1.93433        0.103235       0.000511973    
1.94221        0.101268       0.000507132    
1.95008        0.0992978      0.000501993    
1.95796        0.0967924      0.000495719    
1.96584        0.0943835      0.000489391    
1.97372        0.0916649      0.000482366    
1.9816         0.0905405      0.00047943     
1.98948        0.088393       0.000473732    
1.99736        0.0854409      0.000465781    
2.00524        0.0840981      0.000462001    
2.01312        0.0816258      0.000455168    
2.021          0.0800038      0.000450557    
2.02888        0.0782929      0.000445804    
2.03676        0.0769171      0.000441831    
2.04463        0.0747646      0.000435611    
2.05251        0.0728634      0.000430058    
2.06039        0.071513       0.000425998    
2.06827        0.0699697      0.000421411    
2.07615        0.0679593      0.000415319    
2.08403        0.0666876      0.000411418    
2.09191        0.0650656      0.000406532    
2.09979        0.0632989      0.000400855    
2.10767        0.0621109      0.000397112    
2.11555        0.0606184      0.000392285    
2.12343        0.0589024      0.000386682    
2.1313         0.0584151      0.00038503     
2.13918        0.0566788      0.000379303    
2.14706        0.0551685      0.000374203    
2.15494        0.054072       0.000370486    
2.16282        0.0526708      0.000365676    
2.1707         0.0515108      0.000361595    
2.17858        0.0502594      0.000357197    
2.18646        0.0487186      0.000351703    
2.19434        0.0482896      0.000350079    
2.20222        0.0471676      0.000345972    
2.2101         0.0463884      0.000343141    
2.21798        0.0442688      0.000335177    
2.22585        0.0443501      0.000335542    
2.23373        0.0427027      0.000329236    
2.24161        0.0419742      0.000326398    
2.24949        0.0408268      0.000321949    
2.25737        0.0401034      0.000319066    
2.26525        0.0389053      0.000314246    
2.27313        0.0376082      0.000308925    
2.28101        0.0374635      0.00030833     
2.28889        0.0361994      0.000303106    
2.29677        0.0346155      0.000296404    
2.30465        0.0346688      0.00029661     
2.31252        0.0341434      0.00029442     
2.3204         0.0328691      0.000288833    
2.32828        0.0319502      0.000284769    
2.33616        0.0310136      0.000280588    
2.34404        0.0304501      0.000278006    
2.35192        0.0299119      0.000275539    
2.3598         0.0284701      0.000268843    
2.36768        0.0284549      0.000268772    
2.37556        0.0278863      0.00026605     
2.38344        0.0273913      0.000263679    
2.39132        0.0262872      0.000258337    
2.3992         0.0260003      0.000256874    
2.40707        0.0246804      0.00025027     
2.41495        0.0247032      0.000250386    
2.42283        0.02399        0.000246772    
2.43071        0.0231802      0.000242573    
2.43859        0.0227766      0.000240453    
2.44647        0.0219897      0.000236264    
2.45435        0.0215734      0.000233991    
2.46223        0.0211698      0.000231792    
2.47011        0.0208805      0.000230259    
2.47799        0.0205606      0.000228433    
2.48587        0.019987       0.000225253    
2.49374        0.018931       0.000219195    
2.50162        0.0187965      0.000218415    
2.5095         0.0185452      0.00021695     
2.51738        0.0180578      0.000214081    
2.52526        0.0176441      0.000211614    
2.53314        0.0170907      0.00020827     
2.54102        0.0165805      0.000205201    
2.5489         0.0165907      0.000205201    
2.55678        0.0160754      0.000202021    
2.56466        0.0151743      0.000196247    
2.57254        0.0148849      0.000194367    
2.58042        0.0147935      0.00019377     
2.58829        0.0141868      0.000189756    
2.59617        0.0136208      0.000185932    
2.60405        0.0137858      0.000187089    
2.61193        0.0131436      0.000182646    
2.61981        0.0130446      0.000181957    
2.62769        0.0127171      0.000179659    
2.63557        0.0126308      0.000179048    
2.64345        0.0119099      0.000173864    
2.65133        0.0115952      0.000171552    
2.65921        0.0113312      0.000169588    
2.66709        0.011448       0.000170459    
2.67496        0.0108464      0.00016592     
2.68284        0.0107169      0.000164927    
2.69072        0.010326       0.000161931    
2.6986         0.0100823      0.00015997     
2.70648        0.00998334     0.000159264    
2.71436        0.00940713     0.000154521    
2.72224        0.00942236     0.000154646    
2.73012        0.00918629     0.000152739    
2.738          0.00888169     0.000150187    
2.74588        0.00862278     0.000147983    
2.75376        0.00848571     0.000146759    
2.76164        0.0082598      0.000144793    
2.76951        0.00823695     0.000144637    
2.77739        0.00773182     0.000140089    
2.78527        0.00791458     0.000141735    
2.79315        0.0075059      0.000138027    
2.80103        0.00724445     0.000135602    
2.80891        0.00721146     0.000135293    
2.81679        0.00693985     0.000132721    
2.82467        0.00663779     0.0001298      
2.83255        0.00648041     0.000128253    
2.84043        0.00637888     0.000127244    
2.84831        0.00623927     0.000125844    
2.85618        0.00624181     0.000125869    
2.86406        0.00594482     0.000122839    
2.87194        0.00563514     0.00011965     
2.87982        0.00572652     0.000120562    
2.8877         0.00583313     0.000121679    
2.89558        0.00520108     0.000114898    
2.90346        0.00500309     0.00011269     
2.91134        0.00512239     0.000114026    
2.91922        0.00491171     0.000111656    
2.9271         0.00487871     0.000111281    
2.93498        0.00474672     0.000109765    
2.94286        0.00441927     0.000105912    
2.95073        0.00437866     0.000105424    
2.95861        0.00420859     0.000103356    
2.96649        0.00409182     0.000101912    
2.97437        0.00414259     0.000102543    
2.98225        0.0038253      9.85376e-05    
2.99013        0.00417305     0.000102919    
2.99801        0.00406644     0.000101596    
3.00589        0.00367807     9.66228e-05    
3.01377        0.00360954     9.57184e-05    
3.02165        0.00358669     9.5415e-05     
3.02953        0.00345723     9.36773e-05    
3.0374         0.00336332     9.23962e-05    
3.04528        0.00329478     9.14499e-05    
3.05316        0.00325163     9.08491e-05    
3.06104        0.00299018     8.71203e-05    
3.06892        0.00308156     8.84414e-05    
3.0768         0.00303079     8.77099e-05    
3.08468        0.00291149     8.59663e-05    
3.09256        0.00284042     8.49106e-05    
3.10044        0.00282519     8.46827e-05    
3.10832        0.00262212     8.15826e-05    
3.1162         0.00269319     8.26808e-05    
3.12408        0.00248251     7.93811e-05    
3.13195        0.00247489     7.92592e-05    
3.13983        0.00240382     7.81129e-05    
3.14771        0.00248758     7.94622e-05    
3.15559        0.00244443     7.877e-05      
3.16347        0.00226167     7.57682e-05    
3.17135        0.0021576      7.40044e-05    
3.17923        0.00209414     7.2908e-05     
3.18711        0.00195707     7.04816e-05    
3.19499        0.00197484     7.08008e-05    
3.20287        0.00189107     6.9283e-05     
3.21075        0.00182761     6.81106e-05    
3.21862        0.00174639     6.65799e-05    
3.2265         0.00181746     6.79212e-05    
3.23438        0.00176162     6.68696e-05    
3.24226        0.00159408     6.36105e-05    
3.25014        0.00175146     6.66766e-05    
3.25802        0.00166262     6.49635e-05    
3.2659         0.0015687      6.3102e-05     
3.27378        0.00156616     6.3051e-05     
3.28166        0.00161947     6.41149e-05    
3.28954        0.00144178     6.04956e-05    
3.29742        0.00145194     6.07082e-05    
3.3053         0.00137832     5.91493e-05    
3.31317        0.00139355     5.94751e-05    
3.32105        0.0012971      5.73799e-05    
3.32893        0.00132756     5.80497e-05    
3.33681        0.00134279     5.83818e-05    
3.34469        0.0013174      5.78273e-05    
3.35257        0.00122095     5.56701e-05    
3.36045        0.0011778      5.46775e-05    
3.36833        0.0011778      5.46775e-05    
3.37621        0.00108641     5.25136e-05    
3.38409        0.00107372     5.2206e-05     
3.39197        0.00115241     5.40851e-05    
3.39984        0.000995034    5.02566e-05    
3.40772        0.00098488     4.99995e-05    
3.4156         0.000995034    5.02566e-05    
3.42348        0.000974727    4.97411e-05    
3.43136        0.000916345    4.82285e-05    
3.43924        0.000918883    4.82953e-05    
3.44712        0.000845271    4.63204e-05    
3.455          0.000857963    4.66669e-05    
3.46288        0.000817349    4.55489e-05    
3.47076        0.000756429    4.38186e-05    
3.47864        0.000776736    4.44029e-05    
3.48652        0.000741199    4.33752e-05    
3.49439        0.000812272    4.54073e-05    
3.50227        0.000741199    4.33752e-05    
3.51015        0.000731045    4.30771e-05    
3.51803        0.000700585    4.21701e-05    
3.52591        0.000649818    4.06135e-05    
3.53379        0.000578744    3.83282e-05    
3.54167        0.000654895    4.07719e-05    
3.54955        0.000642203    4.03748e-05    
3.55743        0.000665048    4.10867e-05    
3.56531        0.000568591    3.79905e-05    
3.57319        0.000596513    3.89121e-05    
3.58106        0.000596513    3.89121e-05    
3.58894        0.000535592    3.68716e-05    
3.59682        0.000543207    3.71328e-05    
3.6047         0.000527977    3.66085e-05    
3.61258        0.000543207    3.71328e-05    
3.62046        0.000533054    3.67841e-05    
3.62834        0.00046198     3.42442e-05    
3.63622        0.000550822    3.73922e-05    
3.6441         0.000474672    3.47114e-05    
3.65198        0.00040106     3.19065e-05    
3.65986        0.000426443    3.29007e-05    
3.66774        0.000428981    3.29985e-05    
3.67561        0.000411213    3.23079e-05    
3.68349        0.000380753    3.10883e-05    
3.69137        0.000355369    3.00341e-05    
3.69925        0.000380753    3.10883e-05    
3.70713        0.000360446    3.02479e-05    
3.71501        0.000332524    2.90527e-05    
3.72289        0.000340139    2.93835e-05    
3.73077        0.000302064    2.76901e-05    
3.73865        0.000342677    2.94929e-05    
3.74653        0.000302064    2.76901e-05    
3.75441        0.000347754    2.97106e-05    
3.76228        0.000337601    2.92737e-05    
3.77016        0.000304602    2.78062e-05    
3.77804        0.000251297    2.52563e-05    
3.78592        0.000266527    2.60103e-05    
3.7938         0.000296987    2.74564e-05    
3.80168        0.000266527    2.60103e-05    
3.80956        0.000279219    2.66224e-05    
3.81744        0.00026145     2.57614e-05    
3.82532        0.000281757    2.67432e-05    
3.8332         0.000284295    2.68634e-05    
3.84108        0.000220837    2.36761e-05    
3.84896        0.000205606    2.28451e-05    
3.85683        0.000208145    2.29857e-05    
3.86471        0.000218298    2.35397e-05    
3.87259        0.000203068    2.27037e-05    
3.88047        0.000241143    2.47408e-05    
3.88835        0.000208145    2.29857e-05    
3.89623        0.000197991    2.24181e-05    
3.90411        0.000154839    1.98251e-05    
3.91199        0.000157378    1.9987e-05     
3.91987        0.000210683    2.31255e-05    
3.92775        0.000195453    2.22739e-05    
3.93563        0.000159916    2.01475e-05    
