p (GeV)        dN/dp          error          
0.00293827     9.18907e-05    1.76844e-05    
0.00881482     0.000680672    4.81307e-05    
0.0146914      0.0018276      7.88665e-05    
0.0205679      0.00326723     0.000105448    
0.0264444      0.00586059     0.000141227    
0.032321       0.00781412     0.000163074    
0.0381975      0.0114761      0.000197623    
0.0440741      0.015162       0.00022715     
0.0499506      0.0197157      0.000259065    
0.0558272      0.0247322      0.000290224    
0.0617037      0.0299428      0.000319199    
0.0675803      0.0355719      0.00034794     
0.0734568      0.0416639      0.000376575    
0.0793333      0.0486647      0.000406996    
0.0852099      0.0561452      0.000437111    
0.0910864      0.0640036      0.000466682    
0.096963       0.0730021      0.000498459    
0.10284        0.0813846      0.000526318    
0.108716       0.0912033      0.00055715     
0.114593       0.0996606      0.000582461    
0.120469       0.109973       0.000611849    
0.126346       0.120659       0.000640753    
0.132222       0.131717       0.000669468    
0.138099       0.144677       0.000701719    
0.143975       0.154543       0.000725273    
0.149852       0.167459       0.000754991    
0.155728       0.179674       0.000781983    
0.161605       0.194693       0.000813784    
0.167482       0.207615       0.000840462    
0.173358       0.220136       0.000865554    
0.179235       0.234257       0.000892902    
0.185111       0.248          0.000918623    
0.190988       0.264826       0.000949189    
0.196864       0.27717        0.000971404    
0.202741       0.295473       0.00100272     
0.208617       0.309682       0.0010265      
0.214494       0.324677       0.00105103     
0.22037        0.340186       0.00107615     
0.226247       0.357649       0.00110317     
0.232123       0.374383       0.00112891     
0.238          0.391519       0.00115431     
0.243877       0.407886       0.00117808     
0.249753       0.424226       0.00120149     
0.25563        0.442607       0.00122756     
0.261506       0.460403       0.00125172     
0.267383       0.47937        0.0012774      
0.273259       0.496867       0.00130044     
0.279136       0.513094       0.00132158     
0.285012       0.531857       0.00134525     
0.290889       0.551984       0.00137056     
0.296765       0.571496       0.00139469     
0.302642       0.583918       0.00140963     
0.308519       0.602524       0.00143211     
0.314395       0.619915       0.00145215     
0.320272       0.642643       0.00147901     
0.326148       0.658578       0.0014973      
0.332025       0.676302       0.00151685     
0.337901       0.697284       0.00154029     
0.343778       0.709563       0.00155392     
0.349654       0.732383       0.0015787      
0.355531       0.748256       0.00159561     
0.361407       0.766457       0.00161502     
0.367284       0.784934       0.00163433     
0.373161       0.806658       0.00165693     
0.379037       0.820666       0.00167163     
0.384914       0.839391       0.00169014     
0.39079        0.854812       0.00170559     
0.396667       0.873483       0.0017243      
0.402543       0.890656       0.00174109     
0.40842        0.907213       0.00175683     
0.414296       0.928209       0.00177746     
0.420173       0.943721       0.00179174     
0.426049       0.961116       0.00180877     
0.431926       0.976598       0.00182293     
0.437803       0.992328       0.00183801     
0.443679       1.00594        0.0018505      
0.449556       1.02415        0.00186692     
0.455432       1.03775        0.00187926     
0.461309       1.05083        0.00189107     
0.467185       1.06602        0.0019045      
0.473062       1.08118        0.00191833     
0.478938       1.10049        0.00193513     
0.484815       1.115          0.00194858     
0.490691       1.12708        0.00195838     
0.496568       1.14684        0.00197579     
0.502445       1.15237        0.00198035     
0.508321       1.1696         0.00199508     
0.514198       1.18023        0.00200448     
0.520074       1.19667        0.00201826     
0.525951       1.20648        0.00202657     
0.531827       1.21847        0.00203619     
0.537704       1.23153        0.00204734     
0.54358        1.24486        0.00205822     
0.549457       1.254          0.00206576     
0.555333       1.26264        0.00207314     
0.56121        1.2737         0.00208236     
0.567086       1.28526        0.00209154     
0.572963       1.29531        0.0020997      
0.57884        1.30454        0.00210681     
0.584716       1.31333        0.00211397     
0.590593       1.32201        0.00212107     
0.596469       1.33403        0.00213098     
0.602346       1.3432         0.00213791     
0.608222       1.34837        0.00214211     
0.614099       1.35199        0.00214493     
