pT (GeV)       dN/dpt         error          
0.00393827     0.0198437      0.000224481    
0.0118148      0.0599451      0.0003902      
0.0196914      0.0998357      0.000503483    
0.0275679      0.139607       0.000595451    
0.0354444      0.178883       0.000673874    
0.043321       0.22014        0.000747654    
0.0511975      0.257037       0.000807896    
0.0590741      0.297326       0.000868916    
0.0669506      0.335782       0.000923329    
0.0748272      0.373418       0.000973861    
0.0827037      0.412668       0.00102352     
0.0905803      0.451619       0.00107074     
0.0984568      0.486932       0.00111206     
0.106333       0.526358       0.00115629     
0.11421        0.562282       0.00119471     
0.122086       0.598636       0.00123293     
0.129963       0.636114       0.00127074     
0.13784        0.671266       0.00130556     
0.145716       0.70713        0.00133993     
0.153593       0.74082        0.0013717      
0.161469       0.773009       0.00140105     
0.169346       0.809058       0.00143347     
0.177222       0.840742       0.00146082     
0.185099       0.87352        0.0014892      
0.192975       0.904567       0.00151535     
0.200852       0.936157       0.00154186     
0.208728       0.967267       0.00156726     
0.216605       0.998725       0.00159238     
0.224482       1.02606        0.00161402     
0.232358       1.05469        0.00163651     
0.240235       1.08089        0.00165671     
0.248111       1.10925        0.00167838     
0.255988       1.13819        0.00169997     
0.263864       1.1615         0.00171742     
0.271741       1.18441        0.00173416     
0.279617       1.21497        0.00175668     
0.287494       1.23652        0.00177179     
0.29537        1.25772        0.001787       
0.303247       1.27817        0.00180122     
0.311123       1.29911        0.00181672     
0.319          1.32261        0.00183252     
0.326877       1.33978        0.00184415     
0.334753       1.35706        0.00185643     
0.34263        1.37505        0.00186852     
0.350506       1.39437        0.00188116     
0.358383       1.4063         0.00188983     
0.366259       1.42744        0.00190402     
0.374136       1.44137        0.00191326     
0.382012       1.45075        0.00191932     
0.389889       1.46987        0.00193186     
0.397765       1.47941        0.00193839     
0.405642       1.49408        0.00194783     
0.413519       1.50394        0.00195397     
0.421395       1.51567        0.00196178     
0.429272       1.52118        0.00196533     
0.437148       1.53245        0.00197267     
0.445025       1.53824        0.00197608     
0.452901       1.54501        0.00198074     
0.460778       1.55223        0.00198528     
0.468654       1.55935        0.00198965     
0.476531       1.56308        0.00199203     
0.484407       1.56706        0.00199483     
0.492284       1.57229        0.00199812     
0.500161       1.57647        0.00200045     
0.508037       1.57841        0.00200235     
0.515914       1.57661        0.00200067     
0.52379        1.58008        0.00200295     
0.531667       1.58352        0.00200516     
0.539543       1.58213        0.00200443     
0.54742        1.58093        0.00200346     
0.555296       1.58036        0.00200348     
0.563173       1.57639        0.00200073     
0.571049       1.57729        0.00200099     
0.578926       1.57484        0.00199927     
0.586803       1.57123        0.00199718     
0.594679       1.5692         0.00199619     
0.602556       1.56319        0.00199233     
0.610432       1.55623        0.00198795     
0.618309       1.55243        0.00198561     
0.626185       1.54613        0.00198106     
0.634062       1.54347        0.00198001     
0.641938       1.53476        0.00197406     
0.649815       1.52838        0.00197023     
0.657691       1.52094        0.00196493     
0.665568       1.51055        0.00195859     
0.673445       1.50582        0.00195561     
0.681321       1.49265        0.00194681     
0.689198       1.48409        0.00194141     
0.697074       1.47511        0.00193545     
0.704951       1.46696        0.00193037     
0.712827       1.45773        0.00192368     
0.720704       1.44951        0.00191817     
0.72858        1.43827        0.00191096     
0.736457       1.4266         0.00190347     
0.744333       1.4163         0.00189628     
0.75221        1.40584        0.00188936     
0.760086       1.3906         0.00187929     
0.767963       1.38138        0.00187255     
0.77584        1.37095        0.00186567     
0.783716       1.35578        0.00185519     
0.791593       1.34914        0.00185064     
0.799469       1.33249        0.0018395      
0.807346       1.31962        0.00183075     
0.815222       1.31394        0.00182689     
0.823099       1.29598        0.00181403     
0.830975       1.28329        0.00180528     
0.838852       1.26636        0.00179315     
0.846728       1.2587         0.00178801     
0.854605       1.24338        0.00177687     
0.862482       1.23034        0.00176757     
0.870358       1.21666        0.00175767     
0.878235       1.20451        0.0017488      
0.886111       1.19051        0.00173887     
0.893988       1.17671        0.00172858     
0.901864       1.15984        0.00171603     
0.909741       1.15124        0.00170982     
0.917617       1.13461        0.00169743     
0.925494       1.12177        0.0016876      
0.93337        1.11002        0.00167883     
0.941247       1.09264        0.00166549     
0.949124       1.08047        0.00165609     
0.957          1.06852        0.00164749     
0.964877       1.05327        0.00163507     
0.972753       1.03817        0.00162351     
0.98063        1.02441        0.00161258     
0.988506       1.01339        0.00160414     
0.996383       0.998689       0.00159255     
1.00426        0.982791       0.0015798      
1.01214        0.968498       0.00156841     
1.02001        0.958217       0.00155979     
1.02789        0.944617       0.00154862     
1.03577        0.928341       0.00153516     
1.04364        0.918446       0.00152711     
1.05152        0.903795       0.00151493     
1.0594         0.888864       0.00150241     
1.06727        0.876166       0.00149156     
1.07515        0.864646       0.00148194     
1.08302        0.85326        0.00147209     
1.0909         0.839033       0.00145931     
1.09878        0.824831       0.00144729     
1.10665        0.81603        0.00143962     
1.11453        0.8027         0.00142788     
1.12241        0.789113       0.00141538     
1.13028        0.777295       0.00140517     
1.13816        0.76837        0.00139681     
1.14604        0.754097       0.0013837      
1.15391        0.743389       0.0013737      
1.16179        0.733278       0.00136463     
1.16967        0.716837       0.00134897     
1.17754        0.705053       0.00133786     
1.18542        0.693616       0.00132723     
1.1933         0.682302       0.00131624     
1.20117        0.672196       0.00130652     
1.20905        0.662009       0.00129656     
1.21693        0.648952       0.00128369     
1.2248         0.638191       0.00127308     
1.23268        0.627257       0.001262       
1.24056        0.614617       0.00124927     
1.24843        0.604499       0.00123903     
1.25631        0.595962       0.00123009     
1.26419        0.588118       0.00122196     
1.27206        0.574359       0.00120768     
1.27994        0.565906       0.00119859     
1.28781        0.555345       0.00118733     
1.29569        0.54563        0.00117701     
1.30357        0.535166       0.00116564     
1.31144        0.526429       0.001156       
1.31932        0.517298       0.00114632     
1.3272         0.506451       0.00113406     
1.33507        0.499569       0.00112611     
1.34295        0.489428       0.00111471     
1.35083        0.483166       0.00110766     
1.3587         0.471476       0.00109421     
1.36658        0.464331       0.00108595     
1.37446        0.455433       0.00107522     
1.38233        0.444482       0.00106254     
1.39021        0.438263       0.00105466     
1.39809        0.432555       0.00104803     
1.40596        0.421845       0.00103482     
1.41384        0.413186       0.00102442     
1.42172        0.405932       0.0010152      
1.42959        0.395701       0.00100226     
1.43747        0.390499       0.000995801    
1.44535        0.383701       0.000987176    
1.45322        0.375713       0.000976851    
1.4611         0.367928       0.00096668     
1.46898        0.359962       0.000955945    
1.47685        0.354615       0.000948836    
1.48473        0.346693       0.000938201    
1.49261        0.341904       0.000931865    
1.50048        0.334253       0.000921124    
1.50836        0.327915       0.000912421    
1.51623        0.32109        0.000902916    
1.52411        0.317002       0.000897063    
1.53199        0.309219       0.000886304    
1.53986        0.303047       0.000877292    
1.54774        0.298369       0.000870425    
1.55562        0.291422       0.000860317    
1.56349        0.284853       0.000850499    
1.57137        0.278782       0.000841497    
1.57925        0.273808       0.000833783    
1.58712        0.266734       0.000822877    
1.595          0.262549       0.000816304    
1.60288        0.256719       0.000807455    
1.61075        0.252428       0.000800578    
1.61863        0.247583       0.000792766    
1.62651        0.240915       0.000782172    
1.63438        0.23654        0.00077499     
1.64226        0.23312        0.000769387    
1.65014        0.226937       0.000759111    
1.65801        0.223019       0.000752502    
1.66589        0.21837        0.000744514    
1.67377        0.21387        0.000736959    
1.68164        0.210087       0.000730364    
1.68952        0.204798       0.000721115    
1.6974         0.199826       0.000712318    
1.70527        0.195931       0.00070529     
1.71315        0.190827       0.000696209    
1.72102        0.186678       0.000688409    
1.7289         0.183393       0.000682463    
1.73678        0.180864       0.000677746    
1.74465        0.176021       0.000668553    
1.75253        0.172832       0.000662544    
1.76041        0.16672        0.00065062     
1.76828        0.165268       0.000647678    
1.77616        0.161637       0.000640609    
1.78404        0.158818       0.000635064    
1.79191        0.154573       0.000626448    
1.79979        0.151574       0.000620459    
1.80767        0.148778       0.000614768    
1.81554        0.145041       0.000606869    
1.82342        0.14177        0.000599972    
1.8313         0.138843       0.000593671    
1.83917        0.135483       0.000586568    
1.84705        0.132944       0.000580958    
1.85493        0.130105       0.000574801    
1.8628         0.12525        0.00056385     
1.87068        0.125306       0.000564032    
1.87856        0.121264       0.000554888    
1.88643        0.119202       0.000550206    
1.89431        0.116185       0.000543167    
1.90219        0.112412       0.000534242    
1.91006        0.111061       0.000531004    
1.91794        0.108304       0.000524393    
1.92582        0.105432       0.000517331    
1.93369        0.104005       0.000513898    
1.94157        0.102055       0.000508989    
1.94944        0.100128       0.000504205    
1.95732        0.0959329      0.000493468    
1.9652         0.0944145      0.000489631    
1.97307        0.092538       0.000484801    
1.98095        0.0907911      0.000480104    
1.98883        0.0877542      0.000472002    
1.9967         0.0872565      0.000470691    
2.00458        0.0843974      0.000462926    
2.01246        0.0833233      0.00046003     
2.02033        0.0806242      0.00045243     
2.02821        0.0788518      0.000447507    
2.03609        0.0771734      0.000442711    
2.04396        0.0752741      0.000437237    
2.05184        0.0743473      0.000434496    
2.05972        0.0719376      0.000427436    
2.06759        0.0704471      0.000422914    
2.07547        0.0688551      0.000418252    
2.08335        0.0668847      0.00041214     
2.09122        0.0652875      0.000407132    
2.0991         0.0638046      0.000402502    
2.10698        0.0632282      0.000400681    
2.11485        0.061659       0.000395618    
2.12273        0.0591503      0.000387508    
2.13061        0.058838       0.000386634    
2.13848        0.0576319      0.000382488    
2.14636        0.0561541      0.000377573    
2.15423        0.0547753      0.000372946    
2.16211        0.0535235      0.000368682    
2.16999        0.0518095      0.000362665    
2.17786        0.0503698      0.000357594    
2.18574        0.0503901      0.000357666    
2.19362        0.0487244      0.000351726    
2.20149        0.0471958      0.000346206    
2.20937        0.0456647      0.000340493    
2.21725        0.0445652      0.000336409    
2.22512        0.0438339      0.000333563    
