p (GeV)        dN/dp          error          
0.00387561     0              0              
0.0116268      0              0              
0.0193781      7.74072e-06    4.4691e-06     
0.0271293      1.29012e-05    5.76959e-06    
0.0348805      7.74072e-06    4.4691e-06     
0.0426317      2.83826e-05    8.55768e-06    
0.0503829      3.09629e-05    8.93821e-06    
0.0581341      2.32222e-05    7.74072e-06    
0.0658854      4.38641e-05    1.06386e-05    
0.0736366      6.70862e-05    1.31567e-05    
0.0813878      7.48269e-05    1.3895e-05     
0.089139       8.77281e-05    1.50452e-05    
0.0968902      0.00010837     1.67219e-05    
0.104641       0.000113531    1.71154e-05    
0.112393       0.000183197    2.17415e-05    
0.120144       0.000172876    2.11202e-05    
0.127895       0.000221901    2.39281e-05    
0.135646       0.000221901    2.39281e-05    
0.143398       0.000247703    2.52811e-05    
0.151149       0.000234802    2.46139e-05    
0.1589         0.000304468    2.80285e-05    
0.166651       0.00032511     2.89631e-05    
0.174402       0.000314789    2.84996e-05    
0.182154       0.000368974    3.08551e-05    
0.189905       0.000356073    3.03109e-05    
0.197656       0.000415418    3.27395e-05    
0.205407       0.000461863    3.45212e-05    
0.213159       0.000603776    3.947e-05      
0.22091        0.000598615    3.93009e-05    
0.228661       0.000598615    3.93009e-05    
0.236412       0.000727627    4.33295e-05    
0.244163       0.000670862    4.1605e-05     
0.251915       0.000737948    4.36357e-05    
0.259666       0.000768911    4.45417e-05    
0.267417       0.000823096    4.60844e-05    
0.275168       0.000954688    4.96317e-05    
0.28292        0.000946948    4.94301e-05    
0.290671       0.000936627    4.916e-05      
0.298422       0.000980491    5.02979e-05    
0.306173       0.00106822     5.24999e-05    
0.313924       0.00106822     5.24999e-05    
0.321676       0.00114047     5.42462e-05    
0.329427       0.00119723     5.55798e-05    
0.337178       0.00129528     5.78109e-05    
0.344929       0.0014759      6.171e-05      
0.352681       0.00153782     6.29913e-05    
0.360432       0.00146558     6.14938e-05    
0.368183       0.00158427     6.39354e-05    
0.375934       0.00170812     6.63875e-05    
0.383685       0.0017494      6.71849e-05    
0.391437       0.00178036     6.77769e-05    
0.399188       0.00196098     7.11317e-05    
0.406939       0.00179327     6.8022e-05     
0.41469        0.00192744     7.05208e-05    
0.422441       0.00212354     7.40212e-05    
0.430193       0.00204871     7.27054e-05    
0.437944       0.00223965     7.60179e-05    
0.445695       0.00228093     7.67153e-05    
0.453446       0.00224481     7.61055e-05    
0.461198       0.00251057     8.04845e-05    
0.468949       0.00254412     8.10203e-05    
0.4767         0.00257508     8.15119e-05    
0.484451       0.00258024     8.15935e-05    
0.492202       0.00271441     8.3688e-05     
0.499954       0.00284342     8.56537e-05    
0.507705       0.00286923     8.60414e-05    
0.515456       0.00304468     8.86331e-05    
0.523207       0.0030421      8.85955e-05    
0.530959       0.00318918     9.07118e-05    
0.53871        0.00322014     9.11511e-05    
0.546461       0.00343172     9.40979e-05    
0.554212       0.00344462     9.42746e-05    
0.561963       0.00350138     9.50482e-05    
0.569715       0.00364588     9.69895e-05    
0.577466       0.0036562      9.71267e-05    
0.585217       0.00388842     0.000100164    
0.592968       0.00381617     9.92288e-05    
0.60072        0.00404323     0.000102138    
0.608471       0.00411806     0.000103079    
0.616222       0.00421869     0.000104331    
0.623973       0.00423417     0.000104522    
0.631724       0.00436318     0.000106102    
0.639476       0.00440447     0.000106603    
0.647227       0.00449736     0.000107721    
0.654978       0.00457476     0.000108644    
0.662729       0.0045567      0.00010843     
0.670481       0.00491536     0.000112616    
0.678232       0.00489471     0.000112379    
0.685983       0.00497728     0.000113323    
0.693734       0.00521724     0.000116022    
0.701485       0.00509855     0.000114695    
0.709237       0.00508307     0.000114521    
0.716988       0.00531013     0.000117051    
0.724739       0.00554493     0.00011961     
0.73249        0.00553977     0.000119555    
0.740242       0.00557074     0.000119888    
0.747993       0.00548043     0.000118913    
0.755744       0.00572555     0.000121543    
0.763495       0.00603002     0.000124732    
0.771246       0.0058365      0.000122715    
0.778998       0.00603518     0.000124786    
0.786749       0.00608936     0.000125345    
0.7945         0.00633191     0.000127816    
0.802251       0.00642738     0.000128776    
0.810002       0.00647382     0.000129292    
0.817754       0.00635255     0.000128025    
0.825505       0.00647898     0.000129292    
0.833256       0.00649962     0.000129498    
0.841007       0.00684537     0.000132898    
0.848759       0.00674991     0.000131968    
0.85651        0.00703115     0.000134689    
0.864261       0.00704921     0.000134862    
0.872012       0.00716532     0.000135968    
0.879763       0.00702341     0.000134615    
0.887515       0.0069331      0.000133746    
0.895266       0.00740013     0.000138177    
0.903017       0.00745947     0.00013873     
0.910768       0.00728659     0.000137113    
0.91852        0.00770975     0.000141038    
0.926271       0.00735626     0.000137767    
0.934022       0.00748011     0.000138922    
0.941773       0.00784393     0.00014226     
0.949524       0.0081613      0.000145109    
0.957276       0.00789037     0.000142681    
0.965027       0.00816646     0.000145155    
0.972778       0.00806583     0.000144258    
0.980529       0.0082516      0.00014591     
0.988281       0.0079781      0.000143472    
