pT (GeV)       dN/dpt         error          
0.00487561     5.74287e-05    1.0853e-05     
0.0146268      0.000203052    2.04074e-05    
0.024378       0.000393797    2.84198e-05    
0.0341293      0.000504552    3.2169e-05     
0.0438805      0.000709655    3.81511e-05    
0.0536317      0.000933217    4.37497e-05    
0.0633829      0.000974237    4.47009e-05    
0.0731341      0.00118549     4.93097e-05    
0.0828854      0.00132496     5.21296e-05    
0.0926366      0.00141931     5.39537e-05    
0.102388       0.00173312     5.96205e-05    
0.112139       0.00173312     5.96205e-05    
0.12189        0.00199975     6.40426e-05    
0.131641       0.00204077     6.46961e-05    
0.141393       0.00217409     6.67758e-05    
0.151144       0.00242431     7.05139e-05    
0.160895       0.00255558     7.23977e-05    
0.170646       0.00273197     7.48544e-05    
0.180398       0.00278119     7.55257e-05    
0.190149       0.00296578     7.79918e-05    
0.1999         0.00307859     7.95141e-05    
0.209651       0.00328574     8.2091e-05     
0.219402       0.00336573     8.30842e-05    
0.229154       0.00358724     8.57745e-05    
0.238905       0.00355648     8.54059e-05    
0.248656       0.00381491     8.84544e-05    
0.258407       0.00404257     9.10554e-05    
0.268159       0.00380465     8.83354e-05    
0.27791        0.00423127     9.31562e-05    
0.287661       0.0042928      9.3831e-05     
0.297412       0.00448149     9.5871e-05     
0.307163       0.00459019     9.70267e-05    
0.316915       0.00476658     9.89158e-05    
0.326666       0.00499835     0.000101248    
0.336417       0.00526088     0.000103873    
0.346168       0.00517269     0.000102999    
0.35592        0.00521986     0.000103508    
0.365671       0.00552751     0.000106473    
0.375422       0.0055029      0.000106236    
0.385173       0.0058926      0.000109933    
0.394924       0.00594592     0.000110429    
0.404676       0.00601976     0.000111112    
0.414427       0.00617974     0.000112579    
0.424178       0.00626998     0.000113398    
0.433929       0.00603001     0.000111207    
0.443681       0.00653662     0.000115784    
0.453432       0.00642381     0.000114781    
0.463183       0.00674377     0.000117604    
0.472934       0.00691196     0.000119062    
0.482685       0.00667814     0.000117031    
0.492437       0.00713142     0.000120937    
0.502188       0.00708424     0.000120536    
0.511939       0.0072914      0.000122286    
0.52169        0.00734267     0.000122715    
0.531441       0.00732011     0.000122526    
0.541193       0.00785748     0.000126944    
0.550944       0.00781236     0.000126579    
0.560695       0.0078062      0.000126529    
0.570446       0.00820615     0.000129729    
0.580198       0.00822461     0.000129875    
0.589949       0.00800105     0.000128098    
0.5997         0.00796618     0.000127819    
0.609451       0.00807899     0.000128753    
0.619202       0.00794977     0.000127687    
0.628954       0.00847689     0.000131852    
0.638705       0.00849125     0.000131963    
0.648456       0.00853227     0.000132282    
0.658207       0.00877429     0.000134144    
0.667959       0.00872506     0.000133768    
0.67771        0.0087989      0.000134332    
0.687461       0.00876403     0.000134066    
0.697212       0.00894862     0.00013547     
0.706963       0.00903066     0.00013609     
0.716715       0.00917629     0.000137183    
0.726466       0.0093096      0.000138176    
0.736217       0.00926653     0.000137856    
0.745968       0.0091045      0.000136645    
0.75572        0.00914962     0.000137014    
0.765471       0.00953522     0.00013984     
0.775222       0.00938139     0.000138707    
0.784973       0.00943677     0.000139116    
0.794724       0.00946753     0.000139373    
0.804476       0.00952701     0.00013981     
0.814227       0.0097957      0.000141766    
0.823978       0.00974647     0.00014138     
0.833729       0.00957829     0.000140155    
0.843481       0.00966443     0.000140814    
0.853232       0.00971366     0.000141142    
0.862983       0.00954752     0.00013993     
0.872734       0.00977929     0.000141618    
0.882485       0.00968494     0.000140933    
0.892237       0.00974852     0.000141395    
0.901988       0.00970545     0.000141082    
0.911739       0.00973622     0.000141306    
0.92149        0.00990645     0.000142536    
0.931242       0.00975878     0.000141469    
0.940993       0.00975878     0.000141469    
0.950744       0.0100213      0.00014336     
0.960495       0.00974852     0.000141425    
0.970246       0.00956188     0.000140035    
0.979998       0.0099003      0.000142491    
0.989749       0.00986338     0.000142226    
0.9995         0.00970135     0.000141053    
1.00925        0.0099085      0.00014255     
1.019          0.00957214     0.00014014     
1.02875        0.00945728     0.000139267    
1.0385         0.00982646     0.000141989    
1.04826        0.00981416     0.00014187     
1.05801        0.00966853     0.000140814    
1.06776        0.00984082     0.000142063    
1.07751        0.00934447     0.000138434    
1.08726        0.00964802     0.000140664    
1.09701        0.0094942      0.000139569    
1.10676        0.00934857     0.000138464    
1.11651        0.00957214     0.00014011     
1.12627        0.0093978      0.000138829    
1.13602        0.00957419     0.000140125    
1.14577        0.00944497     0.000139207    
1.15552        0.00916603     0.000137106    
1.16527        0.00922141     0.00013752     
1.17502        0.00941421     0.00013895     
1.18477        0.00925012     0.000137734    
1.19452        0.00890555     0.000135144    
1.20428        0.00921321     0.000137489    
1.21403        0.00905323     0.00013626     
1.22378        0.00906963     0.000136383    
1.23353        0.00897529     0.000135672    
1.24328        0.00913527     0.000136876    
1.25303        0.00894657     0.000135455    
1.26278        0.00862866     0.000133027    
1.27253        0.00886453     0.000134833    
1.28229        0.0087107      0.000133689    
1.29204        0.0084974      0.000132011    
1.30179        0.00846663     0.000131772    
1.31154        0.00837023     0.00013102     
1.32129        0.00847279     0.00013182     
1.33104        0.00838254     0.000131116    
1.34079        0.00818769     0.000129583    
1.35054        0.00837229     0.000131036    
1.3603         0.00832101     0.000130634    
1.37005        0.00807899     0.00012872     
1.3798         0.00809335     0.000128835    
1.38955        0.00776928     0.000126229    
1.3993         0.00788209     0.000127142    
1.40905        0.00787594     0.000127093    
1.4188         0.00783697     0.000126778    
1.42855        0.0077016      0.000125678    
1.4383         0.00751291     0.000124129    
1.44806        0.00756418     0.000124586    
1.45781        0.00776108     0.000126162    
1.46756        0.0070986      0.000120693    
1.47731        0.00726678     0.000122079    
1.48706        0.00718884     0.000121423    
1.49681        0.007195       0.000121475    
1.50656        0.00716833     0.000121249    
1.51631        0.00692221     0.000119185    
1.52607        0.00676633     0.000117801    
1.53582        0.00689965     0.000118955    
1.54557        0.00662481     0.000116562    
1.55532        0.00665558     0.000116869    
1.56507        0.00666378     0.000116905    
1.57482        0.00659405     0.000116328    
1.58457        0.00645047     0.000115019    
1.59432        0.00629665     0.000113639    
1.60408        0.00615103     0.000112317    
1.61383        0.00608539     0.000111716    
1.62358        0.00596848     0.000110638    
1.63333        0.00625973     0.000113342    
1.64308        0.00613462     0.000112205    
1.65283        0.00592746     0.000110257    
1.66258        0.00589054     0.000109913    
1.67233        0.00571211     0.000108236    
1.68209        0.00568544     0.000107983    
1.69184        0.00567519     0.000107886    
1.70159        0.00540445     0.000105281    
1.71134        0.0052937      0.000104197    
1.72109        0.00535933     0.000104841    
1.73084        0.00522806     0.000103549    
1.74059        0.00527114     0.000103974    
1.75034        0.00511731     0.000102446    
1.7601         0.00511116     0.000102385    
1.76985        0.00505168     0.000101787    
1.7796         0.00475223     9.87243e-05    
1.78935        0.00483016     9.95305e-05    
1.7991         0.00491836     0.000100435    
1.80885        0.004703       9.82117e-05    
1.8186         0.00452251     9.63088e-05    
1.82835        0.00456558     9.67663e-05    
1.8381         0.00465993     9.77609e-05    
1.84786        0.00438304     9.48122e-05    
1.85761        0.00436663     9.46345e-05    
1.86736        0.00442201     9.52327e-05    
1.87711        0.00420255     9.28396e-05    
1.88686        0.00403437     9.0963e-05     
1.89661        0.00420665     9.28849e-05    
1.90636        0.00411846     9.19061e-05    
1.91611        0.00402821     9.08936e-05    
1.92587        0.00368159     8.68951e-05    
1.93562        0.00376363     8.7858e-05     
1.94537        0.00375953     8.78101e-05    
1.95512        0.0037062      8.71851e-05    
1.96487        0.00369595     8.70644e-05    
1.97462        0.00357699     8.56518e-05    
1.98437        0.00347854     8.4465e-05     
1.99412        0.00339035     8.33874e-05    
2.00388        0.00330625     8.23468e-05    
2.01363        0.00338214     8.32864e-05    
2.02338        0.0033924      8.34126e-05    
2.03313        0.00335753     8.29828e-05    
2.04288        0.00316883     8.06174e-05    
2.05263        0.003095       7.96726e-05    
2.06238        0.00317704     8.07216e-05    
2.07213        0.0030909      7.96198e-05    
2.08189        0.0030068      7.85293e-05    
2.09164        0.00302526     7.88234e-05    
2.10139        0.00280375     7.58315e-05    
2.11114        0.00275248     7.51908e-05    
2.12089        0.00256993     7.26008e-05    
2.13064        0.00283657     7.62739e-05    
2.14039        0.00263352     7.34933e-05    
2.15014        0.00267249     7.40351e-05    
2.1599         0.00255763     7.24267e-05    
2.16965        0.00242636     7.05437e-05    
2.1794         0.00242021     7.04542e-05    
2.18915        0.0023997      7.0155e-05     
2.1989         0.00227254     6.8271e-05     
2.20865        0.00235868     6.95529e-05    
2.2184         0.00227869     6.83633e-05    
2.22815        0.00228074     6.83941e-05    
2.2379         0.00217204     6.67443e-05    
2.24766        0.00204692     6.47936e-05    
2.25741        0.00209615     6.5568e-05     
2.26716        0.00206333     6.50528e-05    
2.27691        0.00201616     6.43048e-05    
2.28666        0.00193001     6.29161e-05    
2.29641        0.00185413     6.16668e-05    
2.30616        0.00186438     6.18371e-05    
2.31591        0.00182541     6.11874e-05    
2.32567        0.00185618     6.17009e-05    
2.33542        0.00182131     6.11186e-05    
2.34517        0.00177824     6.03916e-05    
2.35492        0.00186438     6.18371e-05    
2.36467        0.00172286     5.94439e-05    
2.37442        0.00158339     5.69871e-05    
2.38417        0.00164492     5.80838e-05    
2.39392        0.00163262     5.78661e-05    
2.40368        0.00151981     5.58312e-05    
2.41343        0.00149315     5.53393e-05    
2.42318        0.00143572     5.42647e-05    
2.43293        0.00152391     5.59065e-05    
2.44268        0.00147674     5.50344e-05    
2.45243        0.00138649     5.33263e-05    
2.46218        0.00138444     5.32868e-05    
2.47193        0.00133932     5.24113e-05    
2.48169        0.00137829     5.31683e-05    
2.49144        0.00124907     5.06147e-05    
2.50119        0.00115268     4.86224e-05    
2.51094        0.00123677     5.03648e-05    
2.52069        0.001206       4.97344e-05    
2.53044        0.00116908     4.89673e-05    
2.54019        0.00119985     4.96074e-05    
2.54994        0.00117524     4.9096e-05     
2.5597         0.00108499     4.71733e-05    
2.56945        0.00106243     4.66803e-05    
2.5792         0.00101116     4.55399e-05    
2.58895        0.000935268    4.37977e-05    
2.5987         0.00105833     4.65901e-05    
2.60845        0.00106448     4.67253e-05    
2.6182         0.000949625    4.41326e-05    
2.62795        0.0010009      4.53084e-05    
2.63771        0.000873737    4.23325e-05    
2.64746        0.000894247    4.28265e-05    
2.65721        0.000871686    4.22828e-05    
2.66696        0.000847073    4.16816e-05    
2.67671        0.000824512    4.11228e-05    
2.68646        0.000838869    4.14793e-05    
2.69621        0.000752726    3.92919e-05    
2.70596        0.000771186    3.97707e-05    
2.71571        0.000732216    3.87528e-05    
2.72547        0.000734267    3.88071e-05    
2.73522        0.000691196    3.76517e-05    
2.74497        0.000789645    4.02439e-05    
2.75472        0.000746573    3.91309e-05    
2.76447        0.000693247    3.77075e-05    
2.77422        0.000738369    3.89153e-05    
2.78397        0.000613257    3.54654e-05    
2.79372        0.000648124    3.64597e-05    
2.80348        0.000623512    3.57607e-05    
2.81323        0.000658379    3.6747e-05     
2.82298        0.000584542    3.46252e-05    
2.83273        0.000588644    3.47465e-05    
2.84248        0.000574287    3.43201e-05    
2.85223        0.000543522    3.33882e-05    
2.86198        0.000570185    3.41973e-05    
2.87173        0.000547624    3.35139e-05    
2.88149        0.000486093    3.15751e-05    
2.89124        0.000523011    3.27522e-05    
2.90099        0.000508654    3.22995e-05    
2.91074        0.000481991    3.14416e-05    
2.92049        0.000484042    3.15084e-05    
2.93024        0.000449175    3.03523e-05    
2.93999        0.000428664    2.96513e-05    
2.94974        0.000383542    2.80473e-05    
2.9595         0.00044097     3.00739e-05    
2.96925        0.000397899    2.85674e-05    
2.979          0.000432766    2.97928e-05    
2.98875        0.000408154    2.89332e-05    
2.9985         0.000424562    2.95091e-05    
3.00825        0.000381491    2.79722e-05    
3.018          0.000311756    2.52867e-05    
3.02775        0.000367134    2.74408e-05    
3.03751        0.000387644    2.81969e-05    
3.04726        0.00034047     2.64256e-05    
3.05701        0.000369185    2.75173e-05    
