pT (GeV)       dN/dpt         error          
0.00393956     0.0199311      0.000224909    
0.0118187      0.0581079      0.000384051    
0.0196978      0.0988307      0.000500941    
0.027577       0.138462       0.000592826    
0.0354561      0.177007       0.00067021     
0.0433352      0.216463       0.000741214    
0.0512143      0.25662        0.000807158    
0.0590935      0.295266       0.000865736    
0.0669726      0.334651       0.000921566    
0.0748517      0.371221       0.000970485    
0.0827309      0.410149       0.00102063     
0.09061        0.449534       0.00106822     
0.0984891      0.483685       0.00110794     
0.106368       0.524982       0.00115419     
0.114247       0.557498       0.00118966     
0.122127       0.594477       0.00122852     
0.130006       0.628937       0.00126352     
0.137885       0.665469       0.00129966     
0.145764       0.701616       0.00133446     
0.153643       0.73714        0.00136778     
0.161522       0.768143       0.00139639     
0.169401       0.803711       0.00142825     
0.17728        0.836295       0.00145707     
0.18516        0.866936       0.00148346     
0.193039       0.8975         0.00150939     
0.200918       0.929648       0.00153621     
0.208797       0.960822       0.00156144     
0.216676       0.988761       0.00158406     
0.224555       1.0194         0.00160868     
0.232434       1.04974        0.00163234     
0.240313       1.07319        0.0016505      
0.248193       1.09954        0.00167071     
0.256072       1.12733        0.00169166     
0.263951       1.15399        0.0017115      
0.27183        1.17757        0.00172875     
0.279709       1.2025         0.00174729     
0.287588       1.22739        0.00176534     
0.295467       1.24793        0.00177953     
0.303347       1.26897        0.00179476     
0.311226       1.28794        0.00180791     
0.319105       1.31305        0.00182549     
0.326984       1.32712        0.00183568     
0.334863       1.34887        0.00185017     
0.342742       1.3627         0.0018597      
0.350621       1.38472        0.00187476     
0.3585         1.40083        0.00188551     
0.36638        1.41244        0.00189337     
0.374259       1.42985        0.00190533     
0.382138       1.44292        0.00191417     
0.390017       1.45713        0.001923       
0.397896       1.46771        0.00193017     
0.405775       1.4835         0.00194039     
0.413654       1.49091        0.00194563     
0.421533       1.49952        0.00195082     
0.429413       1.51461        0.00196069     
0.437292       1.51739        0.00196244     
0.445171       1.5274         0.00196924     
0.45305        1.53697        0.0019751      
0.460929       1.54179        0.00197821     
0.468808       1.55276        0.00198543     
0.476687       1.55598        0.00198727     
0.484566       1.556          0.00198767     
0.492446       1.56015        0.00199043     
0.500325       1.56767        0.00199488     
0.508204       1.56742        0.0019946      
0.516083       1.56851        0.00199531     
0.523962       1.56902        0.00199588     
0.531841       1.57124        0.00199716     
0.53972        1.57042        0.00199679     
0.5476         1.5677         0.00199457     
0.555479       1.57028        0.00199637     
0.563358       1.5691         0.00199561     
0.571237       1.56566        0.00199362     
0.579116       1.56506        0.00199271     
0.586995       1.5563         0.00198798     
0.594874       1.5574         0.00198817     
0.602753       1.55146        0.0019847      
0.610633       1.54728        0.00198185     
0.618512       1.54163        0.00197829     
0.626391       1.5355         0.00197435     
0.63427        1.53           0.00197083     
0.642149       1.52162        0.00196547     
0.650028       1.51792        0.00196293     
0.657907       1.50843        0.00195635     
0.665786       1.49987        0.00195125     
0.673666       1.49092        0.00194574     
0.681545       1.48283        0.00194021     
0.689424       1.47633        0.00193583     
0.697303       1.46693        0.00192953     
0.705182       1.45932        0.00192487     
0.713061       1.45192        0.00191972     
0.72094        1.43633        0.00190935     
0.72882        1.42644        0.00190319     
0.736699       1.41346        0.00189404     
0.744578       1.40835        0.00189118     
0.752457       1.39391        0.00188113     
0.760336       1.38425        0.00187425     
0.768215       1.37164        0.00186614     
0.776094       1.36226        0.00185967     
0.783973       1.34675        0.0018487      
0.791853       1.33597        0.00184173     
0.799732       1.32488        0.00183351     
0.807611       1.31095        0.00182416     
0.81549        1.30097        0.00181708     
0.823369       1.28623        0.00180703     
0.831248       1.27389        0.00179823     
0.839127       1.26036        0.00178888     
0.847006       1.25019        0.00178136     
0.854886       1.23379        0.00177002     
0.862765       1.22146        0.00176104     
0.870644       1.20822        0.00175123     
0.878523       1.19128        0.00173888     
0.886402       1.18133        0.00173161     
0.894281       1.16922        0.00172258     
0.90216        1.15699        0.00171389     
0.91004        1.14261        0.00170295     
0.917919       1.12435        0.00168908     
0.925798       1.11299        0.00168059     
0.933677       1.09625        0.00166829     
0.941556       1.08606        0.00166034     
0.949435       1.07365        0.00165081     
0.957314       1.05569        0.00163698     
0.965193       1.04829        0.00163154     
0.973073       1.03229        0.00161851     
0.980952       1.01746        0.00160716     
0.988831       1.00971        0.00160084     
0.99671        0.991896       0.00158705     
1.00459        0.975874       0.00157371     
1.01247        0.966388       0.00156609     
1.02035        0.951483       0.00155405     
1.02823        0.938979       0.00154391     
1.03611        0.922541       0.00153019     
1.04398        0.912197       0.0015214      
1.05186        0.898145       0.00150996     
1.05974        0.885999       0.00149967     
1.06762        0.874668       0.00149001     
1.0755         0.859377       0.00147706     
1.08338        0.845954       0.00146528     
1.09126        0.834879       0.00145599     
1.09914        0.822022       0.00144466     
1.10702        0.809402       0.00143348     
1.1149         0.795184       0.00142065     
1.12278        0.784995       0.00141149     
1.13066        0.771557       0.00139952     
1.13853        0.760721       0.00138965     
1.14641        0.750217       0.00137991     
1.15429        0.735492       0.00136628     
1.16217        0.723202       0.00135487     
1.17005        0.712574       0.0013447      
1.17793        0.70355        0.00133607     
1.18581        0.691579       0.00132481     
1.19369        0.678466       0.00131216     
1.20157        0.666292       0.00130072     
1.20945        0.657537       0.00129186     
1.21733        0.645279       0.00128012     
1.2252         0.636141       0.00127076     
1.23308        0.624975       0.0012595      
1.24096        0.614527       0.00124887     
1.24884        0.60262        0.00123691     
1.25672        0.595609       0.00122979     
1.2646         0.584856       0.00121831     
1.27248        0.573467       0.00120647     
1.28036        0.563293       0.00119581     
1.28824        0.551307       0.00118291     
1.29612        0.541446       0.0011722      
1.304          0.531861       0.00116192     
1.31188        0.525738       0.0011553      
1.31975        0.513696       0.00114193     
1.32763        0.504817       0.00113207     
1.33551        0.494798       0.00112085     
1.34339        0.48747        0.00111247     
1.35127        0.477718       0.00110113     
1.35915        0.470458       0.00109271     
1.36703        0.461061       0.00108194     
1.37491        0.451852       0.00107084     
1.38279        0.443846       0.00106134     
1.39067        0.433733       0.0010492      
1.39855        0.425905       0.0010397      
1.40642        0.420833       0.0010337      
1.4143         0.41154        0.00102193     
1.42218        0.404339       0.00101328     
1.43006        0.395214       0.00100172     
1.43794        0.387441       0.000991788    
1.44582        0.381727       0.000984159    
1.4537         0.373617       0.000973879    
1.46158        0.366804       0.000964939    
1.46946        0.359887       0.000955884    
1.47734        0.352338       0.000945742    
1.48522        0.344954       0.000935794    
1.4931         0.33856        0.000927149    
1.50097        0.332065       0.000918114    
1.50885        0.326282       0.000910276    
1.51673        0.320411       0.000901809    
1.52461        0.312885       0.000891309    
1.53249        0.308874       0.00088544     
1.54037        0.300498       0.000873483    
1.54825        0.295413       0.000865779    
1.55613        0.288184       0.000855331    
1.56401        0.282079       0.000846052    
1.57189        0.27783        0.000839835    
1.57977        0.271197       0.000829725    
1.58764        0.266852       0.000822954    
1.59552        0.260244       0.000812838    
1.6034         0.255554       0.000805535    
1.61128        0.250581       0.000797467    
1.61916        0.245197       0.000788845    
1.62704        0.239217       0.000779143    
1.63492        0.234638       0.000771659    
1.6428         0.229541       0.00076332     
1.65068        0.226566       0.000758307    
1.65856        0.221725       0.000750217    
1.66644        0.21628        0.00074092     
1.67432        0.211973       0.00073352     
1.68219        0.208335       0.000727317    
1.69007        0.203066       0.000718066    
1.69795        0.198568       0.000709852    
1.70583        0.19428        0.000702288    
1.71371        0.190435       0.00069526     
1.72159        0.186747       0.000688496    
1.72947        0.183086       0.000681716    
1.73735        0.179142       0.000674344    
1.74523        0.176131       0.000668651    
1.75311        0.170054       0.000656988    
1.76099        0.16714        0.000651429    
1.76886        0.16218        0.000641597    
1.77674        0.160832       0.000638852    
1.78462        0.156771       0.000630854    
1.7925         0.153106       0.000623434    
1.80038        0.149405       0.000615809    
1.80826        0.147199       0.000611246    
1.81614        0.143051       0.000602646    
1.82402        0.141252       0.000598734    
1.8319         0.137337       0.000590441    
1.83978        0.133796       0.000582785    
