p (GeV)        dN/dp          error          
0.00293827     9.86975e-05    1.83277e-05    
0.00881482     0.000598992    4.51506e-05    
0.0146914      0.00156555     7.29936e-05    
0.0205679      0.00340676     0.000107676    
0.0264444      0.00519693     0.000132991    
0.032321       0.00817147     0.000166761    
0.0381975      0.0114013      0.000196977    
0.0440741      0.0152505      0.000227812    
0.0499506      0.0190792      0.000254806    
0.0558272      0.0245518      0.000289085    
0.0617037      0.0296739      0.000317763    
0.0675803      0.0354222      0.000347173    
0.0734568      0.0417252      0.000376883    
0.0793333      0.0479363      0.000403912    
0.0852099      0.0562712      0.000437653    
0.0910864      0.0635442      0.000465029    
0.096963       0.071668       0.000493864    
0.10284        0.0814118      0.00052634     
0.108716       0.0896003      0.000552238    
0.114593       0.100066       0.000583522    
0.120469       0.11047        0.000613152    
0.126346       0.120768       0.00064115     
0.132222       0.131455       0.000668993    
0.138099       0.142509       0.000696451    
0.143975       0.155156       0.000726643    
0.149852       0.167098       0.000754102    
0.155728       0.179555       0.000781872    
0.161605       0.193239       0.000810861    
0.167482       0.207159       0.000839692    
0.173358       0.220065       0.000865333    
0.179235       0.235077       0.000894499    
0.185111       0.247874       0.000918289    
0.190988       0.264268       0.000948301    
0.196864       0.277568       0.00097192     
0.202741       0.293387       0.000999107    
0.208617       0.309287       0.00102596     
0.214494       0.325242       0.00105199     
0.22037        0.341255       0.00107793     
0.226247       0.358762       0.0011049      
0.232123       0.375411       0.00113044     
0.238          0.390117       0.00115229     
0.243877       0.408628       0.00117931     
0.249753       0.423773       0.001201       
0.25563        0.442951       0.00122801     
0.261506       0.457214       0.00124745     
0.267383       0.475398       0.001272       
0.273259       0.495703       0.00129873     
0.279136       0.516106       0.00132537     
0.285012       0.534307       0.00134846     
0.290889       0.549163       0.00136715     
0.296765       0.568729       0.00139149     
0.302642       0.584531       0.00141055     
0.308519       0.601146       0.00143045     
0.314395       0.620086       0.00145275     
0.320272       0.640206       0.00147588     
0.326148       0.657329       0.00149553     
0.332025       0.67716        0.0015181      
0.337901       0.696076       0.00153938     
0.343778       0.71104        0.00155552     
0.349654       0.732699       0.00157901     
0.355531       0.748089       0.00159552     
0.361407       0.768833       0.0016179      
0.367284       0.78604        0.00163566     
0.373161       0.802693       0.00165303     
0.379037       0.819822       0.00167039     
0.384914       0.841913       0.00169257     
0.39079        0.860625       0.00171126     
0.396667       0.874681       0.00172534     
