p (GeV)        dN/dp          error          
0.00499114     0              0              
0.0149734      0              0              
0.0249557      0              0              
0.034938       0              0              
0.0449203      0              0              
0.0549025      0              0              
0.0648848      0              0              
0.0748671      0              0              
0.0848494      0              0              
0.0948317      0              0              
0.104814       0              0              
0.114796       0              0              
0.124779       0              0              
0.134761       0              0              
0.144743       0              0              
0.154725       0              0              
0.164708       0              0              
0.17469        0              0              
0.184672       0              0              
0.194654       0              0              
0.204637       0              0              
0.214619       0              0              
0.224601       0              0              
0.234584       0              0              
0.244566       0              0              
0.254548       0              0              
0.26453        0              0              
0.274513       0              0              
0.284495       0              0              
0.294477       0              0              
0.30446        0              0              
0.314442       0              0              
0.324424       0              0              
0.334406       0              0              
0.344389       0              0              
0.354371       0              0              
0.364353       0              0              
0.374335       0              0              
0.384318       0              0              
0.3943         0              0              
0.404282       0              0              
0.414265       0              0              
0.424247       0              0              
0.434229       0              0              
0.444211       0              0              
0.454194       0              0              
0.464176       0              0              
0.474158       0              0              
0.484141       0              0              
0.494123       0              0              
0.504105       0              0              
0.514087       0              0              
0.52407        0              0              
0.534052       0              0              
0.544034       0              0              
0.554017       0              0              
0.563999       0              0              
0.573981       0              0              
0.583963       0              0              
0.593946       0              0              
0.603928       5.00888e-06    5.00888e-06    
0.61391        0              0              
0.623892       0              0              
0.633875       0              0              
0.643857       0              0              
0.653839       0              0              
0.663822       0              0              
0.673804       0              0              
0.683786       0              0              
0.693768       0              0              
0.703751       0              0              
0.713733       5.00888e-06    5.00888e-06    
0.723715       0              0              
0.733698       0              0              
0.74368        0              0              
0.753662       0              0              
0.763644       0              0              
0.773627       0              0              
0.783609       0              0              
0.793591       0              0              
0.803574       0              0              
0.813556       0              0              
0.823538       0              0              
0.83352        0              0              
0.843503       0              0              
0.853485       0              0              
0.863467       0              0              
0.873449       1.00178e-05    7.08362e-06    
0.883432       0              0              
0.893414       0              0              
0.903396       0              0              
0.913379       0              0              
0.923361       0              0              
0.933343       0              0              
0.943325       0              0              
0.953308       0              0              
0.96329        0              0              
0.973272       5.00888e-06    5.00888e-06    
0.983255       0              0              
0.993237       5.00888e-06    5.00888e-06    
1.00322        0              0              
1.0132         5.00888e-06    5.00888e-06    
1.02318        0              0              
1.03317        0              0              
1.04315        5.00888e-06    5.00888e-06    
1.05313        5.00888e-06    5.00888e-06    
1.06311        0              0              
1.0731         5.00888e-06    5.00888e-06    
1.08308        1.00178e-05    7.08362e-06    
1.09306        0              0              
1.10304        0              0              
1.11302        5.00888e-06    5.00888e-06    
1.12301        0              0              
1.13299        0              0              
1.14297        0              0              
1.15295        5.00888e-06    5.00888e-06    
1.16294        0              0              
1.17292        0              0              
1.1829         0              0              
1.19288        5.00888e-06    5.00888e-06    
1.20286        0              0              
1.21285        0              0              
1.22283        5.00888e-06    5.00888e-06    
1.23281        1.00178e-05    7.08362e-06    
1.24279        0              0              
1.25278        0              0              
1.26276        5.00888e-06    5.00888e-06    
1.27274        5.00888e-06    5.00888e-06    
1.28272        5.00888e-06    5.00888e-06    
1.29271        0              0              
1.30269        0              0              
1.31267        5.00888e-06    5.00888e-06    
1.32265        1.50266e-05    8.67563e-06    
1.33263        0              0              
1.34262        0              0              
1.3526         5.00888e-06    5.00888e-06    
1.36258        5.00888e-06    5.00888e-06    
1.37256        0              0              
1.38255        0              0              
1.39253        0              0              
1.40251        1.00178e-05    7.08362e-06    
1.41249        5.00888e-06    5.00888e-06    
1.42247        0              0              
1.43246        5.00888e-06    5.00888e-06    
1.44244        5.00888e-06    5.00888e-06    
1.45242        5.00888e-06    5.00888e-06    
1.4624         0              0              
1.47239        5.00888e-06    5.00888e-06    
1.48237        0              0              
1.49235        1.00178e-05    7.08362e-06    
1.50233        5.00888e-06    5.00888e-06    
1.51232        0              0              
1.5223         1.50266e-05    8.67563e-06    
1.53228        5.00888e-06    5.00888e-06    
1.54226        0              0              
1.55224        1.00178e-05    7.08362e-06    
1.56223        5.00888e-06    5.00888e-06    
1.57221        0              0              
1.58219        0              0              
1.59217        0              0              
1.60216        5.00888e-06    5.00888e-06    
1.61214        0              0              
1.62212        0              0              
1.6321         0              0              
1.64209        5.00888e-06    5.00888e-06    
1.65207        0              0              
1.66205        5.00888e-06    5.00888e-06    
1.67203        1.00178e-05    7.08362e-06    
1.68201        5.00888e-06    5.00888e-06    
1.692          1.00178e-05    7.08362e-06    
1.70198        1.00178e-05    7.08362e-06    
1.71196        0              0              
1.72194        0              0              
1.73193        0              0              
1.74191        5.00888e-06    5.00888e-06    
1.75189        1.00178e-05    7.08362e-06    
1.76187        0              0              
1.77185        0              0              
1.78184        5.00888e-06    5.00888e-06    
1.79182        5.00888e-06    5.00888e-06    
1.8018         0              0              
1.81178        5.00888e-06    5.00888e-06    
1.82177        0              0              
1.83175        5.00888e-06    5.00888e-06    
1.84173        5.00888e-06    5.00888e-06    
1.85171        1.00178e-05    7.08362e-06    
1.8617         0              0              
1.87168        5.00888e-06    5.00888e-06    
1.88166        0              0              
1.89164        1.00178e-05    7.08362e-06    
1.90162        0              0              
1.91161        0              0              
1.92159        5.00888e-06    5.00888e-06    
1.93157        5.00888e-06    5.00888e-06    
1.94155        5.00888e-06    5.00888e-06    
1.95154        5.00888e-06    5.00888e-06    
1.96152        5.00888e-06    5.00888e-06    
1.9715         0              0              
1.98148        1.00178e-05    7.08362e-06    
1.99146        0              0              
2.00145        0              0              
2.01143        5.00888e-06    5.00888e-06    
2.02141        5.00888e-06    5.00888e-06    
2.03139        5.00888e-06    5.00888e-06    
2.04138        0              0              
2.05136        5.00888e-06    5.00888e-06    
2.06134        5.00888e-06    5.00888e-06    
2.07132        0              0              
2.08131        5.00888e-06    5.00888e-06    
2.09129        5.00888e-06    5.00888e-06    
2.10127        0              0              
2.11125        0              0              
2.12123        0              0              
2.13122        0              0              
2.1412         1.50266e-05    8.67563e-06    
2.15118        1.00178e-05    7.08362e-06    
2.16116        1.00178e-05    7.08362e-06    
2.17115        1.00178e-05    7.08362e-06    
2.18113        0              0              
2.19111        1.00178e-05    7.08362e-06    
2.20109        0              0              
2.21108        5.00888e-06    5.00888e-06    
2.22106        5.00888e-06    5.00888e-06    
2.23104        0              0              
2.24102        5.00888e-06    5.00888e-06    
2.251          5.00888e-06    5.00888e-06    
2.26099        5.00888e-06    5.00888e-06    
2.27097        0              0              
2.28095        5.00888e-06    5.00888e-06    
2.29093        0              0              
2.30092        0              0              
2.3109         1.00178e-05    7.08362e-06    
2.32088        1.00178e-05    7.08362e-06    
2.33086        0              0              
2.34084        5.00888e-06    5.00888e-06    
2.35083        0              0              
2.36081        5.00888e-06    5.00888e-06    
2.37079        5.00888e-06    5.00888e-06    
2.38077        0              0              
2.39076        5.00888e-06    5.00888e-06    
2.40074        0              0              
2.41072        5.00888e-06    5.00888e-06    
2.4207         5.00888e-06    5.00888e-06    
2.43069        0              0              
2.44067        5.00888e-06    5.00888e-06    
2.45065        5.00888e-06    5.00888e-06    
2.46063        5.00888e-06    5.00888e-06    
2.47061        5.00888e-06    5.00888e-06    
2.4806         1.00178e-05    7.08362e-06    
2.49058        0              0              
2.50056        1.00178e-05    7.08362e-06    
2.51054        1.50266e-05    8.67563e-06    
2.52053        0              0              
2.53051        0              0              
2.54049        0              0              
2.55047        5.00888e-06    5.00888e-06    
2.56045        0              0              
2.57044        0              0              
2.58042        5.00888e-06    5.00888e-06    
2.5904         0              0              
2.60038        5.00888e-06    5.00888e-06    
2.61037        5.00888e-06    5.00888e-06    
2.62035        5.00888e-06    5.00888e-06    
2.63033        1.00178e-05    7.08362e-06    
2.64031        5.00888e-06    5.00888e-06    
2.6503         0              0              
2.66028        5.00888e-06    5.00888e-06    
2.67026        5.00888e-06    5.00888e-06    
2.68024        1.00178e-05    7.08362e-06    
2.69022        0              0              
2.70021        5.00888e-06    5.00888e-06    
2.71019        5.00888e-06    5.00888e-06    
2.72017        0              0              
2.73015        0              0              
2.74014        0              0              
2.75012        0              0              
2.7601         1.00178e-05    7.08362e-06    
2.77008        0              0              
2.78006        5.00888e-06    5.00888e-06    
2.79005        5.00888e-06    5.00888e-06    
2.80003        0              0              
2.81001        0              0              
2.81999        0              0              
2.82998        5.00888e-06    5.00888e-06    
2.83996        0              0              
2.84994        5.00888e-06    5.00888e-06    
2.85992        1.50266e-05    8.67563e-06    
2.86991        5.00888e-06    5.00888e-06    
2.87989        5.00888e-06    5.00888e-06    
2.88987        0              0              
2.89985        0              0              
2.90983        0              0              
2.91982        5.00888e-06    5.00888e-06    
2.9298         5.00888e-06    5.00888e-06    
2.93978        5.00888e-06    5.00888e-06    
2.94976        1.50266e-05    8.67563e-06    
2.95975        0              0              
2.96973        0              0              
2.97971        0              0              
2.98969        5.00888e-06    5.00888e-06    
2.99968        5.00888e-06    5.00888e-06    
3.00966        0              0              
3.01964        0              0              
3.02962        5.00888e-06    5.00888e-06    
3.0396         0              0              
3.04959        0              0              
3.05957        5.00888e-06    5.00888e-06    
3.06955        1.00178e-05    7.08362e-06    
3.07953        0              0              
3.08952        0              0              
3.0995         0              0              
3.10948        0              0              
3.11946        0              0              
3.12944        0              0              
3.13943        5.00888e-06    5.00888e-06    
3.14941        0              0              
3.15939        5.00888e-06    5.00888e-06    
3.16937        0              0              
3.17936        0              0              
3.18934        5.00888e-06    5.00888e-06    
3.19932        0              0              
3.2093         0              0              
3.21929        0              0              
3.22927        5.00888e-06    5.00888e-06    
3.23925        0              0              
3.24923        0              0              
3.25921        5.00888e-06    5.00888e-06    
3.2692         0              0              
3.27918        0              0              
3.28916        5.00888e-06    5.00888e-06    
3.29914        5.00888e-06    5.00888e-06    
3.30913        0              0              
3.31911        0              0              
3.32909        0              0              
3.33907        5.00888e-06    5.00888e-06    
3.34905        5.00888e-06    5.00888e-06    
3.35904        0              0              
3.36902        0              0              
3.379          5.00888e-06    5.00888e-06    
3.38898        5.00888e-06    5.00888e-06    
3.39897        0              0              
3.40895        0              0              
3.41893        0              0              
3.42891        0              0              
3.4389         0              0              
3.44888        1.00178e-05    7.08362e-06    
3.45886        0              0              
3.46884        0              0              
3.47882        0              0              
3.48881        0              0              
3.49879        0              0              
3.50877        0              0              
3.51875        0              0              
3.52874        0              0              
3.53872        0              0              
3.5487         0              0              
3.55868        5.00888e-06    5.00888e-06    
3.56867        0              0              
3.57865        0              0              
3.58863        0              0              
3.59861        0              0              
3.60859        0              0              
3.61858        0              0              
3.62856        5.00888e-06    5.00888e-06    
3.63854        0              0              
3.64852        5.00888e-06    5.00888e-06    
3.65851        5.00888e-06    5.00888e-06    
3.66849        0              0              
3.67847        0              0              
3.68845        0              0              
3.69843        0              0              
3.70842        0              0              
3.7184         5.00888e-06    5.00888e-06    
3.72838        0              0              
3.73836        0              0              
3.74835        0              0              
3.75833        0              0              
3.76831        0              0              
3.77829        0              0              
3.78828        0              0              
3.79826        0              0              
3.80824        0              0              
3.81822        0              0              
3.8282         0              0              
3.83819        5.00888e-06    5.00888e-06    
3.84817        0              0              
3.85815        0              0              
3.86813        0              0              
3.87812        0              0              
3.8881         0              0              
3.89808        0              0              
3.90806        0              0              
3.91804        0              0              
3.92803        0              0              
3.93801        0              0              
3.94799        0              0              
3.95797        0              0              
3.96796        0              0              
3.97794        0              0              
3.98792        0              0              
3.9979         0              0              
4.00789        0              0              
4.01787        0              0              
4.02785        0              0              
4.03783        0              0              
4.04781        0              0              
4.0578         0              0              
4.06778        0              0              
4.07776        0              0              
4.08774        0              0              
4.09773        0              0              
4.10771        0              0              
4.11769        0              0              
4.12767        0              0              
4.13766        0              0              
