p (GeV)        dN/dp          error          
0.00293827     8.5084e-05     2.69059e-05    
0.00881482     0.000484979    6.42369e-05    
0.0146914      0.00140389     0.000109292    
0.0205679      0.00271418     0.000151964    
0.0264444      0.00456901     0.000197165    
0.032321       0.00644937     0.000234247    
0.0381975      0.00948687     0.000284101    
0.0440741      0.0124478      0.000325428    
0.0499506      0.0161745      0.000370953    
0.0558272      0.0201224      0.000413925    
0.0617037      0.0252359      0.000463342    
0.0675803      0.0291668      0.000498117    
0.0734568      0.0352248      0.000547398    
0.0793333      0.0406531      0.000588057    
0.0852099      0.0463283      0.000627752    
0.0910864      0.0530329      0.000671628    
0.096963       0.0605968      0.000718014    
0.10284        0.067327       0.000757098    
0.108716       0.07541        0.000800833    
0.114593       0.0837482      0.000844013    
0.120469       0.091159       0.000880867    
0.126346       0.100399       0.000923976    
0.132222       0.110567       0.000969904    
0.138099       0.119152       0.00100688     
0.143975       0.128171       0.00104417     
0.149852       0.139053       0.00108773     
0.155728       0.150199       0.00113022     
0.161605       0.161524       0.001172       
0.167482       0.171887       0.00120926     
0.173358       0.182922       0.00124728     
0.179235       0.194306       0.00128589     
0.185111       0.208779       0.00133291     
0.190988       0.220776       0.00137063     
0.196864       0.234355       0.00141168     
0.202741       0.246769       0.0014485      
0.208617       0.257081       0.00147942     
0.214494       0.271171       0.00151903     
0.22037        0.285168       0.00155748     
0.226247       0.302006       0.00160279     
0.232123       0.314003       0.00163456     
0.238          0.327114       0.00166774     
0.243877       0.340123       0.00170153     
0.249753       0.352767       0.00173248     
0.25563        0.37072        0.0017762      
0.261506       0.381534       0.00180176     
0.267383       0.398015       0.00184025     
0.273259       0.412436       0.00187333     
0.279136       0.428083       0.00190847     
0.285012       0.442539       0.00194049     
0.290889       0.457752       0.00197361     
0.296765       0.468098       0.00199603     
0.302642       0.48771        0.00203681     
0.308519       0.504846       0.00207265     
0.314395       0.51977        0.00210277     
0.320272       0.533962       0.00213149     
0.326148       0.547422       0.00215765     
0.332025       0.564226       0.00219141     
0.337901       0.579601       0.00222128     
0.343778       0.595129       0.00225068     
0.349654       0.609465       0.00227695     
0.355531       0.624772       0.00230614     
0.361407       0.636301       0.00232697     
0.367284       0.656423       0.0023635      
0.373161       0.671202       0.00238954     
0.379037       0.690389       0.00242343     
0.384914       0.692856       0.00242751     
0.39079        0.713829       0.00246425     
0.396667       0.731833       0.00249534     
0.402543       0.742111       0.00251231     
0.40842        0.754346       0.00253288     
0.414296       0.770589       0.00256113     
0.420173       0.78376        0.00258257     
0.426049       0.800147       0.00260921     
0.431926       0.815769       0.00263434     
0.437803       0.825655       0.00265065     
0.443679       0.838784       0.00267138     
0.449556       0.853597       0.00269512     
0.455432       0.863399       0.00271029     
0.461309       0.883402       0.00274166     
0.467185       0.892191       0.00275528     
0.473062       0.907166       0.00277832     
0.478938       0.91912        0.00279715     
0.484815       0.929092       0.00281198     
0.490691       0.938009       0.00282455     
0.496568       0.946458       0.00283723     
