p (GeV)        dN/dp          error          
0.00387561     0              0              
0.0116268      0              0              
0.0193781      0              0              
0.0271293      0              0              
0.0348805      1.29012e-05    9.12252e-06    
0.0426317      3.87036e-05    1.58007e-05    
0.0503829      5.16048e-05    1.8245e-05     
0.0581341      1.93518e-05    1.11728e-05    
0.0658854      2.58024e-05    1.29012e-05    
0.0736366      3.2253e-05     1.4424e-05     
0.0813878      4.51542e-05    1.70667e-05    
0.089139       6.4506e-05     2.03986e-05    
0.0968902      6.4506e-05     2.03986e-05    
0.104641       7.09566e-05    2.13942e-05    
0.112393       0.000141913    3.0256e-05     
0.120144       0.000129012    2.88479e-05    
0.127895       0.000180617    3.41333e-05    
0.135646       0.000141913    3.0256e-05     
0.143398       0.00021287     3.70558e-05    
0.151149       0.000167716    3.28917e-05    
0.1589         0.000225771    3.81622e-05    
0.166651       0.000277376    4.22994e-05    
0.174402       0.000264474    4.13039e-05    
0.182154       0.000335431    4.65159e-05    
0.189905       0.000309629    4.4691e-05     
0.197656       0.00043219     5.28003e-05    
0.205407       0.000477344    5.549e-05      
0.213159       0.000348332    4.7402e-05     
0.22091        0.000406388    5.12e-05       
0.228661       0.000548301    5.94714e-05    
0.236412       0.000393486    5.03807e-05    
0.244163       0.000606356    6.25407e-05    
0.251915       0.000580554    6.11956e-05    
0.259666       0.000677313    6.60988e-05    
0.267417       0.000812775    7.24076e-05    
0.275168       0.000767621    7.03675e-05    
0.28292        0.000638609    6.41825e-05    
0.290671       0.000806325    7.21196e-05    
0.298422       0.000664412    6.54662e-05    
0.306173       0.000877281    7.5226e-05     
0.313924       0.000883732    7.55021e-05    
0.321676       0.000896633    7.60512e-05    
0.329427       0.00110305     8.43521e-05    
0.337178       0.000993392    8.00495e-05    
0.344929       0.00127077     9.0538e-05     
0.352681       0.00119336     8.77372e-05    
0.360432       0.00127077     9.0538e-05     
0.368183       0.00125142     8.9846e-05     
0.375934       0.00115466     8.63027e-05    
0.383685       0.00151589     9.88852e-05    
0.391437       0.00130947     9.19064e-05    
0.399188       0.00135463     9.34775e-05    
0.406939       0.00132237     9.2358e-05     
0.41469        0.00154814     9.99316e-05    
0.422441       0.00158685     0.000101173    
0.430193       0.0015933      0.000101378    
0.437944       0.00192873     0.00011154     
0.445695       0.00185132     0.000109279    
0.453446       0.00176101     0.000106581    
0.461198       0.00198033     0.000113023    
0.468949       0.00203839     0.000114667    
0.4767         0.00180617     0.000107938    
0.484451       0.00224481     0.000120333    
0.492202       0.00204484     0.000114849    
0.499954       0.0021932      0.000118942    
0.507705       0.00232222     0.00012239     
0.515456       0.0021158      0.000116824    
0.523207       0.00256089     0.000128526    
0.530959       0.00260604     0.000129654    
0.53871        0.00277376     0.000133761    
0.546461       0.00256734     0.000128688    
0.554212       0.00272215     0.000132511    
0.561963       0.00287052     0.000136074    
0.569715       0.00287052     0.000136074    
0.577466       0.00311564     0.000141765    
0.585217       0.00308339     0.000141029    
0.592968       0.00314144     0.000142351    
0.60072        0.00314789     0.000142497    
0.608471       0.00303823     0.000139993    
0.616222       0.00335431     0.000147094    
0.623973       0.0032511      0.000144814    
0.631724       0.00347042     0.000149618    
0.639476       0.00363169     0.000153055    
0.647227       0.00371554     0.000154812    
0.654978       0.00394777     0.000159577    
0.662729       0.00366394     0.000153733    
0.670481       0.00349622     0.000150174    
0.678232       0.00398002     0.000160227    
0.685983       0.00408323     0.000162547    
0.693734       0.00388971     0.000158399    
0.701485       0.00416064     0.000163822    
0.709237       0.00381875     0.000156947    
0.716988       0.00421224     0.000164835    
0.724739       0.00417354     0.000164076    
0.73249        0.00441866     0.000168825    
0.740242       0.00450252     0.00017042     
0.747993       0.00437996     0.000168084    
0.755744       0.00465733     0.000173325    
0.763495       0.00465088     0.000173205    
0.771246       0.00474764     0.000175235    
0.778998       0.00477344     0.000175472    
0.786749       0.00474119     0.000174878    
0.7945         0.00532819     0.000185388    
0.802251       0.00538625     0.000186395    
0.810002       0.00516693     0.000182561    
0.817754       0.00550236     0.000188393    
0.825505       0.00543785     0.000187286    
0.833256       0.00513468     0.00018199     
0.841007       0.00526369     0.000184262    
0.848759       0.00546366     0.000187729    
0.85651        0.005354       0.000185836    
0.864261       0.00565717     0.000191025    
0.872012       0.00550881     0.000188504    
0.879763       0.00574103     0.000192436    
0.887515       0.00585069     0.000194265    
0.895266       0.00664412     0.000207018    
0.903017       0.00563137     0.000190589    
0.910768       0.00606356     0.000197767    
0.91852        0.00580554     0.000193514    
0.926271       0.00636674     0.000202651    
0.934022       0.00597325     0.000196289    
0.941773       0.00644415     0.000203879    
0.949524       0.00658606     0.000206111    
0.957276       0.00630223     0.000201621    
0.965027       0.00666992     0.00020762     
0.972778       0.00630868     0.000201725    
0.980529       0.00677313     0.000209018    
0.988281       0.00699245     0.000212375    
0.996032       0.00658606     0.000206313    
1.00378        0.00663766     0.000206917    
1.01153        0.00674732     0.000208619    
