pT (GeV)       dN/dpt         error          
0.00393827     0.0175521      0.000333774    
0.0118148      0.0541481      0.000586297    
0.0196914      0.0885922      0.000750034    
0.0275679      0.125633       0.000893044    
0.0354444      0.159004       0.001005       
0.043321       0.192496       0.00110568     
0.0511975      0.229606       0.00120672     
0.0590741      0.26438        0.0012955      
0.0669506      0.299954       0.00137966     
0.0748272      0.334595       0.00145752     
0.0827037      0.365109       0.00152222     
0.0905803      0.402226       0.00159712     
0.0984568      0.432576       0.00165671     
0.106333       0.469717       0.0017265      
0.11421        0.502644       0.00178598     
0.122086       0.532359       0.00183867     
0.129963       0.562696       0.00188964     
0.13784        0.59403        0.00194175     
0.145716       0.629711       0.00199991     
0.153593       0.661318       0.00204898     
0.161469       0.688646       0.00209081     
0.169346       0.722766       0.00214183     
0.177222       0.751738       0.00218417     
0.185099       0.780622       0.0022261      
0.192975       0.810844       0.00226846     
0.200852       0.83263        0.00229892     
0.208728       0.861742       0.00233856     
0.216605       0.884563       0.00236983     
0.224482       0.912678       0.002407       
0.232358       0.937404       0.0024391      
0.240235       0.960834       0.00246985     
0.248111       0.992021       0.00251032     
0.255988       1.01211        0.0025348      
0.263864       1.03142        0.00255832     
0.271741       1.05739        0.00259099     
0.279617       1.0774         0.00261554     
0.287494       1.09745        0.00263961     
0.29537        1.1172         0.00266281     
0.303247       1.13813        0.00268807     
0.311123       1.15999        0.00271339     
0.319          1.17296        0.00272861     
0.326877       1.19139        0.00275061     
0.334753       1.20758        0.00276867     
0.34263        1.22726        0.00279076     
0.350506       1.24296        0.0028085      
0.358383       1.25299        0.0028204      
0.366259       1.27138        0.00284054     
0.374136       1.28324        0.00285482     
0.382012       1.28881        0.00286049     
0.389889       1.30816        0.00288274     
0.397765       1.31659        0.00289086     
0.405642       1.32762        0.00290253     
0.413519       1.34209        0.00291902     
0.421395       1.34277        0.00291994     
0.429272       1.35171        0.00292978     
0.437148       1.36634        0.00294525     
0.445025       1.36796        0.00294778     
0.452901       1.38751        0.00296762     
0.460778       1.38194        0.00296322     
0.468654       1.38082        0.00296071     
0.476531       1.39162        0.00297262     
0.484407       1.39797        0.00297945     
0.492284       1.3951         0.00297583     
0.500161       1.40221        0.00298408     
0.508037       1.4014         0.00298237     
0.515914       1.40433        0.0029847      
0.52379        1.40623        0.00298773     
0.531667       1.41071        0.0029925      
0.539543       1.40824        0.00298981     
0.54742        1.41037        0.00299148     
0.555296       1.40357        0.00298477     
0.563173       1.40284        0.00298458     
0.571049       1.4048         0.00298734     
0.578926       1.3969         0.00297808     
0.586803       1.39488        0.00297528     
0.594679       1.38993        0.00297104     
0.602556       1.39002        0.0029693      
0.610432       1.37981        0.00295913     
0.618309       1.3801         0.00296072     
0.626185       1.37197        0.00295112     
0.634062       1.36518        0.00294352     
0.641938       1.35628        0.00293418     
0.649815       1.35586        0.00293355     
0.657691       1.34696        0.00292371     
0.665568       1.34619        0.00292348     
0.673445       1.33187        0.00290764     
0.681321       1.32177        0.00289672     
0.689198       1.31764        0.00289222     
0.697074       1.31246        0.00288622     
0.704951       1.3028         0.00287543     
0.712827       1.2942         0.00286624     
0.720704       1.28194        0.00285238     
0.72858        1.27411        0.00284378     
0.736457       1.26393        0.00283275     
0.744333       1.25101        0.00281786     
0.75221        1.24397        0.00280993     
0.760086       1.23136        0.00279554     
0.767963       1.22027        0.00278302     
0.77584        1.20919        0.00277063     
0.783716       1.20335        0.00276382     
0.791593       1.18369        0.0027407      
0.799469       1.18197        0.00273916     
0.807346       1.16802        0.00272294     
0.815222       1.15297        0.00270514     
0.823099       1.14281        0.00269387     
0.830975       1.12826        0.00267632     
0.838852       1.11889        0.00266431     
0.846728       1.11115        0.00265493     
0.854605       1.09758        0.00263965     
0.862482       1.08707        0.0026271      
0.870358       1.07208        0.00260871     
0.878235       1.06353        0.00259818     
0.886111       1.04868        0.00258022     
0.893988       1.03925        0.0025686      
0.901864       1.02669        0.00255309     
0.909741       1.017          0.00254094     
0.917617       1.00698        0.00252836     
0.925494       0.989292       0.00250575     
0.93337        0.97325        0.00248595     
0.941247       0.964605       0.00247501     
0.949124       0.949255       0.00245495     
0.957          0.939117       0.00244156     
0.964877       0.929608       0.00242973     
0.972753       0.917699       0.00241309     
0.98063        0.902382       0.0023933      
0.988506       0.890809       0.00237785     
0.996383       0.881478       0.00236575     
1.00426        0.867989       0.0023466      
1.01214        0.84871        0.00232126     
1.02001        0.843333       0.00231411     
1.02789        0.829323       0.00229486     
1.03577        0.814818       0.0022743      
1.04364        0.812736       0.0022718      
1.05152        0.792689       0.00224283     
1.0594         0.780387       0.00222618     
1.06727        0.772547       0.00221466     
1.07515        0.760391       0.00219722     
1.08302        0.747079       0.00217806     
1.0909         0.737843       0.00216445     
1.09878        0.724817       0.00214528     
1.10665        0.712          0.00212583     
1.11453        0.703138       0.00211232     
1.12241        0.693204       0.00209751     
1.13028        0.682057       0.00208105     
1.13816        0.67103        0.00206373     
1.14604        0.655916       0.00204078     
1.15391        0.649771       0.00203112     
1.16179        0.640852       0.00201724     
1.16967        0.630137       0.00200028     
1.17754        0.615143       0.00197631     
1.18542        0.604935       0.00195943     
1.1933         0.596404       0.00194609     
1.20117        0.584603       0.00192636     
1.20905        0.578845       0.00191734     
1.21693        0.569406       0.00190141     
1.2248         0.554602       0.0018765      
1.23268        0.54715        0.0018637      
1.24056        0.536834       0.00184601     
1.24843        0.532943       0.00183903     
1.25631        0.521314       0.001819       
1.26419        0.509494       0.0017984      
1.27206        0.502454       0.00178596     
1.27994        0.491688       0.00176622     
1.28781        0.482597       0.00175007     
1.29569        0.474751       0.00173568     
1.30357        0.464436       0.00171714     
1.31144        0.459434       0.00170763     
1.31932        0.452261       0.00169408     
1.3272         0.441539       0.00167416     
1.33507        0.434747       0.00166086     
1.34295        0.42803        0.00164862     
1.35083        0.419772       0.00163223     
1.3587         0.409558       0.00161253     
1.36658        0.402886       0.00159928     
1.37446        0.393294       0.00157981     
1.38233        0.385677       0.00156456     
1.39021        0.382452       0.00155799     
1.39809        0.372568       0.00153787     
1.40596        0.366728       0.00152584     
1.41384        0.358381       0.00150821     
1.42172        0.350566       0.00149141     
1.42959        0.345958       0.00148198     
1.43747        0.339629       0.00146835     
1.44535        0.330843       0.0014489      
1.45322        0.324673       0.00143567     
1.4611         0.31903        0.00142348     
1.46898        0.312244       0.00140797     
1.47685        0.303382       0.00138795     
1.48473        0.299046       0.00137787     
1.49261        0.295586       0.00136989     
1.50048        0.291308       0.00135975     
1.50836        0.283595       0.00134162     
1.51623        0.276416       0.00132451     
1.52411        0.270042       0.00130909     
1.53199        0.266652       0.0013015      
1.53986        0.260197       0.0012851      
1.54774        0.254864       0.00127191     
1.55562        0.249862       0.00125929     
1.56349        0.243438       0.00124328     
1.57137        0.239826       0.00123393     
1.57925        0.236754       0.0012259      
1.58712        0.228622       0.00120444     
1.595          0.224127       0.00119296     
1.60288        0.222229       0.00118798     
1.61075        0.216288       0.0011715      
1.61863        0.211101       0.00115776     
1.62651        0.2094         0.00115297     
1.63438        0.202659       0.00113417     
1.64226        0.198374       0.00112216     
1.65014        0.193746       0.00110925     
1.65801        0.190229       0.00109895     
1.66589        0.186687       0.00108889     
1.67377        0.18218        0.00107545     
1.68164        0.177908       0.00106284     
1.68952        0.176004       0.00105711     
1.6974         0.170455       0.00104006     
1.70527        0.168297       0.00103362     
1.71315        0.162197       0.00101449     
1.72102        0.162006       0.00101425     
1.7289         0.156826       0.000997468    
1.73678        0.152211       0.00098312     
1.74465        0.150072       0.000975916    
1.75253        0.147571       0.00096785     
1.76041        0.144981       0.000959381    
1.76828        0.139331       0.000940247    
1.77616        0.138811       0.000938449    
1.78404        0.134386       0.000923658    
1.79191        0.131562       0.000913611    
1.79979        0.127638       0.000900131    
1.80767        0.124769       0.000890248    
1.81554        0.121367       0.000877736    
1.82342        0.119037       0.000869101    
1.8313         0.117964       0.000865321    
1.83917        0.114359       0.000852018    
1.84705        0.112435       0.000844692    
1.85493        0.110061       0.000835836    
1.8628         0.108715       0.000830767    
1.87068        0.105078       0.00081648     
1.87856        0.101872       0.000804243    
1.88643        0.101225       0.000801737    
1.89431        0.100006       0.000796905    
1.90219        0.0968001      0.000783951    
1.91006        0.0948132      0.000775721    
1.91794        0.090852       0.000759312    
1.92582        0.0906489      0.000758623    
1.93369        0.0876463      0.000745972    
1.94157        0.0852214      0.000735378    
1.94944        0.0832789      0.000727289    
1.95732        0.081419       0.000718744    
1.9652         0.078994       0.000708253    
1.97307        0.0791527      0.000708906    
1.98095        0.0756994      0.000693292    
1.98883        0.0751408      0.000690616    
1.9967         0.0725762      0.000678919    
2.00458        0.0702148      0.00066768     
2.01246        0.0683422      0.000658544    
2.02033        0.0672567      0.00065342     
2.02821        0.0660505      0.00064779     
2.03609        0.0639684      0.000637265    
2.04396        0.0633654      0.00063413     
2.05184        0.0626226      0.000630533    
2.05972        0.0597915      0.000616131    
2.06759        0.0587821      0.000610848    
2.07547        0.0573475      0.000603288    
2.08335        0.0556653      0.000594311    
2.09122        0.0532594      0.000581401    
2.0991         0.0537545      0.000584027    
2.10698        0.052961       0.000579841    
2.11485        0.0514248      0.000571377    
2.12273        0.0498442      0.000562464    
2.13061        0.0492284      0.000559197    
2.13848        0.0473748      0.00054829     
2.14636        0.0466194      0.000544125    
2.15423        0.0459148      0.000539778    
2.16211        0.0438771      0.000527668    
2.16999        0.0434772      0.000525566    
2.17786        0.0421378      0.000517185    
2.18574        0.0410269      0.000510327    
2.19362        0.0396176      0.000501411    
2.20149        0.0396748      0.000502013    
2.20937        0.0394589      0.000500406    
2.21725        0.0375609      0.000488308    
2.22512        0.0367547      0.00048296     
2.233          0.0355803      0.000475183    
2.24088        0.0347995      0.000470028    
2.24875        0.0342155      0.00046607     
2.25663        0.0329396      0.000457391    
2.26451        0.0325841      0.000454741    
2.27238        0.0314986      0.000447104    
2.28026        0.0311114      0.000444439    
2.28814        0.0310161      0.000443759    
2.29601        0.0285468      0.000425644    
2.30389        0.028077       0.000422129    
2.31177        0.0274168      0.000417137    
2.31964        0.0275184      0.000417909    
2.32752        0.0264456      0.000409684    
2.3354         0.0257918      0.000404589    
2.34327        0.0262234      0.00040796     
2.35115        0.0252395      0.000400335    
2.35902        0.0239191      0.00038973     
2.3669         0.023735       0.000388125    
2.37478        0.0232589      0.000384213    
2.38265        0.0219005      0.000372826    
2.39053        0.0218243      0.000372286    
2.39841        0.0222052      0.00037541     
2.40628        0.0207769      0.000363249    
2.41416        0.020415       0.000359963    
2.42204        0.0196025      0.000352842    
2.42991        0.0195708      0.000352442    
2.43779        0.0187392      0.000344874    
2.44567        0.0183393      0.000341175    
2.45354        0.0178886      0.000336957    
2.46142        0.0172918      0.00033129     
2.4693         0.0170697      0.0003294      
2.47717        0.0167205      0.000325772    
2.48505        0.0163397      0.000322041    
2.49293        0.0155144      0.000313804    
2.5008         0.015616       0.000314829    
2.50868        0.0150891      0.000309473    
2.51656        0.0145241      0.000303625    
2.52443        0.0143972      0.000302428    
2.53231        0.0138893      0.000296916    
2.54019        0.0132863      0.0002904      
2.54806        0.0133434      0.000291023    
2.55594        0.0130958      0.000288311    
2.56382        0.0123849      0.000280377    
2.57169        0.0125563      0.00028231     
2.57957        0.0119976      0.000275959    
2.58744        0.0115279      0.000270652    
2.59532        0.0118834      0.000274642    
2.6032         0.011439       0.000269459    
2.61107        0.0106138      0.000259558    
2.61895        0.0107027      0.000260642    
2.62683        0.0104614      0.000257688    
