p (GeV)        dN/dp          error          
0.005225       0              0              
0.015675       0              0              
0.026125       0              0              
0.036575       0              0              
0.047025       0              0              
0.057475       0              0              
0.067925       0              0              
0.078375       0              0              
0.088825       0              0              
0.099275       0              0              
0.109725       0              0              
0.120175       0              0              
0.130625       0              0              
0.141075       0              0              
0.151525       0              0              
0.161975       0              0              
0.172425       0              0              
0.182875       0              0              
0.193325       0              0              
0.203775       0              0              
0.214225       0              0              
0.224675       0              0              
0.235125       0              0              
0.245575       0              0              
0.256025       0              0              
0.266475       0              0              
0.276925       0              0              
0.287375       0              0              
0.297825       0              0              
0.308275       0              0              
0.318725       0              0              
0.329175       0              0              
0.339625       0              0              
0.350075       0              0              
0.360525       0              0              
0.370975       0              0              
0.381425       0              0              
0.391875       0              0              
0.402325       0              0              
0.412775       4.78469e-06    4.78469e-06    
0.423225       0              0              
0.433675       0              0              
0.444125       0              0              
0.454575       0              0              
0.465025       0              0              
0.475475       0              0              
0.485925       0              0              
0.496375       0              0              
0.506825       0              0              
0.517275       0              0              
0.527725       0              0              
0.538175       0              0              
0.548625       0              0              
0.559075       0              0              
0.569525       0              0              
0.579975       0              0              
0.590425       0              0              
0.600875       0              0              
0.611325       0              0              
0.621775       0              0              
0.632225       0              0              
0.642675       0              0              
0.653125       0              0              
0.663575       0              0              
0.674025       0              0              
0.684475       0              0              
0.694925       0              0              
0.705375       0              0              
0.715825       0              0              
0.726275       0              0              
0.736725       0              0              
0.747175       0              0              
0.757625       0              0              
0.768075       0              0              
0.778525       0              0              
0.788975       0              0              
0.799425       0              0              
0.809875       0              0              
0.820325       0              0              
0.830775       0              0              
0.841225       0              0              
0.851675       4.78469e-06    4.78469e-06    
0.862125       0              0              
0.872575       0              0              
0.883025       0              0              
0.893475       0              0              
0.903925       0              0              
0.914375       0              0              
0.924825       0              0              
0.935275       0              0              
0.945725       0              0              
0.956175       0              0              
0.966625       0              0              
0.977075       0              0              
0.987525       0              0              
0.997975       0              0              
1.00842        0              0              
1.01887        0              0              
1.02933        0              0              
1.03977        0              0              
1.05022        0              0              
1.06068        0              0              
1.07112        0              0              
1.08157        0              0              
1.09203        4.78469e-06    4.78469e-06    
1.10247        0              0              
1.11292        0              0              
1.12338        0              0              
1.13382        0              0              
1.14427        0              0              
1.15473        4.78469e-06    4.78469e-06    
1.16517        0              0              
1.17562        0              0              
1.18607        0              0              
1.19652        0              0              
1.20697        0              0              
1.21742        4.78469e-06    4.78469e-06    
1.22788        4.78469e-06    4.78469e-06    
1.23832        4.78469e-06    4.78469e-06    
1.24877        0              0              
1.25923        0              0              
1.26967        0              0              
1.28012        4.78469e-06    4.78469e-06    
1.29058        0              0              
1.30102        0              0              
1.31147        0              0              
1.32193        0              0              
1.33237        0              0              
1.34282        0              0              
1.35328        0              0              
1.36372        0              0              
1.37417        4.78469e-06    4.78469e-06    
1.38462        0              0              
1.39507        4.78469e-06    4.78469e-06    
1.40552        0              0              
1.41597        0              0              
1.42642        0              0              
1.43687        4.78469e-06    4.78469e-06    
1.44732        0              0              
1.45777        0              0              
1.46822        0              0              
1.47867        4.78469e-06    4.78469e-06    
1.48913        4.78469e-06    4.78469e-06    
1.49957        0              0              
1.51002        0              0              
1.52048        0              0              
1.53092        0              0              
1.54137        0              0              
1.55183        0              0              
1.56227        0              0              
1.57272        4.78469e-06    4.78469e-06    
1.58317        0              0              
1.59362        0              0              
1.60407        4.78469e-06    4.78469e-06    
1.61452        0              0              
1.62497        0              0              
1.63542        0              0              
