p (GeV)        dN/dp          error          
0.00293827     4.2542e-05     1.90254e-05    
0.00881482     0.00016166     3.70872e-05    
0.0146914      0.000536029    6.75332e-05    
0.0205679      0.00130179     0.000105243    
0.0264444      0.00205903     0.000132359    
0.032321       0.00273971     0.000152677    
0.0381975      0.00403298     0.000185239    
0.0440741      0.00522416     0.000210827    
0.0499506      0.00635578     0.000232541    
0.0558272      0.00843183     0.000267839    
0.0617037      0.0105504      0.000299602    
0.0675803      0.0122436      0.000322747    
0.0734568      0.0139963      0.000345075    
0.0793333      0.0165063      0.000374738    
0.0852099      0.0199862      0.000412348    
0.0910864      0.021237       0.000425053    
0.096963       0.0246233      0.000457684    
0.10284        0.02835        0.000491241    
0.108716       0.0305962      0.000510316    
0.114593       0.0331658      0.000531298    
0.120469       0.037939       0.000568092    
0.126346       0.0412658      0.00059247     
0.132222       0.0453158      0.000620972    
0.138099       0.0494934      0.000648835    
0.143975       0.0539688      0.000677527    
0.149852       0.0573807      0.000698815    
0.155728       0.0600013      0.000714479    
0.161605       0.0682884      0.000762097    
0.167482       0.0706453      0.000775131    
0.173358       0.0762183      0.000805202    
0.179235       0.0809404      0.000829754    
0.185111       0.0848288      0.000849607    
0.190988       0.0907676      0.000878894    
0.196864       0.0960343      0.00090392     
0.202741       0.100561       0.000924798    
0.208617       0.104841       0.00094441     
0.214494       0.111724       0.000975034    
0.22037        0.116778       0.000996958    
0.226247       0.122198       0.00101951     
0.232123       0.128085       0.00104389     
0.238          0.134492       0.00106951     
0.243877       0.138993       0.00108763     
0.249753       0.146455       0.00111659     
0.25563        0.150718       0.00113249     
0.261506       0.159941       0.00116644     
0.267383       0.163727       0.00118075     
0.273259       0.170508       0.00120447     
0.279136       0.177077       0.00122758     
0.285012       0.183297       0.00124879     
0.290889       0.187602       0.00126334     
0.296765       0.193634       0.0012839      
0.302642       0.202491       0.00131274     
0.308519       0.210038       0.00133659     
0.314395       0.213518       0.00134803     
0.320272       0.220104       0.00136865     
0.326148       0.227149       0.00139042     
0.332025       0.233675       0.00140999     
0.337901       0.241179       0.00143214     
0.343778       0.244472       0.00144246     
0.349654       0.250504       0.0014596      
0.355531       0.258587       0.001483       
0.361407       0.265454       0.00150275     
0.367284       0.27055        0.00151668     
0.373161       0.273281       0.00152496     
0.379037       0.279722       0.00154277     
0.384914       0.287227       0.00156289     
0.39079        0.29685        0.00158991     
0.396667       0.301802       0.00160288     
0.402543       0.305052       0.0016111      
0.40842        0.310182       0.00162449     
0.414296       0.317474       0.00164345     
0.420173       0.321516       0.0016538      
0.426049       0.326995       0.00166817     
0.431926       0.333683       0.0016855      
0.437803       0.339383       0.00169905     
0.443679       0.345747       0.00171523     
0.449556       0.351491       0.00172965     
0.455432       0.35691        0.00174271     
0.461309       0.36296        0.0017576      
0.467185       0.367257       0.00176788     
0.473062       0.372583       0.00178044     
0.478938       0.37625        0.00178922     
0.484815       0.381347       0.00180108     
0.490691       0.389013       0.00181918     
0.496568       0.394858       0.00183317     
0.502445       0.396806       0.0018375      
0.508321       0.400873       0.00184732     
0.514198       0.404864       0.00185594     
0.520074       0.408293       0.00186394     
0.525951       0.414836       0.0018792      
0.531827       0.418111       0.00188615     
0.537704       0.421353       0.00189322     
0.54358        0.424152       0.00190027     
0.549457       0.428747       0.00190994     
0.555333       0.434354       0.00192229     
0.56121        0.437715       0.00192979     
0.567086       0.44293        0.00194097     
0.572963       0.445874       0.00194764     
0.57884        0.446589       0.00194926     
0.584716       0.452656       0.00196165     
0.590593       0.452511       0.00196256     
0.596469       0.456442       0.00197083     
0.602346       0.456323       0.00197054     
0.608222       0.463027       0.00198463     
0.614099       0.464295       0.00198777     
0.619975       0.469051       0.0019979      
0.625852       0.472072       0.00200371     
0.631728       0.474973       0.00201022     
0.637605       0.47294        0.00200576     
0.643482       0.476249       0.00201272     
0.649358       0.479746       0.0020206      
0.655235       0.484239       0.00202948     
0.661111       0.4848         0.00203058     
0.666988       0.485855       0.00203328     
0.672864       0.48349        0.00202789     
0.678741       0.486272       0.00203375     
0.684617       0.489344       0.00204102     
0.690494       0.48971        0.00204149     
0.69637        0.492534       0.0020468      
0.702247       0.492756       0.0020474      
0.708124       0.493538       0.00204898     
0.714          0.498541       0.00205939     
0.719877       0.500243       0.00206302     
0.725753       0.495717       0.00205355     
0.73163        0.496499       0.00205488     
0.737506       0.494576       0.00205134     
0.743383       0.498916       0.0020603      
0.749259       0.49952        0.0020615      
0.755136       0.496797       0.00205616     
0.761012       0.496397       0.00205541     
0.766889       0.497214       0.00205712     
0.772766       0.497878       0.00205845     
0.778642       0.497461       0.00205766     
0.784519       0.49969        0.00206147     
0.790395       0.49792        0.00205847     
0.796272       0.49655        0.00205505     
0.802148       0.495563       0.00205344     
0.808025       0.498278       0.00205934     
0.813901       0.499826       0.0020622      
0.819778       0.4957         0.00205376     
0.825654       0.49558        0.0020532      
0.831531       0.493045       0.00204878     
0.837408       0.492075       0.002046       
0.843284       0.490458       0.00204325     
0.849161       0.484409       0.00202984     
0.855037       0.481388       0.00202428     
0.860914       0.485762       0.00203297     
0.86679        0.487302       0.00203625     
0.872667       0.481958       0.00202497     
0.878543       0.48172        0.00202412     
0.88442        0.482052       0.00202531     
0.890296       0.479074       0.0020189      
0.896173       0.476377       0.00201335     
0.90205        0.47499        0.00201011     
0.907926       0.47379        0.00200748     
0.913803       0.472131       0.00200452     
0.919679       0.470693       0.00200105     
0.925556       0.466882       0.00199326     
0.931432       0.467247       0.00199353     
0.937309       0.463521       0.00198561     
0.943185       0.460798       0.00197994     
0.949062       0.455778       0.00196974     
0.954938       0.455276       0.00196807     
0.960815       0.456399       0.00197059     
