pT (GeV)       dN/dpt         error          
0.006225       0              0              
0.018675       0              0              
0.031125       0              0              
0.043575       0              0              
0.056025       0              0              
0.068475       0              0              
0.080925       0              0              
0.093375       0              0              
0.105825       0              0              
0.118275       0              0              
0.130725       0              0              
0.143175       0              0              
0.155625       0              0              
0.168075       0              0              
0.180525       0              0              
0.192975       0              0              
0.205425       0              0              
0.217875       0              0              
0.230325       0              0              
0.242775       0              0              
0.255225       0              0              
0.267675       0              0              
0.280125       0              0              
0.292575       0              0              
0.305025       0              0              
0.317475       0              0              
0.329925       0              0              
0.342375       0              0              
0.354825       0              0              
0.367275       0              0              
0.379725       0              0              
0.392175       4.01606e-06    4.01606e-06    
0.404625       0              0              
0.417075       0              0              
0.429525       0              0              
0.441975       0              0              
0.454425       0              0              
0.466875       0              0              
0.479325       4.01606e-06    4.01606e-06    
0.491775       0              0              
0.504225       0              0              
0.516675       0              0              
0.529125       0              0              
0.541575       0              0              
0.554025       4.01606e-06    4.01606e-06    
0.566475       0              0              
0.578925       0              0              
0.591375       0              0              
0.603825       0              0              
0.616275       0              0              
0.628725       0              0              
0.641175       0              0              
0.653625       0              0              
0.666075       0              0              
0.678525       0              0              
0.690975       0              0              
0.703425       0              0              
0.715875       0              0              
0.728325       4.01606e-06    4.01606e-06    
0.740775       0              0              
0.753225       0              0              
0.765675       4.01606e-06    4.01606e-06    
0.778125       0              0              
0.790575       4.01606e-06    4.01606e-06    
0.803025       0              0              
0.815475       4.01606e-06    4.01606e-06    
0.827925       0              0              
0.840375       0              0              
0.852825       0              0              
0.865275       0              0              
0.877725       0              0              
0.890175       0              0              
0.902625       0              0              
0.915075       0              0              
0.927525       0              0              
0.939975       4.01606e-06    4.01606e-06    
0.952425       0              0              
0.964875       0              0              
0.977325       0              0              
0.989775       0              0              
1.00222        0              0              
1.01467        0              0              
1.02712        0              0              
1.03957        0              0              
1.05202        0              0              
1.06447        0              0              
1.07692        0              0              
1.08937        0              0              
1.10182        0              0              
1.11427        0              0              
1.12672        0              0              
1.13917        0              0              
1.15162        0              0              
1.16407        0              0              
1.17652        0              0              
1.18897        0              0              
1.20142        0              0              
1.21387        0              0              
1.22632        4.01606e-06    4.01606e-06    
1.23877        0              0              
1.25122        0              0              
1.26367        4.01606e-06    4.01606e-06    
1.27612        0              0              
1.28857        4.01606e-06    4.01606e-06    
1.30102        0              0              
1.31347        0              0              
1.32592        0              0              
1.33837        4.01606e-06    4.01606e-06    
1.35082        0              0              
1.36327        0              0              
1.37572        0              0              
1.38817        4.01606e-06    4.01606e-06    
1.40062        0              0              
1.41307        0              0              
1.42552        0              0              
1.43797        4.01606e-06    4.01606e-06    
1.45042        4.01606e-06    4.01606e-06    
1.46287        0              0              
1.47532        4.01606e-06    4.01606e-06    
1.48777        0              0              
1.50022        0              0              
1.51267        0              0              
