y              pT (GeV/c)     d2N/dpTdy      error          
-2.925         0.025          0              0              
-2.925         0.075          0              0              
-2.925         0.125          0              0              
-2.925         0.175          0              0              
-2.925         0.225          0              0              
-2.925         0.275          0              0              
-2.925         0.325          0              0              
-2.925         0.375          0              0              
-2.925         0.425          0              0              
-2.925         0.475          0              0              
-2.925         0.525          0              0              
-2.925         0.575          0              0              
-2.925         0.625          0              0              
-2.925         0.675          0              0              
-2.925         0.725          0              0              
-2.925         0.775          0              0              
-2.925         0.825          0              0              
-2.925         0.875          0              0              
-2.925         0.925          0              0              
-2.925         0.975          0              0              
-2.925         1.025          0              0              
-2.925         1.075          0              0              
-2.925         1.125          0              0              
-2.925         1.175          0              0              
-2.925         1.225          0              0              
-2.925         1.275          0              0              
-2.925         1.325          0              0              
-2.925         1.375          0              0              
-2.925         1.425          0              0              
-2.925         1.475          0              0              
-2.925         1.525          0              0              
-2.925         1.575          0              0              
-2.925         1.625          0              0              
-2.925         1.675          0              0              
-2.925         1.725          0              0              
-2.925         1.775          0              0              
-2.925         1.825          0              0              
-2.925         1.875          0              0              
-2.925         1.925          0              0              
-2.925         1.975          0              0              
-2.775         0.025          0              0              
-2.775         0.075          0              0              
-2.775         0.125          0              0              
-2.775         0.175          0              0              
-2.775         0.225          0              0              
-2.775         0.275          0              0              
-2.775         0.325          0              0              
-2.775         0.375          0              0              
-2.775         0.425          0              0              
-2.775         0.475          0              0              
-2.775         0.525          0              0              
-2.775         0.575          0              0              
-2.775         0.625          0              0              
-2.775         0.675          0              0              
-2.775         0.725          0              0              
-2.775         0.775          0              0              
-2.775         0.825          0              0              
-2.775         0.875          0              0              
-2.775         0.925          0              0              
-2.775         0.975          0              0              
-2.775         1.025          0              0              
-2.775         1.075          0              0              
-2.775         1.125          0              0              
-2.775         1.175          0              0              
-2.775         1.225          0              0              
-2.775         1.275          0              0              
-2.775         1.325          0              0              
-2.775         1.375          0              0              
-2.775         1.425          0              0              
-2.775         1.475          0              0              
-2.775         1.525          0              0              
-2.775         1.575          0              0              
-2.775         1.625          0              0              
-2.775         1.675          0              0              
-2.775         1.725          0              0              
-2.775         1.775          0              0              
-2.775         1.825          0              0              
-2.775         1.875          0              0              
-2.775         1.925          0              0              
-2.775         1.975          0              0              
-2.625         0.025          0              0              
-2.625         0.075          0              0              
-2.625         0.125          0              0              
-2.625         0.175          0              0              
-2.625         0.225          0              0              
-2.625         0.275          0              0              
-2.625         0.325          0              0              
-2.625         0.375          0              0              
-2.625         0.425          0              0              
-2.625         0.475          0              0              
-2.625         0.525          0              0              
-2.625         0.575          0              0              
-2.625         0.625          0              0              
-2.625         0.675          0              0              
-2.625         0.725          0              0              
-2.625         0.775          0              0              
-2.625         0.825          0              0              
-2.625         0.875          0              0              
-2.625         0.925          0              0              
-2.625         0.975          0              0              
-2.625         1.025          0              0              
-2.625         1.075          0              0              
-2.625         1.125          0              0              
-2.625         1.175          0              0              
-2.625         1.225          0              0              
-2.625         1.275          0              0              
-2.625         1.325          0              0              
-2.625         1.375          0              0              
-2.625         1.425          0              0              
-2.625         1.475          0              0              
-2.625         1.525          0              0              
-2.625         1.575          0              0              
-2.625         1.625          0              0              
-2.625         1.675          0              0              
-2.625         1.725          0              0              
-2.625         1.775          0              0              
-2.625         1.825          0              0              
-2.625         1.875          0              0              
-2.625         1.925          0              0              
-2.625         1.975          0              0              
-2.475         0.025          0              0              
-2.475         0.075          0              0              
-2.475         0.125          0              0              
-2.475         0.175          0              0              
-2.475         0.225          0              0              
-2.475         0.275          0              0              
-2.475         0.325          0              0              
-2.475         0.375          0              0              
-2.475         0.425          0              0              
-2.475         0.475          0              0              
-2.475         0.525          0              0              
-2.475         0.575          0              0              
-2.475         0.625          0              0              
-2.475         0.675          0              0              
-2.475         0.725          0              0              
-2.475         0.775          0              0              
-2.475         0.825          0              0              
-2.475         0.875          0              0              
-2.475         0.925          0              0              
-2.475         0.975          0              0              
-2.475         1.025          0              0              
-2.475         1.075          0              0              
-2.475         1.125          0              0              
-2.475         1.175          0              0              
-2.475         1.225          0              0              
-2.475         1.275          0              0              
-2.475         1.325          0              0              
-2.475         1.375          0              0              
-2.475         1.425          0              0              
-2.475         1.475          0              0              
-2.475         1.525          0              0              
-2.475         1.575          0              0              
-2.475         1.625          0              0              
-2.475         1.675          0              0              
-2.475         1.725          0              0              
-2.475         1.775          0              0              
-2.475         1.825          0              0              
-2.475         1.875          0              0              
-2.475         1.925          0              0              
-2.475         1.975          0              0              
-2.325         0.025          0              0              
-2.325         0.075          0              0              
-2.325         0.125          0              0              
-2.325         0.175          0              0              
-2.325         0.225          0              0              
-2.325         0.275          0              0              
-2.325         0.325          0              0              
-2.325         0.375          0              0              
-2.325         0.425          0              0              
-2.325         0.475          0              0              
-2.325         0.525          0              0              
-2.325         0.575          0              0              
-2.325         0.625          0              0              
-2.325         0.675          0              0              
-2.325         0.725          0              0              
-2.325         0.775          0              0              
-2.325         0.825          0              0              
-2.325         0.875          0              0              
-2.325         0.925          0              0              
-2.325         0.975          0              0              
-2.325         1.025          0              0              
-2.325         1.075          0              0              
-2.325         1.125          0              0              
-2.325         1.175          0              0              
-2.325         1.225          0              0              
-2.325         1.275          0              0              
-2.325         1.325          0              0              
-2.325         1.375          0              0              
-2.325         1.425          0              0              
-2.325         1.475          0              0              
-2.325         1.525          0              0              
-2.325         1.575          0              0              
-2.325         1.625          0              0              
-2.325         1.675          0              0              
-2.325         1.725          0              0              
-2.325         1.775          0              0              
-2.325         1.825          0              0              
-2.325         1.875          0              0              
-2.325         1.925          0              0              
-2.325         1.975          0              0              
-2.175         0.025          0              0              
-2.175         0.075          0              0              
-2.175         0.125          0              0              
-2.175         0.175          0              0              
-2.175         0.225          0              0              
-2.175         0.275          0              0              
-2.175         0.325          0              0              
-2.175         0.375          0              0              
-2.175         0.425          0              0              
-2.175         0.475          0              0              
-2.175         0.525          0              0              
-2.175         0.575          0              0              
-2.175         0.625          0              0              
-2.175         0.675          0              0              
-2.175         0.725          0              0              
-2.175         0.775          0              0              
-2.175         0.825          0              0              
-2.175         0.875          0              0              
-2.175         0.925          0              0              
-2.175         0.975          0              0              
-2.175         1.025          0              0              
-2.175         1.075          0              0              
-2.175         1.125          0              0              
-2.175         1.175          0              0              
-2.175         1.225          0              0              
-2.175         1.275          0              0              
-2.175         1.325          0              0              
-2.175         1.375          0              0              
-2.175         1.425          0              0              
-2.175         1.475          0              0              
-2.175         1.525          0              0              
-2.175         1.575          0              0              
-2.175         1.625          0              0              
-2.175         1.675          0              0              
-2.175         1.725          0              0              
-2.175         1.775          0              0              
-2.175         1.825          0              0              
-2.175         1.875          0              0              
-2.175         1.925          0              0              
-2.175         1.975          0              0              
-2.025         0.025          0              0              
-2.025         0.075          0              0              
-2.025         0.125          0              0              
-2.025         0.175          0              0              
-2.025         0.225          0              0              
-2.025         0.275          0              0              
-2.025         0.325          0              0              
-2.025         0.375          0              0              
-2.025         0.425          0              0              
-2.025         0.475          0              0              
-2.025         0.525          0              0              
-2.025         0.575          0              0              
-2.025         0.625          0              0              
-2.025         0.675          0              0              
-2.025         0.725          0              0              
-2.025         0.775          0              0              
-2.025         0.825          0              0              
-2.025         0.875          0              0              
-2.025         0.925          0              0              
-2.025         0.975          0              0              
-2.025         1.025          0              0              
-2.025         1.075          0              0              
-2.025         1.125          0              0              
-2.025         1.175          0              0              
-2.025         1.225          0              0              
-2.025         1.275          0              0              
-2.025         1.325          0              0              
-2.025         1.375          0              0              
-2.025         1.425          0              0              
-2.025         1.475          0              0              
-2.025         1.525          0              0              
-2.025         1.575          0              0              
-2.025         1.625          0              0              
-2.025         1.675          0              0              
-2.025         1.725          0              0              
-2.025         1.775          0              0              
-2.025         1.825          0              0              
-2.025         1.875          0              0              
-2.025         1.925          0              0              
-2.025         1.975          0              0              
-1.875         0.025          0              0              
-1.875         0.075          0              0              
