mt-m0 (GeV)    dN/mtdmt       error          
0.002          0              0              
0.006          0              0              
0.01           3.86399e-06    0              
0.014          0              0              
0.018          0              0              
0.022          0              0              
0.026          0              0              
0.03           0              0              
0.034          0              0              
0.038          0              0              
0.042          0              0              
0.046          0              0              
0.05           0              0              
0.054          3.81214e-06    0              
0.058          0              0              
0.062          0              0              
0.066          0              0              
0.07           0              0              
0.074          0              0              
0.078          0              0              
0.082          0              4.01606e-06    
0.086          0              0              
0.09           3.77074e-06    0              
0.094          0              0              
0.098          0              0              
0.102          3.75714e-06    0              
0.106          0              0              
0.11           0              0              
0.114          0              0              
0.118          0              0              
0.122          0              0              
0.126          0              0              
0.13           0              0              
0.134          0              0              
0.138          0              0              
0.142          0              0              
0.146          0              0              
0.15           0              0              
0.154          0              0              
0.158          0              0              
0.162          0              0              
0.166          0              0              
0.17           0              0              
0.174          0              0              
0.178          0              0              
0.182          0              0              
0.186          0              4.01606e-06    
0.19           7.32064e-06    0              
0.194          0              0              
0.198          0              0              
0.202          0              0              
0.206          0              0              
0.21           0              0              
0.214          0              0              
0.218          0              0              
0.222          0              0              
0.226          0              0              
0.23           0              0              
0.234          0              0              
0.238          0              0              
0.242          0              0              
0.246          0              0              
0.25           0              4.01606e-06    
0.254          0              0              
0.258          3.58886e-06    0              
0.262          0              4.01606e-06    
0.266          0              0              
0.27           0              0              
0.274          0              0              
0.278          0              0              
0.282          0              0              
0.286          0              0              
0.29           0              0              
0.294          0              0              
0.298          0              0              
0.302          0              0              
0.306          3.54007e-06    0              
0.31           0              0              
0.314          0              0              
0.318          0              0              
0.322          0              0              
0.326          0              0              
0.33           0              0              
0.334          3.51222e-06    0              
0.338          0              0              
0.342          0              0              
0.346          0              0              
0.35           3.4965e-06     0              
0.354          0              0              
0.358          0              5.67957e-06    
0.362          0              0              
0.366          0              0              
0.37           0              0              
0.374          0              0              
0.378          3.46933e-06    0              
0.382          0              0              
0.386          0              0              
0.39           0              0              
0.394          0              0              
0.398          0              0              
0.402          0              0              
0.406          3.44258e-06    0              
0.41           0              0              
0.414          0              0              
0.418          0              0              
0.422          0              4.01606e-06    
0.426          0              0              
0.43           0              0              
0.434          0              0              
0.438          0              0              
0.442          3.40878e-06    0              
0.446          0              0              
0.45           0              0              
0.454          0              0              
0.458          3.39397e-06    0              
0.462          0              4.01606e-06    
0.466          0              0              
0.47           0              0              
0.474          0              0              
0.478          0              0              
0.482          0              4.01606e-06    
0.486          0              0              
0.49           0              0              
0.494          0              4.01606e-06    
0.498          3.35751e-06    0              
0.502          0              0              
0.506          0              0              
0.51           0              0              
0.514          0              4.01606e-06    
0.518          0              0              
0.522          0              0              
0.526          0              0              
0.53           0              0              
0.534          0              4.01606e-06    
0.538          0              0              
0.542          0              0              
0.546          0              0              
0.55           0              0              
0.554          0              0              
0.558          0              4.01606e-06    
0.562          0              0              
0.566          0              0              
0.57           0              4.01606e-06    
0.574          0              0              
0.578          0              0              
0.582          0              0              
0.586          0              0              
0.59           0              0              
0.594          3.27311e-06    0              
0.598          0              4.01606e-06    
0.602          0              0              
0.606          0              0              
0.61           0              0              
