pT (GeV)       dN/dpt         error          
0.00393956     0.0101407      0.000253666    
0.0118187      0.0300668      0.000436755    
0.0196978      0.050602       0.000566699    
0.027577       0.0698491      0.000665771    
0.0354561      0.0904732      0.000757711    
0.0433352      0.109961       0.000835465    
0.0512143      0.130503       0.000910138    
0.0590935      0.150175       0.000976379    
0.0669726      0.169733       0.00103776     
0.0748517      0.190192       0.00109852     
0.0827309      0.210518       0.00115626     
0.09061        0.229791       0.00120738     
0.0984891      0.246886       0.00125195     
0.106368       0.268145       0.00130435     
0.114247       0.284581       0.00134348     
0.122127       0.305675       0.00139261     
0.130006       0.321958       0.00142917     
0.137885       0.339308       0.00146701     
0.145764       0.355966       0.00150314     
0.153643       0.377224       0.00154685     
0.161522       0.394206       0.00158178     
0.169401       0.411156       0.00161499     
0.17728        0.426405       0.00164502     
0.18516        0.445176       0.00168085     
0.193039       0.459937       0.00170827     
0.200918       0.475611       0.00173712     
0.208797       0.490403       0.00176459     
0.216676       0.508222       0.00179567     
0.224555       0.521555       0.00181933     
0.232434       0.533803       0.00184081     
0.240313       0.551971       0.0018713      
0.248193       0.563489       0.0018912      
0.256072       0.576453       0.00191261     
0.263951       0.590979       0.00193671     
0.27183        0.607097       0.00196272     
0.279709       0.615341       0.00197601     
0.287588       0.626808       0.00199459     
0.295467       0.63837        0.00201287     
0.303347       0.647584       0.00202746     
0.311226       0.664832       0.00205418     
0.319105       0.668887       0.00205995     
0.326984       0.678584       0.00207534     
0.334863       0.690025       0.00209251     
0.342742       0.697558       0.00210372     
0.350621       0.708606       0.00212021     
0.3585         0.716183       0.00213179     
0.36638        0.725378       0.00214537     
0.374259       0.730169       0.00215254     
0.382138       0.739396       0.00216583     
0.390017       0.746015       0.00217539     
0.397896       0.748369       0.00217906     
0.405775       0.756391       0.00219088     
0.413654       0.759735       0.00219599     
0.421533       0.767248       0.00220667     
0.429413       0.776799       0.00221954     
0.437292       0.775447       0.00221821     
0.445171       0.781641       0.00222743     
0.45305        0.789307       0.00223801     
0.460929       0.78602        0.00223332     
0.468808       0.786806       0.0022348      
0.476687       0.795741       0.00224743     
0.484566       0.799974       0.00225347     
0.492446       0.803471       0.00225854     
0.500325       0.801726       0.00225549     
0.508204       0.800888       0.00225445     
0.516083       0.803007       0.00225743     
0.523962       0.80691        0.00226277     
0.531841       0.804416       0.0022585      
0.53972        0.803953       0.00225873     
0.5476         0.801656       0.00225582     
0.555479       0.803395       0.00225772     
0.563358       0.800107       0.00225342     
0.571237       0.803915       0.00225801     
0.579116       0.798806       0.00225102     
0.586995       0.801668       0.00225547     
0.594874       0.794441       0.00224548     
0.602753       0.791807       0.00224149     
0.610633       0.790506       0.00224032     
0.618512       0.787397       0.00223552     
0.626391       0.787892       0.00223594     
0.63427        0.781146       0.00222667     
0.642149       0.777884       0.00222142     
0.650028       0.779731       0.00222415     
0.657907       0.775168       0.00221749     
0.665786       0.768403       0.0022082      
0.673666       0.75884        0.00219464     
0.681545       0.760738       0.00219725     
0.689424       0.755934       0.00218964     
0.697303       0.752272       0.00218533     
0.705182       0.747437       0.00217838     
0.713061       0.741141       0.00216898     
0.72094        0.735709       0.002161       
0.72882        0.72911        0.00215172     
0.736699       0.723982       0.00214376     
0.744578       0.720118       0.00213763     
0.752457       0.711544       0.00212492     
0.760336       0.709571       0.00212181     
0.768215       0.701765       0.00211075     
0.776094       0.695914       0.00210142     
0.783973       0.693782       0.00209808     
0.791853       0.683902       0.00208284     
0.799732       0.674535       0.00206913     
0.807611       0.674294       0.00206868     
0.81549        0.667168       0.00205755     
0.823369       0.661418       0.00204836     
0.831248       0.65011        0.00203107     
0.839127       0.646093       0.00202457     
0.847006       0.63929        0.00201421     
0.854886       0.634518       0.00200599     
0.862765       0.626985       0.00199525     
0.870644       0.619345       0.00198237     
0.878523       0.612764       0.00197187     
0.886402       0.60223        0.00195481     
0.894281       0.60138        0.00195383     
0.90216        0.58931        0.00193369     
0.91004        0.585426       0.00192747     
0.917919       0.581022       0.00192013     
0.925798       0.574556       0.00190919     
0.933677       0.567391       0.00189768     
0.941556       0.556508       0.00187942     
0.949435       0.551165       0.00187065     
0.957314       0.544806       0.0018595      
0.965193       0.534139       0.00184106     
0.973073       0.526124       0.00182718     
0.980952       0.521498       0.00181917     
0.988831       0.5142         0.00180605     
0.99671        0.510247       0.00179926     
1.00459        0.500208       0.0017815      
1.01247        0.495473       0.00177282     
1.02035        0.485923       0.00175569     
1.02823        0.480218       0.00174575     
1.03611        0.469163       0.00172494     
1.04398        0.4654         0.00171841     
1.05186        0.460597       0.00170965     
1.05974        0.453223       0.00169582     
1.06762        0.447898       0.00168583     
1.0755         0.439788       0.00167087     
1.08338        0.435492       0.00166236     
1.09126        0.42294        0.00163844     
1.09914        0.420046       0.00163272     
1.10702        0.412831       0.00161885     
1.1149         0.406282       0.00160605     
1.12278        0.401599       0.00159647     
1.13066        0.395964       0.001585       
1.13853        0.388685       0.00157025     
1.14641        0.385239       0.00156365     
1.15429        0.376558       0.00154645     
1.16217        0.37223        0.00153724     
1.17005        0.364019       0.00151987     
1.17793        0.359951       0.00151129     
1.18581        0.350642       0.0014917      
1.19369        0.348167       0.00148605     
1.20157        0.344905       0.00147911     
1.20945        0.335361       0.00145866     
1.21733        0.330627       0.0014486      
1.2252         0.323335       0.00143232     
1.23308        0.318925       0.00142265     
1.24096        0.31355        0.00141056     
1.24884        0.309317       0.00140102     
1.25672        0.303371       0.00138732     
1.2646         0.298294       0.00137548     
1.27248        0.292164       0.00136205     
1.28036        0.286529       0.00134817     
1.28824        0.282315       0.00133832     
1.29612        0.277182       0.00132648     
1.304          0.275462       0.00132183     
1.31188        0.268786       0.00130621     
1.31975        0.2631         0.00129201     
1.32763        0.256716       0.00127636     
1.33551        0.253626       0.00126888     
1.34339        0.249666       0.0012584      
1.35127        0.245782       0.00124899     
1.35915        0.240477       0.00123501     
1.36703        0.236524       0.00122521     
1.37491        0.231853       0.00121283     
1.38279        0.226148       0.0011978      
1.39067        0.222956       0.00118938     
1.39855        0.220151       0.00118217     
1.40642        0.215417       0.0011691      
1.4143         0.209681       0.00115326     
1.42218        0.205454       0.00114207     
1.43006        0.201843       0.0011321      
1.43794        0.199806       0.00112572     
1.44582        0.194057       0.00111021     
1.4537         0.190637       0.00110016     
1.46158        0.187762       0.00109131     
1.46946        0.181086       0.00107205     
1.47734        0.180578       0.00107051     
1.48522        0.176879       0.00105937     
1.4931         0.172754       0.00104713     
1.50097        0.169568       0.00103749     
1.50885        0.16597        0.00102626     
1.51673        0.164352       0.00102146     
1.52461        0.159884       0.00100712     
1.53249        0.156451       0.000996275    
1.54037        0.153399       0.00098653     
1.54825        0.152561       0.000983716    
1.55613        0.148627       0.000971346    
1.56401        0.144077       0.00095615     
1.57189        0.142243       0.000949974    
1.57977        0.139666       0.000941305    
1.58764        0.137496       0.00093402     
1.59552        0.133911       0.000921743    
1.6034         0.131036       0.000911814    
1.61128        0.128244       0.000902244    
1.61916        0.125807       0.00089338     
1.62704        0.12396        0.000886901    
1.63492        0.120654       0.000875016    
1.6428         0.118433       0.000866755    
1.65068        0.114835       0.000853647    
1.65856        0.113077       0.000847053    
1.66644        0.110609       0.000837579    
1.67432        0.106649       0.000822615    
1.68219        0.106312       0.000821564    
1.69007        0.104548       0.000814536    
1.69795        0.103241       0.000809287    
1.70583        0.100379       0.000798005    
1.71371        0.0979359      0.000788246    
1.72159        0.0963749      0.000781947    
1.72947        0.094782       0.000775622    
1.73735        0.0909999      0.000759857    
1.74523        0.0885567      0.0007496      
1.75311        0.0880237      0.000747451    
1.76099        0.0881252      0.000747882    
1.76886        0.0829533      0.000725694    
1.77674        0.0818936      0.000721051    
1.78462        0.0801865      0.000713284    
1.7925         0.0788285      0.000707396    
1.80038        0.0769184      0.000698844    
