pT (GeV)       dN/dpt         error          
0.00599114     0              0              
0.0179734      0              0              
0.0299557      0              0              
0.041938       0              0              
0.0539203      0              0              
0.0659025      0              0              
0.0778848      0              0              
0.0898671      0              0              
0.101849       0              0              
0.113832       4.17283e-06    4.17283e-06    
0.125814       4.17283e-06    4.17283e-06    
0.137796       4.17283e-06    4.17283e-06    
0.149779       0              0              
0.161761       4.17283e-06    4.17283e-06    
0.173743       0              0              
0.185725       4.17283e-06    4.17283e-06    
0.197708       0              0              
0.20969        4.17283e-06    4.17283e-06    
0.221672       0              0              
0.233654       0              0              
0.245637       0              0              
0.257619       0              0              
0.269601       4.17283e-06    4.17283e-06    
0.281584       0              0              
0.293566       4.17283e-06    4.17283e-06    
0.305548       0              0              
0.31753        1.25185e-05    7.22755e-06    
0.329513       0              0              
0.341495       4.17283e-06    4.17283e-06    
0.353477       0              0              
0.36546        4.17283e-06    4.17283e-06    
0.377442       0              0              
0.389424       4.17283e-06    4.17283e-06    
0.401406       4.17283e-06    4.17283e-06    
0.413389       0              0              
0.425371       8.34566e-06    5.90127e-06    
0.437353       4.17283e-06    4.17283e-06    
0.449335       4.17283e-06    4.17283e-06    
0.461318       4.17283e-06    4.17283e-06    
0.4733         8.34566e-06    5.90127e-06    
0.485282       4.17283e-06    4.17283e-06    
0.497265       0              0              
0.509247       4.17283e-06    4.17283e-06    
0.521229       0              0              
0.533211       0              0              
0.545194       0              0              
0.557176       4.17283e-06    4.17283e-06    
0.569158       1.25185e-05    7.22755e-06    
0.581141       1.66913e-05    8.34566e-06    
0.593123       8.34566e-06    5.90127e-06    
0.605105       0              0              
0.617087       8.34566e-06    5.90127e-06    
0.62907        4.17283e-06    4.17283e-06    
0.641052       8.34566e-06    5.90127e-06    
0.653034       0              0              
0.665017       4.17283e-06    4.17283e-06    
0.676999       8.34566e-06    5.90127e-06    
0.688981       4.17283e-06    4.17283e-06    
0.700963       1.25185e-05    7.22755e-06    
0.712946       4.17283e-06    4.17283e-06    
0.724928       1.25185e-05    7.22755e-06    
0.73691        0              0              
0.748892       8.34566e-06    5.90127e-06    
0.760875       0              0              
0.772857       2.08641e-05    9.33073e-06    
0.784839       8.34566e-06    5.90127e-06    
0.796822       1.66913e-05    8.34566e-06    
0.808804       4.17283e-06    4.17283e-06    
0.820786       4.17283e-06    4.17283e-06    
0.832768       4.17283e-06    4.17283e-06    
0.844751       1.25185e-05    7.22755e-06    
0.856733       4.17283e-06    4.17283e-06    
0.868715       4.17283e-06    4.17283e-06    
0.880698       2.08641e-05    9.33073e-06    
0.89268        0              0              
0.904662       0              0              
0.916644       1.25185e-05    7.22755e-06    
0.928627       4.17283e-06    4.17283e-06    
0.940609       4.17283e-06    4.17283e-06    
0.952591       4.17283e-06    4.17283e-06    
0.964574       0              0              
0.976556       8.34566e-06    5.90127e-06    
0.988538       4.17283e-06    4.17283e-06    
1.00052        8.34566e-06    5.90127e-06    
1.0125         1.66913e-05    8.34566e-06    
1.02448        4.17283e-06    4.17283e-06    
1.03647        1.66913e-05    8.34566e-06    
1.04845        1.25185e-05    7.22755e-06    
1.06043        8.34566e-06    5.90127e-06    
1.07241        4.17283e-06    4.17283e-06    
1.0844         8.34566e-06    5.90127e-06    
1.09638        0              0              
1.10836        0              0              
1.12034        4.17283e-06    4.17283e-06    
1.13233        1.25185e-05    7.22755e-06    
1.14431        8.34566e-06    5.90127e-06    
1.15629        4.17283e-06    4.17283e-06    
1.16827        0              0              
1.18025        1.25185e-05    7.22755e-06    
1.19224        4.17283e-06    4.17283e-06    
1.20422        0              0              
1.2162         0              0              
1.22818        0              0              
1.24017        1.25185e-05    7.22755e-06    
1.25215        8.34566e-06    5.90127e-06    
1.26413        8.34566e-06    5.90127e-06    
1.27611        4.17283e-06    4.17283e-06    
1.2881         8.34566e-06    5.90127e-06    
1.30008        1.66913e-05    8.34566e-06    
1.31206        4.17283e-06    4.17283e-06    
1.32404        4.17283e-06    4.17283e-06    
1.33602        1.25185e-05    7.22755e-06    
1.34801        4.17283e-06    4.17283e-06    
1.35999        4.17283e-06    4.17283e-06    
1.37197        8.34566e-06    5.90127e-06    
1.38395        4.17283e-06    4.17283e-06    
1.39594        4.17283e-06    4.17283e-06    
1.40792        1.66913e-05    8.34566e-06    
1.4199         0              0              
1.43188        1.25185e-05    7.22755e-06    
1.44386        1.25185e-05    7.22755e-06    
1.45585        4.17283e-06    4.17283e-06    
1.46783        0              0              
1.47981        1.25185e-05    7.22755e-06    
1.49179        4.17283e-06    4.17283e-06    
1.50378        1.66913e-05    8.34566e-06    
1.51576        4.17283e-06    4.17283e-06    
1.52774        8.34566e-06    5.90127e-06    
1.53972        4.17283e-06    4.17283e-06    
1.55171        1.25185e-05    7.22755e-06    
1.56369        2.08641e-05    9.33073e-06    
1.57567        1.66913e-05    8.34566e-06    
1.58765        1.25185e-05    7.22755e-06    
1.59963        4.17283e-06    4.17283e-06    
1.61162        0              0              
1.6236         8.34566e-06    5.90127e-06    
1.63558        1.66913e-05    8.34566e-06    
1.64756        2.08641e-05    9.33073e-06    
1.65955        8.34566e-06    5.90127e-06    
1.67153        1.66913e-05    8.34566e-06    
1.68351        1.66913e-05    8.34566e-06    
1.69549        4.17283e-06    4.17283e-06    
1.70747        0              0              
1.71946        1.25185e-05    7.22755e-06    
1.73144        1.66913e-05    8.34566e-06    
1.74342        8.34566e-06    5.90127e-06    
1.7554         1.66913e-05    8.34566e-06    
1.76739        0              0              
1.77937        2.92098e-05    1.10403e-05    
1.79135        8.34566e-06    5.90127e-06    
1.80333        1.66913e-05    8.34566e-06    
1.81532        1.25185e-05    7.22755e-06    
1.8273         4.17283e-06    4.17283e-06    
1.83928        4.17283e-06    4.17283e-06    
1.85126        0              0              
1.86324        0              0              
1.87523        1.25185e-05    7.22755e-06    
1.88721        8.34566e-06    5.90127e-06    
1.89919        8.34566e-06    5.90127e-06    
