p (GeV)        dN/dp          error          
0.00387561     0              0              
0.0116268      0              0              
0.0193781      1.29012e-05    9.12252e-06    
0.0271293      1.29012e-05    9.12252e-06    
0.0348805      1.93518e-05    1.11728e-05    
0.0426317      1.93518e-05    1.11728e-05    
0.0503829      3.87036e-05    1.58007e-05    
0.0581341      3.2253e-05     1.4424e-05     
0.0658854      6.4506e-05     2.03986e-05    
0.0736366      3.2253e-05     1.4424e-05     
0.0813878      6.4506e-05     2.03986e-05    
0.089139       0.000122561    2.81175e-05    
0.0968902      0.000187067    3.47375e-05    
0.104641       0.000232222    3.87036e-05    
0.112393       0.000180617    3.41333e-05    
0.120144       0.000238672    3.92374e-05    
0.127895       0.000303178    4.4223e-05     
0.135646       0.000206419    3.64901e-05    
0.143398       0.000341882    4.6961e-05     
0.151149       0.000457992    5.43536e-05    
0.1589         0.000387036    4.9966e-05     
0.166651       0.000393486    5.03807e-05    
0.174402       0.000490245    5.62349e-05    
0.182154       0.000483795    5.58637e-05    
0.189905       0.000483795    5.58637e-05    
0.197656       0.000548301    5.94714e-05    
0.205407       0.00075472     6.97737e-05    
0.213159       0.000599906    6.22072e-05    
0.22091        0.000741819    6.91748e-05    
0.228661       0.000799874    7.18306e-05    
0.236412       0.00086438     7.46708e-05    
0.244163       0.0011224      8.50889e-05    
0.251915       0.000883732    7.55021e-05    
0.259666       0.000993392    8.00495e-05    
0.267417       0.00121916     8.86806e-05    
0.275168       0.00122561     8.89149e-05    
0.28292        0.00144493     9.65432e-05    
0.290671       0.00132882     9.2583e-05     
0.298422       0.00145784     9.69732e-05    
0.306173       0.00154814     9.99316e-05    
0.313924       0.00161265     0.000101992    
0.321676       0.00168361     0.000104212    
0.329427       0.00179972     0.000107745    
0.337178       0.00186422     0.000109659    
0.344929       0.00194808     0.000112099    
0.352681       0.00201259     0.000113939    
0.360432       0.00226416     0.000120851    
0.368183       0.00225771     0.000120679    
0.375934       0.00201259     0.000113939    
0.383685       0.00228351     0.000121366    
0.391437       0.00250283     0.000127061    
0.399188       0.00240607     0.000124581    
0.406939       0.002677       0.000131407    
0.41469        0.00249638     0.000126897    
0.422441       0.00300598     0.000139248    
0.430193       0.00288987     0.000136532    
0.437944       0.00294147     0.000137746    
0.445695       0.00291567     0.00013714     
0.453446       0.00303178     0.000139844    
0.461198       0.0032898      0.000145673    
0.468949       0.00325755     0.000144957    
0.4767         0.00338656     0.0001478      
0.484451       0.00343817     0.000148922    
0.492202       0.00366394     0.000153733    
0.499954       0.00388971     0.000158399    
0.507705       0.00394777     0.000159577    
0.515456       0.00364459     0.000153327    
0.523207       0.00423804     0.000165339    
0.530959       0.0043477      0.000167464    
0.53871        0.00421869     0.000164961    
0.546461       0.0043477      0.000167464    
0.554212       0.00453477     0.000171029    
0.561963       0.00453477     0.000171029    
0.569715       0.0048573      0.000177007    
0.577466       0.00488955     0.000177593    
0.585217       0.00500566     0.000179689    
0.592968       0.00511532     0.000181647    
0.60072        0.00529594     0.000184826    
0.608471       0.0053927      0.000186507    
0.616222       0.0054314      0.000187175    
0.623973       0.00563137     0.000190589    
0.631724       0.00577974     0.000193083    
0.639476       0.00559912     0.000190042    
0.647227       0.00597325     0.000196289    
0.654978       0.00612162     0.000198711    
0.662729       0.00623128     0.000200483    
0.670481       0.00639254     0.000203061    
0.678232       0.00659251     0.000206212    
0.685983       0.00656026     0.000205707    
0.693734       0.0069989      0.000212473    
0.701485       0.00681828     0.000209713    
0.709237       0.00679248     0.000209316    
0.716988       0.00708921     0.000213839    
0.724739       0.00695374     0.000211786    
0.73249        0.00777942     0.000224006    
0.740242       0.00733433     0.000217504    
0.747993       0.00796649     0.000226684    
0.755744       0.0076117      0.000221579    
0.763495       0.00752785     0.000220355    
0.771246       0.00765041     0.000222141    
0.778998       0.00819871     0.000229964    
0.786749       0.00839868     0.000232751    
0.7945         0.00898568     0.000240747    
0.802251       0.00801809     0.000227417    
0.810002       0.0081471      0.000229239    
0.817754       0.00884377     0.000238838    
0.825505       0.00885022     0.000239099    
0.833256       0.00881797     0.00023849     
0.841007       0.00904374     0.000241523    
0.848759       0.00904374     0.000241523    
0.85651        0.00910824     0.000242383    
0.864261       0.00903084     0.000241351    
0.872012       0.00954043     0.000248066    
0.879763       0.00931466     0.000245114    
0.887515       0.00933401     0.000245368    
0.895266       0.00990167     0.000252719    
0.903017       0.00977911     0.00025115     
0.910768       0.0102435      0.000257044    
0.91852        0.0106435      0.000262014    
0.926271       0.0103016      0.000257772    
0.934022       0.0097662      0.000250984    
0.941773       0.0104371      0.000259461    
0.949524       0.00994682     0.000253294    
0.957276       0.010321       0.000258014    
0.965027       0.0106435      0.000262014    
0.972778       0.0109918      0.000266423    
0.980529       0.0111144      0.000267747    
0.988281       0.0114305      0.000271527    
0.996032       0.0107918      0.000263833    
1.00378        0.0110886      0.000267436    
1.01153        0.0113079      0.000270067    
1.01929        0.011224       0.000269064    
