p (GeV)        dN/dp          error          
0.00293956     5.95326e-05    2.25012e-05    
0.00881869     0.000858971    8.54706e-05    
0.0146978      0.00225373     0.000138445    
0.020577       0.00410775     0.000186907    
0.0264561      0.00738204     0.000250557    
0.0323352      0.0113027      0.000310031    
0.0382143      0.015453       0.000362506    
0.0440935      0.0197053      0.00040935     
0.0499726      0.026475       0.000474474    
0.0558517      0.0329726      0.000529906    
0.0617309      0.0386452      0.000573353    
0.06761        0.0481789      0.000640475    
0.0734891      0.0558246      0.000689027    
0.0793683      0.0635468      0.000735012    
0.0852474      0.07388        0.000792497    
0.0911265      0.0834562      0.000842613    
0.0970056      0.0943167      0.000895773    
0.102885       0.105577       0.000947737    
0.108764       0.119006       0.00100568     
0.114643       0.133506       0.00106555     
0.120522       0.143057       0.00110282     
0.126401       0.159803       0.00116561     
0.13228        0.17364        0.00121537     
0.13816        0.190862       0.00127408     
0.144039       0.206161       0.0013241      
0.149918       0.218145       0.00136221     
0.155797       0.236336       0.00141761     
0.161676       0.253082       0.00146679     
0.167555       0.272778       0.00152323     
0.173434       0.290451       0.00157154     
0.179313       0.310139       0.00162438     
0.185193       0.330381       0.00167659     
0.191072       0.348793       0.00172219     
0.196951       0.366823       0.00176608     
0.20283        0.387864       0.00181618     
0.208709       0.408215       0.00186355     
0.214588       0.432062       0.00191681     
0.220467       0.451419       0.00195988     
0.226347       0.472136       0.00200416     
0.232226       0.493823       0.00204947     
0.238105       0.513341       0.00208889     
0.243984       0.543873       0.00215051     
0.249863       0.560304       0.00218265     
0.255742       0.585461       0.00223168     
0.261621       0.604741       0.00226789     
0.2675         0.631794       0.00231823     
0.27338        0.653175       0.00235638     
0.279259       0.677549       0.00239989     
0.285138       0.702553       0.00244394     
0.291017       0.725439       0.00248384     
0.296896       0.750927       0.00252768     
0.302775       0.772274       0.00256293     
0.308654       0.797006       0.00260383     
0.314533       0.820053       0.00264145     
0.320413       0.841357       0.00267549     
0.326292       0.865842       0.00271361     
0.332171       0.896272       0.00276116     
0.33805        0.919388       0.002796       
0.343929       0.940615       0.00282767     
0.349808       0.962081       0.00286111     
