pT (GeV)       dN/dpt         error          
0.00393827     0.0265345      0.000410371    
0.0118148      0.0803017      0.000714026    
0.0196914      0.132342       0.000916402    
0.0275679      0.185424       0.00108469     
0.0354444      0.237864       0.00122867     
0.043321       0.289334       0.00135527     
0.0511975      0.341939       0.00147326     
0.0590741      0.393923       0.00158084     
0.0669506      0.446579       0.00168383     
0.0748272      0.496887       0.00177576     
0.0827037      0.548185       0.00186513     
0.0905803      0.599006       0.00195012     
0.0984568      0.649733       0.00203108     
0.106333       0.70218        0.00211157     
0.11421        0.74659        0.00217721     
0.122086       0.797913       0.00225064     
0.129963       0.843308       0.00231392     
0.13784        0.89192        0.00237926     
0.145716       0.939003       0.00244214     
0.153593       0.985356       0.00250061     
0.161469       1.0329         0.00255999     
0.169346       1.07513        0.00261241     
0.177222       1.11536        0.00266043     
0.185099       1.15937        0.0027133      
0.192975       1.20604        0.00276593     
0.200852       1.25029        0.00281717     
0.208728       1.28302        0.0028538      
0.216605       1.33091        0.00290697     
0.224482       1.36682        0.00294537     
0.232358       1.40219        0.00298305     
0.240235       1.4383         0.00302188     
0.248111       1.47228        0.00305767     
0.255988       1.51635        0.00310265     
0.263864       1.54433        0.00313102     
0.271741       1.58067        0.00316783     
0.279617       1.6105         0.00319788     
0.287494       1.64455        0.00323119     
0.29537        1.67461        0.00326069     
0.303247       1.70549        0.00329005     
0.311123       1.72392        0.00330803     
0.319          1.75759        0.00334019     
0.326877       1.78542        0.00336585     
0.334753       1.80797        0.00338771     
0.34263        1.8331         0.00341138     
0.350506       1.85461        0.00343129     
0.358383       1.87968        0.00345418     
0.366259       1.90155        0.0034752      
0.374136       1.91145        0.00348277     
0.382012       1.93211        0.00350272     
0.389889       1.95011        0.00351827     
0.397765       1.97432        0.00354057     
0.405642       1.98409        0.00354953     
0.413519       1.99248        0.00355676     
0.421395       2.01101        0.00357236     
0.429272       2.02384        0.00358282     
0.437148       2.0423         0.00359953     
0.445025       2.05084        0.00360794     
0.452901       2.05706        0.00361405     
0.460778       2.07409        0.00362842     
0.468654       2.07348        0.00362825     
0.476531       2.08389        0.00363733     
0.484407       2.08646        0.00363937     
0.492284       2.09353        0.00364539     
0.500161       2.09889        0.00365023     
0.508037       2.10743        0.00365784     
0.515914       2.09918        0.00364968     
0.52379        2.11002        0.00365891     
0.531667       2.10849        0.00365816     
0.539543       2.10805        0.00365837     
0.54742        2.10595        0.00365568     
0.555296       2.10317        0.00365419     
0.563173       2.10557        0.00365622     
0.571049       2.10036        0.00365099     
0.578926       2.09437        0.00364579     
0.586803       2.09154        0.00364425     
0.594679       2.08784        0.00364063     
0.602556       2.08138        0.00363496     
0.610432       2.073          0.00362823     
0.618309       2.069          0.00362438     
0.626185       2.05414        0.00361096     
0.634062       2.05289        0.00361081     
0.641938       2.0333         0.00359169     
0.649815       2.03665        0.00359544     
0.657691       2.02545        0.00358602     
0.665568       2.01056        0.00357297     
0.673445       2.00017        0.00356391     
0.681321       1.99002        0.0035537      
0.689198       1.98206        0.00354643     
0.697074       1.97221        0.00353732     
0.704951       1.95801        0.00352501     
0.712827       1.94226        0.00351196     
0.720704       1.92948        0.00349999     
0.72858        1.91237        0.00348421     
0.736457       1.89947        0.00347238     
0.744333       1.88464        0.00346041     
0.75221        1.86934        0.00344494     
0.760086       1.8562         0.00343187     
0.767963       1.84359        0.00342014     
0.77584        1.82202        0.00340157     
0.783716       1.80689        0.0033862      
0.791593       1.78599        0.00336637     
0.799469       1.77314        0.00335481     
0.807346       1.76019        0.00334194     
0.815222       1.74048        0.00332389     
0.823099       1.72719        0.00331075     
0.830975       1.70775        0.00329284     
0.838852       1.6916         0.00327618     
0.846728       1.66892        0.00325534     
0.854605       1.64748        0.00323369     
0.862482       1.6343         0.00322092     
0.870358       1.61672        0.00320351     
0.878235       1.59817        0.00318571     
0.886111       1.57781        0.0031655      
0.893988       1.5676         0.00315463     
0.901864       1.5455         0.0031321      
0.909741       1.53258        0.00311935     
0.917617       1.51064        0.0030971      
0.925494       1.49351        0.00307903     
0.93337        1.4769         0.0030632      
0.941247       1.45777        0.00304172     
0.949124       1.44365        0.00302717     
0.957          1.41506        0.00299615     
0.964877       1.40258        0.00298425     
0.972753       1.38435        0.0029651      
0.98063        1.36043        0.00293893     
0.988506       1.35151        0.00292997     
0.996383       1.32704        0.00290264     
1.00426        1.31531        0.00288932     
1.01214        1.29357        0.00286585     
1.02001        1.27824        0.00284924     
1.02789        1.25726        0.00282489     
1.03577        1.23885        0.00280407     
1.04364        1.22097        0.00278474     
1.05152        1.20284        0.00276382     
1.0594         1.18694        0.00274545     
1.06727        1.17374        0.00272928     
1.07515        1.15258        0.00270482     
1.08302        1.13305        0.00268189     
1.0909         1.1161         0.00266118     
1.09878        1.09862        0.00264165     
1.10665        1.08645        0.00262623     
1.11453        1.06763        0.00260349     
1.12241        1.05249        0.00258398     
1.13028        1.03429        0.00256274     
1.13816        1.01234        0.00253513     
1.14604        1.00241        0.00252304     
1.15391        0.984556       0.00249945     
1.16179        0.967607       0.00247794     
1.16967        0.955337       0.00246278     
1.17754        0.944139       0.00244777     
1.18542        0.92241        0.00241942     
1.1933         0.909085       0.00240233     
1.20117        0.891457       0.00237911     
1.20905        0.877364       0.00235969     
1.21693        0.860847       0.00233766     
1.2248         0.85429        0.00232879     
1.23268        0.834103       0.00230061     
1.24056        0.822264       0.00228491     
1.24843        0.805836       0.00226243     
1.25631        0.792581       0.00224336     
1.26419        0.775784       0.00221889     
1.27206        0.766599       0.00220553     
1.27994        0.749961       0.00218226     
1.28781        0.741537       0.00216964     
1.29569        0.728029       0.00214949     
1.30357        0.718919       0.00213619     
1.31144        0.702542       0.00211182     
1.31932        0.686723       0.00208786     
1.3272         0.67687        0.00207315     
1.33507        0.662968       0.00205165     
1.34295        0.651999       0.00203411     
1.35083        0.637811       0.00201228     
1.3587         0.627515       0.00199638     
1.36658        0.620958       0.0019856      
1.37446        0.607855       0.00196419     
1.38233        0.594233       0.00194208     
1.39021        0.581968       0.00192233     
1.39809        0.574021       0.0019089      
1.40596        0.56163        0.00188861     
1.41384        0.553288       0.00187434     
1.42172        0.541107       0.00185384     
1.42959        0.530417       0.00183483     
1.43747        0.51906        0.00181514     
1.44535        0.508808       0.0017972      
1.45322        0.500924       0.00178259     
1.4611         0.494608       0.00177185     
1.46898        0.482807       0.00175033     
1.47685        0.473806       0.00173378     
1.48473        0.463357       0.00171483     
1.49261        0.451105       0.00169202     
1.50048        0.445456       0.00168223     
1.50836        0.435769       0.00166275     
1.51623        0.430703       0.00165341     
1.52411        0.418693       0.00163079     
1.53199        0.413284       0.00162007     
1.53986        0.401178       0.00159583     
1.54774        0.394234       0.00158164     
1.55562        0.38701        0.00156719     
1.56349        0.379119       0.00155133     
1.57137        0.369591       0.00153193     
1.57925        0.363516       0.00151945     
1.58712        0.354686       0.00150038     
1.595          0.348878       0.00148808     
1.60288        0.342384       0.00147418     
1.61075        0.332081       0.00145195     
1.61863        0.326628       0.00143993     
1.62651        0.324438       0.00143515     
1.63438        0.314611       0.00141348     
1.64226        0.308073       0.00139807     
1.65014        0.303858       0.00138883     
1.65801        0.296424       0.00137176     
1.66589        0.288248       0.0013528      
1.67377        0.28303        0.00133999     
1.68164        0.277431       0.00132705     
1.68952        0.27048        0.00131033     
1.6974         0.265954       0.00129918     
1.70527        0.258959       0.00128221     
1.71315        0.253328       0.00126806     
1.72102        0.251417       0.00126341     
1.7289         0.243063       0.0012422      
1.73678        0.239889       0.00123406     
1.74465        0.233713       0.00121837     
1.75253        0.228139       0.00120364     
1.76041        0.22548        0.00119637     
1.76828        0.218446       0.00117769     
1.77616        0.214345       0.00116656     
1.78404        0.210473       0.00115587     
1.79191        0.204855       0.00114032     
1.79979        0.199777       0.00112603     
1.80767        0.195841       0.00111539     
1.81554        0.194844       0.00111241     
1.82342        0.188687       0.00109432     
1.8313         0.184542       0.00108245     
1.83917        0.179533       0.00106744     
1.84705        0.176061       0.00105725     
1.85493        0.173934       0.00105078     
1.8628         0.167923       0.00103255     
1.87068        0.165644       0.00102582     
1.87856        0.160591       0.00100959     
1.88643        0.158052       0.00100167     
1.89431        0.153932       0.000988441    
1.90219        0.151431       0.00098052     
1.91006        0.149272       0.000973401    
1.91794        0.1458         0.00096229     
1.92582        0.141858       0.000948973    
1.93369        0.135758       0.000928391    
1.94157        0.134755       0.000924876    
1.94944        0.13153        0.000913721    
1.95732        0.129498       0.000906741    
1.9652         0.126883       0.000897469    
1.97307        0.123658       0.000885922    
1.98095        0.119532       0.000871228    
1.98883        0.119634       0.000871181    
1.9967         0.115158       0.000855128    
2.00458        0.113229       0.000847853    
2.01246        0.109496       0.00083374     
2.02033        0.108372       0.000829507    
2.02821        0.106379       0.00082176     
2.03609        0.101675       0.000803517    
2.04396        0.100571       0.000798897    
2.05184        0.0981141      0.000789296    
2.05972        0.0962986      0.000781921    
2.06759        0.0917852      0.000763302    
2.07547        0.0922359      0.000765172    
2.08335        0.0895507      0.000753967    
2.09122        0.0878304      0.000746646    
2.0991         0.0848088      0.000733871    
2.10698        0.0829552      0.000725543    
2.11485        0.0813047      0.000718353    
2.12273        0.080289       0.000713969    
2.13061        0.0784608      0.000705805    
2.13848        0.0755407      0.000692857    
2.14636        0.075052       0.000690208    
2.15423        0.0717002      0.000674816    
2.16211        0.0705766      0.000669336    
2.16999        0.0686913      0.000660406    
2.17786        0.0683675      0.000658605    
2.18574        0.0658474      0.000646484    
2.19362        0.0646603      0.000640824    
2.20149        0.0639811      0.000637265    
2.20937        0.0624957      0.000629766    
2.21725        0.0593534      0.000613872    
2.22512        0.0581346      0.000607477    
2.233          0.0585092      0.000609363    
2.24088        0.0567825      0.000600445    
2.24875        0.0545417      0.000588354    
2.25663        0.0545925      0.000588628    
2.26451        0.0520089      0.000574469    
2.27238        0.0510249      0.000569082    
2.28026        0.0498569      0.000562679    
2.28814        0.0484667      0.000554642    
2.29601        0.0473304      0.000548032    
2.30389        0.0450959      0.000534944    
2.31177        0.0446516      0.000532682    
2.31964        0.0432677      0.000524069    
2.32752        0.0424425      0.000519051    
2.3354         0.0423282      0.000518508    
2.34327        0.0410142      0.000510406    
2.35115        0.0404556      0.000506763    
2.35902        0.0392685      0.000499197    
2.3669         0.0376434      0.000488762    
2.37478        0.0364817      0.000481247    
2.38265        0.0359422      0.000477593    
2.39053        0.0352629      0.00047306     
2.39841        0.0348757      0.000470713    
2.40628        0.0329967      0.000457611    
2.41416        0.0326539      0.000455405    
2.42204        0.0315049      0.000447149    
2.42991        0.031378       0.000446248    
2.43779        0.0307432      0.000441712    
2.44567        0.0282675      0.000423557    
2.45354        0.0293466      0.000431752    
2.46142        0.0285912      0.000426165    
2.4693         0.0278802      0.000420743    
2.47717        0.0272708      0.000416219    
2.48505        0.0262044      0.000407811    
2.49293        0.0252458      0.000400285    
2.5008         0.0254998      0.000402392    
2.50868        0.0238176      0.000388902    
2.51656        0.0239509      0.000389885    
2.52443        0.0240461      0.000390659    
2.53231        0.0232907      0.00038458     
2.54019        0.0223702      0.000376803    
2.54806        0.0219893      0.00037369     
2.55594        0.0210752      0.000365736    
2.56382        0.0204912      0.000360633    
2.57169        0.0203579      0.000359459    
2.57957        0.0196342      0.000353013    
2.58744        0.0196977      0.000353583    
2.59532        0.0180155      0.00033815     
2.6032         0.0184535      0.000342236    
2.61107        0.0178695      0.000336777    
2.61895        0.0176092      0.000334437    
2.62683        0.0167015      0.000325586    
2.6347         0.0162698      0.000321352    
2.64258        0.0161365      0.000320033    
2.65046        0.0160413      0.000319087    
2.65833        0.0151653      0.000310253    
2.66621        0.0153303      0.000312066    
2.67409        0.0145749      0.000304155    
2.68196        0.0142766      0.000301026    
2.68984        0.0137116      0.000295011    
2.69772        0.0138893      0.000296916    
2.70559        0.0136037      0.000293848    
2.71347        0.0125753      0.000282524    
2.72135        0.0127277      0.00028423     
2.72922        0.0118199      0.000273908    
2.7371         0.012004       0.000276032    
2.74498        0.0115342      0.000270578    
2.75285        0.0112994      0.000267809    
2.76073        0.0109756      0.000263945    
2.76861        0.0107598      0.000261337    
2.77648        0.0108868      0.000263027    
2.78436        0.00990917     0.000250795    
2.79223        0.0102075      0.000254542    
2.80011        0.00987743     0.000250393    
2.80799        0.00936324     0.000243789    
2.81586        0.00893793     0.000238357    
2.82374        0.00879827     0.00023632     
2.83162        0.00850627     0.000232366    
2.83949        0.00842375     0.000231236    
2.84737        0.00854436     0.000233058    
2.85525        0.00788417     0.000223708    
2.86312        0.00798574     0.000225144    
2.871          0.00788417     0.000223708    
2.87888        0.00770643     0.000221172    
2.88675        0.00725572     0.000214608    
2.89463        0.00699545     0.000210724    
2.90251        0.00675423     0.000207059    
2.91038        0.00682406     0.000208126    
