p (GeV)        dN/dp          error          
0.00387561     0              0              
0.0116268      0              0              
0.0193781      0              0              
0.0271293      6.4506e-06     6.4506e-06     
0.0348805      6.4506e-06     6.4506e-06     
0.0426317      3.2253e-05     1.4424e-05     
0.0503829      4.51542e-05    1.70667e-05    
0.0581341      8.38578e-05    2.3258e-05     
0.0658854      3.2253e-05     1.4424e-05     
0.0736366      9.03084e-05    2.41359e-05    
0.0813878      9.6759e-05     2.4983e-05     
0.089139       9.03084e-05    2.41359e-05    
0.0968902      0.000199969    3.59154e-05    
0.104641       0.000135463    2.95603e-05    
0.112393       0.000161265    3.2253e-05     
0.120144       0.000187067    3.47375e-05    
0.127895       0.000283826    4.27884e-05    
0.135646       0.000387036    4.9966e-05     
0.143398       0.000251573    4.02839e-05    
0.151149       0.000335431    4.65159e-05    
0.1589         0.000406388    5.12e-05       
0.166651       0.000445091    5.35826e-05    
0.174402       0.000406388    5.12e-05       
0.182154       0.000490245    5.62349e-05    
0.189905       0.000528949    5.84125e-05    
0.197656       0.00065151     6.48275e-05    
0.205407       0.000606356    6.25407e-05    
0.213159       0.000728918    6.85706e-05    
0.22091        0.000716016    6.79611e-05    
0.228661       0.000774072    7.06625e-05    
0.236412       0.00075472     6.97737e-05    
0.244163       0.000948238    7.82091e-05    
0.251915       0.000922435    7.71377e-05    
0.259666       0.00102564     8.13386e-05    
0.267417       0.00106435     8.28591e-05    
0.275168       0.00110305     8.43521e-05    
0.28292        0.00146429     9.71875e-05    
0.290671       0.00132882     9.2583e-05     
0.298422       0.00134817     9.32547e-05    
0.306173       0.00138043     9.43636e-05    
0.313924       0.00139978     9.50227e-05    
0.321676       0.00158685     0.000101173    
0.329427       0.00179327     0.000107552    
0.337178       0.00169651     0.00010461     
0.344929       0.00179327     0.000107552    
0.352681       0.00189003     0.000110416    
0.360432       0.00208354     0.00011593     
0.368183       0.00206419     0.000115391    
0.375934       0.00235447     0.000123237    
0.383685       0.0021158      0.000116824    
0.391437       0.00247058     0.000126239    
0.399188       0.00228996     0.000121537    
0.406939       0.00276731     0.000133605    
0.41469        0.00256734     0.000128688    
0.422441       0.00303178     0.000139844    
0.430193       0.00281246     0.000134691    
0.437944       0.00298663     0.000138799    
0.445695       0.00292212     0.000137292    
0.453446       0.00318014     0.000143225    
0.461198       0.00305758     0.000140438    
0.468949       0.00334141     0.000146811    
0.4767         0.00330271     0.000146243    
0.484451       0.00341882     0.000148502    
0.492202       0.00357363     0.000151827    
0.499954       0.00356073     0.000151553    
0.507705       0.00368329     0.000154139    
0.515456       0.00402517     0.000161133    
0.523207       0.00413483     0.000163313    
0.530959       0.00416709     0.000163949    
0.53871        0.004309       0.000166717    
0.546461       0.00438641     0.000168208    
0.554212       0.00438641     0.000168208    
0.561963       0.00464443     0.000173085    
0.569715       0.00509597     0.000181303    
0.577466       0.00468313     0.000173804    
0.585217       0.00455412     0.000171394    
0.592968       0.00517338     0.000182675    
0.60072        0.00536045     0.000185948    
0.608471       0.00534755     0.000185724    
0.616222       0.00529594     0.000184826    
0.623973       0.0053927      0.000186729    
0.631724       0.00583134     0.000193943    
0.639476       0.00603776     0.000197346    
0.647227       0.00577974     0.000193083    
0.654978       0.00611517     0.000198607    
0.662729       0.0064764      0.000204388    
0.670481       0.00610227     0.000198397    
0.678232       0.00641189     0.000203368    
0.685983       0.00672152     0.00020822     
0.693734       0.0065151      0.000204998    
0.701485       0.00655381     0.000205606    
0.709237       0.00679248     0.000209316    
0.716988       0.00691504     0.000211196    
0.724739       0.00704405     0.000213157    
0.73249        0.00739884     0.000218459    
0.740242       0.00749559     0.000219882    
0.747993       0.00744399     0.000219124    
0.755744       0.00770846     0.000222983    
0.763495       0.00772782     0.000223262    
0.771246       0.00785038     0.000225026    
0.778998       0.00790198     0.000225764    
0.786749       0.0081342      0.000229057    
0.7945         0.00801809     0.000227417    
0.802251       0.00840513     0.00023284     
0.810002       0.00899858     0.000240919    
0.817754       0.00861155     0.000235682    
0.825505       0.00835352     0.000232124    
0.833256       0.00883732     0.000238751    
0.841007       0.00945013     0.00024689     
0.848759       0.00935337     0.000245623    
0.85651        0.00911469     0.000242469    
0.864261       0.00944367     0.000246805    
0.872012       0.00945658     0.000246974    
0.879763       0.00941142     0.000246384    
0.887515       0.0097146      0.00025032     
0.895266       0.00994682     0.000253294    
0.903017       0.00992747     0.000253048    
0.910768       0.00986296     0.000252224    
0.91852        0.00983716     0.000251894    
0.926271       0.0103532      0.000258416    
0.934022       0.0104951      0.000260181    
0.941773       0.0101274      0.000255583    
0.949524       0.0105532      0.0002609      
0.957276       0.0101145      0.000255421    
0.965027       0.0106822      0.000262648    
0.972778       0.0107209      0.000262965    
0.980529       0.0108112      0.00026407     
0.988281       0.0108757      0.000264856    
0.996032       0.011553       0.000272978    
1.00378        0.0111595      0.00026829     
1.01153        0.0110692      0.000267202    
1.01929        0.0116433      0.000274043    
