pT (GeV)       dN/dpt         error          
0.00487561     8.2041e-05     2.05102e-05    
0.0146268      0.000266633    3.69753e-05    
0.024378       0.000502501    5.07602e-05    
0.0341293      0.000661456    5.82377e-05    
0.0438805      0.000887068    6.74423e-05    
0.0536317      0.000984492    7.10493e-05    
0.0633829      0.00129727     8.15584e-05    
0.0731341      0.00148699     8.73186e-05    
0.0828854      0.00173824     9.44077e-05    
0.0926366      0.00205103     0.00010255     
0.102388       0.00217921     0.000105706    
0.112139       0.00220998     0.00010645     
0.12189        0.00260993     0.000115682    
0.131641       0.00259967     0.000115454    
0.141393       0.00308167     0.000125702    
0.151144       0.00312781     0.00012664     
0.160895       0.00324062     0.000128903    
0.170646       0.00365083     0.000136818    
0.180398       0.0036457      0.000136722    
0.190149       0.00389182     0.000141261    
0.1999         0.00434817     0.000149314    
0.209651       0.00449687     0.000151845    
0.219402       0.00464557     0.000154335    
0.229154       0.004502       0.000151932    
0.238905       0.00477889     0.000156534    
0.248656       0.00500963     0.000160268    
0.258407       0.0052096      0.000163436    
0.268159       0.00557879     0.000169127    
0.27791        0.00581978     0.000172741    
0.287661       0.00608642     0.000176654    
0.297412       0.00591208     0.000174106    
0.307163       0.00596848     0.000174934    
0.316915       0.00601463     0.000175609    
0.326666       0.00656328     0.000183443    
0.336417       0.006753       0.000186076    
0.346168       0.00696323     0.00018895     
0.35592        0.00691708     0.000188323    
0.365671       0.00744522     0.000195379    
0.375422       0.00747599     0.000195917    
0.385173       0.00735293     0.000194165    
0.394924       0.00790158     0.000201278    
0.404676       0.00815283     0.000204452    
0.414427       0.0081477      0.000204388    
0.424178       0.00846048     0.000208274    
0.433929       0.00880915     0.000212522    
0.443681       0.00886556     0.000213201    
0.453432       0.00868097     0.00021097     
0.463183       0.00894247     0.000214124    
0.472934       0.00887068     0.000213263    
0.482685       0.00936806     0.00021916     
0.492437       0.00945523     0.000220177    
0.502188       0.00926551     0.000217957    
0.511939       0.00931166     0.000218499    
0.52169        0.00973212     0.000223377    
0.531441       0.00982954     0.000224492    
0.541193       0.0101987      0.000228669    
0.550944       0.0102449      0.000229185    
0.560695       0.0104654      0.000231638    
0.570446       0.0108653      0.000236023    
0.580198       0.0109525      0.000236967    
0.589949       0.0105525      0.000232601    
0.5997         0.0108294      0.000235632    
0.609451       0.0114806      0.000242613    
0.619202       0.011055       0.000238074    
0.628954       0.0113063      0.000240764    
0.638705       0.0110345      0.000237853    
0.648456       0.0114088      0.000241853    
0.658207       0.0118139      0.000246109    
0.667959       0.0116857      0.00024477     
0.67771        0.0117831      0.000245788    
0.687461       0.0117421      0.00024536     
0.697212       0.0112755      0.000240436    
0.706963       0.0118601      0.000246589    
0.716715       0.0120908      0.000248976    
0.726466       0.0118601      0.000246696    
0.736217       0.0124651      0.0002528      
0.745968       0.0123574      0.000251706    
0.75572        0.0124907      0.00025306     
0.765471       0.0124754      0.000252904    
0.775222       0.0127933      0.000256106    
0.784973       0.0122549      0.000250659    
0.794724       0.0125369      0.000253527    
0.804476       0.013347       0.000261589    
0.814227       0.0122344      0.00025045     
0.823978       0.0125061      0.000253216    
0.833729       0.0130496      0.000258659    
0.843481       0.0126548      0.000254716    
0.853232       0.012942       0.00025759     
0.862983       0.0128702      0.000256874    
0.872734       0.0132342      0.000260482    
0.882485       0.01266        0.000254768    
0.892237       0.0127164      0.000255335    
0.901988       0.0131214      0.000259369    
0.911739       0.0124446      0.000252592    
0.92149        0.0132394      0.000260633    
0.931242       0.0129009      0.000257283    
0.940993       0.012742       0.000255592    
0.950744       0.0130343      0.000258506    
0.960495       0.0129061      0.000257232    
0.970246       0.0136752      0.000264785    
0.979998       0.0134393      0.000262592    
0.989749       0.0132804      0.000261036    
0.9995         0.0132445      0.000260582    
1.00925        0.0129625      0.000257794    
1.019          0.0129881      0.000258048    
1.02875        0.0131419      0.000259572    
1.0385         0.0128702      0.000256874    
1.04826        0.0127523      0.000255695    
1.05801        0.0129625      0.000257896    
1.06776        0.0126907      0.000255077    
1.07751        0.0125574      0.000253838    
1.08726        0.01266        0.000254871    
1.09701        0.012742       0.000255592    
1.10676        0.0125215      0.000253371    
1.11651        0.013347       0.00026169     
1.12627        0.0125882      0.000254045    
1.13602        0.012301       0.000251236    
1.14577        0.0122703      0.000250921    
1.15552        0.0126497      0.000254665    
1.16527        0.0122395      0.000250502    
1.17502        0.0123318      0.000251445    
1.18477        0.0119062      0.000247068    
1.19452        0.0120754      0.000248818    
1.20428        0.0122344      0.00025045     
1.21403        0.0126856      0.000255026    
1.22378        0.0122651      0.000250764    
1.23353        0.0121164      0.00024924     
1.24328        0.0119062      0.000247068    
1.25303        0.0113422      0.000241146    
1.26278        0.0120446      0.0002485      
1.27253        0.0116088      0.000243963    
1.28229        0.0116344      0.000244233    
1.29204        0.0113678      0.000241418    
1.30179        0.0114857      0.000242667    
1.31154        0.0114704      0.000242504    
1.32129        0.0113473      0.0002412      
1.33104        0.0112858      0.000240545    
1.34079        0.0113063      0.000240764    
1.35054        0.0110755      0.000238295    
1.3603         0.0108192      0.000235521    
1.37005        0.0110038      0.000237521    
1.3798         0.0107935      0.000235242    
1.38955        0.010573       0.000232827    
1.3993         0.0105782      0.000232883    
1.40905        0.0107115      0.000234458    
1.4188         0.0107986      0.000235298    
1.42855        0.0101064      0.000227632    
1.4383         0.0102961      0.000229873    
1.44806        0.00959367     0.000221783    
1.45781        0.00963469     0.000222256    
1.46756        0.00958854     0.000221723    
1.47731        0.00919885     0.000217171    
1.48706        0.00921936     0.000217413    
1.49681        0.00963982     0.000222434    
1.50656        0.00946548     0.000220296    
1.51631        0.00877326     0.000212089    
1.52607        0.00899375     0.000214737    
1.53582        0.00936806     0.00021916     
1.54557        0.00873224     0.000211592    
1.55532        0.00875788     0.000212027    
1.56507        0.00905015     0.000215409    
1.57482        0.00886043     0.00021314     
1.58457        0.00834767     0.000206881    
1.59432        0.00890658     0.000213694    
1.60408        0.00886043     0.00021314     
1.61383        0.00797849     0.000202255    
1.62358        0.00825538     0.000205734    
1.63333        0.00806566     0.000203357    
1.64308        0.00783492     0.000200427    
1.65283        0.0079067      0.000201343    
1.66258        0.00753239     0.00019652     
1.67233        0.00716321     0.000191644    
1.68209        0.00729652     0.000193419    
1.69184        0.00780928     0.000200099    
1.70159        0.0074606      0.000195581    
1.71134        0.00733754     0.000193961    
1.72109        0.00726576     0.00019301     
1.73084        0.0073478      0.000194097    
1.74059        0.00710168     0.000190819    
1.75034        0.00682991     0.000187132    
1.7601         0.00696836     0.000189019    
1.76985        0.00667609     0.000185013    
1.7796         0.00664019     0.000184515    
1.78935        0.00631716     0.000179971    
1.7991         0.00646586     0.000182077    
1.80885        0.00653252     0.000183013    
1.8186         0.00602489     0.000175759    
1.82835        0.00593772     0.000174483    
1.8381         0.00612744     0.000177248    
1.84786        0.0060095      0.000175534    
1.85761        0.0056916      0.000170829    
1.86736        0.00566083     0.000170366    
1.87711        0.00557879     0.000169127    
1.88686        0.00583517     0.000173122    
1.89661        0.00539932     0.000166385    
1.90636        0.00541471     0.000166622    
1.91611        0.00534805     0.000165593    
1.92587        0.00494297     0.000159199    
1.93562        0.00517884     0.000162952    
1.94537        0.00515833     0.000162629    
1.95512        0.00494297     0.000159199    
1.96487        0.00487119     0.000158038    
1.97462        0.00479427     0.000156786    
1.98437        0.00454815     0.000152709    
1.99412        0.00470198     0.000155269    
2.00388        0.00434305     0.000149226    
2.01363        0.00490195     0.000158537    
2.02338        0.00441996     0.000150541    
2.03313        0.00425075     0.000147632    
2.04288        0.0042046      0.000146828    
2.05263        0.00433279     0.000149049    
2.06238        0.00435843     0.00014949     
2.07213        0.00394822     0.000142281    
2.08189        0.00393284     0.000142004    
2.09164        0.0039431      0.000142189    
2.10139        0.00372261     0.000138157    
2.11114        0.00351238     0.000134199    
